# COSI2 B0 scan
# time 2024-09-06 17:06:16.170155
# MAGNET CENTER IN LAB: x 243.340 mm, y 174.470 mm, z 276.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240905/shell_no_inserts_240906_20pts_centered
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
257.380,174.470,395.400,-47.3500,-1.9700,-0.8600,47.3990
256.700,178.810,395.400,-47.3560,-1.9700,-0.8700,47.4060
254.700,182.720,395.400,-47.3570,-1.9700,-0.8700,47.4050
251.590,185.830,395.400,-47.3510,-1.9500,-0.8600,47.3990
247.680,187.830,395.400,-47.3430,-1.9500,-0.8600,47.3920
243.340,188.510,395.400,-47.3390,-1.9400,-0.8500,47.3860
239.000,187.830,395.400,-47.3230,-1.9400,-0.8500,47.3710
235.090,185.830,395.400,-47.3150,-1.9300,-0.8500,47.3630
231.980,182.720,395.400,-47.3070,-1.9400,-0.8700,47.3550
229.980,178.810,395.400,-47.2980,-1.9400,-0.8600,47.3460
229.300,174.470,395.400,-47.2920,-1.9500,-0.8800,47.3380
229.980,170.130,395.400,-47.2930,-1.9600,-0.8700,47.3410
231.980,166.220,395.400,-47.2930,-1.9600,-0.8900,47.3420
235.090,163.110,395.400,-47.2960,-1.9800,-0.8800,47.3460
239.000,161.110,395.400,-47.3000,-1.9900,-0.8800,47.3470
243.340,160.430,395.400,-47.3070,-2.0100,-0.8800,47.3570
247.680,161.110,395.400,-47.3180,-2.0000,-0.8900,47.3680
251.590,163.110,395.400,-47.3260,-2.0000,-0.8800,47.3760
254.700,166.220,395.400,-47.3350,-2.0000,-0.8800,47.3840
256.700,170.130,395.400,-47.3430,-1.9900,-0.8900,47.3930
275.260,174.470,391.900,-47.3530,-1.9800,-0.8700,47.4020
273.700,184.330,391.900,-47.3790,-1.9600,-0.8500,47.4270
269.160,193.230,391.900,-47.3910,-1.9300,-0.8400,47.4400
262.100,200.290,391.900,-47.3880,-1.9300,-0.8100,47.4340
253.200,204.830,391.900,-47.3720,-1.9200,-0.8000,47.4170
243.340,206.390,391.900,-47.3450,-1.9100,-0.8000,47.3940
233.480,204.830,391.900,-47.3220,-1.9000,-0.7900,47.3670
224.580,200.290,391.900,-47.3010,-1.8900,-0.8200,47.3460
217.520,193.230,391.900,-47.2850,-1.8800,-0.8300,47.3320
212.980,184.330,391.900,-47.2740,-1.8900,-0.8400,47.3190
211.420,174.470,391.900,-47.2700,-1.9100,-0.8700,47.3170
212.980,164.610,391.900,-47.2680,-1.9200,-0.8800,47.3150
217.520,155.710,391.900,-47.2740,-1.9500,-0.8800,47.3220
224.580,148.650,391.900,-47.2750,-1.9700,-0.8700,47.3240
233.480,144.110,391.900,-47.2850,-1.9900,-0.8600,47.3330
243.340,142.550,391.900,-47.2930,-2.0200,-0.8800,47.3440
253.200,144.110,391.900,-47.3050,-2.0200,-0.8700,47.3560
262.100,148.650,391.900,-47.3260,-2.0300,-0.8700,47.3750
269.160,155.710,391.900,-47.3360,-2.0300,-0.8800,47.3880
273.700,164.610,391.900,-47.3610,-2.0200,-0.8900,47.4050
292.500,174.470,385.690,-47.3740,-1.9800,-0.8800,47.4240
290.090,189.660,385.690,-47.4160,-1.9400,-0.8400,47.4630
283.110,203.370,385.690,-47.4160,-1.9000,-0.7900,47.4640
272.240,214.240,385.690,-47.4060,-1.9000,-0.7600,47.4500
258.530,221.220,385.690,-47.3710,-1.8900,-0.7300,47.4210
243.340,223.630,385.690,-47.3450,-1.8900,-0.7300,47.3890
228.150,221.220,385.690,-47.3110,-1.8800,-0.7400,47.3570
214.440,214.240,385.690,-47.2890,-1.8700,-0.7700,47.3320
203.570,203.370,385.690,-47.2770,-1.8300,-0.7900,47.3190
196.590,189.660,385.690,-47.2700,-1.8300,-0.8300,47.3130
194.180,174.470,385.690,-47.2660,-1.8300,-0.8600,47.3090
196.590,159.280,385.690,-47.2700,-1.8700,-0.8700,47.3130
203.570,145.570,385.690,-47.2750,-1.9200,-0.8700,47.3210
214.440,134.700,385.690,-47.2730,-1.9400,-0.8600,47.3210
228.150,127.720,385.690,-47.2860,-1.9900,-0.8700,47.3360
243.340,125.310,385.690,-47.2980,-2.0300,-0.8500,47.3470
258.530,127.720,385.690,-47.3050,-2.0500,-0.8500,47.3570
272.240,134.700,385.690,-47.3240,-2.0500,-0.8600,47.3730
283.110,145.570,385.690,-47.3450,-2.0500,-0.8600,47.3970
290.090,159.280,385.690,-47.3740,-2.0300,-0.8700,47.4260
308.610,174.470,376.910,-47.3870,-1.9900,-0.8800,47.4370
305.420,194.640,376.910,-47.4290,-1.9400,-0.8200,47.4730
296.150,212.840,376.910,-47.4350,-1.9100,-0.7600,47.4800
281.710,227.280,376.910,-47.4150,-1.8900,-0.6900,47.4630
263.510,236.550,376.910,-47.3770,-1.8800,-0.6600,47.4190
243.340,239.740,376.910,-47.3280,-1.9000,-0.6500,47.3710
223.170,236.550,376.910,-47.2790,-1.9000,-0.6900,47.3290
204.970,227.280,376.910,-47.2740,-1.8700,-0.7400,47.3160
190.530,212.840,376.910,-47.2860,-1.8400,-0.7600,47.3230
181.260,194.640,376.910,-47.2940,-1.7900,-0.7900,47.3340
178.070,174.470,376.910,-47.2860,-1.7800,-0.8300,47.3290
181.260,154.300,376.910,-47.3030,-1.8100,-0.8500,47.3460
190.530,136.100,376.910,-47.3050,-1.8500,-0.8400,47.3480
204.970,121.660,376.910,-47.3030,-1.9100,-0.8500,47.3490
223.170,112.390,376.910,-47.3090,-1.9900,-0.8000,47.3560
243.340,109.200,376.910,-47.3030,-2.0200,-0.8000,47.3530
263.510,112.390,376.910,-47.3040,-2.0500,-0.8200,47.3530
281.710,121.660,376.910,-47.3140,-2.0600,-0.8500,47.3670
296.150,136.100,376.910,-47.3510,-2.0400,-0.8500,47.4030
305.420,154.300,376.910,-47.3900,-2.0400,-0.8400,47.4380
323.210,174.470,365.780,-47.4080,-2.0000,-0.8600,47.4580
319.300,199.150,365.780,-47.4470,-1.9400,-0.7900,47.4930
307.960,221.420,365.780,-47.4490,-1.9100,-0.7100,47.4930
290.290,239.090,365.780,-47.4220,-1.9100,-0.6500,47.4650
268.020,250.430,365.780,-47.3610,-1.9100,-0.5700,47.4140
243.340,254.340,365.780,-47.2840,-1.9200,-0.5900,47.3380
218.660,250.430,365.780,-47.2530,-1.9000,-0.6700,47.2960
196.390,239.090,365.780,-47.2420,-1.8700,-0.7500,47.2850
