# COSI2 B0 scan
# time 2024-09-06 20:13:45.065829
# MAGNET CENTER IN LAB: x 242.000 mm, y 163.000 mm, z 276.770 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240905/shell_no_inserts_240906_30pts_centeredcentered_HIGHCURRENT_20pm
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
251.450,163.000,396.400,-47.3400,-2.0000,-0.9800,47.3920
251.240,164.970,396.400,-47.3380,-1.9900,-0.9900,47.3900
250.630,166.840,396.400,-47.3370,-1.9900,-0.9900,47.3870
249.650,168.560,396.400,-47.3380,-1.9900,-0.9800,47.3900
248.320,170.020,396.400,-47.3370,-1.9800,-0.9800,47.3870
246.730,171.190,396.400,-47.3380,-1.9700,-0.9700,47.3890
244.920,171.990,396.400,-47.3360,-1.9800,-0.9600,47.3870
242.990,172.400,396.400,-47.3340,-1.9700,-0.9600,47.3850
241.010,172.400,396.400,-47.3300,-1.9600,-0.9700,47.3800
239.080,171.990,396.400,-47.3230,-1.9600,-0.9700,47.3770
237.270,171.190,396.400,-47.3170,-1.9700,-0.9700,47.3680
235.680,170.020,396.400,-47.3080,-1.9600,-0.9700,47.3590
234.350,168.560,396.400,-47.3010,-1.9600,-0.9700,47.3550
233.370,166.840,396.400,-47.3000,-1.9600,-0.9700,47.3490
232.760,164.970,396.400,-47.3000,-1.9700,-0.9800,47.3510
232.550,163.000,396.400,-47.2980,-1.9700,-0.9800,47.3500
232.760,161.030,396.400,-47.2980,-1.9700,-0.9800,47.3490
233.370,159.160,396.400,-47.2980,-1.9700,-0.9800,47.3490
234.350,157.440,396.400,-47.2970,-1.9900,-0.9700,47.3480
235.680,155.980,396.400,-47.2980,-1.9900,-0.9900,47.3500
237.270,154.810,396.400,-47.2990,-1.9900,-0.9900,47.3510
239.080,154.010,396.400,-47.3020,-1.9900,-1.0000,47.3550
241.010,153.600,396.400,-47.3030,-2.0000,-1.0000,47.3560
242.990,153.600,396.400,-47.3050,-2.0100,-0.9900,47.3580
244.920,154.010,396.400,-47.3090,-2.0100,-0.9900,47.3620
246.730,154.810,396.400,-47.3130,-2.0000,-0.9800,47.3610
248.320,155.980,396.400,-47.3150,-2.0100,-0.9800,47.3680
249.650,157.440,396.400,-47.3200,-2.0000,-0.9800,47.3720
250.630,159.160,396.400,-47.3250,-2.0100,-0.9900,47.3730
251.240,161.030,396.400,-47.3290,-2.0000,-0.9800,47.3820
263.600,163.000,394.810,-47.3320,-2.0000,-0.9800,47.3820
263.130,167.490,394.810,-47.3350,-1.9900,-0.9700,47.3870
261.730,171.790,394.810,-47.3450,-1.9700,-0.9700,47.3960
259.470,175.700,394.810,-47.3560,-1.9800,-0.9700,47.4030
256.450,179.050,394.810,-47.3630,-1.9700,-0.9700,47.4140
252.800,181.710,394.810,-47.3670,-1.9500,-0.9600,47.4170
248.670,183.540,394.810,-47.3610,-1.9500,-0.9500,47.4120
244.260,184.480,394.810,-47.3550,-1.9400,-0.9500,47.4070
239.740,184.480,394.810,-47.3500,-1.9500,-0.9400,47.3990
235.330,183.540,394.810,-47.3420,-1.9300,-0.9400,47.3910
231.200,181.710,394.810,-47.3300,-1.9300,-0.9400,47.3860
