# COSI2 B0 scan
# time 2024-09-06 21:03:10.991217
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240905/shell_no_inserts_240906_30pts_centeredcentered_LOWCURRENT_21pm
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
251.450,163.000,396.400,-47.3420,-1.9900,-0.8200,47.3900
251.240,164.970,396.400,-47.3430,-1.9900,-0.8300,47.3930
250.630,166.840,396.400,-47.3430,-2.0000,-0.8200,47.3900
249.650,168.560,396.400,-47.3420,-1.9900,-0.8100,47.3910
248.320,170.020,396.400,-47.3410,-1.9900,-0.8300,47.3900
246.730,171.190,396.400,-47.3400,-1.9800,-0.8300,0.0000
244.920,171.990,396.400,0.0000,0.0000,0.0000,0.0000
242.990,172.400,396.400,-47.3330,-1.9800,-0.8200,47.3810
241.010,172.400,396.400,-47.3290,-1.9700,-0.8200,47.3770
239.080,171.990,396.400,-47.3270,-1.9600,-0.8100,47.3740
237.270,171.190,396.400,-47.3250,-1.9800,-0.8100,47.3730
235.680,170.020,396.400,-47.3180,-1.9700,-0.8300,47.3700
234.350,168.560,396.400,-47.3170,-1.9800,-0.8300,47.3650
233.370,166.840,396.400,-47.3100,-1.9700,-0.8300,47.3580
232.760,164.970,396.400,-47.3030,-1.9800,-0.8300,47.3520
232.550,163.000,396.400,-47.3000,-1.9800,-0.8200,47.3490
232.760,161.030,396.400,-47.2990,-1.9800,-0.8300,47.3480
233.370,159.160,396.400,-47.2980,-1.9900,-0.8500,47.3460
234.350,157.440,396.400,-47.2960,-1.9800,-0.8400,47.3450
235.680,155.980,396.400,-47.2980,-2.0000,-0.8400,47.3460
237.270,154.810,396.400,-47.2980,-2.0000,-0.8600,47.3480
239.080,154.010,396.400,-47.3010,-2.0000,-0.8500,47.3510
241.010,153.600,396.400,-47.3030,-2.0000,-0.8400,47.3530
242.990,153.600,396.400,-47.3080,-2.0100,-0.8300,47.3550
244.920,154.010,396.400,-47.3090,-2.0200,-0.8400,47.3600
246.730,154.810,396.400,-47.3130,-2.0200,-0.8400,47.3610
248.320,155.980,396.400,-47.3160,-2.0200,-0.8600,47.3670
249.650,157.440,396.400,-47.3210,-2.0100,-0.8400,47.3710
250.630,159.160,396.400,-47.3310,-2.0000,-0.8400,47.3780
251.240,161.030,396.400,-47.3330,-2.0100,-0.8400,47.3830
263.600,163.000,394.810,-47.3340,-2.0000,-0.8400,47.3830
263.130,167.490,394.810,-47.3450,-1.9900,-0.8300,47.3940
261.730,171.790,394.810,-47.3580,-1.9800,-0.8300,47.4070
259.470,175.700,394.810,-47.3690,-1.9600,-0.7500,47.4130
256.450,179.050,394.810,-47.3680,-1.9700,-0.8100,47.4160
252.800,181.710,394.810,-47.3640,-1.9700,-0.8300,47.4120
248.670,183.540,394.810,-47.3550,-1.9400,-0.7800,47.4070
244.260,184.480,394.810,-47.3450,-1.9500,-0.8000,47.3970
239.740,184.480,394.810,-47.3420,-1.9400,-0.7900,47.3880
235.330,183.540,394.810,-47.3270,-1.9500,-0.8200,47.3790
231.200,181.710,394.810,-47.3110,-1.9400,-0.7900,47.3650
227.550,179.050,394.810,-47.3040,-1.9300,-0.7900,47.3500
224.530,175.700,394.810,-47.2950,-1.9400,-0.8000,47.3410
222.270,171.790,394.810,-47.2870,-1.9300,-0.7800,47.3330
220.870,167.490,394.810,-47.2830,-1.9500,-0.8500,47.3310
220.400,163.000,394.810,-47.2810,-1.9600,-0.8200,47.3280
220.870,158.510,394.810,-47.2800,-1.9500,-0.8100,47.3280
222.270,154.210,394.810,-47.2780,-1.9700,-0.8400,0.0000
224.530,150.300,394.810,7.2780,-1.9800,-0.8300,47.3270
227.550,146.950,394.810,-47.2790,-1.9900,-0.8500,47.3290
231.200,144.290,394.810,-47.2810,-2.0200,-0.8800,47.3300
235.330,142.460,394.810,-47.2840,-2.0100,-0.8500,47.3340
239.740,141.520,394.810,-47.2920,-2.0200,-0.8200,47.3420
244.260,141.520,394.810,-47.3020,-2.0400,-0.8400,47.3470
248.670,142.460,394.810,-47.3050,-2.0300,-0.8300,47.3560
252.800,144.290,394.810,-47.3160,-2.0300,-0.8400,47.3670
256.450,146.950,394.810,-47.3220,-2.0400,-0.8100,47.3700
259.470,150.300,394.810,-47.3260,-2.0300,-0.8500,47.3770
261.730,154.210,394.810,-47.3340,-2.0300,-0.8700,47.3850
263.130,158.510,394.810,-47.3450,-2.0100,-0.8400,47.3910
275.590,163.000,391.970,-47.3570,-2.0100,-0.8500,47.4020
274.860,169.980,391.970,-47.3690,-1.9800,-0.8300,47.4180
272.690,176.660,391.970,-47.3810,-1.9600,-0.8500,47.4290
269.180,182.740,391.970,-47.3900,-1.9500,-0.8200,47.4370
264.480,187.960,391.970,-47.3930,-1.9300,-0.7700,47.4390
258.800,192.090,391.970,-47.3880,-1.9400,-0.7600,47.4330
252.380,194.950,391.970,-47.3750,-1.9200,-0.7400,47.4200
245.510,196.410,391.970,-47.3600,-1.9200,-0.7300,47.4050
238.490,196.410,391.970,-47.3410,-1.9200,-0.7300,47.3860
231.620,194.950,391.970,-47.3200,-1.9200,-0.7500,47.3650
225.200,192.090,391.970,-47.3040,-1.9200,-0.7700,47.3490
219.520,187.960,391.970,-47.2910,-1.9100,-0.7700,47.3360
214.820,182.740,391.970,-47.2780,-1.9000,-0.7800,47.3220
211.310,176.660,391.970,-47.2690,-1.9100,-0.7800,47.3180
209.140,169.980,391.970,-47.2660,-1.9100,-0.8200,47.3110
208.410,163.000,391.970,-47.2660,-1.9300,-0.8500,47.3110
209.140,156.020,391.970,-47.2650,-1.9400,-0.8800,47.3110
211.310,149.340,391.970,-47.2640,-1.9500,-0.8600,47.3110
214.820,143.260,391.970,-47.2660,-1.9700,-0.8500,47.3120
219.520,138.040,391.970,-47.2660,-1.9800,-0.8700,47.3150
225.200,133.910,391.970,-47.2690,-2.0000,-0.8700,47.3190
231.620,131.050,391.970,-47.2770,-2.0200,-0.8000,47.3270
238.490,129.590,391.970,-47.2880,-2.0300,-0.8300,47.3390
245.510,129.590,391.970,-47.2930,-2.0500,-0.8100,47.3440
252.380,131.050,391.970,-47.2990,-2.0600,-0.8200,47.3510
258.800,133.910,391.970,-47.3100,-2.0600,-0.8200,47.3620
264.480,138.040,391.970,-47.3240,-2.0500,-0.8200,47.3750
269.180,143.260,391.970,-47.3400,-2.0500,-0.8300,47.3880
272.690,149.340,391.970,-47.3470,-2.0400,-0.8400,47.3950
274.860,156.020,391.970,-47.3570,-2.0300,-0.8600,47.4020
287.240,163.000,387.910,-47.3630,-2.0100,-0.8700,47.4130
286.260,172.410,387.910,-47.3840,-1.9800,-0.8200,47.4320
283.330,181.400,387.910,-47.4010,-1.9400,-0.8100,47.4420
278.600,189.590,387.910,-47.4110,-1.9300,-0.8200,47.4530
272.270,196.620,387.910,-47.4120,-1.9100,-0.7600,47.4560
264.620,202.180,387.910,-47.4010,-1.9100,-0.7400,47.4450
255.980,206.030,387.910,-47.3720,-1.9000,-0.7400,47.4270
246.730,208.000,387.910,-47.3580,-1.9100,-0.7300,47.4020
