# COSI2 B0 scan
# time 2024-09-06 21:52:53.100025
# MAGNET CENTER IN LAB: x 242.000 mm, y 163.000 mm, z 276.770 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240905/shell_no_inserts_240906_low_current_low_accel_30pts_22pm
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
251.450,163.000,396.400,-47.3350,-1.9900,-0.8400,47.3840
251.240,164.970,396.400,-47.3370,-1.9900,-0.8300,47.3860
250.630,166.840,396.400,-47.3380,-1.9900,-0.8400,47.3850
249.650,168.560,396.400,-47.3390,-1.9900,-0.8400,47.3880
248.320,170.020,396.400,-47.3380,-1.9800,-0.8200,47.3880
246.730,171.190,396.400,-47.3400,-1.9800,-0.8300,47.3880
244.920,171.990,396.400,-47.3360,-1.9800,-0.8200,47.3840
242.990,172.400,396.400,-47.3310,-1.9800,-0.8200,47.3790
241.010,172.400,396.400,-47.3250,-1.9700,-0.8300,47.3780
239.080,171.990,396.400,-47.3200,-1.9600,-0.8200,47.3670
237.270,171.190,396.400,-47.3140,-1.9600,-0.8300,47.3630
235.680,170.020,396.400,-47.3140,-1.9700,-0.8200,47.3620
234.350,168.560,396.400,-47.3100,-1.9700,-0.8300,47.3590
233.370,166.840,396.400,-47.3050,-1.9700,-0.8300,47.3580
232.760,164.970,396.400,-47.3000,-1.9800,-0.8300,47.3480
232.550,163.000,396.400,-47.2930,-1.9800,-0.8300,47.3430
232.760,161.030,396.400,-47.2920,-1.9900,-0.8400,47.3410
233.370,159.160,396.400,-47.2930,-1.9900,-0.8400,47.3420
234.350,157.440,396.400,-47.2970,-2.0000,-0.8500,47.3420
235.680,155.980,396.400,-47.2960,-1.9900,-0.8400,47.3450
237.270,154.810,396.400,-47.2950,-2.0000,-0.8400,47.3450
239.080,154.010,396.400,-47.2960,-1.9900,-0.8400,47.3450
241.010,153.600,396.400,-47.2970,-2.0000,-0.8600,47.3460
242.990,153.600,396.400,-47.2990,-2.0100,-0.8300,47.3490
244.920,154.010,396.400,-47.3040,-2.0100,-0.8500,47.3510
246.730,154.810,396.400,-47.3080,-2.0100,-0.8500,47.3580
248.320,155.980,396.400,-47.3120,-2.0200,-0.8500,47.3620
249.650,157.440,396.400,-47.3160,-2.0100,-0.8400,47.3660
250.630,159.160,396.400,-47.3240,-2.0100,-0.8500,47.3710
251.240,161.030,396.400,-47.3310,-2.0100,-0.8400,47.3800
263.600,163.000,394.810,-47.3310,-2.0000,-0.8400,47.3800
263.130,167.490,394.810,-47.3350,-2.0000,-0.8300,47.3850
261.730,171.790,394.810,-47.3480,-1.9900,-0.8300,47.3970
259.470,175.700,394.810,-47.3580,-1.9800,-0.8200,47.4070
256.450,179.050,394.810,-47.3650,-1.9600,-0.8200,47.4090
252.800,181.710,394.810,-47.3570,-1.9700,-0.8000,47.4070
248.670,183.540,394.810,-47.3550,-1.9500,-0.7900,47.4020
244.260,184.480,394.810,-47.3390,-1.9500,-0.8000,47.3910
239.740,184.480,394.810,-47.3330,-1.9600,-0.8000,47.3800
235.330,183.540,394.810,-47.3180,-1.9600,-0.8000,47.3700
231.200,181.710,394.810,-47.3110,-1.9500,-0.8000,47.3580
227.550,179.050,394.810,-47.3010,-1.9400,-0.8000,47.3480
224.530,175.700,394.810,-47.2910,-1.9300,-0.8200,47.3370
222.270,171.790,394.810,-47.2800,-1.9500,-0.8100,47.3300
220.870,167.490,394.810,-47.2770,-1.9500,-0.8200,47.3250
220.400,163.000,394.810,-47.2710,-1.9400,-0.8300,47.3210
220.870,158.510,394.810,-47.2710,-1.9600,-0.8400,47.3190
222.270,154.210,394.810,-47.2710,-1.9700,-0.8400,47.3190
224.530,150.300,394.810,-47.2720,-1.9800,-0.8400,47.3200
227.550,146.950,394.810,-47.2750,-2.0000,-0.8400,47.3220
231.200,144.290,394.810,-47.2760,-2.0000,-0.8300,47.3250
235.330,142.460,394.810,-47.2830,-2.0100,-0.8400,47.3300
239.740,141.520,394.810,-47.2840,-2.0100,-0.8500,47.3350
244.260,141.520,394.810,-47.2900,-2.0300,-0.8500,47.3410
248.670,142.460,394.810,-47.2960,-2.0400,-0.8500,47.3430
252.800,144.290,394.810,-47.3030,-2.0400,-0.8500,47.3520
256.450,146.950,394.810,-47.3070,-2.0500,-0.8500,47.3580
259.470,150.300,394.810,-47.3160,-2.0400,-0.8500,47.3680
261.730,154.210,394.810,-47.3280,-2.0200,-0.8600,47.3720
263.130,158.510,394.810,-47.3380,-2.0200,-0.8400,47.3850
275.590,163.000,391.970,-47.3490,-2.0100,-0.8400,47.3990
274.860,169.980,391.970,-47.3640,-1.9900,-0.8300,47.4060
272.690,176.660,391.970,-47.3730,-1.9600,-0.8200,47.4140
269.180,182.740,391.970,-47.3830,-1.9500,-0.8000,47.4250
264.480,187.960,391.970,-47.3880,-1.9400,-0.7900,47.4310
258.800,192.090,391.970,-47.3850,-1.9300,-0.7700,47.4320
252.380,194.950,391.970,-47.3710,-1.9300,-0.7600,47.4230
245.510,196.410,391.970,-47.3570,-1.9200,-0.7600,47.4080
238.490,196.410,391.970,-47.3480,-1.9200,-0.7600,47.3930
231.620,194.950,391.970,-47.3350,-1.9300,-0.7500,47.3800
225.200,192.090,391.970,-47.3140,-1.9300,-0.7700,47.3600
219.520,187.960,391.970,-47.2940,-1.9100,-0.7800,47.3390
214.820,182.740,391.970,-47.2790,-1.9000,-0.7800,47.3240
211.310,176.660,391.970,-47.2670,-1.9000,-0.7900,47.3120
209.140,169.980,391.970,-47.2590,-1.9000,-0.8100,47.3050
208.410,163.000,391.970,-47.2560,-1.9100,-0.8200,47.3020
209.140,156.020,391.970,-47.2540,-1.9300,-0.8300,47.3010
211.310,149.340,391.970,-47.2550,-1.9500,-0.8400,47.3020
214.820,143.260,391.970,-47.2600,-1.9700,-0.8300,47.3080
219.520,138.040,391.970,-47.2630,-1.9800,-0.8300,47.3120
225.200,133.910,391.970,-47.2670,-1.9900,-0.8400,47.3130
231.620,131.050,391.970,-47.2680,-2.0200,-0.8200,47.3150
238.490,129.590,391.970,-47.2760,-2.0400,-0.8200,47.3230
245.510,129.590,391.970,-47.2840,-2.0400,-0.8300,47.3300
252.380,131.050,391.970,-47.2960,-2.0500,-0.8300,47.3430
258.800,133.910,391.970,-47.3070,-2.0600,-0.8500,47.3530
264.480,138.040,391.970,-47.3170,-2.0600,-0.8400,47.3650
269.180,143.260,391.970,-47.3250,-2.0600,-0.8500,47.3730
272.690,149.340,391.970,-47.3310,-2.0500,-0.8400,47.3830
274.860,156.020,391.970,-47.3410,-2.0300,-0.8500,47.3920
287.240,163.000,387.910,-47.3580,-2.0100,-0.8500,47.4080
286.260,172.410,387.910,-47.3770,-1.9800,-0.8400,47.4260
283.330,181.400,387.910,-47.3960,-1.9700,-0.8300,47.4370
278.600,189.590,387.910,-47.4050,-1.9400,-0.8000,47.4480
272.270,196.620,387.910,-47.4040,-1.9300,-0.7600,47.4490
264.620,202.180,387.910,-47.3960,-1.9100,-0.7400,47.4400
255.980,206.030,387.910,-47.3740,-1.9100,-0.7100,47.4250
246.730,208.000,387.910,-47.3600,-1.9100,-0.7100,47.4110
237.270,208.000,387.910,-47.3340,-1.9100,-0.7100,47.3860
228.020,206.030,387.910,-47.3140,-1.9100,-0.7200,47.3570
219.380,202.180,387.910,-47.3000,-1.9000,-0.7300,47.3430
211.730,196.620,387.910,-47.2760,-1.8900,-0.7500,47.3250
205.400,189.590,387.910,-47.2680,-1.8800,-0.7600,47.3150
200.670,181.400,387.910,-47.2570,-1.8600,-0.7800,47.3000
197.740,172.410,387.910,-47.2480,-1.8700,-0.8000,47.2920
196.760,163.000,387.910,-47.2450,-1.8900,-0.8100,47.2890
197.740,153.590,387.910,-47.2500,-1.9000,-0.8200,0.0000
200.670,144.600,387.910,0.0000,0.0000,0.0000,0.0000
205.400,136.410,387.910,-47.2570,-1.9400,-0.8200,47.3040
211.730,129.380,387.910,-47.2580,-1.9600,-0.8200,47.3060
219.380,123.820,387.910,-47.2620,-1.9800,-0.8200,47.3080
228.020,119.970,387.910,-47.2680,-2.0000,-0.8200,47.3130
237.270,118.000,387.910,-47.2770,-2.0300,-0.8100,47.3270
246.730,118.000,387.910,-47.2840,-2.0400,-0.8100,47.3350
255.980,119.970,387.910,-47.2950,-2.0600,-0.8100,47.3450
264.620,123.820,387.910,-47.3040,-2.0500,-0.8100,47.3520
272.270,129.380,387.910,-47.3120,-2.0700,-0.8200,47.3640
278.600,136.410,387.910,-47.3290,-2.0600,-0.8300,47.3800
283.330,144.600,387.910,-47.3440,-2.0500,-0.8400,47.3960
286.260,153.590,387.910,-47.3570,-2.0300,-0.8500,47.4020
298.420,163.000,382.680,-47.3710,-2.0100,-0.8400,47.4170
297.190,174.730,382.680,-47.3860,-1.9800,-0.8300,47.4340
293.550,185.950,382.680,-47.4030,-1.9600,-0.7900,47.4500
287.650,196.170,382.680,-47.4200,-1.9200,-0.7500,47.4640
279.750,204.930,382.680,-47.4170,-1.9100,-0.7200,47.4610
270.210,211.860,382.680,-47.4010,-1.9000,-0.6800,47.4440
259.440,216.660,382.680,-47.3780,-1.8900,-0.6600,47.4280
247.900,219.110,382.680,-47.3570,-1.9000,-0.6500,47.3990
236.100,219.110,382.680,-47.3250,-1.9000,-0.6700,47.3680
224.560,216.660,382.680,-47.3000,-1.9000,-0.6700,47.3500
213.790,211.860,382.680,-47.2850,-1.8900,-0.6900,47.3270
204.250,204.930,382.680,-47.2740,-1.8900,-0.7000,47.3190
196.350,196.170,382.680,-47.2700,-1.8600,-0.7300,47.3130
190.450,185.950,382.680,-47.2670,-1.8400,-0.7500,47.3090
186.810,174.730,382.680,-47.2600,-1.8200,-0.7700,47.3030
185.580,163.000,382.680,-47.2590,-1.8400,-0.8100,47.3010
186.810,151.270,382.680,-47.2550,-1.8600,-0.8200,47.2990
190.450,140.050,382.680,-47.2610,-1.8800,-0.8200,47.3050
196.350,129.830,382.680,-47.2680,-1.9100,-0.8200,47.3120
204.250,121.070,382.680,-47.2680,-1.9300,-0.8100,47.3150
213.790,114.140,382.680,-47.2720,-1.9500,-0.8100,47.3190
224.560,109.340,382.680,-47.2770,-2.0000,-0.8000,47.3260
236.100,106.890,382.680,-47.2820,-2.0400,-0.7900,47.3320
247.900,106.890,382.680,-47.2860,-2.0500,-0.7800,47.3350
259.440,109.340,382.680,-47.2910,-2.0700,-0.7900,47.3430
270.210,114.140,382.680,-47.3050,-2.0700,-0.8000,47.3530
279.750,121.070,382.680,-47.3130,-2.0800,-0.8100,47.3660
287.650,129.830,382.680,-47.3320,-2.0700,-0.8200,47.3840
293.550,140.050,382.680,-47.3510,-2.0600,-0.8300,47.4030
297.190,151.270,382.680,-47.3750,-2.0500,-0.8300,47.4190
309.010,163.000,376.320,-47.3860,-2.0200,-0.8400,47.4360
307.540,176.930,376.320,-47.4000,-1.9800,-0.8100,47.4480
303.220,190.260,376.320,-47.4230,-1.9500,-0.7700,47.4690
296.210,202.390,376.320,-47.4320,-1.9200,-0.7200,47.4770
286.840,212.800,376.320,-47.4190,-1.9000,-0.7000,47.4680
275.500,221.030,376.320,-47.4110,-1.9100,-0.6500,47.4540
262.710,226.730,376.320,-47.3840,-1.9100,-0.6100,47.4260
249.000,229.640,376.320,-47.3450,-1.9100,-0.6100,47.3970
235.000,229.640,376.320,-47.3090,-1.9200,-0.6200,47.3610
221.290,226.730,376.320,-47.2850,-1.9200,-0.6300,47.3280
208.500,221.030,376.320,-47.2620,-1.9100,-0.6700,47.3050
197.160,212.800,376.320,-47.2580,-1.9000,-0.7000,47.3010
187.790,202.390,376.320,-47.2650,-1.8700,-0.7200,47.3040
