# COSI2 B0 scan
# time 2024-09-06 19:12:16.643457
# MAGNET CENTER IN LAB: x 242.000 mm, y 163.000 mm, z 276.770 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240905/shell_no_inserts_SLOW_ACCEL_30pts_centeredcentered_R120
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
251.450,163.000,396.400,-47.3510,-1.9800,-0.6100,47.3980
251.240,164.970,396.400,-47.3520,-1.9800,-0.6200,47.3970
250.630,166.840,396.400,-47.3540,-1.9800,-0.6300,47.3990
249.650,168.560,396.400,-47.3560,-1.9900,-0.6200,47.4010
248.320,170.020,396.400,-47.3560,-1.9800,-0.6200,47.4020
246.730,171.190,396.400,-47.3540,-1.9700,-0.6200,47.3990
244.920,171.990,396.400,-47.3530,-1.9700,-0.6300,47.3980
242.990,172.400,396.400,-47.3510,-1.9700,-0.6100,47.3960
241.010,172.400,396.400,-47.3490,-1.9700,-0.6000,47.3930
239.080,171.990,396.400,-47.3420,-1.9700,-0.6100,47.3920
237.270,171.190,396.400,-47.3380,-1.9600,-0.6000,47.3830
235.680,170.020,396.400,-47.3260,-1.9600,-0.6200,47.3740
234.350,168.560,396.400,-47.3260,-1.9600,-0.6100,47.3700
233.370,166.840,396.400,-47.3220,-1.9600,-0.6100,47.3670
232.760,164.970,396.400,-47.3200,-1.9700,-0.6100,47.3670
232.550,163.000,396.400,-47.3170,-1.9700,-0.6100,47.3620
232.760,161.030,396.400,-47.3150,-1.9800,-0.6200,47.3600
233.370,159.160,396.400,-47.3120,-1.9700,-0.6200,47.3570
234.350,157.440,396.400,-47.3110,-1.9700,-0.6200,47.3570
235.680,155.980,396.400,-47.3110,-1.9800,-0.6200,47.3560
237.270,154.810,396.400,-47.3070,-1.9900,-0.6300,47.3540
239.080,154.010,396.400,-47.3090,-1.9800,-0.6300,47.3550
241.010,153.600,396.400,-47.3090,-2.0000,-0.6300,47.3550
242.990,153.600,396.400,-47.3110,-1.9900,-0.6300,47.3570
244.920,154.010,396.400,-47.3170,-2.0100,-0.6300,47.3630
246.730,154.810,396.400,-47.3190,-2.0000,-0.6300,47.3650
248.320,155.980,396.400,-47.3230,-2.0000,-0.6300,47.3680
249.650,157.440,396.400,-47.3250,-2.0100,-0.6300,47.3710
250.630,159.160,396.400,-47.3340,-2.0100,-0.6300,47.3770
251.240,161.030,396.400,-47.3340,-2.0000,-0.6300,47.3810
263.600,163.000,394.810,-47.3400,-2.0000,-0.6300,47.3840
263.130,167.490,394.810,-47.3440,-2.0000,-0.6200,47.3910
261.730,171.790,394.810,-47.3600,-1.9900,-0.6100,47.3990
259.470,175.700,394.810,-47.3690,-1.9800,-0.6100,47.4110
256.450,179.050,394.810,-47.3780,-1.9800,-0.6100,47.4240
252.800,181.710,394.810,-47.3800,-1.9700,-0.6000,47.4240
248.670,183.540,394.810,-47.3800,-1.9600,-0.6000,47.4240
244.260,184.480,394.810,-47.3810,-1.9600,-0.5800,47.4250
239.740,184.480,394.810,-47.3690,-1.9500,-0.5800,47.4160
235.330,183.540,394.810,-47.3570,-1.9500,-0.5800,47.4050
231.200,181.710,394.810,-47.3470,-1.9500,-0.5800,47.3900
227.550,179.050,394.810,-47.3340,-1.9400,-0.5800,47.3770
224.530,175.700,394.810,-47.3220,-1.9400,-0.5800,47.3660
222.270,171.790,394.810,-47.3100,-1.9300,-0.5900,47.3530
220.870,167.490,394.810,-47.3020,-1.9300,-0.5900,47.3440
220.400,163.000,394.810,-47.2970,-1.9300,-0.6000,47.3430
220.870,158.510,394.810,-47.2950,-1.9500,-0.6000,47.3390
222.270,154.210,394.810,-47.2910,-1.9500,-0.6100,0.0000
224.530,150.300,394.810,0.0000,0.0000,0.0000,0.0000
