# COSI2 B0 scan
# time 2024-09-05 15:22:20.334422
# MAGNET CENTER IN LAB: x 250.400 mm, y 168.490 mm, z 276.130 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta 0.00 deg, gamma 90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240905/shell_no_inserts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
264.440,168.490,395.310,-47.3930,-1.9800,-1.1500,47.4470
263.760,172.830,395.310,-47.3900,-1.9700,-1.1600,47.4450
261.760,176.740,395.310,-47.3940,-1.9600,-1.1400,47.4480
258.650,179.850,395.310,-47.3930,-1.9500,-1.1400,47.4470
254.740,181.850,395.310,-47.3870,-1.9500,-1.1300,47.4410
250.400,182.530,395.310,-47.3760,-1.9400,-1.1200,47.4320
246.060,181.850,395.310,-47.3650,-1.9400,-1.1400,47.4180
242.150,179.850,395.310,-47.3520,-1.9400,-1.1400,47.4050
239.040,176.740,395.310,-47.3420,-1.9400,-1.1500,47.4000
237.040,172.830,395.310,-47.3350,-1.9400,-1.1500,47.3890
236.360,168.490,395.310,-47.3330,-1.9500,-1.1600,47.3890
237.040,164.150,395.310,-47.3350,-1.9700,-1.1500,47.3910
239.040,160.240,395.310,-47.3290,-1.9700,-1.1600,47.3840
242.150,157.130,395.310,-47.3330,-1.9900,-1.1700,47.3880
246.060,155.130,395.310,-47.3390,-1.9900,-1.1700,47.3950
250.400,154.450,395.310,-47.3440,-2.0000,-1.1700,47.4010
254.740,155.130,395.310,-47.3530,-1.9900,-1.1700,47.4060
258.650,157.130,395.310,-47.3600,-2.0100,-1.1700,47.4170
261.760,160.240,395.310,-47.3680,-2.0000,-1.1700,47.4230
263.760,164.150,395.310,-47.3780,-1.9900,-1.1600,47.4340
282.320,168.490,391.810,-47.3850,-1.9800,-1.1600,47.4400
280.760,178.350,391.810,-47.4180,-1.9500,-1.1500,47.4710
276.220,187.250,391.810,-47.4290,-1.9300,-1.1200,47.4810
269.160,194.310,391.810,-47.4270,-1.9100,-1.1000,47.4780
260.260,198.850,391.810,-47.4060,-1.9100,-1.0800,47.4600
250.400,200.410,391.810,-47.3910,-1.9100,-1.0600,47.4410
240.540,198.850,391.810,-47.3630,-1.9100,-1.0800,47.4140
231.640,194.310,391.810,-47.3350,-1.8900,-1.1000,47.3880
224.580,187.250,391.810,-47.3200,-1.8900,-1.1200,47.3710
220.040,178.350,391.810,-47.3110,-1.9000,-1.1300,47.3620
218.480,168.490,391.810,-47.3030,-1.9000,-1.1500,47.3550
220.040,158.630,391.810,-47.3040,-1.9300,-1.1600,47.3570
224.580,149.730,391.810,-47.3080,-1.9600,-1.1700,47.3630
231.640,142.670,391.810,-47.3110,-1.9800,-1.1500,47.3660
240.540,138.130,391.810,-47.3180,-2.0100,-1.1600,47.3750
250.400,136.570,391.810,-47.3250,-2.0200,-1.1600,47.3820
260.260,138.130,391.810,-47.3460,-2.0300,-1.1600,47.4040
269.160,142.670,391.810,-47.3590,-2.0300,-1.1600,47.4170
276.220,149.730,391.810,-47.3750,-2.0300,-1.1600,47.4270
280.760,158.630,391.810,-47.3960,-2.0100,-1.1600,47.4520
299.560,168.490,385.600,-47.4140,-1.9800,-1.1600,47.4700
297.150,183.680,385.600,-47.4430,-1.9300,-1.1400,47.4960
290.170,197.390,385.600,-47.4560,-1.9000,-1.0800,47.5070
279.300,208.260,385.600,-47.4390,-1.9000,-1.0400,47.4890
265.590,215.240,385.600,-47.4160,-1.8900,-1.0100,47.4690
250.400,217.650,385.600,-47.3840,-1.8800,-1.0100,47.4320
235.210,215.240,385.600,-47.3470,-1.8800,-1.0200,47.4000
221.500,208.260,385.600,-47.3210,-1.8700,-1.0600,47.3700
210.630,197.390,385.600,-47.3100,-1.8500,-1.0700,47.3570
203.650,183.680,385.600,-47.3010,-1.8300,-1.1100,47.3490
201.240,168.490,385.600,-47.2940,-1.8500,-1.1400,47.3440
203.650,153.300,385.600,-47.3030,-1.8900,-1.1500,47.3540
210.630,139.590,385.600,-47.3040,-1.9200,-1.1500,47.3570
221.500,128.720,385.600,-47.3090,-1.9600,-1.1500,47.3640
235.210,121.740,385.600,-47.3130,-2.0000,-1.1300,47.3690
250.400,119.330,385.600,-47.3260,-2.0300,-1.1300,47.3810
265.590,121.740,385.600,-47.3390,-2.0500,-1.1400,47.3970
279.300,128.720,385.600,-47.3600,-2.0500,-1.1500,47.4140
290.170,139.590,385.600,-47.3780,-2.0400,-1.1600,47.4360
297.150,153.300,385.600,-47.4070,-2.0300,-1.1600,47.4570
315.670,168.490,376.820,-47.4230,-1.9800,-1.1600,47.4780
312.480,188.660,376.820,-47.4660,-1.9500,-1.1100,47.5140
303.210,206.860,376.820,-47.4710,-1.9000,-1.0400,47.5200
288.770,221.300,376.820,-47.4500,-1.8900,-0.9800,47.4980
270.570,230.570,376.820,-47.4110,-1.8800,-0.9400,47.4650
250.400,233.760,376.820,-47.3600,-1.8900,-0.9200,47.4070
230.230,230.570,376.820,-47.3120,-1.8900,-0.9800,47.3670
212.030,221.300,376.820,-47.2990,-1.8800,-1.0200,47.3470
197.590,206.860,376.820,-47.3020,-1.8600,-1.0600,47.3510
188.320,188.660,376.820,-47.3180,-1.8200,-1.0800,47.3650
185.130,168.490,376.820,-47.3160,-1.8000,-1.1200,47.3630
188.320,148.320,376.820,-47.3300,-1.8300,-1.1600,47.3760
197.590,130.120,376.820,-47.3260,-1.8700,-1.1300,47.3770
212.030,115.680,376.820,-47.3250,-1.9400,-1.1300,47.3780
230.230,106.410,376.820,-47.3350,-2.0100,-1.1100,47.3900
250.400,103.220,376.820,-47.3290,-2.0400,-1.0900,47.3850
270.570,106.410,376.820,-47.3310,-2.0600,-1.1200,47.3880
288.770,115.680,376.820,-47.3490,-2.0600,-1.1400,47.4020
303.210,130.120,376.820,-47.3890,-2.0500,-1.1400,47.4470
312.480,148.320,376.820,-47.4230,-2.0500,-1.1300,47.4780
330.270,168.490,365.690,-47.4430,-2.0100,-1.1500,47.5000
326.360,193.170,365.690,-47.4810,-1.9400,-1.0800,47.5330
315.020,215.440,365.690,-47.4820,-1.9100,-1.0000,47.5310
297.350,233.110,365.690,-47.4660,-1.8900,-0.9400,47.5130
275.080,244.450,365.690,-47.3980,-1.9000,-0.8500,47.4530
250.400,248.360,365.690,-47.3170,-1.9200,-0.8600,47.3750
225.720,244.450,365.690,-47.2810,-1.9200,-0.9400,47.3340
203.450,233.110,365.690,-47.2720,-1.8700,-1.0200,47.3200
185.780,215.440,365.690,-47.3140,-1.8500,-1.0600,47.3620
174.440,193.170,365.690,-47.3610,-1.8100,-1.0600,47.4070
170.530,168.490,365.690,-47.3670,-1.7700,-1.1000,47.4120
174.440,143.810,365.690,-47.3840,-1.8000,-1.1300,47.4270
185.780,121.540,365.690,-47.3870,-1.8300,-1.1100,47.4360
203.450,103.870,365.690,-47.3750,-1.9200,-1.1000,47.4270
225.720,92.530,365.690,-47.3670,-2.0000,-1.0500,47.4210
250.400,88.620,365.690,-47.3240,-2.0100,-1.0500,47.3840
275.080,92.530,365.690,-47.3170,-2.0400,-1.0800,47.3740
