# COSI2 B0 scan
# time 2024-09-06 23:47:18.136850
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240905/sphere_240906_20pts_R120_23pm46_slow
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
257.040,163.970,396.400,-47.3330,-2.0000,-0.8400,47.3830
256.360,168.310,396.400,-47.3320,-1.9900,-0.8300,47.3820
254.360,172.220,396.400,-47.3340,-1.9800,-0.8300,47.3820
251.250,175.330,396.400,-47.3320,-1.9800,-0.8300,47.3830
247.340,177.330,396.400,-47.3300,-1.9700,-0.8300,47.3780
243.000,178.010,396.400,-47.3240,-1.9600,-0.8100,47.3750
238.660,177.330,396.400,-47.3140,-1.9700,-0.8200,47.3660
234.750,175.330,396.400,-47.3110,-1.9600,-0.8100,47.3580
231.640,172.220,396.400,-47.3040,-1.9500,-0.8100,47.3530
229.640,168.310,396.400,-47.2920,-1.9600,-0.8200,47.3420
228.960,163.970,396.400,-47.2830,-1.9500,-0.8300,47.3300
229.640,159.630,396.400,-47.2740,-1.9500,-0.8300,47.3220
231.640,155.720,396.400,-47.2690,-1.9700,-0.8400,47.3180
234.750,152.610,396.400,-47.2660,-1.9800,-0.8500,47.3150
238.660,150.610,396.400,-47.2740,-1.9800,-0.8400,47.3230
243.000,149.930,396.400,-47.2760,-2.0000,-0.8500,47.3260
247.340,150.610,396.400,-47.2800,-2.0000,-0.8500,47.3310
251.250,152.610,396.400,-47.2830,-2.0100,-0.8500,47.3340
254.360,155.720,396.400,-47.2950,-2.0300,-0.8500,47.3430
256.360,159.630,396.400,-47.3040,-2.0200,-0.8500,47.3540
274.920,163.970,392.900,-47.3130,-2.0100,-0.8500,47.3630
273.360,173.830,392.900,-47.3280,-2.0000,-0.8400,47.3780
268.820,182.730,392.900,-47.3570,-1.9700,-0.8400,47.4050
261.760,189.790,392.900,-47.3690,-1.9500,-0.8200,47.4160
252.860,194.330,392.900,-47.3690,-1.9400,-0.7800,47.4150
243.000,195.890,392.900,-47.3530,-1.9400,-0.7700,47.3990
233.140,194.330,392.900,-47.3310,-1.9300,-0.7700,47.3770
224.240,189.790,392.900,-47.3050,-1.9200,-0.7600,47.3500
217.180,182.730,392.900,-47.2820,-1.9100,-0.7800,47.3270
212.640,173.830,392.900,-47.2590,-1.9100,-0.7900,47.3040
211.080,163.970,392.900,-47.2510,-1.9100,-0.8100,47.2960
212.640,154.110,392.900,-47.2450,-1.9200,-0.8400,47.2910
217.180,145.210,392.900,-47.2470,-1.9400,-0.8400,47.2940
224.240,138.150,392.900,-47.2520,-1.9600,-0.8300,47.3000
233.140,133.610,392.900,-47.2540,-1.9800,-0.8400,47.3030
243.000,132.050,392.900,-47.2610,-2.0000,-0.8300,47.3100
252.860,133.610,392.900,-47.2690,-2.0400,-0.8300,47.3210
261.760,138.150,392.900,-47.2820,-2.0600,-0.8300,47.3340
268.820,145.210,392.900,-47.2980,-2.0600,-0.8400,47.3500
273.360,154.110,392.900,-47.3140,-2.0500,-0.8500,47.3660
292.160,163.970,386.690,-47.3330,-2.0400,-0.8500,47.3840
289.750,179.160,386.690,-47.3610,-2.0000,-0.8400,47.4110
282.770,192.870,386.690,-47.3990,-1.9600,-0.8100,47.4420
271.900,203.740,386.690,-47.4030,-1.9200,-0.7700,47.4480
258.190,210.720,386.690,-47.3850,-1.9000,-0.7200,47.4280
243.000,213.130,386.690,-47.3560,-1.9000,-0.6900,47.3990
227.810,210.720,386.690,-47.3160,-1.9100,-0.6900,47.3640
214.100,203.740,386.690,-47.2880,-1.9000,-0.7000,47.3310
203.230,192.870,386.690,-47.2600,-1.8900,-0.7300,47.3030
196.250,179.160,386.690,-47.2520,-1.8600,-0.7500,47.2950
193.840,163.970,386.690,-47.2380,-1.8500,-0.7800,47.2810
196.250,148.780,386.690,-47.2370,-1.8600,-0.8300,47.2810
203.230,135.070,386.690,-47.2440,-1.9000,-0.8300,47.2890
214.100,124.200,386.690,-47.2460,-1.9300,-0.8200,47.2900
227.810,117.220,386.690,-47.2540,-1.9700,-0.8200,47.3020
243.000,114.810,386.690,-47.2590,-2.0100,-0.8200,47.3090
258.190,117.220,386.690,-47.2760,-2.0500,-0.8000,47.3270
271.900,124.200,386.690,-47.2850,-2.0700,-0.8100,47.3340
282.770,135.070,386.690,-47.3030,-2.0700,-0.8200,47.3560
289.750,148.780,386.690,-47.3280,-2.0700,-0.8300,47.3800
308.270,163.970,377.910,-47.3510,-2.0500,-0.8300,47.4010
305.080,184.140,377.910,-47.3820,-1.9900,-0.8300,47.4310
295.810,202.340,377.910,-47.4130,-1.9500,-0.7800,47.4600
281.370,216.780,377.910,-47.4140,-1.9200,-0.7100,47.4580
263.170,226.050,377.910,-47.3880,-1.9100,-0.6600,47.4310
243.000,229.240,377.910,-47.3440,-1.9000,-0.6200,47.3920
222.830,226.050,377.910,-47.2930,-1.9000,-0.6200,47.3380
204.630,216.780,377.910,-47.2540,-1.9100,-0.6500,47.2970
190.190,202.340,377.910,-47.2480,-1.8900,-0.6900,47.2910
180.920,184.140,377.910,-47.2610,-1.8500,-0.7200,47.3030
177.730,163.970,377.910,-47.2600,-1.8100,-0.7500,47.3010
180.920,143.800,377.910,-47.2580,-1.8000,-0.8000,47.2980
190.190,125.600,377.910,-47.2710,-1.8400,-0.8200,47.3160
204.630,111.160,377.910,-47.2710,-1.8900,-0.8100,47.3150
222.830,101.890,377.910,-47.2710,-1.9400,-0.8100,47.3180
243.000,98.700,377.910,-47.2820,-2.0200,-0.7800,47.3320
263.170,101.890,377.910,-47.2750,-2.0500,-0.7600,47.3250
281.370,111.160,377.910,-47.2770,-2.0700,-0.7700,47.3260
295.810,125.600,377.910,-47.3020,-2.0800,-0.8200,47.3520
305.080,143.800,377.910,-47.3450,-2.0600,-0.8200,47.3970
322.870,163.970,366.780,-47.3740,-2.0500,-0.8000,47.4250
318.960,188.650,366.780,-47.3980,-2.0000,-0.8100,47.4470
307.620,210.920,366.780,-47.4330,-1.9500,-0.7500,47.4790
289.950,228.590,366.780,-47.4280,-1.9300,-0.6700,47.4730
267.680,239.930,366.780,-47.3960,-1.9100,-0.5900,47.4420
243.000,243.840,366.780,-47.3290,-1.9100,-0.5300,47.3710
218.320,239.930,366.780,-47.2550,-1.9400,-0.5600,47.2980
196.050,228.590,366.780,-47.2230,-1.9100,-0.6300,47.2670
178.380,210.920,366.780,-47.2250,-1.8900,-0.7000,47.2660
167.040,188.650,366.780,-47.2790,-1.8600,-0.7300,47.3210
163.130,163.970,366.780,-47.3170,-1.8000,-0.7200,47.3560
167.040,139.290,366.780,-47.3180,-1.7600,-0.7700,47.3570
178.380,117.020,366.780,-47.3430,-1.8000,-0.8000,47.3840
196.050,99.350,366.780,-47.3310,-1.8500,-0.8000,47.3740
218.320,88.010,366.780,-47.3260,-1.9600,-0.7800,47.3730
243.000,84.100,366.780,-47.3080,-2.0100,-0.7200,47.3580
267.680,88.010,366.780,-47.2690,-2.0300,-0.7200,47.3180
289.950,99.350,366.780,-47.2620,-2.0600,-0.7600,47.3130
307.620,117.020,366.780,-47.2860,-2.0800,-0.8100,47.3370
318.960,139.290,366.780,-47.3580,-2.0600,-0.8300,47.4040
335.600,163.970,353.550,-47.4020,-2.0500,-0.8000,47.4530
331.070,192.580,353.550,-47.4200,-2.0100,-0.7700,47.4670
317.910,218.400,353.550,-47.4470,-1.9600,-0.7000,47.4920
297.430,238.880,353.550,-47.4320,-1.9500,-0.6200,47.4750
271.610,252.040,353.550,-47.3990,-1.9300,-0.5100,47.4460
243.000,256.570,353.550,-47.2850,-1.9800,-0.4800,47.3330
214.390,252.040,353.550,-47.2210,-1.9900,-0.5700,47.2670
188.570,238.880,353.550,-47.2060,-1.9300,-0.6200,47.2490
168.090,218.400,353.550,-47.2140,-1.8700,-0.7000,47.2560
154.930,192.580,353.550,-47.2980,-1.8700,-0.7700,47.3410
150.400,163.970,353.550,-47.3950,-1.8100,-0.7300,47.4350
154.930,135.360,353.550,-47.3930,-1.7700,-0.7700,47.4330
168.090,109.540,353.550,-47.4340,-1.8000,-0.7700,47.4740
188.570,89.060,353.550,-47.4040,-1.8400,-0.7800,47.4460
214.390,75.900,353.550,-47.4040,-1.9500,-0.7400,47.4520
243.000,71.370,353.550,-47.3180,-1.9700,-0.6600,47.3680
271.610,75.900,353.550,-47.2620,-1.9900,-0.7000,47.3100
297.430,89.060,353.550,-47.2620,-2.0500,-0.7400,47.3120
317.910,109.540,353.550,-47.2770,-2.0900,-0.7900,47.3300
331.070,135.360,353.550,-47.3420,-2.0600,-0.8400,47.3930
346.160,163.970,338.520,-47.4350,-2.0200,-0.7700,47.4840
341.110,195.850,338.520,-47.4380,-2.0000,-0.7500,47.4810
326.460,224.610,338.520,-47.4700,-1.9700,-0.6800,47.5160
303.640,247.430,338.520,-47.4550,-1.9600,-0.5900,47.4990
274.880,262.080,338.520,-47.4030,-1.9600,-0.4600,47.4460
243.000,267.130,338.520,-47.2500,-2.0200,-0.5000,47.2960
