# COSI2 B0 scan
# time 2024-09-06 22:07:42.598789
# MAGNET CENTER IN LAB: x 242.000 mm, y 163.000 mm, z 276.770 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240905/sphere_240906_4pts_R120
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
304.000,163.970,380.560,-47.4180,-1.9600,-0.8000,47.4650
243.000,224.970,380.560,-47.4200,-1.9600,-0.8000,47.4680
182.000,163.970,380.560,-47.3450,-1.9100,-0.7100,47.4050
243.000,102.970,380.560,-47.2720,-1.8700,-0.8100,47.3180
355.850,163.970,318.020,-47.2780,-1.9900,-0.8200,47.3220
243.000,276.820,318.020,-47.3860,-2.0000,-0.7500,47.4350
130.150,163.970,318.020,-47.3740,-1.9800,-0.5700,47.4190
243.000,51.120,318.020,-47.3350,-1.9100,-0.7100,47.3640
355.850,163.970,236.420,-47.4040,-1.9700,-0.6900,47.4500
243.000,276.820,236.420,-47.3480,-1.9800,-0.7400,47.3890
130.150,163.970,236.420,-47.3520,-1.9800,-0.5700,47.3970
243.000,51.120,236.420,-47.3290,-2.0200,-0.7100,47.3620
304.000,163.970,173.880,-47.3840,-2.0500,-0.6300,47.4320
243.000,224.970,173.880,-47.2650,-2.0000,-0.6900,47.3070
182.000,163.970,173.880,-47.3080,-2.0200,-0.6200,47.3550
243.000,102.970,173.880,-47.2420,-2.0400,-0.6200,47.2850
