# COSI2 B0 scan
# time 2024-09-06 22:10:15.612920
# MAGNET CENTER IN LAB: x 242.000 mm, y 163.000 mm, z 276.770 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240905/sphere_240906_50pts_R120_22pm
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
248.710,163.970,397.080,-47.3220,-1.9900,-0.8400,47.3690
248.670,164.690,397.080,-47.3180,-1.9800,-0.8500,47.3670
248.530,165.390,397.080,-47.3160,-1.9900,-0.8400,47.3660
248.310,166.070,397.080,-47.3170,-1.9900,-0.8500,47.3660
248.010,166.720,397.080,-47.3180,-2.0000,-0.8400,47.3670
247.620,167.330,397.080,-47.3210,-1.9800,-0.8400,47.3700
247.160,167.880,397.080,-47.3210,-1.9900,-0.8300,47.3700
246.640,168.370,397.080,-47.3230,-1.9900,-0.8400,47.3720
246.060,168.790,397.080,-47.3230,-1.9900,-0.8400,47.3720
245.430,169.140,397.080,-47.3210,-1.9900,-0.8400,47.3700
244.770,169.400,397.080,-47.3210,-1.9800,-0.8200,47.3700
244.070,169.580,397.080,-47.3160,-1.9700,-0.8300,47.3680
243.360,169.670,397.080,-47.3160,-1.9800,-0.8400,47.3650
242.640,169.670,397.080,-47.3160,-1.9700,-0.8400,47.3640
241.930,169.580,397.080,-47.3130,-1.9800,-0.8400,47.3620
241.230,169.400,397.080,-47.3120,-1.9700,-0.8400,47.3610
240.570,169.140,397.080,-47.3100,-1.9800,-0.8300,47.3610
239.940,168.790,397.080,-47.3080,-1.9800,-0.8300,47.3570
239.360,168.370,397.080,-47.3060,-1.9800,-0.8300,47.3550
238.840,167.880,397.080,-47.3050,-1.9800,-0.8300,47.3540
238.380,167.330,397.080,-47.3020,-1.9800,-0.8300,47.3500
237.990,166.720,397.080,-47.3010,-1.9800,-0.8400,47.3500
237.690,166.070,397.080,-47.2990,-1.9800,-0.8400,47.3480
237.470,165.390,397.080,-47.2960,-1.9900,-0.8300,47.3450
237.330,164.690,397.080,-47.2960,-1.9800,-0.8300,47.3450
237.290,163.970,397.080,-47.2950,-1.9800,-0.8400,47.3450
237.330,163.250,397.080,-47.2970,-1.9800,-0.8500,47.3460
