# COSI2 B0 scan
# time 2024-09-07 00:33:37.827403
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240905/sphere_240907_20pts_R120_00am33_superslow
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
257.040,163.970,396.400,-47.3290,-1.9900,-0.8700,47.3800
256.360,168.310,396.400,-47.3280,-1.9900,-0.8700,47.3780
254.360,172.220,396.400,-47.3310,-1.9900,-0.8700,47.3810
251.250,175.330,396.400,-47.3310,-1.9800,-0.8600,47.3800
247.340,177.330,396.400,-47.3280,-1.9700,-0.8500,47.3770
243.000,178.010,396.400,-47.3240,-1.9700,-0.8600,47.3720
238.660,177.330,396.400,-47.3120,-1.9600,-0.8500,47.3600
234.750,175.330,396.400,-47.3020,-1.9500,-0.8500,47.3520
231.640,172.220,396.400,-47.2860,-1.9600,-0.8600,47.3350
229.640,168.310,396.400,-47.2810,-1.9600,-0.8500,47.3280
228.960,163.970,396.400,-47.2720,-1.9500,-0.8600,47.3200
229.640,159.630,396.400,-47.2660,-1.9600,-0.8700,47.3140
231.640,155.720,396.400,-47.2620,-1.9700,-0.8700,47.3110
234.750,152.610,396.400,-47.2660,-1.9900,-0.8700,47.3160
238.660,150.610,396.400,-47.2690,-1.9900,-0.8700,47.3160
243.000,149.930,396.400,-47.2730,-1.9900,-0.8700,47.3230
247.340,150.610,396.400,-47.2770,-2.0100,-0.8800,47.3260
251.250,152.610,396.400,-47.2830,-2.0100,-0.8800,47.3340
254.360,155.720,396.400,-47.2920,-2.0200,-0.8700,47.3420
256.360,159.630,396.400,-47.3010,-2.0300,-0.8800,47.3530
274.920,163.970,392.900,-47.3140,-2.0200,-0.8700,47.3620
273.360,173.830,392.900,-47.3240,-2.0000,-0.8700,47.3750
268.820,182.730,392.900,-47.3600,-1.9700,-0.8500,47.4090
261.760,189.790,392.900,-47.3680,-1.9400,-0.8300,47.4160
252.860,194.330,392.900,-47.3620,-1.9300,-0.8200,47.4090
243.000,195.890,392.900,-47.3450,-1.9200,-0.8000,47.3910
233.140,194.330,392.900,-47.3220,-1.9300,-0.7900,47.3670
224.240,189.790,392.900,-47.2950,-1.9200,-0.8000,47.3410
217.180,182.730,392.900,-47.2700,-1.9100,-0.8000,47.3190
212.640,173.830,392.900,-47.2560,-1.9000,-0.8200,47.3010
211.080,163.970,392.900,-47.2420,-1.9000,-0.8500,47.2880
212.640,154.110,392.900,-47.2370,-1.9200,-0.8600,47.2830
217.180,145.210,392.900,-47.2350,-1.9400,-0.8600,47.2830
224.240,138.150,392.900,-47.2450,-1.9700,-0.8700,47.2940
233.140,133.610,392.900,-47.2490,-1.9900,-0.8600,47.2980
243.000,132.050,392.900,-47.2550,-2.0200,-0.8600,47.3050
252.860,133.610,392.900,-47.2660,-2.0400,-0.8600,47.3170
261.760,138.150,392.900,-47.2820,-2.0500,-0.8700,47.3350
268.820,145.210,392.900,-47.2960,-2.0600,-0.8800,47.3490
273.360,154.110,392.900,-47.3160,-2.0500,-0.8700,47.3680
292.160,163.970,386.690,-47.3270,-2.0300,-0.8800,47.3790
289.750,179.160,386.690,-47.3580,-2.0000,-0.8800,47.4070
282.770,192.870,386.690,-47.3910,-1.9500,-0.8500,47.4390
271.900,203.740,386.690,-47.3970,-1.9300,-0.7900,47.4440
258.190,210.720,386.690,-47.3790,-1.9100,-0.7400,47.4230
