# COSI2 B0 scan
# time 2024-09-07 01:08:16.957984
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240905/sphere_superslow_30pts_R120_240907_01AM
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
252.450,163.970,396.850,-47.3250,-1.9800,-0.8700,47.3710
252.240,165.940,396.850,-47.3270,-1.9900,-0.8600,47.3770
251.630,167.810,396.850,-47.3290,-1.9800,-0.8700,47.3780
250.650,169.530,396.850,-47.3270,-1.9900,-0.8600,47.3770
249.320,170.990,396.850,-47.3250,-1.9800,-0.8600,47.3740
247.730,172.160,396.850,-47.3240,-1.9700,-0.8700,47.3730
245.920,172.960,396.850,-47.3270,-1.9800,-0.8500,47.3760
243.990,173.370,396.850,-47.3230,-1.9700,-0.8500,47.3730
242.010,173.370,396.850,-47.3220,-1.9700,-0.8500,47.3710
240.080,172.960,396.850,-47.3180,-1.9700,-0.8500,47.3660
238.270,172.160,396.850,-47.3140,-1.9800,-0.8500,47.3630
236.680,170.990,396.850,-47.3110,-1.9700,-0.8400,47.3590
235.350,169.530,396.850,-47.3020,-1.9700,-0.8500,47.3510
234.370,167.810,396.850,-47.2960,-1.9700,-0.8500,47.3450
233.760,165.940,396.850,-47.2900,-1.9700,-0.8500,47.3390
233.550,163.970,396.850,-47.2860,-1.9700,-0.8500,47.3350
233.760,162.000,396.850,-47.2820,-1.9800,-0.8600,47.3310
234.370,160.130,396.850,-47.2820,-1.9800,-0.8600,47.3310
235.350,158.410,396.850,-47.2790,-1.9900,-0.8600,47.3290
236.680,156.950,396.850,-47.2760,-1.9800,-0.8600,47.3250
238.270,155.780,396.850,-47.2790,-2.0000,-0.8700,47.3290
240.080,154.980,396.850,-47.2830,-1.9900,-0.8800,47.3320
242.010,154.570,396.850,-47.2830,-2.0000,-0.8700,47.3330
243.990,154.570,396.850,-47.2840,-2.0100,-0.8600,47.3350
245.920,154.980,396.850,-47.2870,-2.0100,-0.8700,47.3370
247.730,155.780,396.850,-47.2900,-2.0200,-0.8700,47.3410
249.320,156.950,396.850,-47.2930,-2.0200,-0.8700,47.3440
250.650,158.410,396.850,-47.3010,-2.0000,-0.8800,47.3510
251.630,160.130,396.850,-47.3030,-2.0100,-0.8800,47.3540
252.240,162.000,396.850,-47.3100,-2.0100,-0.8600,47.3600
264.600,163.970,395.260,-47.3140,-2.0100,-0.8600,47.3650
264.130,168.460,395.260,-47.3220,-2.0000,-0.8800,47.3700
262.730,172.760,395.260,-47.3390,-1.9900,-0.8600,47.3860
260.470,176.670,395.260,-47.3500,-1.9900,-0.8600,47.3990
257.450,180.020,395.260,-47.3540,-1.9700,-0.8500,47.4050
253.800,182.680,395.260,-47.3490,-1.9600,-0.8500,47.3970
249.670,184.510,395.260,-47.3450,-1.9600,-0.8300,47.3930
245.260,185.450,395.260,-47.3360,-1.9500,-0.8200,47.3860
240.740,185.450,395.260,-47.3270,-1.9400,-0.8200,47.3740
236.330,184.510,395.260,-47.3100,-1.9500,-0.8100,47.3570
232.200,182.680,395.260,-47.3000,-1.9500,-0.8200,47.3500
228.550,180.020,395.260,-47.2880,-1.9500,-0.8300,47.3350
225.530,176.670,395.260,-47.2850,-1.9300,-0.8300,47.3320
223.270,172.760,395.260,-47.2730,-1.9400,-0.8400,47.3220
221.870,168.460,395.260,-47.2630,-1.9400,-0.8500,47.3110
221.400,163.970,395.260,-47.2640,-1.9400,-0.8600,47.3130
221.870,159.480,395.260,-47.2620,-1.9500,-0.8600,47.3100
223.270,155.180,395.260,-47.2580,-1.9700,-0.8600,47.3070
225.530,151.270,395.260,-47.2580,-1.9700,-0.8800,47.3080
228.550,147.920,395.260,-47.2680,-1.9700,-0.8700,47.3170
232.200,145.260,395.260,-47.2680,-2.0000,-0.8700,47.3180
236.330,143.430,395.260,-47.2720,-2.0000,-0.8700,47.3210
240.740,142.490,395.260,-47.2730,-2.0100,-0.8600,47.3240
245.260,142.490,395.260,-47.2710,-2.0200,-0.8700,47.3220
249.670,143.430,395.260,-47.2820,-2.0300,-0.8700,47.3320
253.800,145.260,395.260,-47.2930,-2.0400,-0.8800,47.3450
257.450,147.920,395.260,-47.3040,-2.0400,-0.8800,47.3570
260.470,151.270,395.260,-47.3100,-2.0300,-0.8800,47.3620
262.730,155.180,395.260,-47.3160,-2.0300,-0.8800,47.3670
264.130,159.480,395.260,-47.3270,-2.0200,-0.8800,47.3790
276.590,163.970,392.420,-47.3390,-2.0100,-0.8800,47.3880
275.860,170.950,392.420,-47.3450,-1.9800,-0.8700,47.3940
273.690,177.630,392.420,-47.3660,-1.9600,-0.8600,47.4120
270.180,183.710,392.420,-47.3790,-1.9500,-0.8300,47.4260
265.480,188.930,392.420,-47.3770,-1.9300,-0.8200,47.4240
259.800,193.060,392.420,-47.3750,-1.9200,-0.8000,47.4220
253.380,195.920,392.420,-47.3580,-1.9200,-0.7900,47.4040
246.510,197.380,392.420,-47.3470,-1.9200,-0.7800,47.3970
239.490,197.380,392.420,-47.3290,-1.9100,-0.7800,47.3740
232.620,195.920,392.420,-47.3120,-1.9300,-0.7800,47.3580
226.200,193.060,392.420,-47.2930,-1.9100,-0.7800,47.3390
220.520,188.930,392.420,-47.2820,-1.9000,-0.8000,47.3270
215.820,183.710,392.420,-47.2660,-1.9100,-0.8000,47.3110
212.310,177.630,392.420,-47.2550,-1.9100,-0.8200,47.3000
210.140,170.950,392.420,-47.2480,-1.9100,-0.8300,47.2940
209.410,163.970,392.420,-47.2440,-1.9100,-0.8400,47.2910
210.140,156.990,392.420,-47.2430,-1.9200,-0.8600,47.2880
212.310,150.310,392.420,-47.2450,-1.9500,-0.8500,47.2930
215.820,144.230,392.420,-47.2440,-1.9500,-0.8600,47.2920
220.520,139.010,392.420,-47.2510,-1.9800,-0.8600,47.2990
226.200,134.880,392.420,-47.2560,-1.9900,-0.8700,47.3060
232.620,132.020,392.420,-47.2560,-2.0000,-0.8500,47.3060
239.490,130.560,392.420,-47.2620,-2.0200,-0.8600,47.3120
246.510,130.560,392.420,-47.2720,-2.0300,-0.8600,47.3240
253.380,132.020,392.420,-47.2800,-2.0400,-0.8600,47.3320
259.800,134.880,392.420,-47.2880,-2.0500,-0.8600,47.3360
265.480,139.010,392.420,-47.3040,-2.0500,-0.8700,47.3570
270.180,144.230,392.420,-47.3150,-2.0600,-0.8700,47.3660
273.690,150.310,392.420,-47.3250,-2.0500,-0.8700,47.3780
275.860,156.990,392.420,-47.3350,-2.0400,-0.8800,47.3870
288.240,163.970,388.360,-47.3490,-2.0200,-0.8700,47.3980
287.260,173.380,388.360,-47.3670,-1.9800,-0.8800,47.4170
284.330,182.370,388.360,-47.3880,-1.9500,-0.8500,47.4360
279.600,190.560,388.360,-47.3940,-1.9300,-0.8200,47.4410
273.270,197.590,388.360,-47.3960,-1.9200,-0.7900,47.4410
265.620,203.150,388.360,-47.3810,-1.9100,-0.7700,47.4260
256.980,207.000,388.360,-47.3660,-1.9000,-0.7500,47.4100
247.730,208.970,388.360,-47.3460,-1.9100,-0.7300,47.3930
238.270,208.970,388.360,-47.3250,-1.9000,-0.7400,47.3690
229.020,207.000,388.360,-47.3000,-1.9000,-0.7300,47.3440
220.380,203.150,388.360,-47.2810,-1.9000,-0.7600,47.3250
212.730,197.590,388.360,-47.2650,-1.9000,-0.7400,47.3100
206.400,190.560,388.360,-47.2570,-1.8800,-0.7900,47.3000
201.670,182.370,388.360,-47.2470,-1.8700,-0.8000,47.2900
198.740,173.380,388.360,-47.2390,-1.8600,-0.8200,47.2860
197.760,163.970,388.360,-47.2360,-1.8700,-0.8300,47.2790
198.740,154.560,388.360,-47.2390,-1.8900,-0.8400,47.2840
201.670,145.570,388.360,-47.2390,-1.9100,-0.8500,47.2860
206.400,137.380,388.360,-47.2440,-1.9300,-0.8600,47.2910
212.730,130.350,388.360,-47.2450,-1.9600,-0.8500,47.2930
220.380,124.790,388.360,-47.2450,-1.9700,-0.8500,47.2940
229.020,120.940,388.360,-47.2550,-2.0000,-0.8400,47.3040
238.270,118.970,388.360,-47.2590,-2.0200,-0.8500,47.3110
247.730,118.970,388.360,-47.2660,-2.0500,-0.8500,47.3180
256.980,120.940,388.360,-47.2770,-2.0600,-0.8400,47.3290
265.620,124.790,388.360,-47.2880,-2.0700,-0.8500,47.3410
273.270,130.350,388.360,-47.3000,-2.0700,-0.8500,47.3490
279.600,137.380,388.360,-47.3160,-2.0700,-0.8700,47.3690
284.330,145.570,388.360,-47.3290,-2.0500,-0.8600,47.3820
287.260,154.560,388.360,-47.3430,-2.0500,-0.8700,47.3930
299.420,163.970,383.130,-47.3640,-2.0300,-0.8700,47.4160
298.190,175.700,383.130,-47.3810,-1.9800,-0.8800,47.4260
294.550,186.920,383.130,-47.4000,-1.9600,-0.8200,47.4440
288.650,197.140,383.130,-47.4110,-1.9200,-0.8000,47.4570
280.750,205.900,383.130,-47.3990,-1.9100,-0.7500,47.4440
271.210,212.830,383.130,-47.3840,-1.8900,-0.7200,47.4290
260.440,217.630,383.130,-47.3640,-1.8900,-0.6900,47.4070
