# COSI2 B0 scan
# time 2024-09-07 02:19:51.616675
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240905/sphere_superslow_WITH_ONE_RING_INSTALLED_20pts_R120_240907_01AM
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
257.040,163.970,396.400,-47.2520,-2.0600,-0.8400,47.3050
256.360,168.310,396.400,-47.2530,-2.0500,-0.8400,47.3050
254.360,172.220,396.400,-47.2560,-2.0600,-0.8400,47.3090
251.250,175.330,396.400,-47.2560,-2.0600,-0.8400,47.3080
247.340,177.330,396.400,-47.2530,-2.0400,-0.8500,47.3050
243.000,178.010,396.400,-47.2410,-2.0300,-0.8300,47.2920
238.660,177.330,396.400,-47.2350,-2.0300,-0.8300,47.2860
234.750,175.330,396.400,-47.2120,-2.0100,-0.8300,47.2620
231.640,172.220,396.400,-47.1930,-2.0000,-0.8400,47.2440
229.640,168.310,396.400,-47.1850,-1.9900,-0.8400,47.2350
228.960,163.970,396.400,-47.1760,-1.9900,-0.8600,47.2260
229.640,159.630,396.400,-47.1680,-1.9900,-0.8500,47.2180
231.640,155.720,396.400,-47.1710,-2.0000,-0.8500,47.2200
234.750,152.610,396.400,-47.1730,-2.0000,-0.8600,47.2230
238.660,150.610,396.400,-47.1790,-2.0200,-0.8700,47.2300
243.000,149.930,396.400,-47.1820,-2.0200,-0.8700,47.2330
247.340,150.610,396.400,-47.1950,-2.0400,-0.8600,47.2470
251.250,152.610,396.400,-47.2040,-2.0600,-0.8800,47.2570
254.360,155.720,396.400,-47.2130,-2.0600,-0.8700,47.2660
256.360,159.630,396.400,-47.2260,-2.0700,-0.8600,47.2770
274.920,163.970,392.900,-47.2350,-2.0700,-0.8600,47.2880
273.360,173.830,392.900,-47.2470,-2.0700,-0.8500,47.3000
268.820,182.730,392.900,-47.3020,-2.0500,-0.8400,47.3500
261.760,189.790,392.900,-47.3120,-2.0300,-0.8100,47.3640
252.860,194.330,392.900,-47.2940,-2.0200,-0.8000,47.3460
243.000,195.890,392.900,-47.2720,-2.0100,-0.7800,47.3210
233.140,194.330,392.900,-47.2390,-1.9900,-0.7900,47.2930
224.240,189.790,392.900,-47.2030,-1.9800,-0.7900,47.2510
217.180,182.730,392.900,-47.1710,-1.9400,-0.8000,47.2170
212.640,173.830,392.900,-47.1520,-1.9200,-0.8200,47.1980
