# COSI2 B0 scan
# time 2024-09-07 16:44:13.945179
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240907_ball_R120_ONE_RING
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
243.000,163.970,157.220,-47.3370,-1.9700,-0.7100,47.3840
263.000,203.970,167.220,-47.3380,-1.9700,-0.7200,47.3820
253.000,203.970,167.220,-47.3350,-2.0000,-0.7000,47.3830
243.000,203.970,167.220,-47.3280,-2.0100,-0.6900,47.3750
233.000,203.970,167.220,-47.3220,-2.0000,-0.6900,47.3710
223.000,203.970,167.220,-47.3020,-2.0000,-0.7100,47.3520
213.000,193.970,167.220,-47.2940,-1.9800,-0.7200,47.3400
223.000,193.970,167.220,-47.2880,-1.9900,-0.7400,47.3350
233.000,193.970,167.220,-47.2980,-1.9800,-0.7500,47.3430
243.000,193.970,167.220,-47.3040,-1.9900,-0.7300,47.3510
253.000,193.970,167.220,-47.3010,-1.9800,-0.7200,47.3480
263.000,193.970,167.220,-47.3080,-1.9900,-0.7100,47.3550
273.000,193.970,167.220,-47.3220,-2.0000,-0.7000,47.3700
283.000,183.970,167.220,-47.3380,-2.0100,-0.7000,47.3860
273.000,183.970,167.220,-47.3560,-2.0300,-0.6900,47.4050
263.000,183.970,167.220,-47.3750,-2.0500,-0.7000,47.4240
253.000,183.970,167.220,-47.3740,-2.0200,-0.7000,47.4220
243.000,183.970,167.220,-47.3590,-2.0100,-0.7000,47.4070
233.000,183.970,167.220,-47.3440,-1.9900,-0.7000,47.3910
223.000,183.970,167.220,-47.3300,-1.9900,-0.7200,47.3780
213.000,183.970,167.220,-47.3190,-1.9800,-0.7300,47.3660
203.000,183.970,167.220,-47.3120,-1.9700,-0.7400,47.3590
203.000,173.970,167.220,-47.3120,-1.9800,-0.7500,47.3590
213.000,173.970,167.220,-47.3190,-1.9800,-0.7600,47.3660
223.000,173.970,167.220,-47.3320,-1.9700,-0.7500,47.3780
233.000,173.970,167.220,-47.3300,-1.9700,-0.7400,47.3770
243.000,173.970,167.220,-47.3220,-1.9700,-0.7300,47.3690
253.000,173.970,167.220,-47.3220,-1.9800,-0.7200,47.3690
263.000,173.970,167.220,-47.3240,-1.9800,-0.7300,47.3710
273.000,173.970,167.220,-47.3340,-2.0000,-0.7200,47.3820
283.000,173.970,167.220,-47.3490,-2.0000,-0.7200,47.3970
283.000,163.970,167.220,-47.3600,-2.0100,-0.7100,47.4080
273.000,163.970,167.220,-47.3760,-2.0300,-0.7000,47.4250
263.000,163.970,167.220,-47.3760,-2.0300,-0.7200,47.4250
253.000,163.970,167.220,-47.3720,-2.0200,-0.7200,47.4210
243.000,163.970,167.220,-47.3570,-2.0000,-0.7100,47.4050
233.000,163.970,167.220,-47.3440,-2.0000,-0.7200,47.3920
223.000,163.970,167.220,-47.3320,-1.9900,-0.7100,47.3790
213.000,163.970,167.220,-47.3270,-1.9800,-0.7200,47.3740
203.000,163.970,167.220,-47.3270,-1.9800,-0.7100,47.3740
203.000,153.970,167.220,-47.3320,-1.9700,-0.7200,47.3790
213.000,153.970,167.220,-47.3380,-1.9700,-0.7300,47.3850
223.000,153.970,167.220,-47.3470,-1.9700,-0.7100,47.3930
233.000,153.970,167.220,-47.3390,-1.9700,-0.7000,47.3850
243.000,153.970,167.220,-47.3310,-1.9700,-0.7100,47.3780
253.000,153.970,167.220,-47.3250,-1.9800,-0.7000,47.3720
263.000,153.970,167.220,-47.3250,-1.9900,-0.7200,47.3720
273.000,153.970,167.220,-47.3290,-1.9900,-0.7100,47.3760
283.000,153.970,167.220,-47.3430,-2.0000,-0.7300,47.3910
283.000,143.970,167.220,-47.3510,-2.0100,-0.7300,47.3970
273.000,143.970,167.220,-47.3670,-2.0300,-0.7400,47.4130
263.000,143.970,167.220,-47.3610,-2.0300,-0.7500,47.4120
253.000,143.970,167.220,-47.3480,-2.0100,-0.7400,47.3980
243.000,143.970,167.220,-47.3420,-2.0100,-0.7200,47.3920
233.000,143.970,167.220,-47.3300,-1.9900,-0.7100,47.3780
223.000,143.970,167.220,-47.3240,-1.9900,-0.7100,47.3720
213.000,143.970,167.220,-47.3240,-1.9800,-0.7100,47.3710
203.000,143.970,167.220,-47.3240,-1.9900,-0.6900,47.3710
213.000,133.970,167.220,-47.3280,-1.9800,-0.6900,47.3720
223.000,133.970,167.220,-47.3360,-1.9800,-0.6800,47.3820
233.000,133.970,167.220,-47.3290,-1.9900,-0.6900,47.3770
243.000,133.970,167.220,-47.3200,-1.9900,-0.6900,47.3660
253.000,133.970,167.220,-47.3190,-2.0000,-0.6900,47.3660
263.000,133.970,167.220,-47.3180,-2.0000,-0.7000,47.3650
273.000,133.970,167.220,-47.3170,-2.0000,-0.7100,47.3600
263.000,123.970,167.220,-47.3150,-2.0100,-0.7200,47.3640
253.000,123.970,167.220,-47.3270,-2.0000,-0.7300,47.3750
243.000,123.970,167.220,-47.3150,-2.0100,-0.7100,47.3660
233.000,123.970,167.220,-47.3070,-2.0100,-0.7100,47.3550
223.000,123.970,167.220,-47.3020,-2.0000,-0.6900,47.3480
223.000,103.970,177.220,-47.3080,-2.0000,-0.6800,47.3550
233.000,103.970,177.220,-47.3130,-2.0100,-0.6800,47.3600
243.000,103.970,177.220,-47.2940,-2.0100,-0.6600,47.3420
253.000,103.970,177.220,-47.2860,-2.0200,-0.6700,47.3340
263.000,103.970,177.220,-47.2850,-2.0200,-0.6900,47.3330
283.000,113.970,177.220,-47.2720,-2.0200,-0.7100,47.3200
273.000,113.970,177.220,-47.2760,-2.0200,-0.7400,47.3250
263.000,113.970,177.220,-47.2950,-2.0300,-0.7500,47.3440
253.000,113.970,177.220,-47.2970,-2.0200,-0.7400,47.3460
243.000,113.970,177.220,-47.2930,-2.0200,-0.7300,47.3420
233.000,113.970,177.220,-47.2860,-2.0200,-0.7200,47.3340
223.000,113.970,177.220,-47.2890,-2.0100,-0.7100,47.3380
213.000,113.970,177.220,-47.2950,-2.0200,-0.6900,47.3430
203.000,113.970,177.220,-47.3010,-2.0100,-0.6900,47.3480
193.000,123.970,177.220,-47.3070,-2.0100,-0.6800,47.3550
203.000,123.970,177.220,-47.3270,-2.0000,-0.6700,47.3740
213.000,123.970,177.220,-47.3380,-1.9900,-0.6800,47.3840
223.000,123.970,177.220,-47.3330,-1.9900,-0.6800,47.3810
233.000,123.970,177.220,-47.3250,-2.0000,-0.6800,47.3740
243.000,123.970,177.220,-47.3180,-2.0000,-0.6900,47.3650
253.000,123.970,177.220,-47.3080,-2.0000,-0.7000,47.3570
263.000,123.970,177.220,-47.3040,-2.0000,-0.7000,47.3510
273.000,123.970,177.220,-47.3040,-2.0000,-0.7200,47.3520
283.000,123.970,177.220,-47.3020,-2.0200,-0.7200,47.3510
293.000,123.970,177.220,-47.3100,-2.0100,-0.7400,47.3590
293.000,133.970,177.220,-47.3140,-2.0200,-0.7500,47.3610
283.000,133.970,177.220,-47.3180,-2.0200,-0.7500,47.3680
273.000,133.970,177.220,-47.3230,-2.0300,-0.7500,47.3710
263.000,133.970,177.220,-47.3300,-2.0200,-0.7500,47.3790
253.000,133.970,177.220,-47.3220,-2.0100,-0.7400,47.3730
243.000,133.970,177.220,-47.3230,-2.0100,-0.7300,47.3720
233.000,133.970,177.220,-47.3160,-2.0100,-0.7200,47.3660
223.000,133.970,177.220,-47.3130,-2.0000,-0.7100,47.3610
