# COSI2 B0 scan
# time 2024-09-07 02:56:55.490612
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240907_ball_R120_no_inserts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
243.000,163.970,157.220,-47.2400,-2.0200,-0.8400,47.2910
263.000,203.970,167.220,-47.2380,-2.0300,-0.8400,47.2910
253.000,203.970,167.220,-47.2510,-2.0200,-0.8300,47.3010
243.000,203.970,167.220,-47.2540,-2.0200,-0.8100,47.3050
233.000,203.970,167.220,-47.2470,-2.0200,-0.8100,47.2970
223.000,203.970,167.220,-47.2370,-2.0200,-0.8300,47.2870
213.000,193.970,167.220,-47.2290,-2.0300,-0.8300,47.2800
223.000,193.970,167.220,-47.2280,-2.0400,-0.8500,47.2780
233.000,193.970,167.220,-47.2400,-2.0600,-0.8600,47.2930
243.000,193.970,167.220,-47.2420,-2.0500,-0.8600,47.2940
253.000,193.970,167.220,-47.2410,-2.0300,-0.8500,47.2930
263.000,193.970,167.220,-47.2370,-2.0300,-0.8500,47.2880
273.000,193.970,167.220,-47.2420,-2.0100,-0.8300,47.2930
283.000,183.970,167.220,-47.2540,-2.0100,-0.8300,47.3020
273.000,183.970,167.220,-47.2680,-2.0100,-0.8200,47.3180
263.000,183.970,167.220,-47.2840,-2.0200,-0.8200,47.3310
253.000,183.970,167.220,-47.2800,-2.0100,-0.8300,47.3290
243.000,183.970,167.220,-47.2630,-2.0200,-0.8200,47.3140
233.000,183.970,167.220,-47.2570,-2.0200,-0.8400,47.3110
223.000,183.970,167.220,-47.2470,-2.0300,-0.8400,47.2980
213.000,183.970,167.220,-47.2450,-2.0300,-0.8500,47.2950
203.000,183.970,167.220,-47.2490,-2.0400,-0.8600,47.2990
203.000,173.970,167.220,-47.2570,-2.0500,-0.8500,47.3080
213.000,173.970,167.220,-47.2730,-2.0700,-0.8700,47.3260
223.000,173.970,167.220,-47.2860,-2.0700,-0.8700,47.3390
233.000,173.970,167.220,-47.2790,-2.0600,-0.8600,47.3310
243.000,173.970,167.220,-47.2620,-2.0400,-0.8500,47.3130
253.000,173.970,167.220,-47.2550,-2.0300,-0.8400,47.3060
263.000,173.970,167.220,-47.2540,-2.0200,-0.8500,47.3050
273.000,173.970,167.220,-47.2520,-2.0200,-0.8500,47.3020
283.000,173.970,167.220,-47.2580,-2.0200,-0.8500,47.3090
283.000,163.970,167.220,-47.2710,-2.0200,-0.8500,47.3220
273.000,163.970,167.220,-47.2760,-2.0100,-0.8500,47.3270
263.000,163.970,167.220,-47.2760,-2.0200,-0.8700,47.3270
253.000,163.970,167.220,-47.2710,-2.0100,-0.8600,47.3220
243.000,163.970,167.220,-47.2620,-2.0100,-0.8500,47.3100
233.000,163.970,167.220,-47.2570,-2.0200,-0.8500,47.3090
223.000,163.970,167.220,-47.2490,-2.0200,-0.8500,47.3010
213.000,163.970,167.220,-47.2520,-2.0300,-0.8500,47.3000
203.000,163.970,167.220,-47.2600,-2.0400,-0.8400,47.3100
203.000,153.970,167.220,-47.2690,-2.0500,-0.8400,47.3210
213.000,153.970,167.220,-47.2820,-2.0600,-0.8500,47.3360
