# COSI2 B0 scan,,,,,,
# time 2024-09-07 02:56:55.490612,,,,,,
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240907_ball_R120_no_inserts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
243,163.97,157.22,-47.251,-2.02,-0.83,47.301
263,203.97,167.22,-47.254,-2.02,-0.81,47.305
253,203.97,167.22,-47.247,-2.02,-0.81,47.297
243,203.97,167.22,-47.237,-2.02,-0.83,47.287
233,203.97,167.22,-47.229,-2.03,-0.83,47.28
223,203.97,167.22,-47.228,-2.04,-0.85,47.278
213,193.97,167.22,-47.24,-2.06,-0.86,47.293
223,193.97,167.22,-47.242,-2.05,-0.86,47.294
233,193.97,167.22,-47.241,-2.03,-0.85,47.293
243,193.97,167.22,-47.237,-2.03,-0.85,47.288
253,193.97,167.22,-47.242,-2.01,-0.83,47.293
263,193.97,167.22,-47.254,-2.01,-0.83,47.302
273,193.97,167.22,-47.268,-2.01,-0.82,47.318
283,183.97,167.22,-47.284,-2.02,-0.82,47.331
273,183.97,167.22,-47.28,-2.01,-0.83,47.329
263,183.97,167.22,-47.263,-2.02,-0.82,47.314
253,183.97,167.22,-47.257,-2.02,-0.84,47.311
243,183.97,167.22,-47.247,-2.03,-0.84,47.298
233,183.97,167.22,-47.245,-2.03,-0.85,47.295
223,183.97,167.22,-47.249,-2.04,-0.86,47.299
213,183.97,167.22,-47.257,-2.05,-0.85,47.308
203,183.97,167.22,-47.273,-2.07,-0.87,47.326
203,173.97,167.22,-47.286,-2.07,-0.87,47.339
213,173.97,167.22,-47.279,-2.06,-0.86,47.331
223,173.97,167.22,-47.262,-2.04,-0.85,47.313
233,173.97,167.22,-47.255,-2.03,-0.84,47.306
243,173.97,167.22,-47.254,-2.02,-0.85,47.305
253,173.97,167.22,-47.252,-2.02,-0.85,47.302
263,173.97,167.22,-47.258,-2.02,-0.85,47.309
273,173.97,167.22,-47.271,-2.02,-0.85,47.322
283,173.97,167.22,-47.276,-2.01,-0.85,47.327
283,163.97,167.22,-47.276,-2.02,-0.87,47.327
273,163.97,167.22,-47.271,-2.01,-0.86,47.322
263,163.97,167.22,-47.262,-2.01,-0.85,47.31
253,163.97,167.22,-47.257,-2.02,-0.85,47.309
243,163.97,167.22,-47.249,-2.02,-0.85,47.301
233,163.97,167.22,-47.252,-2.03,-0.85,47.3
223,163.97,167.22,-47.26,-2.04,-0.84,47.31
213,163.97,167.22,-47.269,-2.05,-0.84,47.321
203,163.97,167.22,-47.282,-2.06,-0.85,47.336
203,153.97,167.22,-47.294,-2.05,-0.84,47.346
213,153.97,167.22,-47.284,-2.06,-0.84,47.336
223,153.97,167.22,-47.264,-2.04,-0.83,47.316
233,153.97,167.22,-47.253,-2.03,-0.84,47.304
243,153.97,167.22,-47.254,-2.03,-0.85,47.305
253,153.97,167.22,-47.248,-2.02,-0.84,47.298
