# COSI2 B0 scan
# time 2024-09-10 10:16:08.266727
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: C:/cosi-measure/Software/COSI2/data/240907/240907_ball_R120_no_inserts_bvals_shifted.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
-0.120,-120.091,-0.029,-47.2510,-2.0200,-0.8300,47.3010
-40.120,-110.091,-20.029,-47.2540,-2.0200,-0.8100,47.3050
-40.120,-110.091,-10.029,-47.2470,-2.0200,-0.8100,47.2970
-40.120,-110.091,-0.029,-47.2370,-2.0200,-0.8300,47.2870
-40.120,-110.091,9.971,-47.2290,-2.0300,-0.8300,47.2800
-40.120,-110.091,19.971,-47.2280,-2.0400,-0.8500,47.2780
-30.120,-110.091,29.971,-47.2400,-2.0600,-0.8600,47.2930
-30.120,-110.091,19.971,-47.2420,-2.0500,-0.8600,47.2940
-30.120,-110.091,9.971,-47.2410,-2.0300,-0.8500,47.2930
-30.120,-110.091,-0.029,-47.2370,-2.0300,-0.8500,47.2880
-30.120,-110.091,-10.029,-47.2420,-2.0100,-0.8300,47.2930
-30.120,-110.091,-20.029,-47.2540,-2.0100,-0.8300,47.3020
-30.120,-110.091,-30.029,-47.2680,-2.0100,-0.8200,47.3180
-20.120,-110.091,-40.029,-47.2840,-2.0200,-0.8200,47.3310
-20.120,-110.091,-30.029,-47.2800,-2.0100,-0.8300,47.3290
-20.120,-110.091,-20.029,-47.2630,-2.0200,-0.8200,47.3140
-20.120,-110.091,-10.029,-47.2570,-2.0200,-0.8400,47.3110
-20.120,-110.091,-0.029,-47.2470,-2.0300,-0.8400,47.2980
-20.120,-110.091,9.971,-47.2450,-2.0300,-0.8500,47.2950
-20.120,-110.091,19.971,-47.2490,-2.0400,-0.8600,47.2990
-20.120,-110.091,29.971,-47.2570,-2.0500,-0.8500,47.3080
-20.120,-110.091,39.971,-47.2730,-2.0700,-0.8700,47.3260
-10.120,-110.091,39.971,-47.2860,-2.0700,-0.8700,47.3390
-10.120,-110.091,29.971,-47.2790,-2.0600,-0.8600,47.3310
-10.120,-110.091,19.971,-47.2620,-2.0400,-0.8500,47.3130
-10.120,-110.091,9.971,-47.2550,-2.0300,-0.8400,47.3060
-10.120,-110.091,-0.029,-47.2540,-2.0200,-0.8500,47.3050
-10.120,-110.091,-10.029,-47.2520,-2.0200,-0.8500,47.3020
-10.120,-110.091,-20.029,-47.2580,-2.0200,-0.8500,47.3090
-10.120,-110.091,-30.029,-47.2710,-2.0200,-0.8500,47.3220
-10.120,-110.091,-40.029,-47.2760,-2.0100,-0.8500,47.3270
