# COSI2 B0 scan
# time 2024-09-09 18:58:01.923197
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240909_sphere_R120_ONE_RING_50pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
248.710,163.970,397.080,-47.4330,-2.0500,-0.8900,47.4860
248.670,164.690,397.080,-47.4340,-2.0500,-0.9000,47.4870
248.530,165.390,397.080,-47.4350,-2.0500,-0.9000,47.4880
248.310,166.070,397.080,-47.4360,-2.0500,-0.9000,47.4880
248.010,166.720,397.080,-47.4320,-2.0500,-0.9000,47.4850
247.620,167.330,397.080,-47.4320,-2.0500,-0.9100,47.4850
247.160,167.880,397.080,-47.4300,-2.0500,-0.8800,47.4820
246.640,168.370,397.080,-47.4300,-2.0400,-0.8800,47.4820
246.060,168.790,397.080,-47.4300,-2.0500,-0.8900,47.4820
245.430,169.140,397.080,-47.4300,-2.0500,-0.8900,47.4830
244.770,169.400,397.080,-47.4270,-2.0500,-0.8800,47.4810
244.070,169.580,397.080,-47.4220,-2.0500,-0.8900,47.4750
243.360,169.670,397.080,-47.4210,-2.0500,-0.8900,47.4730
242.640,169.670,397.080,-47.4190,-2.0400,-0.8900,0.0000
241.930,169.580,397.080,0.0000,47.4720,0.0000,0.0000
241.230,169.400,397.080,-47.4160,-2.0600,-0.9000,47.4690
240.570,169.140,397.080,-47.4110,-2.0500,-0.9000,47.4640
239.940,168.790,397.080,-47.4120,-2.0500,-0.9000,47.4650
239.360,168.370,397.080,-47.4110,-2.0500,-0.9000,47.4640
238.840,167.880,397.080,-47.4130,-2.0600,-0.9000,47.4660
238.380,167.330,397.080,-47.4110,-2.0500,-0.8900,47.4650
237.990,166.720,397.080,-47.4080,-2.0500,-0.9000,47.4610
237.690,166.070,397.080,-47.4030,-2.0600,-0.9000,47.4560
237.470,165.390,397.080,-47.4020,-2.0600,-0.8900,47.4560
237.330,164.690,397.080,-47.4010,-2.0600,-0.9000,47.4550
237.290,163.970,397.080,-47.3980,-2.0700,-0.9000,47.4520
237.330,163.250,397.080,-47.3990,-2.0600,-0.9000,47.4530
237.470,162.550,397.080,-47.4010,-2.0600,-0.9100,47.4550
237.690,161.870,397.080,-47.4020,-2.0700,-0.9000,47.4560
237.990,161.220,397.080,-47.4010,-2.0700,-0.8900,47.4560
238.380,160.610,397.080,-47.4020,-2.0600,-0.9200,47.4560
238.840,160.060,397.080,-47.4030,-2.0700,-0.9100,47.4560
239.360,159.570,397.080,-47.4050,-2.0600,-0.8900,47.4580
239.940,159.150,397.080,-47.4060,-2.0700,-0.8900,47.4590
240.570,158.800,397.080,-47.4060,-2.0700,-0.8900,47.4600
241.230,158.540,397.080,-47.4060,-2.0700,-0.9100,47.4600
241.930,158.360,397.080,-47.4080,-2.0700,-0.8900,47.4610
242.640,158.270,397.080,-47.4090,-2.0700,-0.9000,47.4610
243.360,158.270,397.080,-47.4100,-2.0700,-0.9000,47.4630
244.070,158.360,397.080,-47.4130,-2.0700,-0.9000,47.4670
244.770,158.540,397.080,-47.4160,-2.0700,-0.9000,47.4670
245.430,158.800,397.080,-47.4170,-2.0600,-0.9000,47.4710
246.060,159.150,397.080,-47.4190,-2.0600,-0.9000,47.4720
246.640,159.570,397.080,-47.4220,-2.0700,-0.9000,47.4760
247.160,160.060,397.080,-47.4250,-2.0700,-0.9000,47.4760
247.620,160.610,397.080,-47.4260,-2.0600,-0.9000,47.4800
248.010,161.220,397.080,-47.4290,-2.0600,-0.8900,47.4810
248.310,161.870,397.080,-47.4290,-2.0700,-0.9000,47.4830
248.530,162.550,397.080,-47.4310,-2.0600,-0.9000,47.4840
248.670,163.250,397.080,-47.4290,-2.0600,-0.8900,47.4840
256.090,163.970,396.500,-47.4300,-2.0500,-0.8900,47.4830
255.990,165.610,396.500,-47.4290,-2.0500,-0.9000,47.4820
255.680,167.230,396.500,-47.4380,-2.0300,-0.9000,47.4900
255.170,168.790,396.500,-47.4460,-2.0300,-0.9000,47.4940
254.470,170.280,396.500,-47.4510,-2.0400,-0.8900,47.5030
253.590,171.660,396.500,-47.4490,-2.0300,-0.8900,47.5020
252.540,172.930,396.500,-47.4470,-2.0300,-0.8900,47.4990
251.340,174.060,396.500,-47.4460,-2.0300,-0.8700,47.4970
250.010,175.020,396.500,-47.4460,-2.0200,-0.8800,47.4980
248.570,175.810,396.500,-47.4390,-2.0200,-0.8700,47.4910
247.050,176.420,396.500,-47.4380,-2.0200,-0.8600,47.4890
245.450,176.830,396.500,-47.4290,-2.0200,-0.8900,47.4810
243.820,177.030,396.500,-47.4270,-2.0200,-0.8700,47.4790
242.180,177.030,396.500,-47.4240,-2.0300,-0.8700,47.4750
240.550,176.830,396.500,-47.4190,-2.0200,-0.8800,47.4730
238.950,176.420,396.500,-47.4190,-2.0300,-0.8800,47.4700
237.430,175.810,396.500,-47.4110,-2.0200,-0.8800,47.4620
235.990,175.020,396.500,-47.4020,-2.0300,-0.8900,47.4580
