# COSI2 B0 scan
# time 2024-09-09 17:53:10.828940
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240909_sphere_R120_ONE_RING
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
257.040,163.970,396.400,-47.4420,-2.0200,-0.8800,47.4930
256.360,168.310,396.400,-47.4440,-2.0300,-0.8800,47.4950
254.360,172.220,396.400,-47.4420,-2.0300,-0.9000,47.4930
251.250,175.330,396.400,-47.4400,-2.0100,-0.8800,47.4920
247.340,177.330,396.400,-47.4400,-2.0000,-0.8600,47.4900
243.000,178.010,396.400,-47.4330,-2.0000,-0.8600,47.4830
238.660,177.330,396.400,-47.4220,-2.0000,-0.8600,47.4780
234.750,175.330,396.400,-47.4070,-2.0100,-0.8700,47.4630
231.640,172.220,396.400,-47.4000,-2.0100,-0.8700,47.4500
229.640,168.310,396.400,-47.3870,-2.0200,-0.8700,47.4380
228.960,163.970,396.400,-47.3780,-2.0300,-0.9000,47.4350
229.640,159.630,396.400,-47.3730,-2.0400,-0.8900,47.4260
231.640,155.720,396.400,-47.3690,-2.0500,-0.9100,47.4220
234.750,152.610,396.400,-47.3700,-2.0600,-0.8900,47.4230
238.660,150.610,396.400,-47.3750,-2.0700,-0.8900,47.4250
243.000,149.930,396.400,-47.3780,-2.0800,-0.9000,47.4320
247.340,150.610,396.400,-47.3860,-2.0800,-0.9000,47.4400
251.250,152.610,396.400,-47.3950,-2.0800,-0.9000,47.4490
254.360,155.720,396.400,-47.4090,-2.0700,-0.9000,47.4540
256.360,159.630,396.400,-47.4150,-2.0600,-0.8900,47.4680
274.920,163.970,392.900,-47.4270,-2.0400,-0.8900,47.4800
273.360,173.830,392.900,-47.4400,-2.0200,-0.8900,47.4880
268.820,182.730,392.900,-47.4620,-1.9700,-0.8800,47.5010
261.760,189.790,392.900,-47.4770,-1.9600,-0.8700,47.5200
252.860,194.330,392.900,-47.4730,-1.9500,-0.8200,47.5200
243.000,195.890,392.900,-47.4580,-1.9600,-0.8300,47.5050
233.140,194.330,392.900,-47.4360,-1.9700,-0.8400,47.4850
224.240,189.790,392.900,-47.4090,-1.9600,-0.8100,47.4570
217.180,182.730,392.900,-47.3810,-1.9700,-0.8500,47.4300
212.640,173.830,392.900,-47.3580,-1.9700,-0.8600,47.4060
211.080,163.970,392.900,-47.3440,-1.9800,-0.8800,47.3930
212.640,154.110,392.900,-47.3270,-2.0000,-0.8800,47.3770
217.180,145.210,392.900,-47.3250,-2.0400,-0.8900,47.3770
224.240,138.150,392.900,-47.3250,-2.0600,-0.8800,47.3780
233.140,133.610,392.900,-47.3390,-2.0800,-0.8800,47.3870
243.000,132.050,392.900,-47.3580,-2.1000,-0.8700,47.4060
252.860,133.610,392.900,-47.3680,-2.0900,-0.8600,47.4180
261.760,138.150,392.900,-47.3850,-2.1000,-0.8700,47.4300
268.820,145.210,392.900,-47.4030,-2.0900,-0.9000,47.4470
273.360,154.110,392.900,-47.4210,-2.0600,-0.8800,47.4660
292.160,163.970,386.690,-47.4400,-2.0400,-0.8800,47.4820
289.750,179.160,386.690,-47.4560,-1.9900,-0.8900,47.5060
282.770,192.870,386.690,-47.4800,-1.9200,-0.8700,47.5270
271.900,203.740,386.690,-47.4880,-1.9500,-0.8600,47.5350
258.190,210.720,386.690,-47.4810,-1.9200,-0.8100,47.5300
243.000,213.130,386.690,-47.4700,-1.9200,-0.7800,47.5210
227.810,210.720,386.690,-47.4480,-1.9100,-0.7400,47.4930
214.100,203.740,386.690,-47.4210,-1.9300,-0.7400,47.4660
203.230,192.870,386.690,-47.3820,-1.9300,-0.7700,47.4390
196.250,179.160,386.690,-47.3540,-1.9400,-0.8000,47.4000
193.840,163.970,386.690,-47.3210,-1.9300,-0.8100,47.3670
196.250,148.780,386.690,-47.3040,-1.9300,-0.8400,47.3510
203.230,135.070,386.690,-47.2900,-1.9600,-0.8800,47.3390
214.100,124.200,386.690,-47.2930,-2.0000,-0.8800,47.3430
227.810,117.220,386.690,-47.3000,-2.0300,-0.8700,47.3480
243.000,114.810,386.690,-47.3080,-2.0600,-0.8500,47.3590
258.190,117.220,386.690,-47.3240,-2.0900,-0.8600,47.3730
271.900,124.200,386.690,-47.3440,-2.1000,-0.8500,47.3980
282.770,135.070,386.690,-47.3630,-2.1200,-0.8400,47.4100
289.750,148.780,386.690,-47.3870,-2.0900,-0.8600,47.4330
308.270,163.970,377.910,-47.4120,-2.0600,-0.8700,47.4610
305.080,184.140,377.910,-47.4320,-2.0400,-0.8800,47.4840
295.810,202.340,377.910,-47.4750,-1.9500,-0.9200,47.5240
281.370,216.780,377.910,-47.4820,-1.9100,-0.8200,47.5280
263.170,226.050,377.910,-47.4780,-1.9000,-0.7700,47.5230
243.000,229.240,377.910,-47.4550,-1.9000,-0.7000,47.4980
222.830,226.050,377.910,-47.4250,-1.9000,-0.6700,47.4680
204.630,216.780,377.910,-47.3860,-1.9300,-0.6700,47.4300
190.190,202.340,377.910,-47.3350,-1.9400,-0.7100,47.3900
180.920,184.140,377.910,-47.3080,-1.9400,-0.7800,47.3580
177.730,163.970,377.910,-47.3170,-1.9200,-0.7800,47.3590
180.920,143.800,377.910,-47.3150,-1.8800,-0.8000,47.3650
190.190,125.600,377.910,-47.2980,-1.9000,-0.8500,47.3440
204.630,111.160,377.910,-47.2980,-1.9400,-0.8700,47.3430
222.830,101.890,377.910,-47.3060,-1.9700,-0.8500,47.3520
243.000,98.700,377.910,-47.3210,-2.0500,-0.8400,47.3670
