# COSI2 B0 scan
# time 2024-09-10 10:44:36.650960
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240910_R160_ball_8pts_for_JGF
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
243.000,163.970,197.220,-47.4180,-1.9900,-0.6900,47.4630
223.000,193.970,207.220,-47.4180,-1.9900,-0.6900,47.4640
233.000,193.970,207.220,-47.4150,-1.9900,-0.7000,47.4620
243.000,193.970,207.220,-47.4120,-1.9900,-0.7100,47.4590
253.000,193.970,207.220,-47.4080,-1.9800,-0.7100,47.4550
263.000,193.970,207.220,-47.4020,-1.9700,-0.7000,47.4490
273.000,183.970,207.220,-47.4010,-2.0000,-0.6900,47.4480
263.000,183.970,207.220,-47.4030,-1.9900,-0.6700,47.4500
253.000,183.970,207.220,-47.4120,-1.9900,-0.6600,47.4590
243.000,183.970,207.220,-47.4210,-2.0000,-0.6700,47.4680
233.000,183.970,207.220,-47.4190,-2.0000,-0.7000,47.4660
223.000,183.970,207.220,-47.4050,-1.9900,-0.7000,47.4510
213.000,183.970,207.220,-47.4050,-1.9900,-0.6900,47.4520
213.000,173.970,207.220,-47.4070,-1.9800,-0.6900,47.4540
223.000,173.970,207.220,-47.4040,-1.9800,-0.7100,47.4510
233.000,173.970,207.220,-47.4070,-1.9800,-0.7100,47.4530
243.000,173.970,207.220,-47.4100,-1.9900,-0.7000,47.4570
253.000,173.970,207.220,-47.4100,-1.9900,-0.7000,47.4580
263.000,173.970,207.220,-47.4120,-2.0000,-0.7100,47.4590
273.000,173.970,207.220,-47.4130,-2.0000,-0.7000,47.4600
273.000,163.970,207.220,-47.4160,-2.0000,-0.6900,47.4620
263.000,163.970,207.220,-47.4240,-2.0000,-0.6900,47.4690
253.000,163.970,207.220,-47.4290,-2.0000,-0.6800,47.4770
243.000,163.970,207.220,-47.4270,-2.0000,-0.6900,47.4770
233.000,163.970,207.220,-47.4210,-2.0000,-0.7000,47.4720
223.000,163.970,207.220,-47.4190,-1.9900,-0.7000,47.4660
213.000,163.970,207.220,-47.4180,-1.9900,-0.7000,47.4630
213.000,153.970,207.220,-47.4160,-1.9800,-0.7000,47.4640
223.000,153.970,207.220,-47.4150,-1.9800,-0.7100,47.4610
233.000,153.970,207.220,-47.4160,-1.9900,-0.7100,47.4640
243.000,153.970,207.220,-47.4200,-1.9800,-0.7000,47.4670
253.000,153.970,207.220,-47.4190,-1.9900,-0.7000,47.4650
263.000,153.970,207.220,-47.4190,-1.9900,-0.7000,47.4660
273.000,153.970,207.220,-47.4150,-2.0000,-0.6900,47.4620
273.000,143.970,207.220,-47.4140,-2.0000,-0.7100,47.4610
263.000,143.970,207.220,-47.4190,-2.0000,-0.7000,47.4660
253.000,143.970,207.220,-47.4250,-2.0100,-0.7100,47.4730
243.000,143.970,207.220,-47.4250,-2.0000,-0.7100,47.4730
233.000,143.970,207.220,-47.4190,-2.0000,-0.7000,47.4660
223.000,143.970,207.220,-47.4130,-2.0000,-0.7000,47.4620
213.000,143.970,207.220,-47.4130,-1.9900,-0.6900,47.4580
223.000,133.970,207.220,-47.4130,-1.9900,-0.6900,0.0000
233.000,133.970,207.220,1.9900,-0.6900,47.4610,0.0000
243.000,133.970,207.220,-47.4090,-1.9900,-0.6900,47.4580
253.000,133.970,207.220,-47.4050,-2.0100,-0.7000,47.4550
263.000,133.970,207.220,-47.4020,-2.0100,-0.7000,47.4500
253.000,113.970,217.220,-47.4020,-2.0000,-0.6900,47.4490
243.000,113.970,217.220,-47.4080,-2.0100,-0.7000,47.4560
233.000,113.970,217.220,-47.4050,-2.0000,-0.7100,47.4530
213.000,123.970,217.220,-47.3990,-2.0000,-0.7100,47.4470
223.000,123.970,217.220,-47.3970,-2.0100,-0.7100,47.4450
233.000,123.970,217.220,-47.3990,-2.0000,-0.6800,47.4460
243.000,123.970,217.220,-47.4060,-2.0000,-0.6900,47.4510
253.000,123.970,217.220,-47.4080,-2.0000,-0.6900,47.4550
263.000,123.970,217.220,-47.4040,-2.0100,-0.7100,47.4520
273.000,123.970,217.220,-47.4020,-2.0000,-0.7100,47.4490
283.000,133.970,217.220,-47.4010,-2.0100,-0.7200,47.4490
273.000,133.970,217.220,-47.4010,-2.0000,-0.7300,47.4480
263.000,133.970,217.220,-47.4040,-2.0100,-0.7300,47.4500
253.000,133.970,217.220,-47.4110,-2.0000,-0.7200,47.4570
243.000,133.970,217.220,-47.4100,-2.0100,-0.7100,47.4590
233.000,133.970,217.220,-47.4090,-2.0000,-0.7100,47.4560
223.000,133.970,217.220,-47.4080,-2.0000,-0.7100,47.4550
213.000,133.970,217.220,-47.4080,-1.9900,-0.6800,47.4560
203.000,133.970,217.220,-47.4080,-1.9900,-0.6900,47.4550
203.000,143.970,217.220,-47.4090,-2.0000,-0.7000,47.4550
213.000,143.970,217.220,-47.4120,-1.9900,-0.7000,47.4580
223.000,143.970,217.220,-47.4150,-1.9800,-0.7000,47.4620
233.000,143.970,217.220,-47.4170,-1.9900,-0.7100,47.4640
243.000,143.970,217.220,-47.4140,-1.9900,-0.7000,47.4610
253.000,143.970,217.220,-47.4070,-2.0000,-0.7100,47.4550
