# COSI2 B0 scan
# time 2024-09-10 12:56:41.580957
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240910_coarse_ball_1_ring_installed_R120_6pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
243.000,163.970,157.220,-47.4250,-1.9500,-0.6800,47.4700
223.000,223.970,177.220,-47.4290,-1.9500,-0.6900,47.4740
243.000,223.970,177.220,-47.4210,-1.9400,-0.7000,47.4660
263.000,223.970,177.220,-47.3630,-1.9600,-0.6900,47.4080
283.000,203.970,177.220,-47.3440,-1.9600,-0.7100,47.3900
263.000,203.970,177.220,-47.3560,-1.9800,-0.6400,47.4020
243.000,203.970,177.220,-47.3910,-2.0000,-0.5700,47.4370
223.000,203.970,177.220,-47.4320,-2.0100,-0.6300,47.4730
203.000,203.970,177.220,-47.4190,-1.9800,-0.6600,47.4740
183.000,183.970,177.220,-47.3930,-1.9800,-0.6900,47.4400
203.000,183.970,177.220,-47.3890,-1.9700,-0.7300,47.4310
223.000,183.970,177.220,-47.4110,-1.9700,-0.7500,47.4580
243.000,183.970,177.220,-47.4240,-1.9700,-0.7300,47.4700
263.000,183.970,177.220,-47.4060,-1.9700,-0.7000,47.4590
283.000,183.970,177.220,-47.4070,-1.9700,-0.6800,47.4500
303.000,183.970,177.220,-47.4270,-2.0000,-0.6700,47.4740
303.000,163.970,177.220,-47.4520,-2.0300,-0.6600,47.5000
283.000,163.970,177.220,-47.4690,-2.0500,-0.6700,47.5180
263.000,163.970,177.220,-47.4710,-2.0200,-0.6900,47.5240
243.000,163.970,177.220,-47.4520,-2.0000,-0.6900,47.4990
223.000,163.970,177.220,-47.4370,-1.9800,-0.6800,47.4830
203.000,163.970,177.220,-47.4270,-1.9700,-0.6900,47.4730
183.000,163.970,177.220,-47.4210,-1.9500,-0.6900,47.4670
183.000,143.970,177.220,-47.4240,-1.9400,-0.7000,47.4670
203.000,143.970,177.220,-47.4380,-1.9500,-0.6800,47.4830
223.000,143.970,177.220,-47.4390,-1.9600,-0.6700,47.4840
243.000,143.970,177.220,-47.4200,-1.9700,-0.6700,47.4700
263.000,143.970,177.220,-47.4080,-1.9800,-0.6800,47.4590
283.000,143.970,177.220,-47.4110,-1.9700,-0.6900,47.4560
303.000,143.970,177.220,-47.4220,-2.0000,-0.7000,47.4690
283.000,123.970,177.220,-47.4360,-2.0200,-0.7300,47.4810
263.000,123.970,177.220,-47.4410,-2.0200,-0.7300,47.4900
243.000,123.970,177.220,-47.4300,-2.0000,-0.7100,47.4780
223.000,123.970,177.220,-47.4060,-1.9900,-0.6900,47.4530
203.000,123.970,177.220,-47.4000,-1.9900,-0.6700,47.4460
223.000,103.970,177.220,-47.4030,-1.9800,-0.6600,47.4480
243.000,103.970,177.220,-47.4160,-1.9800,-0.6500,47.4610
263.000,103.970,177.220,-47.4010,-2.0000,-0.6300,47.4470
203.000,83.970,197.220,-47.3740,-2.0100,-0.6700,47.4260
223.000,83.970,197.220,-47.3680,-2.0000,-0.6700,47.4140
243.000,83.970,197.220,-47.4040,-2.0200,-0.5400,47.4510
263.000,83.970,197.220,-47.3760,-2.0400,-0.6200,47.4240
283.000,83.970,197.220,-47.3540,-2.0200,-0.6700,47.4020
303.000,103.970,197.220,-47.3390,-1.9900,-0.7100,47.3880
283.000,103.970,197.220,-47.3350,-1.9700,-0.7800,47.3830
263.000,103.970,197.220,-47.3580,-2.0000,-0.8400,47.3930
243.000,103.970,197.220,-47.3830,-2.0000,-0.7600,47.4310
223.000,103.970,197.220,-47.3750,-1.9900,-0.7300,47.4220
203.000,103.970,197.220,-47.3720,-2.0000,-0.6900,47.4160
183.000,103.970,197.220,-47.3860,-2.0000,-0.6500,47.4330
163.000,123.970,197.220,-47.4040,-1.9900,-0.6500,47.4510
183.000,123.970,197.220,-47.4400,-1.9700,-0.6400,47.4850
203.000,123.970,197.220,-47.4470,-1.9800,-0.6800,47.4930
223.000,123.970,197.220,-47.4320,-1.9800,-0.6800,47.4780
243.000,123.970,197.220,-47.4180,-1.9800,-0.6800,47.4640
