# COSI2 B0 scan
# time 2024-09-10 14:11:39.066716
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240910_fine_shell_1_ring_installed_R120_100pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
245.870,163.970,397.190,-47.4390,-2.0100,-0.8800,47.4890
245.870,164.150,397.190,-47.4390,-2.0000,-0.8800,47.4890
245.850,164.330,397.190,-47.4410,-2.0100,-0.8800,47.4910
245.820,164.510,397.190,-47.4380,-2.0100,-0.8900,47.4890
245.780,164.680,397.190,-47.4370,-2.0100,-0.8800,47.4880
245.730,164.860,397.190,-47.4410,-2.0100,-0.8800,47.4910
245.670,165.030,397.190,-47.4430,-2.0100,-0.8800,47.4930
245.600,165.190,397.190,-47.4400,-2.0100,-0.8800,47.4900
245.520,165.350,397.190,-47.4370,-2.0100,-0.8800,47.4880
245.420,165.510,397.190,-47.4370,-2.0000,-0.8800,47.4880
245.320,165.660,397.190,-47.4350,-2.0100,-0.8700,47.4860
245.210,165.800,397.190,-47.4350,-2.0000,-0.8700,47.4850
245.090,165.940,397.190,-47.4400,-2.0000,-0.8800,47.4900
244.970,166.060,397.190,-47.4380,-2.0100,-0.8800,47.4900
244.830,166.180,397.190,-47.4370,-2.0000,-0.8900,47.4870
244.690,166.290,397.190,-47.4370,-2.0100,-0.8800,47.4890
244.540,166.390,397.190,-47.4380,-2.0000,-0.8800,47.4890
244.380,166.490,397.190,-47.4350,-2.0000,-0.8800,47.4850
244.220,166.570,397.190,-47.4300,-2.0000,-0.8800,47.4830
244.060,166.640,397.190,-47.4310,-2.0100,-0.8900,47.4830
243.890,166.700,397.190,-47.4320,-2.0000,-0.8800,47.4820
243.710,166.750,397.190,-47.4290,-2.0000,-0.8800,47.4800
243.540,166.790,397.190,-47.4270,-2.0100,-0.8800,47.4770
243.360,166.820,397.190,-47.4240,-2.0100,-0.8900,47.4750
243.180,166.840,397.190,-47.4260,-2.0000,-0.8800,47.4760
243.000,166.840,397.190,-47.4300,-2.0000,-0.8900,47.4800
242.820,166.840,397.190,-47.4320,-2.0100,-0.8900,47.4830
242.640,166.820,397.190,-47.4320,-2.0100,-0.8800,47.4830
242.460,166.790,397.190,-47.4310,-2.0100,-0.8800,47.4820
242.290,166.750,397.190,-47.4280,-2.0100,-0.8900,47.4790
242.110,166.700,397.190,-47.4250,-2.0100,-0.8900,47.4760
241.940,166.640,397.190,-47.4280,-2.0000,-0.8800,47.4780
241.780,166.570,397.190,-47.4300,-2.0100,-0.8900,47.4810
241.620,166.490,397.190,-47.4280,-2.0200,-0.8900,47.4790
241.460,166.390,397.190,-47.4270,-2.0000,-0.8800,47.4750
241.310,166.290,397.190,-47.4270,-2.0100,-0.8800,47.4760
241.170,166.180,397.190,-47.4250,-2.0100,-0.8800,47.4750
241.030,166.060,397.190,-47.4230,-2.0200,-0.8900,47.4750
240.910,165.940,397.190,-47.4250,-2.0200,-0.8900,47.4770
240.790,165.800,397.190,-47.4260,-2.0100,-0.8900,47.4750
240.680,165.660,397.190,-47.4260,-2.0200,-0.8800,47.4770
240.580,165.510,397.190,-47.4240,-2.0100,-0.8800,47.4760
240.480,165.350,397.190,-47.4200,-2.0100,-0.8800,47.4710
240.400,165.190,397.190,-47.4190,-2.0100,-0.8800,47.4700
240.330,165.030,397.190,-47.4210,-2.0200,-0.8900,47.4720
240.270,164.860,397.190,-47.4210,-2.0100,-0.8800,47.4710
240.220,164.680,397.190,-47.4210,-2.0200,-0.8800,47.4730
240.180,164.510,397.190,-47.4200,-2.0100,-0.8800,47.4710
240.150,164.330,397.190,-47.4210,-2.0200,-0.8700,47.4730
240.130,164.150,397.190,-47.4230,-2.0100,-0.8800,47.4730
240.130,163.970,397.190,-47.4200,-2.0100,-0.8900,47.4710
240.130,163.790,397.190,-47.4180,-2.0200,-0.8900,47.4690
240.150,163.610,397.190,-47.4200,-2.0200,-0.8900,47.4710
240.180,163.430,397.190,-47.4230,-2.0100,-0.8800,47.4740
240.220,163.260,397.190,-47.4200,-2.0100,-0.8900,47.4720
240.270,163.080,397.190,-47.4210,-2.0200,-0.8900,47.4720
240.330,162.910,397.190,-47.4220,-2.0100,-0.8900,47.4720
240.400,162.750,397.190,-47.4200,-2.0200,-0.8800,47.4710
240.480,162.590,397.190,-47.4230,-2.0200,-0.8800,47.4740
240.580,162.430,397.190,-47.4230,-2.0200,-0.8800,47.4740
240.680,162.280,397.190,-47.4210,-2.0200,-0.8800,47.4720
240.790,162.140,397.190,-47.4260,-2.0200,-0.8900,47.4760
240.910,162.000,397.190,-47.4250,-2.0200,-0.8800,47.4770
241.030,161.880,397.190,-47.4240,-2.0200,-0.8900,47.4750
241.170,161.760,397.190,-47.4230,-2.0200,-0.8900,47.4740
241.310,161.650,397.190,-47.4220,-2.0200,-0.8700,47.4750
241.460,161.550,397.190,-47.4220,-2.0200,-0.8900,47.4730
241.620,161.450,397.190,-47.4220,-2.0200,-0.8800,47.4730
241.780,161.370,397.190,-47.4240,-2.0300,-0.8800,47.4740
241.940,161.300,397.190,-47.4250,-2.0200,-0.8900,47.4750
242.110,161.240,397.190,-47.4250,-2.0200,-0.8900,47.4770
