# COSI2 B0 scan
# time 2024-09-11 10:12:09.294218
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240911_sphere_20pts_no_rings
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
257.040,163.970,396.400,-47.4500,-1.9800,-0.8600,47.4990
256.360,168.310,396.400,-47.4470,-1.9800,-0.8600,47.4960
254.360,172.220,396.400,-47.4500,-1.9700,-0.8500,47.4980
251.250,175.330,396.400,-47.4470,-1.9800,-0.8400,47.4950
247.340,177.330,396.400,-47.4400,-1.9600,-0.8500,47.4920
243.000,178.010,396.400,-47.4390,-1.9500,-0.8500,47.4870
238.660,177.330,396.400,-47.4230,-1.9500,-0.8500,47.4770
234.750,175.330,396.400,-47.4070,-1.9500,-0.8500,47.4570
231.640,172.220,396.400,-47.4050,-1.9500,-0.8600,47.4530
229.640,168.310,396.400,-47.3980,-1.9500,-0.8600,47.4460
228.960,163.970,396.400,-47.3890,-1.9600,-0.8600,47.4410
229.640,159.630,396.400,-47.3840,-1.9500,-0.8700,47.4330
231.640,155.720,396.400,-47.3870,-1.9800,-0.8600,47.4360
234.750,152.610,396.400,-47.3920,-1.9800,-0.8600,47.4410
238.660,150.610,396.400,-47.3960,-2.0000,-0.8800,47.4440
243.000,149.930,396.400,-47.3990,-1.9900,-0.8700,47.4490
247.340,150.610,396.400,-47.4070,-2.0100,-0.8800,47.4580
251.250,152.610,396.400,-47.4190,-2.0100,-0.8700,47.4660
254.360,155.720,396.400,-47.4240,-2.0100,-0.8800,47.4740
256.360,159.630,396.400,-47.4300,-2.0100,-0.8800,47.4790
274.920,163.970,392.900,-47.4410,-2.0000,-0.8700,47.4890
273.360,173.830,392.900,-47.4530,-1.9900,-0.8700,47.5020
268.820,182.730,392.900,-47.4820,-1.9700,-0.8600,47.5220
261.760,189.790,392.900,-47.4870,-1.9400,-0.8400,47.5340
252.860,194.330,392.900,-47.4750,-1.9300,-0.8100,47.5280
243.000,195.890,392.900,-47.4490,-1.9300,-0.8000,47.5060
233.140,194.330,392.900,-47.4350,-1.9100,-0.8000,47.4800
224.240,189.790,392.900,-47.4130,-1.9000,-0.8000,47.4580
217.180,182.730,392.900,-47.3860,-1.8800,-0.8100,47.4300
212.640,173.830,392.900,-47.3710,-1.8800,-0.8300,47.4160
211.080,163.970,392.900,-47.3600,-1.8900,-0.8500,47.4100
212.640,154.110,392.900,-47.3560,-1.9200,-0.8500,47.4030
