# COSI2 B0 scan
# time 2024-09-12 17:01:25.616351
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240912_ball_5pts_no_rings
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
243.000,163.970,157.220,-47.4240,-2.0200,-0.5000,47.4700
195.000,211.970,181.220,-47.4280,-2.0300,-0.5000,47.4740
219.000,211.970,181.220,-47.4430,-2.0600,-0.5000,47.4900
243.000,211.970,181.220,-47.4280,-2.0900,-0.5100,47.4840
267.000,211.970,181.220,-47.4470,-2.0500,-0.5400,47.4940
291.000,211.970,181.220,-47.4310,-2.0300,-0.5000,47.4870
291.000,187.970,181.220,-47.4230,-2.0100,-0.4600,47.4670
267.000,187.970,181.220,-47.4420,-2.0100,-0.4400,47.4860
243.000,187.970,181.220,-47.4750,-2.0200,-0.4900,47.5150
219.000,187.970,181.220,-47.4720,-2.0200,-0.4900,47.5180
195.000,187.970,181.220,-47.4500,-2.0300,-0.4800,47.5010
171.000,163.970,181.220,-47.4510,-2.0400,-0.5100,47.4970
195.000,163.970,181.220,-47.4780,-2.0700,-0.5300,47.5260
219.000,163.970,181.220,-47.5230,-2.0700,-0.5300,47.5600
243.000,163.970,181.220,-47.5200,-2.0600,-0.5000,47.5670
267.000,163.970,181.220,-47.4780,-2.0400,-0.5100,47.5330
291.000,163.970,181.220,-47.4610,-2.0300,-0.5100,47.5070
315.000,163.970,181.220,-47.4540,-2.0200,-0.5200,47.5000
291.000,139.970,181.220,-47.4680,-2.0200,-0.5300,47.5110
267.000,139.970,181.220,-47.4840,-2.0100,-0.5200,47.5280
243.000,139.970,181.220,-47.4700,-2.0000,-0.5400,47.5150
219.000,139.970,181.220,-47.4440,-2.0200,-0.5200,47.4930
195.000,139.970,181.220,-47.4440,-2.0300,-0.5100,47.4900
195.000,115.970,181.220,-47.4510,-2.0500,-0.5000,47.4970
219.000,115.970,181.220,-47.4840,-2.0700,-0.4700,47.5320
243.000,115.970,181.220,-47.4880,-2.0700,-0.4800,47.5350
267.000,115.970,181.220,-47.4510,-2.0500,-0.5000,47.5080
291.000,115.970,181.220,-47.4310,-2.0300,-0.5200,47.4770
243.000,91.970,181.220,-47.4200,-2.0000,-0.5500,47.4680
243.000,67.970,205.220,-47.4260,-2.0200,-0.5200,47.4710
195.000,91.970,205.220,-47.4200,-2.0600,-0.5000,47.4680
219.000,91.970,205.220,-47.3530,-2.0600,-0.5200,47.4010
243.000,91.970,205.220,-47.4190,-2.1400,-0.4900,47.4700
267.000,91.970,205.220,-47.4620,-2.0800,-0.4600,47.5010
291.000,91.970,205.220,-47.4600,-2.0600,-0.5000,47.5070
315.000,115.970,205.220,-47.4280,-2.0200,-0.5300,47.4810
291.000,115.970,205.220,-47.4200,-1.9900,-0.5700,47.4650
267.000,115.970,205.220,-47.4500,-1.9800,-0.6500,47.4860
243.000,115.970,205.220,-47.4720,-2.0000,-0.5600,47.5170
219.000,115.970,205.220,-47.4530,-2.0000,-0.5600,47.5040
195.000,115.970,205.220,-47.4450,-2.0200,-0.5300,47.4910
171.000,115.970,205.220,-47.4520,-2.0400,-0.5100,47.4990
171.000,139.970,205.220,-47.4830,-2.0700,-0.4900,47.5310
195.000,139.970,205.220,-47.5230,-2.0600,-0.5000,47.5710
219.000,139.970,205.220,-47.5410,-2.0600,-0.5100,47.5880
243.000,139.970,205.220,-47.5190,-2.0500,-0.5200,47.5660
267.000,139.970,205.220,-47.4860,-2.0400,-0.5200,47.5390
291.000,139.970,205.220,-47.4670,-2.0200,-0.5300,47.5130
315.000,139.970,205.220,-47.4620,-2.0100,-0.5400,47.5080
339.000,163.970,205.220,-47.4650,-1.9800,-0.5600,47.5100
315.000,163.970,205.220,-47.4790,-1.9600,-0.5700,47.5230
291.000,163.970,205.220,-47.5030,-1.9700,-0.5600,47.5370
267.000,163.970,205.220,-47.5020,-2.0000,-0.5300,47.5470
243.000,163.970,205.220,-47.4860,-2.0000,-0.5200,47.5330
219.000,163.970,205.220,-47.4770,-2.0200,-0.5200,47.5230
195.000,163.970,205.220,-47.4720,-2.0300,-0.5200,47.5180
171.000,163.970,205.220,-47.4860,-2.0400,-0.5200,47.5330
147.000,163.970,205.220,-47.5140,-2.0500,-0.5200,47.5550
171.000,187.970,205.220,-47.5420,-2.0500,-0.5200,47.5890
195.000,187.970,205.220,-47.5680,-2.0600,-0.5200,47.6160
219.000,187.970,205.220,-47.5450,-2.0500,-0.5500,47.5960
243.000,187.970,205.220,-47.5260,-2.0400,-0.5400,47.5730
267.000,187.970,205.220,-47.4890,-2.0200,-0.5200,47.5350
291.000,187.970,205.220,-47.4650,-2.0100,-0.5100,47.5130
315.000,187.970,205.220,-47.4660,-2.0100,-0.4800,47.5110
315.000,211.970,205.220,-47.4940,-1.9900,-0.4800,47.5300
291.000,211.970,205.220,-47.5150,-1.9900,-0.4600,47.5590
267.000,211.970,205.220,-47.5120,-2.0000,-0.4300,47.5620
243.000,211.970,205.220,-47.4830,-1.9900,-0.4400,47.5260
219.000,211.970,205.220,-47.4530,-2.0000,-0.4800,47.4970
195.000,211.970,205.220,-47.4440,-2.0100,-0.5000,47.4920
171.000,211.970,205.220,-47.4550,-2.0300,-0.5400,47.5010
195.000,235.970,205.220,-47.4810,-2.0500,-0.5500,47.5290
219.000,235.970,205.220,-47.5280,-2.0500,-0.5600,47.5760
243.000,235.970,205.220,-47.4800,-2.0500,-0.5700,47.5280
267.000,235.970,205.220,-47.4250,-2.0300,-0.5200,47.4850
291.000,235.970,205.220,-47.4130,-2.0000,-0.4900,47.4570
195.000,259.970,229.220,-47.4190,-1.9800,-0.4400,47.4620
219.000,259.970,229.220,-47.4200,-2.0000,-0.4700,47.4640
243.000,259.970,229.220,-47.3950,-2.0900,-0.5700,47.4450
267.000,259.970,229.220,-47.3960,-2.0400,-0.5400,47.4420
291.000,259.970,229.220,-47.4170,-2.0200,-0.5100,47.4630
315.000,235.970,229.220,-47.4070,-2.0000,-0.4900,47.4510
291.000,235.970,229.220,-47.4110,-1.9600,-0.4500,47.4540
267.000,235.970,229.220,-47.3920,-1.9000,-0.3600,47.4320
243.000,235.970,229.220,-47.4520,-1.9700,-0.3800,47.4770
219.000,235.970,229.220,-47.4590,-1.9800,-0.4400,47.5020
195.000,235.970,229.220,-47.4410,-2.0000,-0.4900,47.4860
171.000,235.970,229.220,-47.4370,-2.0200,-0.5200,47.4850
147.000,211.970,229.220,-47.4550,-2.0300,-0.5700,47.4970
171.000,211.970,229.220,-47.5140,-2.0400,-0.6700,47.5620
195.000,211.970,229.220,-47.6180,-2.0100,-0.6100,47.6650
219.000,211.970,229.220,-47.6130,-2.0200,-0.5800,47.6840
243.000,211.970,229.220,-47.5400,-2.0200,-0.5500,47.5860
267.000,211.970,229.220,-47.4810,-2.0100,-0.5300,47.5350
291.000,211.970,229.220,-47.4650,-2.0100,-0.4900,47.5100
315.000,211.970,229.220,-47.4640,-1.9900,-0.4700,47.5070
339.000,211.970,229.220,-47.4840,-1.9900,-0.4400,47.5270
339.000,187.970,229.220,-47.5410,-1.9800,-0.4300,47.5670
315.000,187.970,229.220,-47.5840,-1.9500,-0.4800,47.6270
291.000,187.970,229.220,-47.5750,-1.9700,-0.5000,47.6180
267.000,187.970,229.220,-47.5340,-1.9700,-0.4900,47.5880
243.000,187.970,229.220,-47.5060,-1.9900,-0.5000,47.5510
219.000,187.970,229.220,-47.4860,-2.0000,-0.5000,47.5340
195.000,187.970,229.220,-47.4820,-2.0000,-0.5200,47.5270
171.000,187.970,229.220,-47.4930,-2.0300,-0.5300,47.5350
147.000,187.970,229.220,-47.5120,-2.0200,-0.5500,47.5580
147.000,163.970,229.220,-47.5570,-2.0300,-0.5400,47.5910
171.000,163.970,229.220,-47.5830,-2.0400,-0.5300,47.6290
195.000,163.970,229.220,-47.5830,-2.0400,-0.5300,47.6290
219.000,163.970,229.220,-47.5520,-2.0300,-0.5300,47.5990
243.000,163.970,229.220,-47.5240,-2.0100,-0.5300,47.5700
267.000,163.970,229.220,-47.5000,-2.0200,-0.5300,47.5500
291.000,163.970,229.220,-47.4870,-2.0000,-0.5300,47.5320
315.000,163.970,229.220,-47.4870,-1.9900,-0.5300,47.5320
339.000,163.970,229.220,-47.4970,-1.9900,-0.5400,47.5420
339.000,139.970,229.220,-47.5220,-1.9700,-0.5400,47.5600
315.000,139.970,229.220,-47.5380,-1.9400,-0.5800,47.5810
291.000,139.970,229.220,-47.5150,-1.9500,-0.5700,47.5670
267.000,139.970,229.220,-47.5020,-1.9800,-0.5600,47.5460
243.000,139.970,229.220,-47.4930,-2.0000,-0.5500,47.5380
219.000,139.970,229.220,-47.4860,-2.0000,-0.5400,47.5320
195.000,139.970,229.220,-47.4820,-2.0100,-0.5300,47.5280
171.000,139.970,229.220,-47.5010,-2.0300,-0.5300,47.5470
147.000,139.970,229.220,-47.5270,-2.0300,-0.5400,47.5670
147.000,115.970,229.220,-47.5520,-2.0500,-0.5300,47.5990
