# COSI2 B0 scan,,,,,,
# time 2024-09-12 17:01:25.616351,,,,,,
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240912_ball_5pts_no_rings,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
243,163.97,157.22,-47.443,-2.06,-0.5,47.49
195,211.97,181.22,-47.428,-2.09,-0.51,47.484
219,211.97,181.22,-47.447,-2.05,-0.54,47.494
243,211.97,181.22,-47.431,-2.03,-0.5,47.487
267,211.97,181.22,-47.423,-2.01,-0.46,47.467
291,211.97,181.22,-47.442,-2.01,-0.44,47.486
291,187.97,181.22,-47.475,-2.02,-0.49,47.515
267,187.97,181.22,-47.472,-2.02,-0.49,47.518
243,187.97,181.22,-47.45,-2.03,-0.48,47.501
219,187.97,181.22,-47.451,-2.04,-0.51,47.497
195,187.97,181.22,-47.478,-2.07,-0.53,47.526
171,163.97,181.22,-47.523,-2.07,-0.53,47.56
195,163.97,181.22,-47.52,-2.06,-0.5,47.567
219,163.97,181.22,-47.478,-2.04,-0.51,47.533
243,163.97,181.22,-47.461,-2.03,-0.51,47.507
267,163.97,181.22,-47.454,-2.02,-0.52,47.5
291,163.97,181.22,-47.468,-2.02,-0.53,47.511
315,163.97,181.22,-47.484,-2.01,-0.52,47.528
291,139.97,181.22,-47.47,-2,-0.54,47.515
267,139.97,181.22,-47.444,-2.02,-0.52,47.493
243,139.97,181.22,-47.444,-2.03,-0.51,47.49
219,139.97,181.22,-47.451,-2.05,-0.5,47.497
195,139.97,181.22,-47.484,-2.07,-0.47,47.532
195,115.97,181.22,-47.488,-2.07,-0.48,47.535
219,115.97,181.22,-47.451,-2.05,-0.5,47.508
243,115.97,181.22,-47.431,-2.03,-0.52,47.477
267,115.97,181.22,-47.42,-2,-0.55,47.468
291,115.97,181.22,-47.426,-2.02,-0.52,47.471
243,91.97,181.22,-47.42,-2.06,-0.5,47.468
243,67.97,205.22,-47.353,-2.06,-0.52,47.401
195,91.97,205.22,-47.419,-2.14,-0.49,47.47
219,91.97,205.22,-47.462,-2.08,-0.46,47.501
243,91.97,205.22,-47.46,-2.06,-0.5,47.507
267,91.97,205.22,-47.428,-2.02,-0.53,47.481
291,91.97,205.22,-47.42,-1.99,-0.57,47.465
315,115.97,205.22,-47.45,-1.98,-0.65,47.486
291,115.97,205.22,-47.472,-2,-0.56,47.517
267,115.97,205.22,-47.453,-2,-0.56,47.504
243,115.97,205.22,-47.445,-2.02,-0.53,47.491
219,115.97,205.22,-47.452,-2.04,-0.51,47.499
195,115.97,205.22,-47.483,-2.07,-0.49,47.531
171,115.97,205.22,-47.523,-2.06,-0.5,47.571
171,139.97,205.22,-47.541,-2.06,-0.51,47.588
195,139.97,205.22,-47.519,-2.05,-0.52,47.566
219,139.97,205.22,-47.486,-2.04,-0.52,47.539
243,139.97,205.22,-47.467,-2.02,-0.53,47.513
267,139.97,205.22,-47.462,-2.01,-0.54,47.508
291,139.97,205.22,-47.465,-1.98,-0.56,47.51
315,139.97,205.22,-47.479,-1.96,-0.57,47.523
339,163.97,205.22,-47.503,-1.97,-0.56,47.537
315,163.97,205.22,-47.502,-2,-0.53,47.547
291,163.97,205.22,-47.486,-2,-0.52,47.533
267,163.97,205.22,-47.477,-2.02,-0.52,47.523
243,163.97,205.22,-47.472,-2.03,-0.52,47.518
219,163.97,205.22,-47.486,-2.04,-0.52,47.533
195,163.97,205.22,-47.514,-2.05,-0.52,47.555
171,163.97,205.22,-47.542,-2.05,-0.52,47.589
147,163.97,205.22,-47.568,-2.06,-0.52,47.616
171,187.97,205.22,-47.545,-2.05,-0.55,47.596
195,187.97,205.22,-47.526,-2.04,-0.54,47.573
219,187.97,205.22,-47.489,-2.02,-0.52,47.535
243,187.97,205.22,-47.465,-2.01,-0.51,47.513
267,187.97,205.22,-47.466,-2.01,-0.48,47.511
291,187.97,205.22,-47.494,-1.99,-0.48,47.53
315,187.97,205.22,-47.515,-1.99,-0.46,47.559
315,211.97,205.22,-47.512,-2,-0.43,47.562
291,211.97,205.22,-47.483,-1.99,-0.44,47.526
267,211.97,205.22,-47.453,-2,-0.48,47.497
243,211.97,205.22,-47.444,-2.01,-0.5,47.492
219,211.97,205.22,-47.455,-2.03,-0.54,47.501
195,211.97,205.22,-47.481,-2.05,-0.55,47.529
171,211.97,205.22,-47.528,-2.05,-0.56,47.576
195,235.97,205.22,-47.48,-2.05,-0.57,47.528
219,235.97,205.22,-47.425,-2.03,-0.52,47.485
243,235.97,205.22,-47.413,-2,-0.49,47.457
267,235.97,205.22,-47.419,-1.98,-0.44,47.462
291,235.97,205.22,-47.42,-2,-0.47,47.464
195,259.97,229.22,-47.395,-2.09,-0.57,47.445
219,259.97,229.22,-47.396,-2.04,-0.54,47.442
243,259.97,229.22,-47.417,-2.02,-0.51,47.463
267,259.97,229.22,-47.407,-2,-0.49,47.451
291,259.97,229.22,-47.411,-1.96,-0.45,47.454
315,235.97,229.22,-47.392,-1.9,-0.36,47.432
291,235.97,229.22,-47.452,-1.97,-0.38,47.477
267,235.97,229.22,-47.459,-1.98,-0.44,47.502
243,235.97,229.22,-47.441,-2,-0.49,47.486
219,235.97,229.22,-47.437,-2.02,-0.52,47.485
195,235.97,229.22,-47.455,-2.03,-0.57,47.497
171,235.97,229.22,-47.514,-2.04,-0.67,47.562
147,211.97,229.22,-47.618,-2.01,-0.61,47.665
171,211.97,229.22,-47.613,-2.02,-0.58,47.684
195,211.97,229.22,-47.54,-2.02,-0.55,47.586
219,211.97,229.22,-47.481,-2.01,-0.53,47.535
243,211.97,229.22,-47.465,-2.01,-0.49,47.51
267,211.97,229.22,-47.464,-1.99,-0.47,47.507
291,211.97,229.22,-47.484,-1.99,-0.44,47.527
315,211.97,229.22,-47.541,-1.98,-0.43,47.567
339,211.97,229.22,-47.584,-1.95,-0.48,47.627
339,187.97,229.22,-47.575,-1.97,-0.5,47.618
315,187.97,229.22,-47.534,-1.97,-0.49,47.588
291,187.97,229.22,-47.506,-1.99,-0.5,47.551
267,187.97,229.22,-47.486,-2,-0.5,47.534
243,187.97,229.22,-47.482,-2,-0.52,47.527
219,187.97,229.22,-47.493,-2.03,-0.53,47.535
195,187.97,229.22,-47.512,-2.02,-0.55,47.558
171,187.97,229.22,-47.557,-2.03,-0.54,47.591
147,187.97,229.22,-47.583,-2.04,-0.53,47.629
147,163.97,229.22,-47.583,-2.04,-0.53,47.629
171,163.97,229.22,-47.552,-2.03,-0.53,47.599
195,163.97,229.22,-47.524,-2.01,-0.53,47.57
219,163.97,229.22,-47.5,-2.02,-0.53,47.55
243,163.97,229.22,-47.487,-2,-0.53,47.532
267,163.97,229.22,-47.487,-1.99,-0.53,47.532
291,163.97,229.22,-47.497,-1.99,-0.54,47.542
315,163.97,229.22,-47.522,-1.97,-0.54,47.56
339,163.97,229.22,-47.538,-1.94,-0.58,47.581
339,139.97,229.22,-47.515,-1.95,-0.57,47.567
315,139.97,229.22,-47.502,-1.98,-0.56,47.546
291,139.97,229.22,-47.493,-2,-0.55,47.538
267,139.97,229.22,-47.486,-2,-0.54,47.532
243,139.97,229.22,-47.482,-2.01,-0.53,47.528
219,139.97,229.22,-47.501,-2.03,-0.53,47.547
195,139.97,229.22,-47.527,-2.03,-0.54,47.567
171,139.97,229.22,-47.552,-2.05,-0.53,47.599
147,139.97,229.22,-47.574,-2.05,-0.52,47.616
147,115.97,229.22,-47.591,-2.06,-0.52,47.638
171,115.97,229.22,-47.555,-2.05,-0.51,47.615
195,115.97,229.22,-47.52,-2.04,-0.52,47.566
219,115.97,229.22,-47.496,-2.03,-0.54,47.542
243,115.97,229.22,-47.475,-2.01,-0.54,47.526
267,115.97,229.22,-47.466,-1.99,-0.56,47.511
291,115.97,229.22,-47.476,-1.98,-0.57,47.517
315,115.97,229.22,-47.495,-1.96,-0.59,47.539
339,115.97,229.22,-47.515,-1.97,-0.59,47.559
315,91.97,229.22,-47.488,-1.98,-0.61,47.543
291,91.97,229.22,-47.458,-1.98,-0.57,47.508
267,91.97,229.22,-47.447,-2.01,-0.55,47.493
243,91.97,229.22,-47.457,-2.04,-0.53,47.5
219,91.97,229.22,-47.472,-2.06,-0.51,47.519
195,91.97,229.22,-47.503,-2.05,-0.5,47.542
171,91.97,229.22,-47.529,-2.07,-0.5,47.577
195,67.97,229.22,-47.492,-2.07,-0.52,47.55
219,67.97,229.22,-47.471,-2.05,-0.53,47.518
243,67.97,229.22,-47.452,-2.04,-0.54,47.499
267,67.97,229.22,-47.435,-2,-0.55,47.484
291,67.97,229.22,-47.428,-1.98,-0.56,47.473
291,67.97,253.22,-47.457,-2.01,-0.56,47.503
267,67.97,253.22,-47.462,-2.02,-0.57,47.508
243,67.97,253.22,-47.461,-2.03,-0.54,47.505
219,67.97,253.22,-47.486,-2.04,-0.54,47.532
195,67.97,253.22,-47.513,-2.06,-0.56,47.56
171,91.97,253.22,-47.525,-2.05,-0.51,47.572
195,91.97,253.22,-47.532,-2.04,-0.54,47.583
219,91.97,253.22,-47.503,-2.03,-0.55,47.55
243,91.97,253.22,-47.48,-2.03,-0.56,47.53
267,91.97,253.22,-47.475,-2,-0.57,47.52
291,91.97,253.22,-47.475,-1.99,-0.59,47.521
315,91.97,253.22,-47.486,-1.97,-0.65,47.531
339,115.97,253.22,-47.533,-1.96,-0.61,47.567
315,115.97,253.22,-47.535,-1.97,-0.6,47.58
291,115.97,253.22,-47.502,-2,-0.56,47.554
267,115.97,253.22,-47.49,-1.99,-0.55,47.535
243,115.97,253.22,-47.487,-2.02,-0.55,47.531
219,115.97,253.22,-47.502,-2.01,-0.55,47.547
195,115.97,253.22,-47.535,-2.02,-0.53,47.571
171,115.97,253.22,-47.569,-2.04,-0.54,47.616
147,115.97,253.22,-47.606,-2.05,-0.56,47.653
147,139.97,253.22,-47.595,-2.02,-0.55,47.65
171,139.97,253.22,-47.571,-2.02,-0.55,47.617
195,139.97,253.22,-47.534,-2.01,-0.55,47.579
