# COSI2 B0 scan
# time 2024-09-12 21:57:48.451273
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240912_ball_overnight_R120_12pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
243.000,163.970,157.220,-47.4140,-2.0400,-0.5000,47.4590
263.000,203.970,167.220,-47.4160,-2.0200,-0.5000,47.4620
253.000,203.970,167.220,-47.4160,-2.0100,-0.5100,47.4580
243.000,203.970,167.220,-47.4280,-2.0100,-0.4800,47.4700
233.000,203.970,167.220,-47.4280,-2.0100,-0.4700,47.4730
223.000,203.970,167.220,-47.4180,-2.0300,-0.4900,47.4640
213.000,193.970,167.220,-47.4040,-2.0400,-0.4900,47.4560
223.000,193.970,167.220,-47.4020,-2.0600,-0.5100,47.4480
233.000,193.970,167.220,-47.4080,-2.0500,-0.5100,47.4550
243.000,193.970,167.220,-47.4120,-2.0400,-0.5000,47.4590
253.000,193.970,167.220,-47.4100,-2.0300,-0.4900,47.4560
263.000,193.970,167.220,-47.4130,-2.0300,-0.4900,47.4580
273.000,193.970,167.220,-47.4210,-2.0200,-0.4800,47.4670
283.000,183.970,167.220,-47.4320,-2.0200,-0.4800,47.4780
273.000,183.970,167.220,-47.4480,-2.0300,-0.4700,47.4940
263.000,183.970,167.220,-47.4570,-2.0200,-0.4800,47.5010
253.000,183.970,167.220,-47.4500,-2.0300,-0.4900,47.4990
243.000,183.970,167.220,-47.4380,-2.0300,-0.4900,47.4840
233.000,183.970,167.220,-47.4300,-2.0200,-0.4900,47.4780
223.000,183.970,167.220,-47.4210,-2.0300,-0.5000,47.4700
213.000,183.970,167.220,-47.4180,-2.0400,-0.5100,47.4650
203.000,183.970,167.220,-47.4240,-2.0500,-0.5100,47.4710
203.000,173.970,167.220,-47.4300,-2.0700,-0.5200,47.4740
213.000,173.970,167.220,-47.4420,-2.0600,-0.5300,47.4900
223.000,173.970,167.220,-47.4450,-2.0500,-0.5100,47.4920
233.000,173.970,167.220,-47.4390,-2.0400,-0.5000,47.4900
243.000,173.970,167.220,-47.4280,-2.0200,-0.5000,47.4780
253.000,173.970,167.220,-47.4210,-2.0300,-0.5000,47.4670
263.000,173.970,167.220,-47.4220,-2.0200,-0.5100,47.4680
273.000,173.970,167.220,-47.4290,-2.0200,-0.5000,47.4720
283.000,173.970,167.220,-47.4400,-2.0200,-0.5000,47.4810
283.000,163.970,167.220,-47.4490,-2.0300,-0.5100,47.4950
273.000,163.970,167.220,-47.4530,-2.0200,-0.5100,47.4990
263.000,163.970,167.220,-47.4500,-2.0300,-0.5200,47.4960
253.000,163.970,167.220,-47.4410,-2.0200,-0.5100,47.4870
243.000,163.970,167.220,-47.4310,-2.0200,-0.5100,47.4790
233.000,163.970,167.220,-47.4260,-2.0200,-0.5000,47.4720
223.000,163.970,167.220,-47.4230,-2.0400,-0.5100,47.4690
213.000,163.970,167.220,-47.4210,-2.0400,-0.5100,47.4680
203.000,163.970,167.220,-47.4290,-2.0500,-0.5000,47.4730
203.000,153.970,167.220,-47.4360,-2.0600,-0.5100,47.4840
213.000,153.970,167.220,-47.4520,-2.0700,-0.4900,47.5000
223.000,153.970,167.220,-47.4570,-2.0600,-0.4900,47.5070
233.000,153.970,167.220,-47.4430,-2.0600,-0.4900,47.4980
243.000,153.970,167.220,-47.4350,-2.0500,-0.5000,47.4820
253.000,153.970,167.220,-47.4240,-2.0400,-0.5100,47.4730
263.000,153.970,167.220,-47.4210,-2.0300,-0.5100,47.4670
273.000,153.970,167.220,-47.4250,-2.0200,-0.5200,47.4710
283.000,153.970,167.220,-47.4270,-2.0100,-0.5300,47.4730
283.000,143.970,167.220,-47.4310,-2.0100,-0.5300,47.4760
273.000,143.970,167.220,-47.4350,-2.0100,-0.5400,47.4780
263.000,143.970,167.220,-47.4290,-2.0000,-0.5400,47.4770
253.000,143.970,167.220,-47.4200,-2.0100,-0.5300,47.4660
243.000,143.970,167.220,-47.4130,-2.0200,-0.5200,47.4590
233.000,143.970,167.220,-47.4150,-2.0400,-0.5100,47.4580
223.000,143.970,167.220,-47.4140,-2.0400,-0.5100,47.4600
213.000,143.970,167.220,-47.4140,-2.0500,-0.5000,47.4610
203.000,143.970,167.220,-47.4270,-2.0500,-0.4800,47.4740
213.000,133.970,167.220,-47.4420,-2.0600,-0.4900,47.4850
223.000,133.970,167.220,-47.4480,-2.0700,-0.5000,47.4950
233.000,133.970,167.220,-47.4420,-2.0600,-0.4900,47.4890
243.000,133.970,167.220,-47.4230,-2.0600,-0.4900,47.4710
253.000,133.970,167.220,-47.4100,-2.0400,-0.5000,47.4600
263.000,133.970,167.220,-47.4080,-2.0400,-0.5100,47.4550
273.000,133.970,167.220,-47.4040,-2.0100,-0.5200,47.4500
263.000,123.970,167.220,-47.4030,-2.0100,-0.5200,47.4480
253.000,123.970,167.220,-47.4020,-2.0100,-0.5200,47.4480
243.000,123.970,167.220,-47.3990,-2.0300,-0.5200,47.4450
233.000,123.970,167.220,-47.3930,-2.0300,-0.4900,47.4390
223.000,123.970,167.220,-47.3930,-2.0500,-0.4800,47.4400
223.000,103.970,177.220,-47.4050,-2.0600,-0.4900,47.4480
233.000,103.970,177.220,-47.4170,-2.0800,-0.4700,47.4650
243.000,103.970,177.220,-47.4160,-2.0700,-0.4900,47.4640
253.000,103.970,177.220,-47.4080,-2.0500,-0.5000,47.4540
263.000,103.970,177.220,-47.3920,-2.0400,-0.5100,47.4380
283.000,113.970,177.220,-47.3840,-2.0300,-0.5300,47.4350
273.000,113.970,177.220,-47.3820,-2.0200,-0.5500,47.4280
263.000,113.970,177.220,-47.3950,-2.0000,-0.5400,47.4360
253.000,113.970,177.220,-47.3960,-2.0200,-0.5400,47.4440
243.000,113.970,177.220,-47.3910,-2.0300,-0.5300,47.4380
233.000,113.970,177.220,-47.3910,-2.0400,-0.5100,47.4380
223.000,113.970,177.220,-47.4040,-2.0500,-0.5100,47.4440
213.000,113.970,177.220,-47.4120,-2.0600,-0.4900,47.4560
203.000,113.970,177.220,-47.4220,-2.0800,-0.4800,47.4700
193.000,123.970,177.220,-47.4400,-2.0800,-0.4800,47.4880
203.000,123.970,177.220,-47.4590,-2.0700,-0.4700,47.5070
213.000,123.970,177.220,-47.4730,-2.0700,-0.4800,47.5200
223.000,123.970,177.220,-47.4640,-2.0600,-0.4900,47.5180
233.000,123.970,177.220,-47.4480,-2.0700,-0.5000,47.5000
243.000,123.970,177.220,-47.4330,-2.0500,-0.5000,47.4800
253.000,123.970,177.220,-47.4170,-2.0500,-0.5000,47.4640
263.000,123.970,177.220,-47.4110,-2.0300,-0.5200,47.4580
273.000,123.970,177.220,-47.4080,-2.0200,-0.5200,47.4540
283.000,123.970,177.220,-47.4060,-2.0100,-0.5300,47.4520
293.000,123.970,177.220,-47.4040,-2.0100,-0.5400,47.4490
293.000,133.970,177.220,-47.4050,-1.9900,-0.5500,47.4490
283.000,133.970,177.220,-47.4120,-1.9900,-0.5500,47.4540
273.000,133.970,177.220,-47.4170,-2.0000,-0.5500,47.4630
263.000,133.970,177.220,-47.4210,-2.0100,-0.5400,47.4670
