# COSI2 B0 scan,,,,,,
# time 2024-09-12 21:57:48.451273,,,,,,
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240912_ball_overnight_R120_12pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
243,163.97,157.22,-47.416,-2.01,-0.51,47.458
263,203.97,167.22,-47.428,-2.01,-0.48,47.47
253,203.97,167.22,-47.428,-2.01,-0.47,47.473
243,203.97,167.22,-47.418,-2.03,-0.49,47.464
233,203.97,167.22,-47.404,-2.04,-0.49,47.456
223,203.97,167.22,-47.402,-2.06,-0.51,47.448
213,193.97,167.22,-47.408,-2.05,-0.51,47.455
223,193.97,167.22,-47.412,-2.04,-0.5,47.459
233,193.97,167.22,-47.41,-2.03,-0.49,47.456
243,193.97,167.22,-47.413,-2.03,-0.49,47.458
253,193.97,167.22,-47.421,-2.02,-0.48,47.467
263,193.97,167.22,-47.432,-2.02,-0.48,47.478
273,193.97,167.22,-47.448,-2.03,-0.47,47.494
283,183.97,167.22,-47.457,-2.02,-0.48,47.501
273,183.97,167.22,-47.45,-2.03,-0.49,47.499
263,183.97,167.22,-47.438,-2.03,-0.49,47.484
253,183.97,167.22,-47.43,-2.02,-0.49,47.478
243,183.97,167.22,-47.421,-2.03,-0.5,47.47
233,183.97,167.22,-47.418,-2.04,-0.51,47.465
223,183.97,167.22,-47.424,-2.05,-0.51,47.471
213,183.97,167.22,-47.43,-2.07,-0.52,47.474
203,183.97,167.22,-47.442,-2.06,-0.53,47.49
203,173.97,167.22,-47.445,-2.05,-0.51,47.492
213,173.97,167.22,-47.439,-2.04,-0.5,47.49
223,173.97,167.22,-47.428,-2.02,-0.5,47.478
233,173.97,167.22,-47.421,-2.03,-0.5,47.467
243,173.97,167.22,-47.422,-2.02,-0.51,47.468
253,173.97,167.22,-47.429,-2.02,-0.5,47.472
263,173.97,167.22,-47.44,-2.02,-0.5,47.481
273,173.97,167.22,-47.449,-2.03,-0.51,47.495
283,173.97,167.22,-47.453,-2.02,-0.51,47.499
283,163.97,167.22,-47.45,-2.03,-0.52,47.496
273,163.97,167.22,-47.441,-2.02,-0.51,47.487
263,163.97,167.22,-47.431,-2.02,-0.51,47.479
253,163.97,167.22,-47.426,-2.02,-0.5,47.472
243,163.97,167.22,-47.423,-2.04,-0.51,47.469
233,163.97,167.22,-47.421,-2.04,-0.51,47.468
223,163.97,167.22,-47.429,-2.05,-0.5,47.473
213,163.97,167.22,-47.436,-2.06,-0.51,47.484
203,163.97,167.22,-47.452,-2.07,-0.49,47.5
203,153.97,167.22,-47.457,-2.06,-0.49,47.507
213,153.97,167.22,-47.443,-2.06,-0.49,47.498
223,153.97,167.22,-47.435,-2.05,-0.5,47.482
233,153.97,167.22,-47.424,-2.04,-0.51,47.473
243,153.97,167.22,-47.421,-2.03,-0.51,47.467
253,153.97,167.22,-47.425,-2.02,-0.52,47.471
263,153.97,167.22,-47.427,-2.01,-0.53,47.473
273,153.97,167.22,-47.431,-2.01,-0.53,47.476
283,153.97,167.22,-47.435,-2.01,-0.54,47.478
283,143.97,167.22,-47.429,-2,-0.54,47.477
273,143.97,167.22,-47.42,-2.01,-0.53,47.466
263,143.97,167.22,-47.413,-2.02,-0.52,47.459
253,143.97,167.22,-47.415,-2.04,-0.51,47.458
243,143.97,167.22,-47.414,-2.04,-0.51,47.46
233,143.97,167.22,-47.414,-2.05,-0.5,47.461
223,143.97,167.22,-47.427,-2.05,-0.48,47.474
213,143.97,167.22,-47.442,-2.06,-0.49,47.485
203,143.97,167.22,-47.448,-2.07,-0.5,47.495
213,133.97,167.22,-47.442,-2.06,-0.49,47.489
223,133.97,167.22,-47.423,-2.06,-0.49,47.471
233,133.97,167.22,-47.41,-2.04,-0.5,47.46
243,133.97,167.22,-47.408,-2.04,-0.51,47.455
253,133.97,167.22,-47.404,-2.01,-0.52,47.45
263,133.97,167.22,-47.403,-2.01,-0.52,47.448
273,133.97,167.22,-47.402,-2.01,-0.52,47.448
263,123.97,167.22,-47.399,-2.03,-0.52,47.445
253,123.97,167.22,-47.393,-2.03,-0.49,47.439
