# COSI2 B0 scan
# time 2024-09-12 15:45:09.676501
# MAGNET CENTER IN LAB: x 243.000 mm, y 163.970 mm, z 277.220 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240912_sphere_20pts_1_ring
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
257.040,163.970,396.400,-47.5790,-1.9700,-0.7000,47.6250
256.360,168.310,396.400,-47.5840,-1.9600,-0.6900,47.6300
254.360,172.220,396.400,-47.5810,-1.9800,-0.7000,47.6270
251.250,175.330,396.400,-47.5770,-1.9700,-0.7000,47.6240
247.340,177.330,396.400,-47.5730,-1.9600,-0.6800,47.6180
243.000,178.010,396.400,-47.5630,-1.9700,-0.6800,47.6130
238.660,177.330,396.400,-47.5560,-1.9700,-0.6800,47.6020
234.750,175.330,396.400,-47.5430,-1.9600,-0.6800,47.5930
231.640,172.220,396.400,-47.5380,-1.9600,-0.6900,47.5830
229.640,168.310,396.400,-47.5290,-1.9800,-0.6800,47.5750
228.960,163.970,396.400,-47.5230,-1.9900,-0.6900,47.5720
229.640,159.630,396.400,-47.5210,-2.0000,-0.6900,47.5680
231.640,155.720,396.400,-47.5180,-2.0200,-0.7100,47.5650
234.750,152.610,396.400,-47.5210,-2.0100,-0.6900,47.5690
238.660,150.610,396.400,-47.5250,-2.0200,-0.7100,47.5700
243.000,149.930,396.400,-47.5310,-2.0200,-0.7100,47.5800
247.340,150.610,396.400,-47.5380,-2.0300,-0.7000,47.5870
251.250,152.610,396.400,-47.5480,-2.0200,-0.7200,47.5930
254.360,155.720,396.400,-47.5520,-2.0100,-0.7100,47.6000
256.360,159.630,396.400,-47.5620,-2.0100,-0.7200,47.6060
274.920,163.970,392.900,-47.5690,-1.9900,-0.7300,47.6160
273.360,173.830,392.900,-47.5760,-1.9700,-0.7000,47.6220
268.820,182.730,392.900,-47.6020,-1.9200,-0.6700,47.6380
261.760,189.790,392.900,-47.6050,-1.9200,-0.6600,47.6510
252.860,194.330,392.900,-47.5970,-1.9100,-0.6200,47.6390
243.000,195.890,392.900,-47.5660,-1.9400,-0.6200,47.6180
233.140,194.330,392.900,-47.5520,-1.9400,-0.6200,47.5950
224.240,189.790,392.900,-47.5250,-1.9200,-0.6200,47.5680
217.180,182.730,392.900,-47.5030,-1.9300,-0.6500,47.5460
212.640,173.830,392.900,-47.4850,-1.9300,-0.6700,47.5350
211.080,163.970,392.900,-47.4730,-1.9400,-0.6900,47.5210
212.640,154.110,392.900,-47.4730,-1.9800,-0.6900,47.5190
217.180,145.210,392.900,-47.4770,-2.0100,-0.7000,47.5250
224.240,138.150,392.900,-47.4880,-2.0300,-0.6900,47.5330
233.140,133.610,392.900,-47.4940,-2.0300,-0.7000,47.5430
243.000,132.050,392.900,-47.5010,-2.0600,-0.6900,47.5510
252.860,133.610,392.900,-47.5170,-2.0600,-0.7100,47.5600
261.760,138.150,392.900,-47.5290,-2.0500,-0.7000,47.5780
268.820,145.210,392.900,-47.5420,-2.0400,-0.7200,47.5910
273.360,154.110,392.900,-47.5610,-2.0200,-0.7200,47.6050
292.160,163.970,386.690,-47.5780,-2.0000,-0.7200,47.6260
289.750,179.160,386.690,-47.5980,-1.9400,-0.7200,47.6370
282.770,192.870,386.690,-47.6170,-1.8900,-0.6600,47.6560
271.900,203.740,386.690,-47.6130,-1.8700,-0.6000,47.6560
258.190,210.720,386.690,-47.5960,-1.8700,-0.5700,47.6410
243.000,213.130,386.690,-47.5740,-1.8800,-0.5300,47.6230
227.810,210.720,386.690,-47.5480,-1.9000,-0.5600,47.6000
214.100,203.740,386.690,-47.5110,-1.9000,-0.5500,47.5520
203.230,192.870,386.690,-47.4810,-1.9100,-0.6000,47.5230
196.250,179.160,386.690,-47.4620,-1.9000,-0.6300,47.5050
193.840,163.970,386.690,-47.4530,-1.8900,-0.6600,47.4950
196.250,148.780,386.690,-47.4470,-1.9300,-0.7000,47.4910
203.230,135.070,386.690,-47.4530,-1.9700,-0.6800,47.4990
214.100,124.200,386.690,-47.4600,-2.0200,-0.6900,47.5080
227.810,117.220,386.690,-47.4690,-2.0500,-0.6900,47.5180
243.000,114.810,386.690,-47.4820,-2.0700,-0.6700,47.5320
258.190,117.220,386.690,-47.4950,-2.0700,-0.6900,47.5450
