# COSI2 B0 scan
# time 2024-09-16 22:10:17.678322
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240916_ball_R120_12pts_4_RINGS_INSTALLED
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
231.460,164.700,157.210,0.2330,-2.0340,-47.6430,47.6860
251.460,204.700,167.210,0.2320,-2.0400,-47.6350,47.6770
241.460,204.700,167.210,0.2840,-2.0740,-47.6550,47.7010
231.460,204.700,167.210,0.2880,-2.0560,-47.6460,47.6920
221.460,204.700,167.210,0.2720,-2.0260,-47.6320,47.6760
211.460,204.700,167.210,0.2640,-2.0100,-47.6250,47.6660
201.460,194.700,167.210,0.2620,-2.0070,-47.6170,47.6580
211.460,194.700,167.210,0.2380,-1.9930,-47.6250,47.6680
221.460,194.700,167.210,0.2500,-2.0080,-47.6200,47.6660
231.460,194.700,167.210,0.2570,-2.0200,-47.6260,47.6700
241.460,194.700,167.210,0.2660,-2.0280,-47.6350,47.6810
251.460,194.700,167.210,0.2540,-2.0510,-47.6450,47.6890
261.460,194.700,167.210,0.2540,-2.0790,-47.6610,47.7070
271.460,184.700,167.210,0.2650,-2.0930,-47.6680,47.7150
261.460,184.700,167.210,0.2380,-2.1290,-47.6760,47.7240
251.460,184.700,167.210,0.2490,-2.1010,-47.6660,47.7150
241.460,184.700,167.210,0.2390,-2.0790,-47.6580,47.7030
231.460,184.700,167.210,0.2450,-2.0550,-47.6460,47.6930
221.460,184.700,167.210,0.2450,-2.0420,-47.6400,47.6840
211.460,184.700,167.210,0.2530,-2.0280,-47.6300,47.6730
201.460,184.700,167.210,0.2470,-2.0120,-47.6240,47.6680
191.460,184.700,167.210,0.2490,-1.9920,-47.6300,47.6720
191.460,174.700,167.210,0.2260,-1.9920,-47.6340,47.6790
201.460,174.700,167.210,0.2290,-1.9860,-47.6380,47.6810
211.460,174.700,167.210,0.2450,-1.9960,-47.6320,47.6750
221.460,174.700,167.210,0.2420,-2.0140,-47.6290,47.6720
231.460,174.700,167.210,0.2430,-2.0200,-47.6330,47.6770
241.460,174.700,167.210,0.2330,-2.0380,-47.6350,47.6790
251.460,174.700,167.210,0.2320,-2.0430,-47.6440,47.6900
261.460,174.700,167.210,0.2250,-2.0760,-47.6510,47.6940
271.460,174.700,167.210,0.2180,-2.0960,-47.6590,47.7050
271.460,164.700,167.210,0.2150,-2.1280,-47.6700,47.7170
261.460,164.700,167.210,0.1820,-2.1180,-47.6540,47.7030
251.460,164.700,167.210,0.1960,-2.0850,-47.6490,47.6950
241.460,164.700,167.210,0.2090,-2.0790,-47.6420,47.6870
231.460,164.700,167.210,0.2250,-2.0550,-47.6340,47.6780
221.460,164.700,167.210,0.2260,-2.0320,-47.6290,47.6730
211.460,164.700,167.210,0.2440,-2.0160,-47.6280,47.6730
201.460,164.700,167.210,0.2440,-2.0100,-47.6320,47.6730
191.460,164.700,167.210,0.2440,-2.0040,-47.6340,47.6760
191.460,154.700,167.210,0.2550,-1.9850,-47.6440,47.6850
201.460,154.700,167.210,0.2510,-1.9860,-47.6340,47.6770
211.460,154.700,167.210,0.2540,-2.0010,-47.6240,47.6670
221.460,154.700,167.210,0.2410,-2.0200,-47.6160,47.6590
231.460,154.700,167.210,0.2450,-2.0190,-47.6160,47.6580
241.460,154.700,167.210,0.2300,-2.0310,-47.6190,47.6630
251.460,154.700,167.210,0.2100,-2.0520,-47.6220,47.6650
261.460,154.700,167.210,0.1910,-2.0590,-47.6280,47.6730
271.460,154.700,167.210,0.1810,-2.0780,-47.6300,47.6760
271.460,144.700,167.210,0.1520,-2.1030,-47.6390,47.6850
261.460,144.700,167.210,0.1470,-2.0730,-47.6180,47.6620
251.460,144.700,167.210,0.1700,-2.0590,-47.6150,47.6590
241.460,144.700,167.210,0.1860,-2.0590,-47.6090,47.6520
231.460,144.700,167.210,0.2040,-2.0500,-47.6100,47.6530
221.460,144.700,167.210,0.2090,-2.0390,-47.6070,47.6530
211.460,144.700,167.210,0.2280,-2.0230,-47.6100,47.6510
201.460,144.700,167.210,0.2340,-2.0200,-47.6130,47.6560
191.460,144.700,167.210,0.2590,-2.0040,-47.6160,47.6600
201.460,134.700,167.210,0.2660,-2.0020,-47.6240,47.6660
211.460,134.700,167.210,0.2500,-2.0200,-47.6060,47.6500
221.460,134.700,167.210,0.2410,-2.0320,-47.6000,47.6430
231.460,134.700,167.210,0.2280,-2.0190,-47.5930,47.6390
241.460,134.700,167.210,0.2180,-2.0420,-47.5930,47.6370
251.460,134.700,167.210,0.2070,-2.0390,-47.5920,47.6370
261.460,134.700,167.210,0.1890,-2.0460,-47.5940,47.6380
251.460,124.700,167.210,0.1700,-2.0480,-47.5970,47.6410
241.460,124.700,167.210,0.1870,-2.0470,-47.5730,47.6180
231.460,124.700,167.210,0.2040,-2.0370,-47.5800,47.6220
221.460,124.700,167.210,0.2120,-2.0360,-47.5770,47.6210
211.460,124.700,167.210,0.2360,-2.0340,-47.5810,47.6230
211.460,104.700,177.210,0.2470,-2.0190,-47.5890,47.6310
221.460,104.700,177.210,0.2440,-2.0220,-47.5500,47.5930
231.460,104.700,177.210,0.2430,-2.0390,-47.5420,47.5860
241.460,104.700,177.210,0.2070,-2.0340,-47.5330,47.5770
251.460,104.700,177.210,0.1930,-2.0350,-47.5350,47.5790
271.460,114.700,177.210,0.1600,-2.0450,-47.5340,47.5810
261.460,114.700,177.210,0.1460,-2.0610,-47.5650,47.6130
251.460,114.700,177.210,0.1610,-2.0440,-47.5590,47.6030
241.460,114.700,177.210,0.1800,-2.0450,-47.5580,47.6010
231.460,114.700,177.210,0.1960,-2.0550,-47.5560,47.6010
221.460,114.700,177.210,0.2140,-2.0430,-47.5560,47.6010
211.460,114.700,177.210,0.2330,-2.0270,-47.5610,47.6050
201.460,114.700,177.210,0.2510,-2.0290,-47.5660,47.6100
191.460,114.700,177.210,0.2590,-2.0120,-47.5810,47.6220
181.460,124.700,177.210,0.2720,-1.9990,-47.5850,47.6250
191.460,124.700,177.210,0.2640,-1.9910,-47.6010,47.6440
201.460,124.700,177.210,0.2660,-2.0030,-47.5930,47.6360
211.460,124.700,177.210,0.2360,-2.0120,-47.5860,47.6310
221.460,124.700,177.210,0.2330,-2.0310,-47.5780,47.6220
231.460,124.700,177.210,0.2230,-2.0290,-47.5750,47.6190
241.460,124.700,177.210,0.2050,-2.0400,-47.5770,47.6200
251.460,124.700,177.210,0.1960,-2.0340,-47.5690,47.6120
261.460,124.700,177.210,0.1780,-2.0480,-47.5720,47.6140
271.460,124.700,177.210,0.1760,-2.0580,-47.5730,47.6200
281.460,124.700,177.210,0.1620,-2.0630,-47.5780,47.6220
281.460,134.700,177.210,0.1510,-2.0670,-47.5800,47.6260
271.460,134.700,177.210,0.1430,-2.0800,-47.5910,47.6370
261.460,134.700,177.210,0.1550,-2.0730,-47.5910,47.6360
251.460,134.700,177.210,0.1600,-2.0670,-47.5940,47.6390
241.460,134.700,177.210,0.1840,-2.0550,-47.5880,47.6350
231.460,134.700,177.210,0.1960,-2.0430,-47.5880,47.6320
221.460,134.700,177.210,0.2140,-2.0350,-47.5910,47.6340
211.460,134.700,177.210,0.2220,-2.0290,-47.5880,47.6310
201.460,134.700,177.210,0.2370,-2.0170,-47.5930,47.6360
191.460,134.700,177.210,0.2440,-2.0160,-47.5980,47.6410
181.460,134.700,177.210,0.2530,-1.9970,-47.6040,47.6470
171.460,144.700,177.210,0.2600,-1.9920,-47.6060,47.6490
181.460,144.700,177.210,0.2660,-1.9820,-47.6190,47.6620
191.460,144.700,177.210,0.2570,-1.9930,-47.6150,47.6570
201.460,144.700,177.210,0.2490,-2.0020,-47.6090,0.0000
211.460,144.700,177.210,0.0000,0.0000,0.0000,0.0000
221.460,144.700,177.210,0.2310,-2.0130,-47.6010,47.6440
231.460,144.700,177.210,0.2270,-2.0240,-47.6030,47.6460
241.460,144.700,177.210,0.2170,-2.0340,-47.6000,47.6420
251.460,144.700,177.210,0.2040,-2.0510,-47.6060,47.6480
261.460,144.700,177.210,0.1940,-2.0670,-47.6000,47.6440
271.460,144.700,177.210,0.1770,-2.0680,-47.6040,47.6490
281.460,144.700,177.210,0.1530,-2.0680,-47.6060,47.6500
291.460,144.700,177.210,0.1440,-2.0940,-47.6080,47.6540
291.460,154.700,177.210,0.1200,-2.0980,-47.6060,47.6490
281.460,154.700,177.210,0.1410,-2.1210,-47.6250,47.6730
271.460,154.700,177.210,0.1520,-2.1100,-47.6250,47.6710
261.460,154.700,177.210,0.1650,-2.0950,-47.6240,47.6690
251.460,154.700,177.210,0.1880,-2.0730,-47.6180,47.6640
241.460,154.700,177.210,0.2040,-2.0550,-47.6150,47.6590
231.460,154.700,177.210,0.2080,-2.0450,-47.6110,47.6550
221.460,154.700,177.210,0.2230,-2.0330,-47.6120,47.6570
211.460,154.700,177.210,0.2330,-2.0270,-47.6100,47.6520
201.460,154.700,177.210,0.2320,-2.0200,-47.6110,47.6540
191.460,154.700,177.210,0.2390,-2.0070,-47.6170,47.6590
181.460,154.700,177.210,0.2360,-1.9890,-47.6200,47.6610
171.460,154.700,177.210,0.2510,-1.9700,-47.6250,47.6650
171.460,164.700,177.210,0.2650,-1.9630,-47.6290,47.6710
181.460,164.700,177.210,0.2490,-1.9440,-47.6370,47.6770
191.460,164.700,177.210,0.2400,-1.9730,-47.6310,47.6720
201.460,164.700,177.210,0.2500,-1.9860,-47.6210,47.6660
211.460,164.700,177.210,0.2360,-1.9950,-47.6170,47.6590
221.460,164.700,177.210,0.2320,-2.0000,-47.6170,47.6600
231.460,164.700,177.210,0.2370,-2.0160,-47.6160,47.6590
241.460,164.700,177.210,0.2280,-2.0380,-47.6140,47.6590
251.460,164.700,177.210,0.2200,-2.0510,-47.6200,47.6680
261.460,164.700,177.210,0.2180,-2.0640,-47.6260,47.6710
271.460,164.700,177.210,0.2000,-2.0730,-47.6290,47.6750
281.460,164.700,177.210,0.1870,-2.0960,-47.6400,47.6870
291.460,164.700,177.210,0.1730,-2.1210,-47.6400,47.6880
291.460,174.700,177.210,0.1610,-2.1390,-47.6430,47.6900
281.460,174.700,177.210,0.1920,-2.1600,-47.6520,47.7020
271.460,174.700,177.210,0.2050,-2.1190,-47.6530,47.7000
261.460,174.700,177.210,0.2060,-2.1130,-47.6470,47.6950
251.460,174.700,177.210,0.2070,-2.0910,-47.6430,47.6890
241.460,174.700,177.210,0.2220,-2.0640,-47.6330,47.6790
231.460,174.700,177.210,0.2260,-2.0480,-47.6280,47.6730
221.460,174.700,177.210,0.2330,-2.0290,-47.6250,47.6690
211.460,174.700,177.210,0.2420,-2.0170,-47.6220,47.6660
201.460,174.700,177.210,0.2440,-2.0110,-47.6210,47.6640
191.460,174.700,177.210,0.2300,-1.9960,-47.6230,47.6650
181.460,174.700,177.210,0.2380,-1.9780,-47.6270,47.6690
171.460,174.700,177.210,0.2400,-1.9750,-47.6310,47.6720
171.460,184.700,177.210,0.2410,-1.9620,-47.6370,47.6760
181.460,184.700,177.210,0.2250,-1.9620,-47.6340,47.6750
191.460,184.700,177.210,0.2360,-1.9690,-47.6310,47.6740
201.460,184.700,177.210,0.2280,-1.9840,-47.6240,47.6690
211.460,184.700,177.210,0.2370,-1.9970,-47.6220,47.6650
221.460,184.700,177.210,0.2360,-2.0030,-47.6210,47.6620
231.460,184.700,177.210,0.2290,-2.0250,-47.6230,47.6660
241.460,184.700,177.210,0.2440,-2.0260,-47.6290,47.6720
