# COSI2 B0 scan,,,,,,
# time 2024-09-16 22:10:17.678322,,,,,,
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240916_ball_R120_12pts_4_RINGS_INSTALLED,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
231.46,164.7,157.21,0.232,-2.04,-47.635,47.677
251.46,204.7,167.21,0.284,-2.074,-47.655,47.701
241.46,204.7,167.21,0.288,-2.056,-47.646,47.692
231.46,204.7,167.21,0.272,-2.026,-47.632,47.676
221.46,204.7,167.21,0.264,-2.01,-47.625,47.666
211.46,204.7,167.21,0.262,-2.007,-47.617,47.658
201.46,194.7,167.21,0.238,-1.993,-47.625,47.668
211.46,194.7,167.21,0.25,-2.008,-47.62,47.666
221.46,194.7,167.21,0.257,-2.02,-47.626,47.67
231.46,194.7,167.21,0.266,-2.028,-47.635,47.681
241.46,194.7,167.21,0.254,-2.051,-47.645,47.689
251.46,194.7,167.21,0.254,-2.079,-47.661,47.707
261.46,194.7,167.21,0.265,-2.093,-47.668,47.715
271.46,184.7,167.21,0.238,-2.129,-47.676,47.724
261.46,184.7,167.21,0.249,-2.101,-47.666,47.715
251.46,184.7,167.21,0.239,-2.079,-47.658,47.703
241.46,184.7,167.21,0.245,-2.055,-47.646,47.693
231.46,184.7,167.21,0.245,-2.042,-47.64,47.684
221.46,184.7,167.21,0.253,-2.028,-47.63,47.673
211.46,184.7,167.21,0.247,-2.012,-47.624,47.668
201.46,184.7,167.21,0.249,-1.992,-47.63,47.672
191.46,184.7,167.21,0.226,-1.992,-47.634,47.679
191.46,174.7,167.21,0.229,-1.986,-47.638,47.681
201.46,174.7,167.21,0.245,-1.996,-47.632,47.675
211.46,174.7,167.21,0.242,-2.014,-47.629,47.672
221.46,174.7,167.21,0.243,-2.02,-47.633,47.677
231.46,174.7,167.21,0.233,-2.038,-47.635,47.679
241.46,174.7,167.21,0.232,-2.043,-47.644,47.69
251.46,174.7,167.21,0.225,-2.076,-47.651,47.694
261.46,174.7,167.21,0.218,-2.096,-47.659,47.705
271.46,174.7,167.21,0.215,-2.128,-47.67,47.717
271.46,164.7,167.21,0.182,-2.118,-47.654,47.703
261.46,164.7,167.21,0.196,-2.085,-47.649,47.695
251.46,164.7,167.21,0.209,-2.079,-47.642,47.687
241.46,164.7,167.21,0.225,-2.055,-47.634,47.678
231.46,164.7,167.21,0.226,-2.032,-47.629,47.673
221.46,164.7,167.21,0.244,-2.016,-47.628,47.673
211.46,164.7,167.21,0.244,-2.01,-47.632,47.673
201.46,164.7,167.21,0.244,-2.004,-47.634,47.676
191.46,164.7,167.21,0.255,-1.985,-47.644,47.685
191.46,154.7,167.21,0.251,-1.986,-47.634,47.677
201.46,154.7,167.21,0.254,-2.001,-47.624,47.667
211.46,154.7,167.21,0.241,-2.02,-47.616,47.659
221.46,154.7,167.21,0.245,-2.019,-47.616,47.658
231.46,154.7,167.21,0.23,-2.031,-47.619,47.663
241.46,154.7,167.21,0.21,-2.052,-47.622,47.665
251.46,154.7,167.21,0.191,-2.059,-47.628,47.673
261.46,154.7,167.21,0.181,-2.078,-47.63,47.676
271.46,154.7,167.21,0.152,-2.103,-47.639,47.685
271.46,144.7,167.21,0.147,-2.073,-47.618,47.662
261.46,144.7,167.21,0.17,-2.059,-47.615,47.659
251.46,144.7,167.21,0.186,-2.059,-47.609,47.652
241.46,144.7,167.21,0.204,-2.05,-47.61,47.653
231.46,144.7,167.21,0.209,-2.039,-47.607,47.653
221.46,144.7,167.21,0.228,-2.023,-47.61,47.651
211.46,144.7,167.21,0.234,-2.02,-47.613,47.656
201.46,144.7,167.21,0.259,-2.004,-47.616,47.66
191.46,144.7,167.21,0.266,-2.002,-47.624,47.666
201.46,134.7,167.21,0.25,-2.02,-47.606,47.65
211.46,134.7,167.21,0.241,-2.032,-47.6,47.643
221.46,134.7,167.21,0.228,-2.019,-47.593,47.639
231.46,134.7,167.21,0.218,-2.042,-47.593,47.637
241.46,134.7,167.21,0.207,-2.039,-47.592,47.637
251.46,134.7,167.21,0.189,-2.046,-47.594,47.638
261.46,134.7,167.21,0.17,-2.048,-47.597,47.641
251.46,124.7,167.21,0.187,-2.047,-47.573,47.618
241.46,124.7,167.21,0.204,-2.037,-47.58,47.622
231.46,124.7,167.21,0.212,-2.036,-47.577,47.621
221.46,124.7,167.21,0.236,-2.034,-47.581,47.623
211.46,124.7,167.21,0.247,-2.019,-47.589,47.631
211.46,104.7,177.21,0.244,-2.022,-47.55,47.593
221.46,104.7,177.21,0.243,-2.039,-47.542,47.586
231.46,104.7,177.21,0.207,-2.034,-47.533,47.577
241.46,104.7,177.21,0.193,-2.035,-47.535,47.579
251.46,104.7,177.21,0.16,-2.045,-47.534,47.581
271.46,114.7,177.21,0.146,-2.061,-47.565,47.613
261.46,114.7,177.21,0.161,-2.044,-47.559,47.603
251.46,114.7,177.21,0.18,-2.045,-47.558,47.601
241.46,114.7,177.21,0.196,-2.055,-47.556,47.601
231.46,114.7,177.21,0.214,-2.043,-47.556,47.601
221.46,114.7,177.21,0.233,-2.027,-47.561,47.605
211.46,114.7,177.21,0.251,-2.029,-47.566,47.61
201.46,114.7,177.21,0.259,-2.012,-47.581,47.622
191.46,114.7,177.21,0.272,-1.999,-47.585,47.625
181.46,124.7,177.21,0.264,-1.991,-47.601,47.644
191.46,124.7,177.21,0.266,-2.003,-47.593,47.636
201.46,124.7,177.21,0.236,-2.012,-47.586,47.631
