# COSI2 B0 scan
# time 2024-09-16 16:54:55.359329
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240916_sphere_one_ring_shim_M400
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
245.500,164.700,396.390,0.0610,-1.9710,-47.7250,47.7590
244.820,169.040,396.390,0.0600,-1.9800,-47.7270,47.7690
242.820,172.950,396.390,0.0660,-1.9660,-47.7250,47.7650
239.710,176.060,396.390,0.0810,-1.9590,-47.7290,47.7690
235.800,178.060,396.390,0.0940,-1.9600,-47.7160,47.7570
231.460,178.740,396.390,0.0950,-1.9670,-47.7100,47.7510
227.120,178.060,396.390,0.0910,-1.9720,-47.7000,47.7400
223.210,176.060,396.390,0.0750,-1.9740,-47.6890,47.7290
220.100,172.950,396.390,0.0710,-1.9930,-47.6810,47.7200
218.100,169.040,396.390,0.0740,-1.9970,-47.6790,47.7210
217.420,164.700,396.390,0.0660,-2.0160,-47.6720,47.7140
218.100,160.360,396.390,0.0550,-2.0230,-47.6740,47.7170
220.100,156.450,396.390,0.0600,-2.0310,-47.6800,47.7230
223.210,153.340,396.390,0.0570,-2.0350,-47.6840,47.7280
227.120,151.340,396.390,0.0520,-2.0410,-47.6850,47.7280
231.460,150.660,396.390,0.0430,-2.0380,-47.6960,47.7390
235.800,151.340,396.390,0.0420,-2.0440,-47.6980,47.7430
239.710,153.340,396.390,0.0500,-2.0300,-47.7050,47.7470
242.820,156.450,396.390,0.0450,-2.0160,-47.7130,47.7560
244.820,160.360,396.390,0.0510,-2.0010,-47.7200,47.7620
263.380,164.700,392.890,0.0550,-1.9850,-47.7280,47.7690
261.820,174.560,392.890,0.0790,-1.9310,-47.7480,47.7880
257.280,183.460,392.890,0.1000,-1.9070,-47.7490,47.7870
250.220,190.520,392.890,0.1400,-1.9020,-47.7420,47.7800
241.320,195.060,392.890,0.1430,-1.9200,-47.7230,47.7600
231.460,196.620,392.890,0.1470,-1.9190,-47.6980,47.7370
221.600,195.060,392.890,0.1450,-1.9360,-47.6780,47.7150
212.700,190.520,392.890,0.1240,-1.9480,-47.6540,47.6950
205.640,183.460,392.890,0.0940,-1.9540,-47.6440,47.6840
201.100,174.560,392.890,0.0800,-1.9690,-47.6370,47.6770
199.540,164.700,392.890,0.0550,-2.0060,-47.6340,47.6770
201.100,154.840,392.890,0.0540,-2.0350,-47.6390,47.6820
205.640,145.940,392.890,0.0640,-2.0310,-47.6410,47.6850
212.700,138.880,392.890,0.0640,-2.0550,-47.6540,47.6960
221.600,134.340,392.890,0.0680,-2.0680,-47.6580,47.7040
231.460,132.780,392.890,0.0590,-2.0770,-47.6700,47.7140
241.320,134.340,392.890,0.0570,-2.0710,-47.6800,47.7250
250.220,138.880,392.890,0.0490,-2.0610,-47.6930,47.7370
257.280,145.940,392.890,0.0390,-2.0320,-47.7070,47.7510
261.820,154.840,392.890,0.0380,-2.0070,-47.7230,47.7660
280.620,164.700,386.680,0.0410,-1.9650,-47.7370,47.7770
278.210,179.890,386.680,0.0830,-1.9070,-47.7440,47.7810
271.230,193.600,386.680,0.1430,-1.8670,-47.7490,47.7860
260.360,204.470,386.680,0.1870,-1.8720,-47.7330,47.7690
246.650,211.450,386.680,0.2210,-1.8980,-47.7060,47.7440
231.460,213.860,386.680,0.2160,-1.9070,-47.6700,47.7090
216.270,211.450,386.680,0.1990,-1.9210,-47.6480,47.6880
202.560,204.470,386.680,0.1770,-1.9300,-47.6290,47.6680
191.690,193.600,386.680,0.1410,-1.9310,-47.6180,47.6580
184.710,179.890,386.680,0.0960,-1.9320,-47.6080,47.6470
182.300,164.700,386.680,0.0730,-1.9670,-47.6060,47.6480
184.710,149.510,386.680,0.0660,-2.0030,-47.6150,47.6580
191.690,135.800,386.680,0.0750,-2.0370,-47.6170,47.6620
202.560,124.930,386.680,0.0900,-2.0640,-47.6310,47.6760
216.270,117.950,386.680,0.0950,-2.0790,-47.6390,47.6850
231.460,115.540,386.680,0.0880,-2.0960,-47.6480,47.6940
246.650,117.950,386.680,0.0850,-2.0900,-47.6600,47.7060
260.360,124.930,386.680,0.0680,-2.0760,-47.6780,47.7230
271.230,135.800,386.680,0.0510,-2.0520,-47.6940,47.7380
278.210,149.510,386.680,0.0480,-2.0150,-47.7070,47.7490
296.730,164.700,377.900,0.0510,-1.9590,-47.7230,47.7630
293.540,184.870,377.900,0.1100,-1.8960,-47.7300,47.7690
284.270,203.070,377.900,0.1880,-1.8700,-47.7330,47.7700
269.830,217.510,377.900,0.2500,-1.8720,-47.7080,47.7460
251.630,226.780,377.900,0.3000,-1.8840,-47.6840,47.7220
231.460,229.970,377.900,0.2900,-1.9090,-47.6350,47.6750
211.290,226.780,377.900,0.2570,-1.9240,-47.6050,47.6450
193.090,217.510,377.900,0.2060,-1.9240,-47.5990,47.6380
178.650,203.070,377.900,0.1640,-1.9260,-47.6100,47.6500
169.380,184.870,377.900,0.1400,-1.8970,-47.6080,47.6480
166.190,164.700,377.900,0.0920,-1.9140,-47.6040,47.6430
169.380,144.530,377.900,0.0840,-1.9580,-47.6120,47.6510
178.650,126.330,377.900,0.0940,-2.0080,-47.6160,47.6580
193.090,111.890,377.900,0.0980,-2.0360,-47.6250,47.6700
211.290,102.620,377.900,0.1330,-2.0950,-47.6360,47.6810
231.460,99.430,377.900,0.1420,-2.1050,-47.6310,47.6760
251.630,102.620,377.900,0.1060,-2.0970,-47.6320,47.6770
269.830,111.890,377.900,0.0720,-2.0760,-47.6570,47.7000
284.270,126.330,377.900,0.0730,-2.0490,-47.6910,47.7350
293.540,144.530,377.900,0.0750,-2.0280,-47.6980,47.7430
311.330,164.700,366.770,0.0760,-1.9710,-47.7130,47.7530
307.420,189.380,366.770,0.1400,-1.9070,-47.7250,47.7620
296.080,211.650,366.770,0.2420,-1.8940,-47.7130,47.7510
278.410,229.320,366.770,0.2910,-1.8850,-47.7050,47.7450
256.140,240.660,366.770,0.3800,-1.9100,-47.6530,47.6930
231.460,244.570,366.770,0.3510,-1.9480,-47.5880,47.6300
206.780,240.660,366.770,0.2820,-1.9490,-47.5590,47.5970
184.510,229.320,366.770,0.2120,-1.9340,-47.5620,47.6020
166.840,211.650,366.770,0.1510,-1.9330,-47.6080,47.6460
155.500,189.380,366.770,0.1690,-1.8990,-47.6400,47.6790
151.590,164.700,366.770,0.1140,-1.8760,-47.6290,47.6650
155.500,140.020,366.770,0.0910,-1.9200,-47.6510,47.6920
166.840,117.750,366.770,0.1060,-1.9500,-47.6420,47.6820
184.510,100.080,366.770,0.1180,-2.0360,-47.6570,47.6980
206.780,88.740,366.770,0.1950,-2.0770,-47.6360,47.6820
231.460,84.830,366.770,0.1840,-2.0680,-47.6040,47.6490
256.140,88.740,366.770,0.1390,-2.0870,-47.6020,47.6480
278.410,100.080,366.770,0.0830,-2.0870,-47.6220,47.6680
296.080,117.750,366.770,0.0610,-2.0460,-47.6810,47.7270
307.420,140.020,366.770,0.1080,-2.0290,-47.7170,47.7630
324.060,164.700,353.540,0.1130,-2.0000,-47.7020,47.7440
319.530,193.310,353.540,0.1730,-1.9340,-47.7160,47.7530
306.370,219.130,353.540,0.2460,-1.9290,-47.7000,47.7410
285.890,239.610,353.540,0.3450,-1.9080,-47.7020,47.7400
260.070,252.770,353.540,0.4320,-1.9580,-47.6050,47.6470
231.460,257.300,353.540,0.3760,-2.0160,-47.5390,47.5840
202.850,252.770,353.540,0.2910,-1.9790,-47.5330,47.5770
177.030,239.610,353.540,0.2200,-1.9290,-47.5410,47.5810
156.550,219.130,353.540,0.1380,-1.9310,-47.6050,47.6440
143.390,193.310,353.540,0.1610,-1.9230,-47.6850,47.7240
138.860,164.700,353.540,0.1400,-1.8740,-47.6800,47.7180
143.390,136.090,353.540,0.1150,-1.9060,-47.7020,47.7420
156.550,110.270,353.540,0.1280,-1.9590,-47.6870,47.7270
177.030,89.790,353.540,0.1650,-2.0340,-47.6990,47.7430
202.850,76.630,353.540,0.2310,-2.0310,-47.6360,47.6800
231.460,72.100,353.540,0.1860,-2.0350,-47.5960,47.6400
260.070,76.630,353.540,0.1640,-2.0790,-47.5920,47.6390
285.890,89.790,353.540,0.1130,-2.1140,-47.6000,47.6470
306.370,110.270,353.540,0.0480,-2.0560,-47.6520,47.6960
319.530,136.090,353.540,0.1180,-1.9950,-47.7320,47.7740
334.620,164.700,338.510,0.1390,-1.9930,-47.6980,47.7390
329.570,196.580,338.510,0.1810,-1.9570,-47.7070,47.7470
314.920,225.340,338.510,0.2710,-1.9660,-47.7030,47.7440
292.100,248.160,338.510,0.3960,-1.9490,-47.7090,47.7500
263.340,262.810,338.510,0.4620,-2.0180,-47.5580,47.6030
231.460,267.860,338.510,0.3500,-2.0320,-47.5250,47.5700
199.580,262.810,338.510,0.2930,-2.0020,-47.5390,47.5800
170.820,248.160,338.510,0.2490,-1.9360,-47.5430,47.5800
148.000,225.340,338.510,0.1380,-1.9220,-47.5820,47.6230
133.350,196.580,338.510,0.1630,-1.9610,-47.7240,47.7630
128.300,164.700,338.510,0.1770,-1.9050,-47.7180,47.7540
133.350,132.820,338.510,0.1550,-1.9450,-47.7450,47.7870
148.000,104.060,338.510,0.1410,-1.9800,-47.7230,47.7620
170.820,81.240,338.510,0.2160,-2.0400,-47.7380,47.7830
199.580,66.590,338.510,0.2350,-1.9960,-47.6210,47.6650
231.460,61.540,338.510,0.1810,-2.0310,-47.6120,47.6550
263.340,66.590,338.510,0.1720,-2.0640,-47.6060,47.6510
292.100,81.240,338.510,0.1670,-2.1080,-47.6000,47.6460
314.920,104.060,338.510,0.0740,-2.0880,-47.6140,47.6610
329.570,132.820,338.510,0.1040,-1.9840,-47.7320,47.7700
342.770,164.700,322.050,0.1820,-1.9890,-47.6770,47.7190
337.320,199.100,322.050,0.1820,-1.9830,-47.7070,47.7480
321.510,230.120,322.050,0.2640,-2.0040,-47.7210,47.7640
296.880,254.750,322.050,0.4450,-1.9940,-47.7130,47.7580
265.860,270.560,322.050,0.4170,-2.0610,-47.5290,47.5770
231.460,276.010,322.050,0.3180,-2.0440,-47.5430,47.5890
197.060,270.560,322.050,0.2930,-2.0170,-47.5310,47.5770
166.040,254.750,322.050,0.2630,-1.9830,-47.5590,47.6040
141.410,230.120,322.050,0.1600,-1.9270,-47.5670,47.6050
125.600,199.100,322.050,0.1160,-1.9810,-47.7390,47.7780
120.150,164.700,322.050,0.1860,-1.9580,-47.7320,47.7710
125.600,130.300,322.050,0.1600,-1.9920,-47.7560,47.7970
141.410,99.280,322.050,0.1430,-2.0050,-47.7360,47.7780
166.040,74.650,322.050,0.2530,-2.0400,-47.7580,47.8020
197.060,58.840,322.050,0.2160,-1.9880,-47.6190,47.6590
231.460,53.390,322.050,0.1780,-2.0460,-47.6350,47.6790
265.860,58.840,322.050,0.1850,-2.0520,-47.6060,47.6490
296.880,74.650,322.050,0.1890,-2.0740,-47.6230,47.6660
321.510,99.280,322.050,0.1220,-2.0850,-47.5830,47.6280
337.320,130.300,322.050,0.0900,-1.9810,-47.7130,47.7550
348.310,164.700,304.540,0.1960,-1.9790,-47.6550,47.6990
342.590,200.810,304.540,0.1760,-2.0070,-47.7100,47.7530
325.990,233.380,304.540,0.2620,-2.0150,-47.7440,47.7890
