# COSI2 B0 scan
# time 2024-09-16 16:34:49.799800
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240913/240916_sphere_one_ring_shim
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
245.500,164.700,396.390,-0.2500,-1.9900,-47.7350,47.7760
244.820,169.040,396.390,-0.2460,-1.9910,-47.7360,47.7760
242.820,172.950,396.390,-0.2220,-1.9830,-47.7390,47.7810
239.710,176.060,396.390,-0.2270,-1.9830,-47.7340,47.7750
235.800,178.060,396.390,-0.2290,-1.9950,-47.7240,47.7670
231.460,178.740,396.390,-0.2240,-1.9840,-47.7180,47.7600
227.120,178.060,396.390,-0.2190,-1.9810,-47.7070,47.7510
223.210,176.060,396.390,-0.2370,-1.9920,-47.6990,47.7410
220.100,172.950,396.390,-0.2430,-2.0000,-47.6880,47.7320
218.100,169.040,396.390,-0.2510,-2.0040,-47.6840,47.7290
217.420,164.700,396.390,-0.2430,-2.0180,-47.6810,47.7250
218.100,160.360,396.390,-0.2400,-2.0290,-47.6820,47.7250
220.100,156.450,396.390,-0.2440,-2.0420,-47.6840,47.7280
223.210,153.340,396.390,-0.2590,-2.0550,-47.6880,47.7330
227.120,151.340,396.390,-0.2600,-2.0470,-47.6910,47.7320
231.460,150.660,396.390,-0.2690,-2.0500,-47.6960,47.7410
235.800,151.340,396.390,-0.2650,-2.0480,-47.7070,47.7510
239.710,153.340,396.390,-0.2710,-2.0400,-47.7110,47.7560
242.820,156.450,396.390,-0.2660,-2.0320,-47.7180,47.7620
244.820,160.360,396.390,-0.2690,-2.0290,-47.7250,47.7690
263.380,164.700,392.890,-0.2420,-2.0040,-47.7340,47.7750
261.820,174.560,392.890,-0.2620,-1.9560,-47.7480,47.7860
257.280,183.460,392.890,-0.2400,-1.9430,-47.7510,47.7920
250.220,190.520,392.890,-0.2040,-1.9320,-47.7480,47.7890
241.320,195.060,392.890,-0.1770,-1.9350,-47.7340,47.7780
231.460,196.620,392.890,-0.1750,-1.9460,-47.7170,47.7570
221.600,195.060,392.890,-0.1760,-1.9490,-47.6920,47.7370
212.700,190.520,392.890,-0.1830,-1.9610,-47.6720,47.7170
205.640,183.460,392.890,-0.2060,-1.9720,-47.6530,47.6960
201.100,174.560,392.890,-0.2150,-1.9670,-47.6420,47.6830
199.540,164.700,392.890,-0.2350,-1.9840,-47.6360,47.6780
201.100,154.840,392.890,-0.2470,-2.0330,-47.6450,47.6880
205.640,145.940,392.890,-0.2760,-2.0590,-47.6540,47.6970
212.700,138.880,392.890,-0.2470,-2.0620,-47.6550,47.7000
221.600,134.340,392.890,-0.2520,-2.0720,-47.6630,47.7090
231.460,132.780,392.890,-0.2420,-2.0750,-47.6780,47.7200
241.320,134.340,392.890,-0.2510,-2.0830,-47.6900,47.7330
250.220,138.880,392.890,-0.2550,-2.0760,-47.6930,47.7380
257.280,145.940,392.890,-0.2770,-2.0620,-47.7080,47.7510
261.820,154.840,392.890,-0.2800,-2.0400,-47.7220,0.0000
280.620,164.700,386.680,0.0000,0.0000,0.0000,0.0000
278.210,179.890,386.680,-0.2720,-1.9390,-47.7560,47.7960
271.230,193.600,386.680,-0.2180,-1.9240,-47.7510,47.7920
260.360,204.470,386.680,-0.1640,-1.9020,-47.7490,47.7880
246.650,211.450,386.680,-0.1300,-1.9200,-47.7280,47.7690
231.460,213.860,386.680,-0.1210,-1.9320,-47.7000,47.7390
216.270,211.450,386.680,-0.1240,-1.9370,-47.6670,47.7070
202.560,204.470,386.680,-0.1370,-1.9310,-47.6380,47.6780
191.690,193.600,386.680,-0.1540,-1.9380,-47.6250,47.6650
184.710,179.890,386.680,-0.1920,-1.9210,-47.6150,47.6560
182.300,164.700,386.680,-0.2170,-1.9380,-47.6110,47.6510
184.710,149.510,386.680,-0.2590,-2.0100,-47.6180,47.6580
191.690,135.800,386.680,-0.2190,-2.0420,-47.6260,47.6700
202.560,124.930,386.680,-0.2290,-2.0630,-47.6370,47.6820
216.270,117.950,386.680,-0.2220,-2.0830,-47.6480,47.6890
231.460,115.540,386.680,-0.2210,-2.0970,-47.6590,47.7040
246.650,117.950,386.680,-0.2280,-2.1040,-47.6690,47.7110
