# COSI2 B0 scan,,,,,,
# time 2024-09-16 16:34:49.799800,,,,,,
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240913/240916_sphere_one_ring_shim,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
245.5,164.7,396.39,-0.25,-1.99,-47.735,47.776
244.82,169.04,396.39,-0.246,-1.991,-47.736,47.776
242.82,172.95,396.39,-0.222,-1.983,-47.739,47.781
239.71,176.06,396.39,-0.227,-1.983,-47.734,47.775
235.8,178.06,396.39,-0.229,-1.995,-47.724,47.767
231.46,178.74,396.39,-0.224,-1.984,-47.718,47.76
227.12,178.06,396.39,-0.219,-1.981,-47.707,47.751
223.21,176.06,396.39,-0.237,-1.992,-47.699,47.741
220.1,172.95,396.39,-0.243,-2,-47.688,47.732
218.1,169.04,396.39,-0.251,-2.004,-47.684,47.729
217.42,164.7,396.39,-0.243,-2.018,-47.681,47.725
218.1,160.36,396.39,-0.24,-2.029,-47.682,47.725
220.1,156.45,396.39,-0.244,-2.042,-47.684,47.728
223.21,153.34,396.39,-0.259,-2.055,-47.688,47.733
227.12,151.34,396.39,-0.26,-2.047,-47.691,47.732
231.46,150.66,396.39,-0.269,-2.05,-47.696,47.741
235.8,151.34,396.39,-0.265,-2.048,-47.707,47.751
239.71,153.34,396.39,-0.271,-2.04,-47.711,47.756
242.82,156.45,396.39,-0.266,-2.032,-47.718,47.762
244.82,160.36,396.39,-0.269,-2.029,-47.725,47.769
263.38,164.7,392.89,-0.242,-2.004,-47.734,47.775
261.82,174.56,392.89,-0.262,-1.956,-47.748,47.786
257.28,183.46,392.89,-0.24,-1.943,-47.751,47.792
250.22,190.52,392.89,-0.204,-1.932,-47.748,47.789
241.32,195.06,392.89,-0.177,-1.935,-47.734,47.778
231.46,196.62,392.89,-0.175,-1.946,-47.717,47.757
221.6,195.06,392.89,-0.176,-1.949,-47.692,47.737
212.7,190.52,392.89,-0.183,-1.961,-47.672,47.717
205.64,183.46,392.89,-0.206,-1.972,-47.653,47.696
201.1,174.56,392.89,-0.215,-1.967,-47.642,47.683
199.54,164.7,392.89,-0.235,-1.984,-47.636,47.678
201.1,154.84,392.89,-0.247,-2.033,-47.645,47.688
205.64,145.94,392.89,-0.276,-2.059,-47.654,47.697
212.7,138.88,392.89,-0.247,-2.062,-47.655,47.7
221.6,134.34,392.89,-0.252,-2.072,-47.663,47.709
231.46,132.78,392.89,-0.242,-2.075,-47.678,47.72
241.32,134.34,392.89,-0.251,-2.083,-47.69,47.733
250.22,138.88,392.89,-0.255,-2.076,-47.693,47.738
257.28,145.94,392.89,-0.277,-2.062,-47.708,47.751
261.82,154.84,392.89,-0.28,-2.04,-47.722,0
280.62,164.7,386.68,-0.28,-2.04,-47.722,0
278.21,179.89,386.68,-0.272,-1.939,-47.756,47.796
271.23,193.6,386.68,-0.218,-1.924,-47.751,47.792
260.36,204.47,386.68,-0.164,-1.902,-47.749,47.788
246.65,211.45,386.68,-0.13,-1.92,-47.728,47.769
231.46,213.86,386.68,-0.121,-1.932,-47.7,47.739
216.27,211.45,386.68,-0.124,-1.937,-47.667,47.707
202.56,204.47,386.68,-0.137,-1.931,-47.638,47.678
191.69,193.6,386.68,-0.154,-1.938,-47.625,47.665
184.71,179.89,386.68,-0.192,-1.921,-47.615,47.656
182.3,164.7,386.68,-0.217,-1.938,-47.611,47.651
184.71,149.51,386.68,-0.259,-2.01,-47.618,47.658
191.69,135.8,386.68,-0.219,-2.042,-47.626,47.67
202.56,124.93,386.68,-0.229,-2.063,-47.637,47.682
216.27,117.95,386.68,-0.222,-2.083,-47.648,47.689
231.46,115.54,386.68,-0.221,-2.097,-47.659,47.704
246.65,117.95,386.68,-0.228,-2.104,-47.669,47.711
260.36,124.93,386.68,-0.237,-2.092,-47.676,47.721
271.23,135.8,386.68,-0.241,-2.071,-47.696,47.737
278.21,149.51,386.68,-0.27,-2.06,-47.711,47.754
296.73,164.7,377.9,-0.255,-2.02,-47.722,47.766
293.54,184.87,377.9,-0.279,-1.946,-47.739,47.779
284.27,203.07,377.9,-0.196,-1.922,-47.748,47.791
269.83,217.51,377.9,-0.119,-1.897,-47.743,47.781
251.63,226.78,377.9,-0.075,-1.904,-47.718,47.76
231.46,229.97,377.9,-0.019,-1.902,-47.69,47.727
211.29,226.78,377.9,-0.028,-1.937,-47.64,47.685
193.09,217.51,377.9,-0.086,-1.944,-47.605,47.645
178.65,203.07,377.9,-0.146,-1.956,-47.609,47.648
169.38,184.87,377.9,-0.13,-1.914,-47.629,47.668
166.19,164.7,377.9,-0.173,-1.89,-47.609,47.647
169.38,144.53,377.9,-0.237,-1.951,-47.611,47.652
178.65,126.33,377.9,-0.241,-1.997,-47.624,47.666
193.09,111.89,377.9,-0.214,-2.04,-47.627,47.671
211.29,102.62,377.9,-0.203,-2.072,-47.643,47.689
231.46,99.43,377.9,-0.183,-2.118,-47.647,47.694
251.63,102.62,377.9,-0.193,-2.102,-47.644,47.691
269.83,111.89,377.9,-0.23,-2.1,-47.648,47.694
284.27,126.33,377.9,-0.251,-2.071,-47.676,47.722
293.54,144.53,377.9,-0.243,-2.063,-47.712,47.752
311.33,164.7,366.77,-0.238,-2.044,-47.713,47.758
307.42,189.38,366.77,-0.268,-1.984,-47.722,47.764
296.08,211.65,366.77,-0.173,-1.932,-47.741,47.784
278.41,229.32,366.77,-0.092,-1.908,-47.73,47.771
256.14,240.66,366.77,-0.024,-1.901,-47.717,47.756
231.46,244.57,366.77,0.012,-1.92,-47.685,47.725
206.78,240.66,366.77,-0.009,-1.965,-47.628,47.669
184.51,229.32,366.77,-0.024,-1.957,-47.583,47.623
166.84,211.65,366.77,-0.112,-1.945,-47.562,47.602
155.5,189.38,366.77,-0.166,-1.951,-47.607,47.648
151.59,164.7,366.77,-0.147,-1.906,-47.663,47.708
155.5,140.02,366.77,-0.171,-1.868,-47.649,47.689
166.84,117.75,366.77,-0.207,-1.914,-47.655,47.692
184.51,100.08,366.77,-0.192,-1.967,-47.658,47.699
206.78,88.74,366.77,-0.188,-2.018,-47.655,47.698
231.46,84.83,366.77,-0.172,-2.073,-47.657,47.703
256.14,88.74,366.77,-0.151,-2.098,-47.641,47.689
278.41,100.08,366.77,-0.144,-2.095,-47.617,47.663
296.08,117.75,366.77,-0.214,-2.117,-47.618,47.663
307.42,140.02,366.77,-0.282,-2.085,-47.654,47.7
324.06,164.7,353.54,-0.257,-2.036,-47.73,47.768
319.53,193.31,353.54,-0.197,-2.024,-47.73,47.777
306.37,219.13,353.54,-0.171,-1.911,-47.741,47.777
285.89,239.61,353.54,-0.105,-1.947,-47.722,47.762
260.07,252.77,353.54,-0.039,-1.934,-47.711,47.751
231.46,257.3,353.54,0.029,-1.963,-47.67,47.71
202.85,252.77,353.54,0.02,-2,-47.595,47.637
177.03,239.61,353.54,-0.018,-1.99,-47.558,47.598
156.55,219.13,353.54,-0.059,-1.947,-47.542,47.583
143.39,193.31,353.54,-0.207,-1.912,-47.555,47.591
138.86,164.7,353.54,-0.203,-1.976,-47.729,47.763
143.39,136.09,353.54,-0.113,-1.885,-47.725,47.772
156.55,110.27,353.54,-0.185,-1.892,-47.707,47.741
177.03,89.79,353.54,-0.173,-1.947,-47.707,47.747
202.85,76.63,353.54,-0.182,-2.002,-47.694,47.733
231.46,72.1,353.54,-0.124,-2.068,-47.672,47.718
260.07,76.63,353.54,-0.126,-2.061,-47.628,47.672
285.89,89.79,353.54,-0.147,-2.082,-47.608,47.656
306.37,110.27,353.54,-0.179,-2.125,-47.607,47.657
319.53,136.09,353.54,-0.272,-2.146,-47.606,47.654
334.62,164.7,338.51,-0.292,-2.025,-47.729,47.767
329.57,196.58,338.51,-0.148,-2.013,-47.737,47.789
314.92,225.34,338.51,-0.14,-1.947,-47.729,47.766
292.1,248.16,338.51,-0.076,-1.977,-47.716,47.755
263.34,262.81,338.51,-0.001,-1.971,-47.711,47.752
231.46,267.86,338.51,0.061,-2.006,-47.641,47.69
199.58,262.81,338.51,0.02,-2.029,-47.573,47.619
170.82,248.16,338.51,-0.025,-2.015,-47.549,47.593
148,225.34,338.51,-0.048,-1.97,-47.554,47.594
133.35,196.58,338.51,-0.152,-1.883,-47.521,47.559
128.3,164.7,338.51,-0.244,-1.982,-47.727,47.757
133.35,132.82,338.51,-0.102,-1.933,-47.799,47.838
148,104.06,338.51,-0.175,-1.941,-47.753,47.789
170.82,81.24,338.51,-0.153,-1.973,-47.746,47.79
199.58,66.59,338.51,-0.172,-2.029,-47.729,47.773
231.46,61.54,338.51,-0.085,-2.043,-47.68,47.727
263.34,66.59,338.51,-0.13,-2.045,-47.632,47.676
292.1,81.24,338.51,-0.131,-2.073,-47.623,47.667
314.92,104.06,338.51,-0.13,-2.114,-47.615,47.662
329.57,132.82,338.51,-0.214,-2.143,-47.574,47.623
342.77,164.7,322.05,-0.291,-2.019,-47.683,47.716
337.32,199.1,322.05,-0.121,-1.988,-47.746,47.787
321.51,230.12,322.05,-0.131,-1.976,-47.715,47.753
296.88,254.75,322.05,-0.079,-2.006,-47.719,47.762
265.86,270.56,322.05,0.045,-2,-47.722,47.764
231.46,276.01,322.05,0.098,-2.048,-47.62,47.67
197.06,270.56,322.05,0.017,-2.039,-47.572,47.615
166.04,254.75,322.05,-0.03,-2.029,-47.552,47.596
141.41,230.12,322.05,-0.056,-2.007,-47.568,47.609
125.6,199.1,322.05,-0.084,-1.918,-47.519,47.559
120.15,164.7,322.05,-0.274,-1.991,-47.689,47.731
125.6,130.3,322.05,-0.105,-1.982,-47.811,47.875
141.41,99.28,322.05,-0.138,-1.996,-47.768,47.804
166.04,74.65,322.05,-0.139,-2.015,-47.75,47.796
197.06,58.84,322.05,-0.13,-2.043,-47.757,47.801
231.46,53.39,322.05,-0.088,-2.02,-47.675,47.723
265.86,58.84,322.05,-0.124,-2.04,-47.641,47.686
296.88,74.65,322.05,-0.114,-2.061,-47.625,47.67
321.51,99.28,322.05,-0.112,-2.071,-47.629,47.671
337.32,130.3,322.05,-0.101,-2.13,-47.577,47.631
348.31,164.7,304.54,-0.297,-2.025,-47.615,47.659
342.59,200.81,304.54,-0.13,-1.991,-47.682,47.724
325.99,233.38,304.54,-0.137,-2.006,-47.71,47.751
300.14,259.23,304.54,-0.073,-2.02,-47.733,47.776
267.57,275.83,304.54,0.065,-2.029,-47.734,47.774
231.46,281.55,304.54,0.077,-2.057,-47.611,47.656
195.35,275.83,304.54,0.015,-2.047,-47.575,47.619
162.78,259.23,304.54,-0.03,-2.031,-47.535,47.58
136.93,233.38,304.54,-0.087,-2.04,-47.581,47.619
120.33,200.81,304.54,-0.03,-1.963,-47.542,47.588
114.61,164.7,304.54,-0.276,-1.993,-47.65,47.66
120.33,128.59,304.54,-0.087,-2.023,-47.786,47.845
136.93,96.02,304.54,-0.136,-2.045,-47.748,47.787
162.78,70.17,304.54,-0.136,-2.044,-47.733,47.777
195.35,53.57,304.54,-0.096,-2.057,-47.77,47.807
231.46,47.85,304.54,-0.083,-2.031,-47.676,47.723
267.57,53.57,304.54,-0.124,-2.063,-47.659,47.703
300.14,70.17,304.54,-0.11,-2.065,-47.611,47.661
325.99,96.02,304.54,-0.155,-2.036,-47.636,47.673
342.59,128.59,304.54,-0.047,-2.097,-47.605,47.66
351.11,164.7,286.39,-0.287,-2.032,-47.564,47.608
345.25,201.67,286.39,-0.12,-2,-47.665,47.708
328.26,235.03,286.39,-0.148,-2.027,-47.723,47.762
301.79,261.5,286.39,-0.07,-2.033,-47.736,47.78
268.43,278.49,286.39,0.07,-2.049,-47.736,47.78
231.46,284.35,286.39,0.059,-2.061,-47.606,47.658
194.49,278.49,286.39,0.026,-2.055,-47.581,47.627
161.13,261.5,286.39,-0.021,-2.047,-47.524,47.569
134.66,235.03,286.39,-0.136,-2.047,-47.582,47.626
117.67,201.67,286.39,-0.035,-2.01,-47.576,47.628
111.81,164.7,286.39,-0.272,-2.017,-47.621,47.627
117.67,127.73,286.39,-0.068,-2.037,-47.8,47.865
134.66,94.37,286.39,-0.113,-2.061,-47.721,47.763
161.13,67.9,286.39,-0.127,-2.07,-47.706,47.751
194.49,50.91,286.39,-0.088,-2.066,-47.758,47.796
231.46,45.05,286.39,-0.095,-2.052,-47.668,47.719
268.43,50.91,286.39,-0.091,-2.067,-47.662,47.709
301.79,67.9,286.39,-0.094,-2.071,-47.592,47.642
328.26,94.37,286.39,-0.184,-2.057,-47.623,47.668
345.25,127.73,286.39,-0.032,-2.062,-47.634,47.679
351.11,164.7,268.03,-0.279,-2.031,-47.538,47.551
345.25,201.67,268.03,-0.128,-2.01,-47.651,47.694
328.26,235.03,268.03,-0.159,-2.037,-47.721,47.761
301.79,261.5,268.03,-0.083,-2.037,-47.728,47.77
268.43,278.49,268.03,0.052,-2.055,-47.736,47.779
231.46,284.35,268.03,0.054,-2.062,-47.612,47.657
194.49,278.49,268.03,-0.006,-2.064,-47.582,47.627
161.13,261.5,268.03,-0.041,-2.053,-47.52,47.567
134.66,235.03,268.03,-0.136,-2.041,-47.587,47.616
117.67,201.67,268.03,-0.019,-2.041,-47.577,47.63
111.81,164.7,268.03,-0.261,-2.027,-47.604,47.648
117.67,127.73,268.03,-0.053,-2.037,-47.811,47.854
134.66,94.37,268.03,-0.092,-2.068,-47.691,47.732
161.13,67.9,268.03,-0.128,-2.091,-47.673,47.719
194.49,50.91,268.03,-0.082,-2.075,-47.748,47.787
231.46,45.05,268.03,-0.076,-2.085,-47.664,47.71
268.43,50.91,268.03,-0.079,-2.083,-47.656,47.702
301.79,67.9,268.03,-0.083,-2.073,-47.579,47.63
328.26,94.37,268.03,-0.176,-2.091,-47.61,47.656
345.25,127.73,268.03,-0.001,-2.048,-47.625,47.669
348.31,164.7,249.88,-0.28,-2.031,-47.525,47.537
342.59,200.81,249.88,-0.108,-2.015,-47.649,47.692
325.99,233.38,249.88,-0.129,-2.028,-47.705,47.746
300.14,259.23,249.88,-0.076,-2.031,-47.71,47.753
267.57,275.83,249.88,0.042,-2.043,-47.726,47.767
231.46,281.55,249.88,0.057,-2.027,-47.603,47.655
195.35,275.83,249.88,-0.012,-2.045,-47.583,47.627
162.78,259.23,249.88,-0.049,-2.047,-47.541,47.586
136.93,233.38,249.88,-0.107,-2.026,-47.578,47.621
120.33,200.81,249.88,-0.043,-2.054,-47.559,47.61
114.61,164.7,249.88,-0.252,-2.033,-47.643,47.657
120.33,128.59,249.88,-0.045,-2.023,-47.787,47.85
136.93,96.02,249.88,-0.065,-2.048,-47.679,47.724
