# COSI2 B0 scan
# time 2024-09-17 15:46:12.973880
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240917_ball_4_rings_R110_12pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
231.460,164.700,167.210,-0.2700,-2.0400,-47.5880,47.6320
249.790,201.370,176.380,-0.2600,-2.0300,-47.5900,47.6340
240.630,201.370,176.380,-0.2280,-2.0540,-47.6000,47.6460
231.460,201.370,176.380,-0.2300,-2.0360,-47.5890,47.6340
222.290,201.370,176.380,-0.2480,-2.0320,-47.5810,47.6240
213.130,201.370,176.380,-0.2500,-2.0120,-47.5790,47.6230
203.960,192.200,176.380,-0.2590,-2.0060,-47.5790,47.6220
213.130,192.200,176.380,-0.2600,-1.9970,-47.5820,47.6250
222.290,192.200,176.380,-0.2580,-2.0110,-47.5810,47.6220
231.460,192.200,176.380,-0.2490,-2.0090,-47.5840,47.6270
240.630,192.200,176.380,-0.2520,-2.0370,-47.5870,47.6300
249.790,192.200,176.380,-0.2450,-2.0460,-47.5970,47.6400
258.960,192.200,176.380,-0.2400,-2.0570,-47.6000,47.6460
268.130,183.030,176.380,-0.2410,-2.0770,-47.6150,47.6580
258.960,183.030,176.380,-0.2690,-2.1070,-47.6150,47.6610
249.790,183.030,176.380,-0.2680,-2.0800,-47.6100,47.6550
240.630,183.030,176.380,-0.2590,-2.0610,-47.6000,47.6480
231.460,183.030,176.380,-0.2540,-2.0360,-47.5920,47.6360
222.290,183.030,176.380,-0.2540,-2.0340,-47.5880,47.6310
213.130,183.030,176.380,-0.2610,-2.0200,-47.5870,47.6310
203.960,183.030,176.380,-0.2540,-2.0080,-47.5860,47.6290
194.790,183.030,176.380,-0.2700,-2.0020,-47.5850,47.6270
194.790,173.870,176.380,-0.2710,-1.9960,-47.5920,47.6340
203.960,173.870,176.380,-0.2560,-1.9830,-47.5950,47.6360
213.130,173.870,176.380,-0.2700,-1.9950,-47.5890,47.6320
222.290,173.870,176.380,-0.2660,-2.0110,-47.5850,47.6320
231.460,173.870,176.380,-0.2630,-2.0220,-47.5850,47.6290
240.630,173.870,176.380,-0.2630,-2.0310,-47.5900,47.6300
249.790,173.870,176.380,-0.2690,-2.0500,-47.5900,47.6350
258.960,173.870,176.380,-0.2690,-2.0600,-47.5940,47.6390
268.130,173.870,176.380,-0.2810,-2.0650,-47.6050,47.6490
268.130,164.700,176.380,-0.2760,-2.0890,-47.6110,47.6560
258.960,164.700,176.380,-0.2950,-2.0890,-47.6060,47.6520
249.790,164.700,176.380,-0.2910,-2.0660,-47.5970,47.6440
240.630,164.700,176.380,-0.2850,-2.0570,-47.5880,47.6370
231.460,164.700,176.380,-0.2730,-2.0450,-47.5860,47.6320
222.290,164.700,176.380,-0.2680,-2.0310,-47.5840,47.6280
213.130,164.700,176.380,-0.2600,-2.0240,-47.5840,47.6240
203.960,164.700,176.380,-0.2640,-2.0130,-47.5860,47.6270
194.790,164.700,176.380,-0.2600,-1.9980,-47.5890,47.6290
194.790,155.530,176.380,-0.2540,-1.9900,-47.5910,47.6330
203.960,155.530,176.380,-0.2610,-1.9940,-47.5880,47.6310
213.130,155.530,176.380,-0.2560,-2.0000,-47.5800,47.6250
222.290,155.530,176.380,-0.2700,-2.0210,-47.5790,47.6250
231.460,155.530,176.380,-0.2640,-2.0230,-47.5750,47.6190
240.630,155.530,176.380,-0.2760,-2.0340,-47.5750,47.6180
249.790,155.530,176.380,-0.2830,-2.0430,-47.5800,47.6240
258.960,155.530,176.380,-0.2870,-2.0630,-47.5830,47.6270
268.130,155.530,176.380,-0.3070,-2.0760,-47.5880,47.6300
268.130,146.370,176.380,-0.3030,-2.0700,-47.5860,47.6340
258.960,146.370,176.380,-0.3230,-2.0740,-47.5770,47.6240
249.790,146.370,176.380,-0.3100,-2.0620,-47.5730,47.6180
240.630,146.370,176.380,-0.2920,-2.0490,-47.5660,47.6120
231.460,146.370,176.380,-0.2790,-2.0430,-47.5670,47.6120
222.290,146.370,176.380,-0.2830,-2.0300,-47.5690,47.6140
213.130,146.370,176.380,-0.2620,-2.0240,-47.5670,47.6090
203.960,146.370,176.380,-0.2520,-2.0190,-47.5730,47.6150
194.790,146.370,176.380,-0.2530,-1.9980,-47.5770,47.6190
203.960,137.200,176.380,-0.2510,-1.9950,-47.5880,47.6300
213.130,137.200,176.380,-0.2510,-2.0000,-47.5680,47.6110
222.290,137.200,176.380,-0.2590,-2.0190,-47.5650,47.6080
231.460,137.200,176.380,-0.2630,-2.0210,-47.5620,47.6080
240.630,137.200,176.380,-0.2830,-2.0310,-47.5570,47.6020
249.790,137.200,176.380,-0.2930,-2.0310,-47.5550,47.5990
258.960,137.200,176.380,-0.3130,-2.0320,-47.5580,47.6040
249.790,128.030,176.380,-0.3150,-2.0600,-47.5580,47.6030
240.630,128.030,176.380,-0.3090,-2.0500,-47.5430,47.5870
231.460,128.030,176.380,-0.2940,-2.0310,-47.5430,47.5870
222.290,128.030,176.380,-0.2750,-2.0290,-47.5430,47.5890
213.130,128.030,176.380,-0.2610,-2.0210,-47.5490,47.5920
213.130,109.700,185.540,-0.2570,-2.0130,-47.5530,47.5960
222.290,109.700,185.540,-0.2490,-2.0180,-47.5280,47.5710
231.460,109.700,185.540,-0.2660,-2.0270,-47.5230,47.5650
240.630,109.700,185.540,-0.2840,-2.0350,-47.5170,47.5620
249.790,109.700,185.540,-0.2920,-2.0360,-47.5130,47.5580
268.130,118.870,185.540,-0.3100,-2.0380,-47.5140,47.5580
258.960,118.870,185.540,-0.3400,-2.0460,-47.5320,47.5750
249.790,118.870,185.540,-0.3180,-2.0330,-47.5300,47.5730
240.630,118.870,185.540,-0.3010,-2.0420,-47.5290,47.5740
231.460,118.870,185.540,-0.2960,-2.0350,-47.5250,47.5700
222.290,118.870,185.540,-0.2860,-2.0320,-47.5310,47.5750
213.130,118.870,185.540,-0.2640,-2.0300,-47.5350,47.5790
203.960,118.870,185.540,-0.2590,-2.0230,-47.5380,47.5810
194.790,118.870,185.540,-0.2470,-2.0190,-47.5440,47.5870
185.630,128.030,185.540,-0.2400,-2.0030,-47.5520,47.5900
194.790,128.030,185.540,-0.2370,-1.9880,-47.5670,47.6090
203.960,128.030,185.540,-0.2450,-2.0040,-47.5610,47.6040
213.130,128.030,185.540,-0.2480,-2.0220,-47.5530,47.5970
222.290,128.030,185.540,-0.2620,-2.0190,-47.5540,47.5980
231.460,128.030,185.540,-0.2660,-2.0210,-47.5470,47.5910
240.630,128.030,185.540,-0.2870,-2.0350,-47.5410,47.5850
249.790,128.030,185.540,-0.2960,-2.0390,-47.5420,47.5870
258.960,128.030,185.540,-0.2970,-2.0510,-47.5360,47.5840
268.130,128.030,185.540,-0.3030,-2.0410,-47.5420,47.5870
277.290,128.030,185.540,-0.3240,-2.0510,-47.5410,47.5860
277.290,137.200,185.540,-0.3450,-2.0570,-47.5480,47.5920
268.130,137.200,185.540,-0.3430,-2.0720,-47.5560,47.6000
258.960,137.200,185.540,-0.3260,-2.0630,-47.5530,47.5990
249.790,137.200,185.540,-0.3170,-2.0480,-47.5540,47.5980
240.630,137.200,185.540,-0.2990,-2.0460,-47.5520,47.5950
231.460,137.200,185.540,-0.2820,-2.0320,-47.5520,47.5950
222.290,137.200,185.540,-0.2850,-2.0330,-47.5500,47.5950
213.130,137.200,185.540,-0.2660,-2.0240,-47.5530,47.5970
203.960,137.200,185.540,-0.2650,-2.0200,-47.5560,47.5990
194.790,137.200,185.540,-0.2520,-2.0090,-47.5630,47.6060
185.630,137.200,185.540,-0.2460,-1.9980,-47.5670,47.6080
176.460,146.370,185.540,-0.2460,-2.0010,-47.5740,47.6170
185.630,146.370,185.540,-0.2470,-1.9780,-47.5780,47.6200
194.790,146.370,185.540,-0.2470,-1.9850,-47.5760,47.6200
203.960,146.370,185.540,-0.2500,-2.0080,-47.5710,47.6130
213.130,146.370,185.540,-0.2600,-2.0090,-47.5690,47.6120
222.290,146.370,185.540,-0.2640,-2.0110,-47.5650,47.6090
231.460,146.370,185.540,-0.2760,-2.0230,-47.5600,47.6050
240.630,146.370,185.540,-0.2730,-2.0360,-47.5620,47.6060
249.790,146.370,185.540,-0.2930,-2.0320,-47.5640,47.6090
258.960,146.370,185.540,-0.3030,-2.0380,-47.5620,47.6040
268.130,146.370,185.540,-0.3120,-2.0660,-47.5680,47.6140
277.290,146.370,185.540,-0.3160,-2.0660,-47.5710,47.6160
286.460,146.370,185.540,-0.3320,-2.0790,-47.5760,47.6230
286.460,155.530,185.540,-0.3420,-2.0860,-47.5710,47.6170
277.290,155.530,185.540,-0.3350,-2.1040,-47.5820,47.6300
268.130,155.530,185.540,-0.3200,-2.0880,-47.5830,47.6300
258.960,155.530,185.540,-0.3080,-2.0760,-47.5820,47.6270
249.790,155.530,185.540,-0.2980,-2.0570,-47.5760,47.6210
240.630,155.530,185.540,-0.2930,-2.0450,-47.5730,47.6180
231.460,155.530,185.540,-0.2850,-2.0370,-47.5700,47.6130
222.290,155.530,185.540,-0.2690,-2.0290,-47.5700,47.6110
213.130,155.530,185.540,-0.2700,-2.0160,-47.5670,47.6090
203.960,155.530,185.540,-0.2610,-2.0150,-47.5740,47.6170
194.790,155.530,185.540,-0.2650,-2.0040,-47.5760,47.6190
185.630,155.530,185.540,-0.2570,-1.9980,-47.5810,47.6230
176.460,155.530,185.540,-0.2490,-1.9870,-47.5830,47.6250
176.460,164.700,185.540,-0.2480,-1.9670,-47.5890,47.6300
185.630,164.700,185.540,-0.2470,-1.9680,-47.5910,47.6330
194.790,164.700,185.540,-0.2630,-1.9800,-47.5850,47.6280
203.960,164.700,185.540,-0.2640,-1.9910,-47.5860,47.6290
213.130,164.700,185.540,-0.2590,-2.0000,-47.5830,47.6270
222.290,164.700,185.540,-0.2600,-2.0220,-47.5770,47.6200
231.460,164.700,185.540,-0.2570,-2.0250,-47.5750,47.6180
240.630,164.700,185.540,-0.2740,-2.0250,-47.5740,47.6200
249.790,164.700,185.540,-0.2830,-2.0440,-47.5810,47.6230
258.960,164.700,185.540,-0.2950,-2.0570,-47.5830,47.6290
268.130,164.700,185.540,-0.2850,-2.0720,-47.5900,47.6360
277.290,164.700,185.540,-0.2960,-2.0710,-47.5880,47.6350
286.460,164.700,185.540,-0.3090,-2.0880,-47.5940,47.6420
286.460,173.870,185.540,-0.3240,-2.1070,-47.5960,47.6430
277.290,173.870,185.540,-0.3020,-2.1120,-47.6030,47.6500
268.130,173.870,185.540,-0.2910,-2.1000,-47.6020,47.6480
258.960,173.870,185.540,-0.2900,-2.0800,-47.5960,47.6430
249.790,173.870,185.540,-0.2800,-2.0710,-47.5890,47.6360
240.630,173.870,185.540,-0.2850,-2.0500,-47.5830,47.6270
231.460,173.870,185.540,-0.2880,-2.0420,-47.5850,47.6290
