# COSI2 B0 scan
# time 2024-09-17 14:35:35.031500
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240917_sphere_4_rings_R110
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
244.330,164.700,386.450,-0.5020,-1.9750,-47.6150,47.6590
243.700,168.680,386.450,-0.4990,-1.9720,-47.6120,47.6550
241.870,172.270,386.450,-0.5000,-1.9590,-47.6130,47.6560
239.030,175.110,386.450,-0.4720,-1.9640,-47.6140,47.6580
235.440,176.940,386.450,-0.4730,-1.9540,-47.6140,47.6570
231.460,177.570,386.450,-0.4760,-1.9480,-47.6130,47.6580
227.480,176.940,386.450,-0.4730,-1.9530,-47.6050,47.6490
223.890,175.110,386.450,-0.4840,-1.9630,-47.6020,47.6430
221.050,172.270,386.450,-0.4710,-1.9660,-47.5990,47.6400
219.220,168.680,386.450,-0.4760,-1.9910,-47.5940,47.6400
218.590,164.700,386.450,-0.4830,-2.0000,-47.5920,47.6380
219.220,160.720,386.450,-0.4880,-2.0130,-47.5850,47.6300
221.050,157.130,386.450,-0.4870,-2.0110,-47.5850,47.6320
223.890,154.290,386.450,-0.5170,-2.0290,-47.5800,47.6280
227.480,152.460,386.450,-0.5060,-2.0320,-47.5840,47.6300
231.460,151.830,386.450,-0.5000,-2.0320,-47.5820,47.6280
235.440,152.460,386.450,-0.5140,-2.0230,-47.5850,47.6320
239.030,154.290,386.450,-0.5000,-2.0200,-47.5950,47.6420
241.870,157.130,386.450,-0.5170,-2.0140,-47.5990,47.6430
243.700,160.720,386.450,-0.4990,-2.0010,-47.6080,47.6530
260.720,164.700,383.250,-0.5130,-1.9910,-47.6070,47.6510
259.290,173.740,383.250,-0.4950,-1.9440,-47.6260,47.6680
255.130,181.900,383.250,-0.4860,-1.9310,-47.6290,47.6730
248.660,188.370,383.250,-0.4480,-1.9060,-47.6290,47.6700
240.500,192.530,383.250,-0.4350,-1.9100,-47.6190,47.6620
231.460,193.960,383.250,-0.4260,-1.9070,-47.6140,47.6550
222.420,192.530,383.250,-0.4350,-1.9160,-47.6000,47.6410
214.260,188.370,383.250,-0.4230,-1.9360,-47.5950,47.6360
207.790,181.900,383.250,-0.4500,-1.9570,-47.5850,47.6270
203.630,173.740,383.250,-0.4610,-1.9720,-47.5740,47.6170
202.200,164.700,383.250,-0.4750,-1.9950,-47.5700,47.6130
203.630,155.660,383.250,-0.4810,-2.0250,-47.5640,47.6110
207.790,147.500,383.250,-0.4740,-2.0390,-47.5580,47.6040
214.260,141.030,383.250,-0.4730,-2.0630,-47.5530,47.6010
222.420,136.870,383.250,-0.4730,-2.0630,-47.5600,47.6070
231.460,135.440,383.250,-0.4850,-2.0720,-47.5620,47.6080
240.500,136.870,383.250,-0.4910,-2.0580,-47.5660,47.6160
248.660,141.030,383.250,-0.5150,-2.0550,-47.5730,47.6220
255.130,147.500,383.250,-0.5110,-2.0390,-47.5840,47.6280
259.290,155.660,383.250,-0.5140,-2.0180,-47.6020,47.6470
276.520,164.700,377.560,-0.5030,-1.9680,-47.6130,47.6560
274.320,178.630,377.560,-0.4910,-1.9130,-47.6250,47.6670
267.920,191.190,377.560,-0.4390,-1.8850,-47.6350,47.6740
257.950,201.160,377.560,-0.4010,-1.8740,-47.6310,47.6720
245.390,207.560,377.560,-0.3700,-1.8770,-47.6180,47.6570
231.460,209.760,377.560,-0.3650,-1.8870,-47.6000,47.6400
217.530,207.560,377.560,-0.3750,-1.9010,-47.5860,47.6280
204.970,201.160,377.560,-0.3900,-1.9290,-47.5730,47.6130
195.000,191.190,377.560,-0.3930,-1.9330,-47.5690,47.6100
188.600,178.630,377.560,-0.4310,-1.9600,-47.5610,47.6030
186.400,164.700,377.560,-0.4480,-1.9880,-47.5510,47.5970
188.600,150.770,377.560,-0.4500,-2.0190,-47.5420,47.5860
195.000,138.210,377.560,-0.4550,-2.0510,-47.5360,47.5850
204.970,128.240,377.560,-0.4460,-2.0690,-47.5290,47.5760
217.530,121.840,377.560,-0.4650,-2.0920,-47.5340,47.5810
231.460,119.640,377.560,-0.4630,-2.1020,-47.5330,47.5820
245.390,121.840,377.560,-0.4750,-2.0960,-47.5400,47.5900
257.950,128.240,377.560,-0.4850,-2.0890,-47.5520,47.5980
267.920,138.210,377.560,-0.4970,-2.0600,-47.5670,47.6130
274.320,150.770,377.560,-0.5270,-2.0230,-47.5830,47.6280
291.290,164.700,369.510,-0.5150,-1.9750,-47.6040,47.6470
288.370,183.190,369.510,-0.4760,-1.9240,-47.6240,47.6660
279.870,199.870,369.510,-0.4230,-1.8720,-47.6340,47.6730
266.630,213.110,369.510,-0.3460,-1.8570,-47.6310,47.6670
249.950,221.610,369.510,-0.3070,-1.8610,-47.6040,47.6430
231.460,224.530,369.510,-0.3010,-1.8820,-47.5810,47.6210
212.970,221.610,369.510,-0.3290,-1.9030,-47.5580,47.5980
196.290,213.110,369.510,-0.3490,-1.9200,-47.5540,47.5950
183.050,199.870,369.510,-0.3800,-1.9400,-47.5630,47.6040
174.550,183.190,369.510,-0.4010,-1.9510,-47.5520,47.5930
171.630,164.700,369.510,-0.4100,-1.9750,-47.5340,47.5770
174.550,146.210,369.510,-0.4300,-2.0130,-47.5300,47.5750
183.050,129.530,369.510,-0.4160,-2.0350,-47.5260,47.5730
196.290,116.290,369.510,-0.4160,-2.0610,-47.5190,47.5660
212.970,107.790,369.510,-0.4040,-2.1090,-47.5200,47.5690
231.460,104.870,369.510,-0.3980,-2.1110,-47.5130,47.5650
249.950,107.790,369.510,-0.4260,-2.1080,-47.5140,47.5640
266.630,116.290,369.510,-0.4700,-2.1020,-47.5190,47.5660
279.870,129.530,369.510,-0.4850,-2.0660,-47.5480,47.5950
288.370,146.210,369.510,-0.5000,-2.0380,-47.5750,47.6210
304.670,164.700,359.310,-0.5020,-1.9860,-47.5960,47.6380
301.090,187.320,359.310,-0.4500,-1.9190,-47.6160,47.6550
290.690,207.730,359.310,-0.3790,-1.8720,-47.6300,47.6680
274.490,223.930,359.310,-0.3030,-1.8590,-47.6200,47.6570
254.080,234.330,359.310,-0.2430,-1.8940,-47.5810,47.6190
