# COSI2 B0 scan
# time 2024-09-17 12:27:43.263476
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240917_sphere_inserts_swapped_x->-x_SWAPPED_POSITIONS
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
245.500,164.700,396.390,0.1700,-1.9700,-47.6600,47.7010
244.820,169.040,396.390,0.1710,-1.9650,-47.6610,47.7020
242.820,172.950,396.390,0.1810,-1.9620,-47.6560,47.6950
239.710,176.060,396.390,0.1920,-1.9550,-47.6470,47.6870
235.800,178.060,396.390,0.1870,-1.9660,-47.6420,47.6840
231.460,178.740,396.390,0.2000,-1.9760,-47.6350,47.6740
227.120,178.060,396.390,0.1920,-1.9790,-47.6270,47.6680
223.210,176.060,396.390,0.1880,-1.9880,-47.6180,47.6590
220.100,172.950,396.390,0.1600,-1.9880,-47.6110,47.6530
218.100,169.040,396.390,0.1650,-2.0030,-47.6140,47.6560
217.420,164.700,396.390,0.1670,-2.0090,-47.6170,0.0000
218.100,160.360,396.390,0.0000,0.0000,0.0000,0.0000
220.100,156.450,396.390,0.1480,-2.0240,-47.6240,47.6670
223.210,153.340,396.390,0.1480,-2.0200,-47.6300,47.6730
227.120,151.340,396.390,0.1400,-2.0220,-47.6380,47.6810
231.460,150.660,396.390,0.1360,-2.0170,-47.6370,47.6800
235.800,151.340,396.390,0.1530,-2.0100,-47.6450,47.6900
239.710,153.340,396.390,0.1550,-2.0130,-47.6470,47.6900
242.820,156.450,396.390,0.1480,-1.9960,-47.6510,47.6930
244.820,160.360,396.390,0.1490,-1.9870,-47.6570,47.6980
263.380,164.700,392.890,0.1510,-1.9790,-47.6600,47.7010
261.820,174.560,392.890,0.1930,-1.9260,-47.6750,47.7140
257.280,183.460,392.890,0.2220,-1.9150,-47.6630,47.7050
250.220,190.520,392.890,0.2480,-1.9180,-47.6530,47.6930
241.320,195.060,392.890,0.2450,-1.9470,-47.6320,47.6740
231.460,196.620,392.890,0.2530,-1.9510,-47.6060,47.6460
221.600,195.060,392.890,0.2390,-1.9530,-47.5840,47.6280
212.700,190.520,392.890,0.2170,-1.9750,-47.5780,47.6170
205.640,183.460,392.890,0.1910,-1.9740,-47.5720,47.6130
201.100,174.560,392.890,0.1560,-2.0010,-47.5690,47.6110
199.540,164.700,392.890,0.1380,-2.0110,-47.5810,47.6230
201.100,154.840,392.890,0.1280,-2.0290,-47.5890,47.6340
205.640,145.940,392.890,0.1470,-2.0560,-47.6020,47.6460
212.700,138.880,392.890,0.1410,-2.0620,-47.6120,47.6560
221.600,134.340,392.890,0.1310,-2.0570,-47.6240,47.6680
231.460,132.780,392.890,0.1500,-2.0510,-47.6340,47.6770
241.320,134.340,392.890,0.1390,-2.0360,-47.6440,47.6870
250.220,138.880,392.890,0.1480,-2.0250,-47.6490,47.6920
257.280,145.940,392.890,0.1560,-2.0090,-47.6570,47.6990
261.820,154.840,392.890,0.1690,-1.9790,-47.6640,47.7060
280.620,164.700,386.680,0.1660,-1.9470,-47.6680,47.7090
278.210,179.890,386.680,0.2150,-1.9040,-47.6640,47.7030
271.230,193.600,386.680,0.2590,-1.8920,-47.6570,47.6950
260.360,204.470,386.680,0.3040,-1.8990,-47.6320,47.6710
246.650,211.450,386.680,0.3180,-1.9230,-47.6110,47.6480
231.460,213.860,386.680,0.3010,-1.9430,-47.5760,47.6150
216.270,211.450,386.680,0.2730,-1.9680,-47.5470,47.5900
202.560,204.470,386.680,0.2600,-1.9700,-47.5370,47.5770
191.690,193.600,386.680,0.2050,-1.9730,-47.5300,47.5720
184.710,179.890,386.680,0.1620,-1.9820,-47.5330,47.5750
182.300,164.700,386.680,0.1400,-2.0120,-47.5390,47.5840
184.710,149.510,386.680,0.1240,-2.0490,-47.5610,47.6040
191.690,135.800,386.680,0.1290,-2.0700,-47.5760,47.6220
202.560,124.930,386.680,0.1390,-2.0760,-47.5970,47.6420
216.270,117.950,386.680,0.1460,-2.0740,-47.6150,47.6600
231.460,115.540,386.680,0.1640,-2.0670,-47.6220,47.6680
246.650,117.950,386.680,0.1540,-2.0540,-47.6310,47.6760
260.360,124.930,386.680,0.1530,-2.0290,-47.6390,47.6840
271.230,135.800,386.680,0.1600,-2.0110,-47.6560,47.6980
278.210,149.510,386.680,0.1600,-1.9920,-47.6550,47.6970
296.730,164.700,377.900,0.1560,-1.9520,-47.6630,47.7030
293.540,184.870,377.900,0.2400,-1.9020,-47.6600,47.6980
284.270,203.070,377.900,0.3110,-1.8850,-47.6380,47.6760
269.830,217.510,377.900,0.3510,-1.9070,-47.6110,47.6500
251.630,226.780,377.900,0.3760,-1.9230,-47.5710,47.6120
231.460,229.970,377.900,0.3640,-1.9600,-47.5320,47.5740
211.290,226.780,377.900,0.3110,-1.9690,-47.5000,47.5420
193.090,217.510,377.900,0.2620,-1.9990,-47.4960,47.5370
178.650,203.070,377.900,0.2220,-1.9810,-47.5110,47.5520
169.380,184.870,377.900,0.1870,-1.9720,-47.5050,47.5480
166.190,164.700,377.900,0.1360,-1.9810,-47.5120,47.5520
169.380,144.530,377.900,0.1380,-2.0250,-47.5330,47.5770
178.650,126.330,377.900,0.1280,-2.0570,-47.5550,47.5990
193.090,111.890,377.900,0.1430,-2.0840,-47.5830,47.6280
211.290,102.620,377.900,0.1800,-2.0880,-47.6050,47.6510
231.460,99.430,377.900,0.1890,-2.0790,-47.6040,47.6490
251.630,102.620,377.900,0.1800,-2.0570,-47.6070,47.6500
269.830,111.890,377.900,0.1480,-2.0230,-47.6250,47.6670
284.270,126.330,377.900,0.1650,-1.9940,-47.6590,47.6980
293.540,144.530,377.900,0.1880,-1.9850,-47.6600,47.7020
311.330,164.700,366.770,0.1890,-1.9500,-47.6560,47.7010
307.420,189.380,366.770,0.2750,-1.9050,-47.6490,47.6910
296.080,211.650,366.770,0.3460,-1.9100,-47.6130,47.6510
278.410,229.320,366.770,0.3880,-1.9250,-47.5910,47.6320
256.140,240.660,366.770,0.4530,-1.9380,-47.5330,47.5750
231.460,244.570,366.770,0.4170,-1.9990,-47.4740,47.5170
206.780,240.660,366.770,0.3220,-2.0030,-47.4520,47.4950
184.510,229.320,366.770,0.2440,-2.0000,-47.4510,47.4960
166.840,211.650,366.770,0.2070,-2.0030,-47.4960,47.5380
155.500,189.380,366.770,0.1940,-1.9670,-47.5210,47.5620
151.590,164.700,366.770,0.1500,-1.9420,-47.5130,47.5540
155.500,140.020,366.770,0.1290,-2.0010,-47.5370,47.5790
166.840,117.750,366.770,0.1350,-2.0380,-47.5520,47.5950
184.510,100.080,366.770,0.1660,-2.0750,-47.5870,47.6330
206.780,88.740,366.770,0.2190,-2.0960,-47.5930,47.6400
231.460,84.830,366.770,0.2270,-2.0580,-47.5750,47.6200
256.140,88.740,366.770,0.1860,-2.0440,-47.5730,47.6180
278.410,100.080,366.770,0.1490,-2.0340,-47.5950,47.6380
296.080,117.750,366.770,0.1440,-1.9900,-47.6530,47.6950
307.420,140.020,366.770,0.2070,-1.9730,-47.6800,47.7240
324.060,164.700,353.540,0.2330,-1.9580,-47.6510,47.6910
319.530,193.310,353.540,0.2920,-1.9210,-47.6360,47.6770
306.370,219.130,353.540,0.3690,-1.9440,-47.5980,47.6390
285.890,239.610,353.540,0.4350,-1.9520,-47.5870,47.6290
260.070,252.770,353.540,0.5010,-2.0120,-47.4860,47.5310
231.460,257.300,353.540,0.4110,-2.0600,-47.4210,47.4680
202.850,252.770,353.540,0.3340,-2.0240,-47.4150,47.4590
177.030,239.610,353.540,0.2590,-1.9860,-47.4230,47.4640
156.550,219.130,353.540,0.1700,-1.9920,-47.4720,47.5160
143.390,193.310,353.540,0.1980,-1.9890,-47.5450,47.5870
138.860,164.700,353.540,0.1810,-1.9430,-47.5350,47.5750
143.390,136.090,353.540,0.1500,-1.9860,-47.5580,47.5990
156.550,110.270,353.540,0.1480,-2.0090,-47.5640,47.6080
177.030,89.790,353.540,0.1940,-2.0760,-47.6100,47.6590
202.850,76.630,353.540,0.2600,-2.0460,-47.5730,47.6200
231.460,72.100,353.540,0.2260,-2.0110,-47.5570,47.6010
260.070,76.630,353.540,0.1970,-2.0440,-47.5620,47.6070
285.890,89.790,353.540,0.1690,-2.0630,-47.5660,47.6100
306.370,110.270,353.540,0.1050,-1.9910,-47.6260,47.6670
319.530,136.090,353.540,0.2080,-1.9400,-47.6950,47.7370
334.620,164.700,338.510,0.2550,-1.9430,-47.6430,47.6830
