# COSI2 B0 scan
# time 2024-09-17 11:31:25.266243
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240917_sphere_inserts_swapped_x->-x
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
245.500,164.700,396.390,0.1600,-1.9720,-47.6620,47.7020
244.820,169.040,396.390,0.1660,-1.9730,-47.6660,47.7070
242.820,172.950,396.390,0.1750,-1.9690,-47.6600,47.7000
239.710,176.060,396.390,0.1890,-1.9670,-47.6570,47.6960
235.800,178.060,396.390,0.1830,-1.9680,-47.6470,47.6900
231.460,178.740,396.390,0.1830,-1.9750,-47.6370,0.0000
227.120,178.060,396.390,0.0000,0.0000,0.0000,0.0000
223.210,176.060,396.390,0.1690,-1.9900,-47.6260,47.6680
220.100,172.950,396.390,0.1690,-1.9980,-47.6250,47.6690
218.100,169.040,396.390,0.1630,-2.0120,-47.6220,47.6640
217.420,164.700,396.390,0.1530,-2.0160,-47.6240,47.6640
218.100,160.360,396.390,0.1410,-2.0200,-47.6180,47.6640
220.100,156.450,396.390,0.1550,-2.0220,-47.6190,47.6620
223.210,153.340,396.390,0.1440,-2.0260,-47.6300,47.6730
227.120,151.340,396.390,0.1480,-2.0340,-47.6310,47.6750
231.460,150.660,396.390,0.1470,-2.0310,-47.6370,47.6810
235.800,151.340,396.390,0.1510,-2.0220,-47.6400,47.6840
239.710,153.340,396.390,0.1470,-2.0120,-47.6500,47.6930
242.820,156.450,396.390,0.1330,-1.9980,-47.6530,47.6950
244.820,160.360,396.390,0.1500,-2.0030,-47.6550,47.7000
263.380,164.700,392.890,0.1500,-1.9810,-47.6630,47.7040
261.820,174.560,392.890,0.1840,-1.9310,-47.6730,47.7160
257.280,183.460,392.890,0.2090,-1.9150,-47.6730,47.7130
250.220,190.520,392.890,0.2300,-1.9090,-47.6560,47.6970
241.320,195.060,392.890,0.2420,-1.9260,-47.6420,47.6800
231.460,196.620,392.890,0.2340,-1.9460,-47.6210,47.6610
221.600,195.060,392.890,0.2300,-1.9520,-47.6050,47.6470
212.700,190.520,392.890,0.2070,-1.9770,-47.5890,47.6290
205.640,183.460,392.890,0.1990,-1.9930,-47.5840,47.6260
201.100,174.560,392.890,0.1730,-2.0050,-47.5810,47.6260
199.540,164.700,392.890,0.1440,-2.0310,-47.5870,47.6300
201.100,154.840,392.890,0.1490,-2.0480,-47.5950,47.6380
205.640,145.940,392.890,0.1460,-2.0470,-47.5980,47.6440
212.700,138.880,392.890,0.1520,-2.0620,-47.6080,47.6530
221.600,134.340,392.890,0.1500,-2.0500,-47.6160,47.6580
231.460,132.780,392.890,0.1540,-2.0590,-47.6260,47.6700
241.320,134.340,392.890,0.1460,-2.0510,-47.6370,47.6810
250.220,138.880,392.890,0.1510,-2.0310,-47.6440,47.6890
