# COSI2 B0 scan
# time 2024-09-17 18:25:11.009462
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240917_sphere_yz_flipped
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
245.500,164.700,396.390,-0.4140,-1.9960,-47.5800,47.6220
244.820,169.040,396.390,-0.4170,-1.9980,-47.5840,47.6290
242.820,172.950,396.390,-0.3980,-1.9830,-47.5790,47.6220
239.710,176.060,396.390,-0.4010,-1.9740,-47.5740,47.6170
235.800,178.060,396.390,-0.3970,-1.9630,-47.5610,47.6050
231.460,178.740,396.390,-0.3910,-1.9520,-47.5490,47.5920
227.120,178.060,396.390,-0.3960,-1.9440,-47.5400,47.5810
223.210,176.060,396.390,-0.3950,-1.9270,-47.5250,47.5700
220.100,172.950,396.390,-0.4090,-1.9320,-47.5140,47.5550
218.100,169.040,396.390,-0.4210,-1.9240,-47.5120,47.5530
217.420,164.700,396.390,-0.4230,-1.9240,-47.5070,47.5470
218.100,160.360,396.390,-0.4250,-1.9450,-47.5030,47.5460
220.100,156.450,396.390,-0.4250,-1.9510,-47.5040,47.5460
223.210,153.340,396.390,-0.4230,-1.9570,-47.5130,47.5550
227.120,151.340,396.390,-0.4310,-1.9800,-47.5200,47.5610
231.460,150.660,396.390,-0.4280,-1.9840,-47.5300,47.5730
235.800,151.340,396.390,-0.4440,-1.9960,-47.5350,47.5790
239.710,153.340,396.390,-0.4290,-2.0100,-47.5450,47.5890
242.820,156.450,396.390,-0.4200,-2.0040,-47.5600,47.6020
244.820,160.360,396.390,-0.4230,-2.0020,-47.5710,47.6150
263.380,164.700,392.890,-0.4150,-2.0020,-47.5750,47.6150
261.820,174.560,392.890,-0.4120,-1.9830,-47.6350,47.6780
257.280,183.460,392.890,-0.3750,-1.9660,-47.6310,47.6760
250.220,190.520,392.890,-0.3590,-1.9500,-47.6140,47.6550
241.320,195.060,392.890,-0.3450,-1.9430,-47.5930,47.6320
231.460,196.620,392.890,-0.3510,-1.9330,-47.5570,47.5990
221.600,195.060,392.890,-0.3500,-1.9060,-47.5320,47.5720
212.700,190.520,392.890,-0.3580,-1.8820,-47.5090,47.5500
205.640,183.460,392.890,-0.3790,-1.8610,-47.4880,47.5290
201.100,174.560,392.890,-0.3900,-1.8500,-47.4790,47.5170
199.540,164.700,392.890,-0.4300,-1.8550,-47.4830,47.5210
201.100,154.840,392.890,-0.4230,-1.8770,-47.4860,47.5250
205.640,145.940,392.890,-0.4420,-1.8900,-47.4910,47.5300
212.700,138.880,392.890,-0.4290,-1.9330,-47.5000,47.5420
221.600,134.340,392.890,-0.4230,-1.9680,-47.5080,47.5510
231.460,132.780,392.890,-0.4350,-2.0010,-47.5250,47.5680
