# COSI2 B0 scan
# time 2024-09-18 09:59:17.003952
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240918_sphere_zinverted_R120_20pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
245.500,164.700,396.390,-0.2180,-2.0530,-47.6290,47.6700
244.820,169.040,396.390,-0.2200,-2.0520,-47.6380,47.6820
242.820,172.950,396.390,-0.1930,-2.0560,-47.6320,47.6770
239.710,176.060,396.390,-0.2010,-2.0370,-47.6230,47.6670
235.800,178.060,396.390,-0.2060,-2.0440,-47.6150,47.6590
231.460,178.740,396.390,-0.2010,-2.0550,-47.5960,47.6410
227.120,178.060,396.390,-0.1980,-2.0380,-47.5850,47.6290
223.210,176.060,396.390,-0.1920,-2.0480,-47.5630,47.6120
220.100,172.950,396.390,-0.1990,-2.0680,-47.5390,47.5860
218.100,169.040,396.390,-0.2060,-2.0620,-47.5250,47.5700
217.420,164.700,396.390,-0.2070,-2.0810,-47.5180,47.5660
218.100,160.360,396.390,-0.2180,-2.0870,-47.5140,47.5640
220.100,156.450,396.390,-0.2030,-2.0930,-47.5200,47.5660
223.210,153.340,396.390,-0.1960,-2.0940,-47.5270,47.5720
227.120,151.340,396.390,-0.1990,-2.1060,-47.5330,47.5790
231.460,150.660,396.390,-0.2030,-2.1080,-47.5430,47.5870
235.800,151.340,396.390,-0.2140,-2.1090,-47.5610,47.6060
239.710,153.340,396.390,-0.2070,-2.1000,-47.5790,47.6230
242.820,156.450,396.390,-0.2080,-2.0870,-47.5950,47.6370
244.820,160.360,396.390,-0.2180,-2.0800,-47.6110,47.6560
263.380,164.700,392.890,-0.2210,-2.0710,-47.6220,47.6680
261.820,174.560,392.890,-0.2080,-1.9850,-47.6960,47.7400
257.280,183.460,392.890,-0.1910,-1.9670,-47.6940,47.7340
250.220,190.520,392.890,-0.1760,-1.9660,-47.6820,47.7210
241.320,195.060,392.890,-0.1600,-1.9690,-47.6510,0.0000
231.460,196.620,392.890,0.0000,0.0000,0.0000,0.0000
221.600,195.060,392.890,-0.1600,-1.9920,-47.5750,47.6190
212.700,190.520,392.890,-0.1820,-1.9930,-47.5410,47.5830
205.640,183.460,392.890,-0.1720,-1.9860,-47.5060,47.5480
201.100,174.560,392.890,-0.1990,-2.0110,-47.4800,47.5220
199.540,164.700,392.890,-0.1920,-2.0240,-47.4630,47.5080
201.100,154.840,392.890,-0.2020,-2.0510,-47.4570,47.5010
205.640,145.940,392.890,-0.2050,-2.0740,-47.4550,47.5010
212.700,138.880,392.890,-0.1990,-2.0860,-47.4630,47.5100
221.600,134.340,392.890,-0.1930,-2.0990,-47.4880,47.5350
231.460,132.780,392.890,-0.1840,-2.1140,-47.5190,47.5640
241.320,134.340,392.890,-0.1950,-2.1070,-47.5410,47.5860
250.220,138.880,392.890,-0.2100,-2.0960,-47.5730,47.6190
257.280,145.940,392.890,-0.2150,-2.0860,-47.6080,47.6540
261.820,154.840,392.890,-0.2260,-2.0590,-47.6390,47.6830
280.620,164.700,386.680,-0.2210,-2.0130,-47.6700,47.7100
278.210,179.890,386.680,-0.2130,-1.9030,-47.7170,47.7600
271.230,193.600,386.680,-0.1740,-1.8770,-47.7160,47.7530
260.360,204.470,386.680,-0.1240,-1.8960,-47.6970,47.7340
246.650,211.450,386.680,-0.0910,-1.9110,-47.6590,47.6980
231.460,213.860,386.680,-0.0840,-1.9220,-47.6150,47.6540
216.270,211.450,386.680,-0.1040,-1.9450,-47.5600,47.6020
202.560,204.470,386.680,-0.1160,-1.9530,-47.5260,47.5650
191.690,193.600,386.680,-0.1290,-1.9460,-47.4920,47.5320
184.710,179.890,386.680,-0.1510,-1.9360,-47.4580,47.4980
182.300,164.700,386.680,-0.1660,-1.9540,-47.4330,47.4730
184.710,149.510,386.680,-0.1740,-1.9890,-47.4180,47.4620
191.690,135.800,386.680,-0.1940,-2.0150,-47.4210,47.4660
202.560,124.930,386.680,-0.1820,-2.0500,-47.4320,47.4760
216.270,117.950,386.680,-0.1700,-2.0770,-47.4610,47.5040
231.460,115.540,386.680,-0.1770,-2.1020,-47.4980,47.5450
246.650,117.950,386.680,-0.1710,-2.1000,-47.5330,47.5800
260.360,124.930,386.680,-0.2010,-2.0880,-47.5730,47.6190
271.230,135.800,386.680,-0.2260,-2.0590,-47.6070,47.6520
278.210,149.510,386.680,-0.2390,-2.0130,-47.6440,47.6870
296.730,164.700,377.900,-0.2430,-1.9560,-47.6720,47.7130
293.540,184.870,377.900,-0.1880,-1.8580,-47.7000,47.7420
284.270,203.070,377.900,-0.1290,-1.8280,-47.7020,47.7370
269.830,217.510,377.900,-0.0640,-1.8420,-47.6860,47.7240
251.630,226.780,377.900,-0.0130,-1.8690,-47.6490,47.6850
231.460,229.970,377.900,0.0000,-1.8970,-47.5860,47.6270
211.290,226.780,377.900,-0.0410,-1.9340,-47.5360,47.5780
193.090,217.510,377.900,-0.0850,-1.9410,-47.5100,47.5490
178.650,203.070,377.900,-0.0920,-1.9230,-47.5050,47.5450
169.380,184.870,377.900,-0.1020,-1.8940,-47.4750,47.5180
166.190,164.700,377.900,-0.1320,-1.8820,-47.4410,47.4780
169.380,144.530,377.900,-0.1460,-1.9100,-47.4280,47.4660
178.650,126.330,377.900,-0.1620,-1.9550,-47.4180,47.4610
193.090,111.890,377.900,-0.1590,-1.9920,-47.4330,47.4740
211.290,102.620,377.900,-0.1420,-2.0570,-47.4620,47.5060
231.460,99.430,377.900,-0.1450,-2.0850,-47.4790,47.5270
251.630,102.620,377.900,-0.1540,-2.0910,-47.5050,47.5520
269.830,111.890,377.900,-0.1940,-2.0570,-47.5430,47.5880
284.270,126.330,377.900,-0.2260,-2.0350,-47.5970,47.6390
293.540,144.530,377.900,-0.2260,-2.0010,-47.6340,47.6760
311.330,164.700,366.770,-0.2400,-1.9360,-47.6610,47.6950
307.420,189.380,366.770,-0.1710,-1.8340,-47.6720,47.7150
296.080,211.650,366.770,-0.0760,-1.8170,-47.6660,47.7040
278.410,229.320,366.770,-0.0130,-1.8100,-47.6610,47.6950
256.140,240.660,366.770,0.0700,-1.8560,-47.6080,47.6480
231.460,244.570,366.770,0.0660,-1.9240,-47.5390,47.5780
206.780,240.660,366.770,-0.0030,-1.9330,-47.4930,47.5370
184.510,229.320,366.770,-0.0720,-1.9260,-47.4840,47.5220
166.840,211.650,366.770,-0.0880,-1.9300,-47.5220,47.5600
155.500,189.380,366.770,-0.0490,-1.8860,-47.5280,47.5710
151.590,164.700,366.770,-0.0880,-1.8210,-47.4800,47.5180
155.500,140.020,366.770,-0.1350,-1.8470,-47.4750,47.5120
166.840,117.750,366.770,-0.1480,-1.8770,-47.4570,47.4950
184.510,100.080,366.770,-0.1610,-1.9660,-47.4720,47.5130
206.780,88.740,366.770,-0.1030,-2.0220,-47.4780,47.5210
231.460,84.830,366.770,-0.1020,-2.0320,-47.4730,47.5160
256.140,88.740,366.770,-0.1510,-2.0460,-47.4840,47.5300
278.410,100.080,366.770,-0.2050,-2.0520,-47.5150,47.5570
