# COSI2 B0 scan
# time 2024-09-19 11:12:07.099909
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240919_ball_4rings_R120_12pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
231.460,164.950,155.670,-0.1230,-1.9320,-47.4200,47.4610
251.460,204.950,165.670,-0.1310,-1.9420,-47.4170,47.4560
241.460,204.950,165.670,-0.1180,-1.9810,-47.4350,47.4760
231.460,204.950,165.670,-0.1250,-1.9670,-47.4270,47.4700
221.460,204.950,165.670,-0.1250,-1.9580,-47.4210,47.4620
211.460,204.950,165.670,-0.1290,-1.9470,-47.4170,47.4610
201.460,194.950,165.670,-0.1290,-1.9440,-47.4180,47.4590
211.460,194.950,165.670,-0.1410,-1.9470,-47.4250,47.4650
221.460,194.950,165.670,-0.1400,-1.9400,-47.4210,47.4590
231.460,194.950,165.670,-0.1300,-1.9470,-47.4200,47.4600
241.460,194.950,165.670,-0.1290,-1.9500,-47.4170,47.4590
251.460,194.950,165.670,-0.1350,-1.9690,-47.4260,47.4660
261.460,194.950,165.670,-0.1350,-1.9670,-47.4300,47.4700
271.460,184.950,165.670,-0.1430,-1.9800,-47.4370,47.4780
261.460,184.950,165.670,-0.1570,-1.9880,-47.4360,47.4810
251.460,184.950,165.670,-0.1420,-1.9730,-47.4350,47.4730
241.460,184.950,165.670,-0.1370,-1.9660,-47.4310,47.4720
231.460,184.950,165.670,-0.1340,-1.9570,-47.4300,47.4700
221.460,184.950,165.670,-0.1280,-1.9480,-47.4250,47.4650
211.460,184.950,165.670,-0.1260,-1.9400,-47.4260,47.4640
201.460,184.950,165.670,-0.1300,-1.9370,-47.4310,47.4700
191.460,184.950,165.670,-0.1360,-1.9310,-47.4300,47.4680
191.460,174.950,165.670,-0.1360,-1.9290,-47.4390,47.4790
201.460,174.950,165.670,-0.1360,-1.9230,-47.4460,47.4850
211.460,174.950,165.670,-0.1230,-1.9330,-47.4400,47.4830
221.460,174.950,165.670,-0.1310,-1.9370,-47.4270,47.4690
231.460,174.950,165.670,-0.1270,-1.9450,-47.4240,47.4640
241.460,174.950,165.670,-0.1280,-1.9450,-47.4250,47.4650
251.460,174.950,165.670,-0.1380,-1.9620,-47.4200,47.4610
261.460,174.950,165.670,-0.1400,-1.9640,-47.4240,47.4630
271.460,174.950,165.670,-0.1580,-1.9710,-47.4230,47.4650
271.460,164.950,165.670,-0.1680,-1.9790,-47.4270,47.4700
261.460,164.950,165.670,-0.1630,-1.9760,-47.4150,47.4550
251.460,164.950,165.670,-0.1570,-1.9520,-47.4190,47.4600
241.460,164.950,165.670,-0.1470,-1.9430,-47.4160,47.4580
