# COSI2 B0 scan,,,,,,
# time 2024-09-19 11:12:07.099909,,,,,,
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240919_ball_4rings_R120_12pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
231.46,164.95,155.67,-0.131,-1.942,-47.417,47.456
251.46,204.95,165.67,-0.118,-1.981,-47.435,47.476
241.46,204.95,165.67,-0.125,-1.967,-47.427,47.47
231.46,204.95,165.67,-0.125,-1.958,-47.421,47.462
221.46,204.95,165.67,-0.129,-1.947,-47.417,47.461
211.46,204.95,165.67,-0.129,-1.944,-47.418,47.459
201.46,194.95,165.67,-0.141,-1.947,-47.425,47.465
211.46,194.95,165.67,-0.14,-1.94,-47.421,47.459
221.46,194.95,165.67,-0.13,-1.947,-47.42,47.46
231.46,194.95,165.67,-0.129,-1.95,-47.417,47.459
241.46,194.95,165.67,-0.135,-1.969,-47.426,47.466
251.46,194.95,165.67,-0.135,-1.967,-47.43,47.47
261.46,194.95,165.67,-0.143,-1.98,-47.437,47.478
271.46,184.95,165.67,-0.157,-1.988,-47.436,47.481
261.46,184.95,165.67,-0.142,-1.973,-47.435,47.473
251.46,184.95,165.67,-0.137,-1.966,-47.431,47.472
241.46,184.95,165.67,-0.134,-1.957,-47.43,47.47
231.46,184.95,165.67,-0.128,-1.948,-47.425,47.465
221.46,184.95,165.67,-0.126,-1.94,-47.426,47.464
211.46,184.95,165.67,-0.13,-1.937,-47.431,47.47
201.46,184.95,165.67,-0.136,-1.931,-47.43,47.468
191.46,184.95,165.67,-0.136,-1.929,-47.439,47.479
191.46,174.95,165.67,-0.136,-1.923,-47.446,47.485
201.46,174.95,165.67,-0.123,-1.933,-47.44,47.483
211.46,174.95,165.67,-0.131,-1.937,-47.427,47.469
221.46,174.95,165.67,-0.127,-1.945,-47.424,47.464
231.46,174.95,165.67,-0.128,-1.945,-47.425,47.465
241.46,174.95,165.67,-0.138,-1.962,-47.42,47.461
251.46,174.95,165.67,-0.14,-1.964,-47.424,47.463
261.46,174.95,165.67,-0.158,-1.971,-47.423,47.465
271.46,174.95,165.67,-0.168,-1.979,-47.427,47.47
271.46,164.95,165.67,-0.163,-1.976,-47.415,47.455
261.46,164.95,165.67,-0.157,-1.952,-47.419,47.46
251.46,164.95,165.67,-0.147,-1.943,-47.416,47.458
241.46,164.95,165.67,-0.143,-1.949,-47.416,47.454
231.46,164.95,165.67,-0.129,-1.941,-47.416,47.457
221.46,164.95,165.67,-0.124,-1.94,-47.423,47.462
211.46,164.95,165.67,-0.114,-1.935,-47.426,47.466
201.46,164.95,165.67,-0.125,-1.928,-47.437,47.475
191.46,164.95,165.67,-0.119,-1.918,-47.451,47.486
191.46,154.95,165.67,-0.112,-1.922,-47.445,47.484
201.46,154.95,165.67,-0.102,-1.924,-47.436,47.476
211.46,154.95,165.67,-0.115,-1.934,-47.424,47.464
221.46,154.95,165.67,-0.118,-1.935,-47.415,47.457
231.46,154.95,165.67,-0.124,-1.94,-47.413,47.455
241.46,154.95,165.67,-0.135,-1.936,-47.408,47.448
251.46,154.95,165.67,-0.145,-1.942,-47.407,47.446
261.46,154.95,165.67,-0.152,-1.959,-47.404,47.445
271.46,154.95,165.67,-0.158,-1.952,-47.405,47.446
271.46,144.95,165.67,-0.155,-1.944,-47.392,47.437
261.46,144.95,165.67,-0.141,-1.954,-47.396,47.437
251.46,144.95,165.67,-0.138,-1.941,-47.402,47.439
241.46,144.95,165.67,-0.12,-1.935,-47.402,47.441
231.46,144.95,165.67,-0.128,-1.934,-47.407,47.448
221.46,144.95,165.67,-0.117,-1.943,-47.413,47.449
211.46,144.95,165.67,-0.104,-1.936,-47.419,47.458
201.46,144.95,165.67,-0.108,-1.934,-47.428,47.468
