# COSI coordinate transformer output
# OSI2 magnet V1
# Date,240913
# x[m],y[m],z[m],Bx[T],By[T],Bz[T]
0.08434,-0.00051,-0.00015,-0.00001,-0.00205,-0.04749
0.07490,0.00893,0.03763,-0.00001,-0.00204,-0.04749
0.07490,-0.00051,0.03763,-0.00002,-0.00204,-0.04749
0.07490,-0.00995,0.03763,-0.00002,-0.00204,-0.04749
0.07490,-0.01940,0.02818,-0.00002,-0.00204,-0.04749
0.07490,-0.00995,0.02818,-0.00002,-0.00204,-0.04749
0.07490,-0.00051,0.02818,-0.00002,-0.00204,-0.04749
0.07490,0.00893,0.02818,0.00000,-0.00204,-0.04749
0.07490,0.01838,0.02818,-0.00002,-0.00204,-0.04749
0.07490,0.02782,0.01874,-0.00001,-0.00204,-0.04749
0.07490,0.01838,0.01874,-0.00002,-0.00205,-0.04750
0.07490,0.00893,0.01874,-0.00003,-0.00206,-0.04750
0.07490,-0.00051,0.01874,-0.00002,-0.00205,-0.04750
0.07490,-0.00995,0.01874,-0.00002,-0.00205,-0.04749
0.07490,-0.01940,0.01874,-0.00001,-0.00204,-0.04749
0.07490,-0.02884,0.01874,-0.00001,-0.00203,-0.04749
0.07490,-0.03829,0.00929,0.00000,-0.00203,-0.04749
0.07490,-0.02884,0.00929,-0.00001,-0.00202,-0.04750
0.07490,-0.01940,0.00929,-0.00002,-0.00202,-0.04750
0.07490,-0.00995,0.00929,-0.00001,-0.00203,-0.04750
0.07490,-0.00051,0.00929,-0.00001,-0.00203,-0.04749
0.07490,0.00893,0.00929,-0.00002,-0.00203,-0.04750
0.07490,0.01838,0.00929,0.00000,0.00000,0.00000
0.07490,0.02782,0.00929,-0.00002,-0.00204,-0.04749
0.07490,0.03727,0.00929,-0.00001,-0.00206,-0.04750
0.07490,0.03727,-0.00015,-0.00001,-0.00206,-0.04751
0.07490,0.02782,-0.00015,-0.00002,-0.00206,-0.04752
0.07490,0.01838,-0.00015,-0.00003,-0.00206,-0.04752
0.07490,0.00893,-0.00015,-0.00002,-0.00205,-0.04751
0.07490,-0.00051,-0.00015,-0.00001,-0.00205,-0.04751
0.07490,-0.00995,-0.00015,-0.00002,-0.00205,-0.04750
0.07490,-0.01940,-0.00015,-0.00001,-0.00203,-0.04750
0.07490,-0.02884,-0.00015,-0.00002,-0.00204,-0.04750
0.07490,-0.03829,-0.00015,-0.00003,-0.00203,-0.04750
0.07490,-0.03829,-0.00959,-0.00002,-0.00202,-0.04750
0.07490,-0.02884,-0.00959,-0.00002,-0.00202,-0.04750
0.07490,-0.01940,-0.00959,-0.00002,-0.00202,-0.04750
0.07490,-0.00995,-0.00959,-0.00003,-0.00203,-0.04750
0.07490,-0.00051,-0.00959,-0.00003,-0.00203,-0.04749
0.07490,0.00893,-0.00959,-0.00003,-0.00204,-0.04749
0.07490,0.01838,-0.00959,-0.00003,-0.00205,-0.04749
0.07490,0.02782,-0.00959,-0.00002,-0.00204,-0.04749
0.07490,0.03727,-0.00959,-0.00002,-0.00205,-0.04750
0.07490,0.02782,-0.01904,-0.00002,-0.00205,-0.04751
0.07490,0.01838,-0.01904,-0.00001,-0.00206,-0.04752
0.07490,0.00893,-0.01904,-0.00001,-0.00206,-0.04751
0.07490,-0.00051,-0.01904,-0.00002,-0.00206,-0.04750
0.07490,-0.00995,-0.01904,-0.00002,-0.00204,-0.04750
0.07490,-0.01940,-0.01904,-0.00002,-0.00205,-0.04749
0.07490,-0.02884,-0.01904,-0.00003,-0.00203,-0.04749
0.07490,-0.01940,-0.02848,-0.00004,-0.00202,-0.04749
0.07490,-0.00995,-0.02848,-0.00004,-0.00203,-0.04749
0.07490,-0.00051,-0.02848,-0.00004,-0.00203,-0.04749
0.07490,0.00893,-0.02848,-0.00003,-0.00205,-0.04748
0.07490,0.01838,-0.02848,-0.00003,-0.00204,-0.04749
0.07490,0.00893,-0.03793,-0.00001,-0.00206,-0.04749
0.07490,-0.00051,-0.03793,-0.00002,-0.00205,-0.04750
0.07490,-0.00995,-0.03793,-0.00002,-0.00206,-0.04749
0.06545,0.01838,-0.04737,-0.00003,-0.00203,-0.04748
0.06545,0.00893,-0.04737,-0.00002,-0.00204,-0.04748
0.06545,-0.00051,-0.04737,0.00000,-0.00207,-0.04748
0.06545,-0.00995,-0.04737,-0.00002,-0.00205,-0.04749
0.06545,-0.01940,-0.04737,-0.00003,-0.00204,-0.04749
0.06545,-0.02884,-0.03793,-0.00005,-0.00203,-0.04748
0.06545,-0.01940,-0.03793,-0.00006,-0.00202,-0.04748
0.06545,-0.00995,-0.03793,-0.00005,-0.00203,-0.04748
0.06545,-0.00051,-0.03793,-0.00004,-0.00203,-0.04749
0.06545,0.00893,-0.03793,-0.00004,-0.00205,-0.04749
0.06545,0.01838,-0.03793,-0.00003,-0.00205,-0.04749
0.06545,0.02782,-0.03793,-0.00003,-0.00205,-0.04749
0.06545,0.03727,-0.03793,-0.00002,-0.00206,-0.04750
0.06545,0.03727,-0.02848,-0.00001,-0.00207,-0.04751
0.06545,0.02782,-0.02848,-0.00001,-0.00207,-0.04752
0.06545,0.01838,-0.02848,-0.00001,-0.00206,-0.04752
0.06545,0.00893,-0.02848,-0.00002,-0.00206,-0.04752
0.06545,-0.00051,-0.02848,-0.00003,-0.00205,-0.04751
0.06545,-0.00995,-0.02848,-0.00004,-0.00204,-0.04750
0.06545,-0.01940,-0.02848,-0.00003,-0.00205,-0.04749
0.06545,-0.02884,-0.02848,-0.00004,-0.00202,-0.04749
0.06545,-0.03829,-0.02848,-0.00004,-0.00202,-0.04749
0.06545,-0.04773,-0.01904,-0.00005,-0.00202,-0.04749
0.06545,-0.03829,-0.01904,-0.00005,-0.00201,-0.04750
0.06545,-0.02884,-0.01904,-0.00005,-0.00200,-0.04750
0.06545,-0.01940,-0.01904,-0.00003,-0.00202,-0.04750
0.06545,-0.00995,-0.01904,-0.00004,-0.00203,-0.04750
0.06545,-0.00051,-0.01904,-0.00004,-0.00203,-0.04750
0.06545,0.00893,-0.01904,-0.00003,-0.00203,-0.04750
0.06545,0.01838,-0.01904,-0.00003,-0.00204,-0.04750
0.06545,0.02782,-0.01904,-0.00003,-0.00204,-0.04750
0.06545,0.03727,-0.01904,-0.00002,-0.00205,-0.04751
0.06545,0.04671,-0.01904,-0.00002,-0.00206,-0.04751
0.06545,0.04671,-0.00959,-0.00002,-0.00206,-0.04753
0.06545,0.03727,-0.00959,-0.00002,-0.00207,-0.04754
0.06545,0.02782,-0.00959,-0.00003,-0.00206,-0.04754
0.06545,0.01838,-0.00959,-0.00003,-0.00206,-0.04753
0.06545,0.00893,-0.00959,-0.00003,-0.00205,-0.04752
0.06545,-0.00051,-0.00959,-0.00003,-0.00204,-0.04751
0.06545,-0.00995,-0.00959,-0.00003,-0.00204,-0.04750
0.06545,-0.01940,-0.00959,-0.00002,-0.00203,-0.04750
0.06545,-0.02884,-0.00959,-0.00003,-0.00204,-0.04750
0.06545,-0.03829,-0.00959,-0.00003,-0.00202,-0.04750
0.06545,-0.04773,-0.00959,-0.00004,-0.00202,-0.04750
0.06545,-0.04773,-0.00015,-0.00003,-0.00201,-0.04751
0.06545,-0.03829,-0.00015,-0.00003,-0.00200,-0.04751
0.06545,-0.02884,-0.00015,-0.00003,-0.00202,-0.04751
0.06545,-0.01940,-0.00015,-0.00002,-0.00202,-0.04751
0.06545,-0.00995,-0.00015,-0.00002,-0.00202,-0.04750
0.06545,-0.00051,-0.00015,-0.00003,-0.00202,-0.04750
0.06545,0.00893,-0.00015,-0.00002,-0.00202,-0.04750
0.06545,0.01838,-0.00015,-0.00003,-0.00204,-0.04751
0.06545,0.02782,-0.00015,-0.00003,-0.00204,-0.04751
0.06545,0.03727,-0.00015,-0.00003,-0.00205,-0.04751
0.06545,0.04671,-0.00015,-0.00003,-0.00205,-0.04752
0.06545,0.04671,0.00929,-0.00002,-0.00205,-0.04753
0.06545,0.03727,0.00929,0.00000,0.00000,0.00000
0.06545,0.02782,0.00929,-0.00002,-0.00205,-0.04753
0.06545,0.01838,0.00929,-0.00003,-0.00204,-0.04753
0.06545,0.00893,0.00929,-0.00002,-0.00204,-0.04752
0.06545,-0.00051,0.00929,-0.00002,-0.00203,-0.04751
0.06545,-0.00995,0.00929,-0.00002,-0.00203,-0.04751
0.06545,-0.01940,0.00929,-0.00002,-0.00202,-0.04750
0.06545,-0.02884,0.00929,-0.00002,-0.00203,-0.04750
0.06545,-0.03829,0.00929,-0.00002,-0.00202,-0.04750
0.06545,-0.04773,0.00929,-0.00002,-0.00202,-0.04750
0.06545,-0.04773,0.01874,-0.00002,-0.00202,-0.04751
0.06545,-0.03829,0.01874,0.00000,-0.00201,-0.04752
0.06545,-0.02884,0.01874,0.00000,-0.00203,-0.04752
0.06545,-0.01940,0.01874,-0.00001,-0.00201,-0.04751
0.06545,-0.00995,0.01874,0.00000,-0.00202,-0.04750
0.06545,-0.00051,0.01874,-0.00002,-0.00202,-0.04750
0.06545,0.00893,0.01874,-0.00002,-0.00202,-0.04750
0.06545,0.01838,0.01874,-0.00002,-0.00203,-0.04750
0.06545,0.02782,0.01874,-0.00002,-0.00204,-0.04750
0.06545,0.03727,0.01874,-0.00002,-0.00204,-0.04751
0.06545,0.04671,0.01874,-0.00002,-0.00205,-0.04752
0.06545,0.03727,0.02818,-0.00004,-0.00205,-0.04752
0.06545,0.02782,0.02818,-0.00004,-0.00204,-0.04753
0.06545,0.01838,0.02818,-0.00004,-0.00204,-0.04752
0.06545,0.00893,0.02818,-0.00003,-0.00204,-0.04751
0.06545,-0.00051,0.02818,-0.00002,-0.00204,-0.04751
0.06545,-0.00995,0.02818,-0.00001,-0.00203,-0.04750
0.06545,-0.01940,0.02818,0.00000,-0.00203,-0.04749
0.06545,-0.02884,0.02818,-0.00001,-0.00202,-0.04750
0.06545,-0.03829,0.02818,0.00000,-0.00202,-0.04750
0.06545,-0.02884,0.03763,0.00000,-0.00201,-0.04750
0.06545,-0.01940,0.03763,0.00000,-0.00201,-0.04751
0.06545,-0.00995,0.03763,0.00000,-0.00201,-0.04751
0.06545,-0.00051,0.03763,0.00000,-0.00202,-0.04749
0.06545,0.00893,0.03763,-0.00001,-0.00203,-0.04749
0.06545,0.01838,0.03763,-0.00001,-0.00203,-0.04749
0.06545,0.02782,0.03763,-0.00003,-0.00204,-0.04749
0.06545,0.03727,0.03763,-0.00003,-0.00204,-0.04749
0.06545,0.01838,0.04707,-0.00004,-0.00204,-0.04750
0.06545,0.00893,0.04707,-0.00004,-0.00205,-0.04751
0.06545,-0.00051,0.04707,-0.00003,-0.00203,-0.04749
0.06545,-0.00995,0.04707,-0.00001,-0.00204,-0.04748
0.06545,-0.01940,0.04707,-0.00001,-0.00203,-0.04748
0.05601,0.02782,0.05652,-0.00001,-0.00203,-0.04748
0.05601,0.01838,0.05652,0.00000,-0.00204,-0.04748
0.05601,0.00893,0.05652,-0.00003,-0.00204,-0.04749
0.05601,-0.00051,0.05652,-0.00003,-0.00203,-0.04749
0.05601,-0.00995,0.05652,-0.00001,-0.00202,-0.04749
0.05601,-0.01940,0.05652,-0.00001,-0.00202,-0.04749
0.05601,-0.02884,0.05652,-0.00001,-0.00202,-0.04749
0.05601,-0.03829,0.04707,-0.00001,-0.00202,-0.04749
0.05601,-0.02884,0.04707,-0.00001,-0.00202,-0.04749
0.05601,-0.01940,0.04707,-0.00001,-0.00202,-0.04749
0.05601,-0.00995,0.04707,-0.00001,-0.00202,-0.04749
0.05601,-0.00051,0.04707,0.00000,-0.00201,-0.04749
0.05601,0.00893,0.04707,0.00000,-0.00202,-0.04749
0.05601,0.01838,0.04707,-0.00002,-0.00202,-0.04749
0.05601,0.02782,0.04707,-0.00001,-0.00203,-0.04749
0.05601,0.03727,0.04707,-0.00003,-0.00203,-0.04749
0.05601,0.04671,0.03763,-0.00004,-0.00204,-0.04751
0.05601,0.03727,0.03763,-0.00006,-0.00204,-0.04751
0.05601,0.02782,0.03763,-0.00003,-0.00205,-0.04753
0.05601,0.01838,0.03763,-0.00004,-0.00203,-0.04752
0.05601,0.00893,0.03763,-0.00003,-0.00204,-0.04751
0.05601,-0.00051,0.03763,-0.00002,-0.00202,-0.04751
0.05601,-0.00995,0.03763,-0.00001,-0.00202,-0.04750
0.05601,-0.01940,0.03763,-0.00001,-0.00203,-0.04750
0.05601,-0.02884,0.03763,0.00000,-0.00202,-0.04750
0.05601,-0.03829,0.03763,0.00000,-0.00202,-0.04750
0.05601,-0.04773,0.03763,0.00000,-0.00202,-0.04750
0.05601,-0.05718,0.02818,0.00000,-0.00202,-0.04750
0.05601,-0.04773,0.02818,0.00000,-0.00202,-0.04750
0.05601,-0.03829,0.02818,0.00000,-0.00202,-0.04750
0.05601,-0.02884,0.02818,0.00000,-0.00202,-0.04750
0.05601,-0.01940,0.02818,0.00000,-0.00202,-0.04750
0.05601,-0.00995,0.02818,-0.00001,-0.00202,-0.04751
0.05601,-0.00051,0.02818,-0.00002,-0.00203,-0.04750
0.05601,0.00893,0.02818,-0.00001,-0.00202,-0.04750
0.05601,0.01838,0.02818,-0.00001,-0.00203,-0.04750
0.05601,0.02782,0.02818,-0.00002,-0.00203,-0.04750
0.05601,0.03727,0.02818,-0.00003,-0.00204,-0.04751
0.05601,0.04671,0.02818,-0.00003,-0.00204,-0.04752
0.05601,0.05616,0.02818,-0.00003,-0.00204,-0.04752
0.05601,0.05616,0.01874,-0.00003,-0.00205,-0.04754
0.05601,0.04671,0.01874,-0.00004,-0.00206,-0.04755
0.05601,0.03727,0.01874,-0.00004,-0.00206,-0.04755
