# COSI2 B0 scan,,,,,,
# time 2024-09-13 12:57:49.962160,,,,,,
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240913/240913_ball_R85_9pts_per_radius_before_shim_no_rings_field_components_aligned,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
231.46,164.7,192.21,-0.02,-2.04,-47.49,47.53
222.02,202.48,201.65,0.01,-2.04,-47.489,47.532
231.46,202.48,201.65,0.01,-2.04,-47.48,47.528
240.9,202.48,201.65,0.01,-2.02,-47.481,47.524
250.35,193.03,201.65,0.01,-2.03,-47.491,47.531
240.9,193.03,201.65,0,-2.04,-47.493,47.536
231.46,193.03,201.65,-0.02,-2.04,-47.487,47.531
222.02,193.03,201.65,-0.01,-2.04,-47.49,47.53
212.57,193.03,201.65,-0.02,-2.05,-47.497,47.54
203.13,183.59,201.65,-0.03,-2.06,-47.502,47.547
212.57,183.59,201.65,-0.02,-2.05,-47.501,47.545
222.02,183.59,201.65,-0.02,-2.05,-47.495,47.54
231.46,183.59,201.65,-0.01,-2.04,-47.492,47.536
240.9,183.59,201.65,-0.01,-2.03,-47.49,47.534
250.35,183.59,201.65,0,-2.03,-47.495,47.535
259.79,183.59,201.65,-0.01,-2.02,-47.501,47.542
269.24,174.14,201.65,-0.02,-2.02,-47.5,47.542
259.79,174.14,201.65,-0.01,-2.03,-47.497,47.541
250.35,174.14,201.65,-0.01,-2.03,-47.495,47.538
240.9,174.14,201.65,-0.02,-2.03,-47.497,0
231.46,174.14,201.65,0,0,0,0
222.02,174.14,201.65,-0.02,-2.04,-47.493,47.537
212.57,174.14,201.65,-0.01,-2.06,-47.501,47.545
203.13,174.14,201.65,-0.01,-2.06,-47.513,47.553
193.68,174.14,201.65,-0.02,-2.06,-47.517,47.559
193.68,164.7,201.65,-0.03,-2.06,-47.519,47.564
203.13,164.7,201.65,-0.02,-2.05,-47.512,47.556
212.57,164.7,201.65,-0.01,-2.05,-47.505,47.552
222.02,164.7,201.65,-0.02,-2.05,-47.5,47.546
231.46,164.7,201.65,-0.01,-2.03,-47.498,47.541
240.9,164.7,201.65,-0.02,-2.04,-47.496,47.539
250.35,164.7,201.65,-0.03,-2.03,-47.5,47.539
259.79,164.7,201.65,-0.02,-2.02,-47.501,47.541
269.24,164.7,201.65,-0.02,-2.02,-47.502,47.545
269.24,155.26,201.65,-0.02,-2.02,-47.497,47.542
259.79,155.26,201.65,-0.03,-2.03,-47.496,47.538
250.35,155.26,201.65,-0.03,-2.03,-47.494,47.538
240.9,155.26,201.65,-0.03,-2.04,-47.489,47.533
231.46,155.26,201.65,-0.03,-2.05,-47.491,47.533
222.02,155.26,201.65,-0.02,-2.04,-47.493,47.537
212.57,155.26,201.65,-0.02,-2.05,-47.498,47.542
203.13,155.26,201.65,-0.02,-2.05,-47.508,47.553
193.68,155.26,201.65,-0.01,-2.06,-47.519,47.564
203.13,145.81,201.65,-0.01,-2.06,-47.512,47.56
212.57,145.81,201.65,-0.02,-2.06,-47.503,47.548
222.02,145.81,201.65,-0.02,-2.04,-47.496,47.54
231.46,145.81,201.65,-0.02,-2.05,-47.493,47.538
240.9,145.81,201.65,-0.03,-2.03,-47.488,47.532
250.35,145.81,201.65,-0.04,-2.02,-47.486,47.529
259.79,145.81,201.65,-0.04,-2.03,-47.488,47.531
250.35,136.37,201.65,-0.04,-2.03,-47.489,47.531
240.9,136.37,201.65,-0.03,-2.05,-47.485,47.529
231.46,136.37,201.65,-0.03,-2.04,-47.486,47.53
222.02,136.37,201.65,-0.01,-2.06,-47.492,47.536
212.57,136.37,201.65,-0.02,-2.05,-47.497,47.541
222.02,126.92,201.65,-0.02,-2.06,-47.495,47.539
231.46,126.92,201.65,-0.03,-2.03,-47.481,47.527
240.9,126.92,201.65,-0.02,-2.04,-47.481,47.521
212.57,117.48,211.1,0,-2.07,-47.485,47.53
222.02,117.48,211.1,-0.02,-2.05,-47.491,47.535
231.46,117.48,211.1,-0.03,-2.04,-47.487,47.531
240.9,117.48,211.1,-0.05,-2.03,-47.482,47.527
250.35,117.48,211.1,-0.06,-2.02,-47.478,47.523
259.79,126.92,211.1,-0.05,-2.03,-47.481,47.525
250.35,126.92,211.1,-0.04,-2.03,-47.487,47.531
240.9,126.92,211.1,-0.04,-2.05,-47.486,47.529
231.46,126.92,211.1,-0.03,-2.05,-47.493,47.533
222.02,126.92,211.1,-0.03,-2.05,-47.495,47.54
212.57,126.92,211.1,-0.02,-2.06,-47.499,47.544
203.13,126.92,211.1,-0.01,-2.07,-47.512,47.551
193.68,126.92,211.1,-0.01,-2.07,-47.523,47.568
193.68,136.37,211.1,-0.01,-2.06,-47.524,47.569
203.13,136.37,211.1,-0.02,-2.06,-47.52,47.564
212.57,136.37,211.1,-0.03,-2.05,-47.508,47.555
222.02,136.37,211.1,-0.04,-2.04,-47.502,47.549
231.46,136.37,211.1,-0.03,-2.05,-47.495,47.539
240.9,136.37,211.1,-0.04,-2.02,-47.488,47.533
250.35,136.37,211.1,-0.04,-2.02,-47.489,47.532
259.79,136.37,211.1,-0.05,-2.02,-47.491,47.534
269.24,136.37,211.1,-0.05,-2.01,-47.496,47.538
278.68,145.81,211.1,-0.05,-2,-47.503,47.545
269.24,145.81,211.1,-0.03,-2.02,-47.5,47.543
259.79,145.81,211.1,-0.04,-2.03,-47.499,47.542
250.35,145.81,211.1,-0.04,-2.03,-47.497,47.54
240.9,145.81,211.1,-0.03,-2.03,-47.498,47.541
231.46,145.81,211.1,-0.03,-2.04,-47.499,47.543
222.02,145.81,211.1,-0.03,-2.04,-47.503,47.543
212.57,145.81,211.1,-0.02,-2.05,-47.508,47.55
203.13,145.81,211.1,-0.02,-2.06,-47.513,47.558
193.68,145.81,211.1,-0.02,-2.06,-47.529,47.571
184.24,145.81,211.1,-0.02,-2.07,-47.536,47.581
184.24,155.26,211.1,-0.03,-2.06,-47.536,47.581
193.68,155.26,211.1,-0.03,-2.06,-47.529,47.574
203.13,155.26,211.1,-0.03,-2.05,-47.522,47.568
212.57,155.26,211.1,-0.03,-2.04,-47.514,47.558
222.02,155.26,211.1,-0.03,-2.04,-47.503,47.547
231.46,155.26,211.1,-0.02,-2.03,-47.498,47.543
240.9,155.26,211.1,-0.03,-2.04,-47.496,47.54
250.35,155.26,211.1,-0.03,-2.02,-47.5,47.543
259.79,155.26,211.1,-0.04,-2.02,-47.502,47.545
269.24,155.26,211.1,-0.03,-2.01,-47.507,47.547
278.68,155.26,211.1,-0.03,-2,-47.506,47.549
278.68,164.7,211.1,-0.03,-2.02,-47.508,47.55
269.24,164.7,211.1,-0.02,-2.02,-47.506,47.551
259.79,164.7,211.1,-0.02,-2.02,-47.504,47.546
250.35,164.7,211.1,-0.03,-2.02,-47.503,47.545
240.9,164.7,211.1,-0.02,-2.02,-47.503,47.546
231.46,164.7,211.1,-0.03,-2.04,-47.505,47.549
222.02,164.7,211.1,-0.03,-2.04,-47.508,47.551
212.57,164.7,211.1,-0.03,-2.05,-47.514,47.558
203.13,164.7,211.1,-0.03,-2.05,-47.519,47.563
193.68,164.7,211.1,-0.02,-2.05,-47.526,0
184.24,164.7,211.1,0,0,0,0
184.24,174.14,211.1,-0.02,-2.05,-47.532,47.58
193.68,174.14,211.1,-0.03,-2.04,-47.528,47.572
203.13,174.14,211.1,-0.02,-2.04,-47.521,47.565
212.57,174.14,211.1,-0.02,-2.03,-47.512,47.555
222.02,174.14,211.1,-0.02,-2.03,-47.505,47.55
231.46,174.14,211.1,-0.02,-2.02,-47.502,47.546
240.9,174.14,211.1,-0.02,-2.03,-47.504,47.547
250.35,174.14,211.1,-0.02,-2.02,-47.503,47.546
259.79,174.14,211.1,-0.02,-2.02,-47.503,47.546
269.24,174.14,211.1,-0.02,-2.02,-47.509,47.552
278.68,174.14,211.1,0,-2.01,-47.517,47.557
278.68,183.59,211.1,0,-2.03,-47.519,47.562
269.24,183.59,211.1,-0.01,-2.01,-47.509,47.556
259.79,183.59,211.1,0,-2.02,-47.501,47.549
250.35,183.59,211.1,-0.02,-2.02,-47.502,47.545
240.9,183.59,211.1,-0.02,-2.02,-47.501,47.544
231.46,183.59,211.1,-0.02,-2.03,-47.498,47.542
222.02,183.59,211.1,-0.02,-2.04,-47.501,47.542
212.57,183.59,211.1,-0.02,-2.04,-47.507,47.551
203.13,183.59,211.1,-0.02,-2.05,-47.515,47.559
193.68,183.59,211.1,-0.04,-2.05,-47.523,47.567
184.24,183.59,211.1,-0.04,-2.04,-47.531,47.575
193.68,193.03,211.1,-0.04,-2.04,-47.525,47.571
203.13,193.03,211.1,-0.03,-2.04,-47.513,47.559
212.57,193.03,211.1,-0.02,-2.04,-47.507,47.55
222.02,193.03,211.1,-0.01,-2.03,-47.497,47.54
231.46,193.03,211.1,0,-2.03,-47.493,47.536
240.9,193.03,211.1,-0.01,-2.02,-47.496,47.539
250.35,193.03,211.1,0,-2.02,-47.5,47.54
259.79,193.03,211.1,0,-2.01,-47.504,47.546
269.24,193.03,211.1,0,-2.01,-47.509,47.552
259.79,202.48,211.1,0.01,-2.02,-47.499,47.542
250.35,202.48,211.1,0,-2.02,-47.491,47.535
240.9,202.48,211.1,-0.01,-2.03,-47.49,47.533
231.46,202.48,211.1,-0.01,-2.03,-47.488,47.531
222.02,202.48,211.1,-0.03,-2.04,-47.489,47.53
212.57,202.48,211.1,-0.03,-2.04,-47.494,47.537
203.13,202.48,211.1,-0.04,-2.04,-47.501,47.545
193.68,202.48,211.1,-0.04,-2.05,-47.509,47.553
212.57,211.92,211.1,-0.03,-2.03,-47.494,47.538
222.02,211.92,211.1,-0.01,-2.04,-47.484,47.529
231.46,211.92,211.1,-0.01,-2.03,-47.482,47.525
240.9,211.92,211.1,0.02,-2.03,-47.481,47.524
250.35,211.92,211.1,0,-2.04,-47.481,47.525
203.13,221.37,220.54,-0.03,-2.04,-47.487,47.531
212.57,221.37,220.54,-0.03,-2.03,-47.491,47.535
222.02,221.37,220.54,-0.01,-2.02,-47.487,47.53
231.46,221.37,220.54,0.01,-2.02,-47.481,47.524
240.9,221.37,220.54,0.01,-2.01,-47.475,47.517
250.35,221.37,220.54,0.01,-2.01,-47.48,47.519
259.79,221.37,220.54,0.05,-2.01,-47.486,47.524
269.24,211.92,220.54,0.02,-2.01,-47.492,47.535
259.79,211.92,220.54,0.02,-2.01,-47.493,47.536
250.35,211.92,220.54,0,-2.01,-47.493,47.535
240.9,211.92,220.54,0,-2.02,-47.489,47.534
231.46,211.92,220.54,-0.02,-2.02,-47.49,47.53
222.02,211.92,220.54,-0.01,-2.03,-47.491,47.534
212.57,211.92,220.54,-0.03,-2.03,-47.492,47.536
203.13,211.92,220.54,-0.04,-2.04,-47.505,47.545
193.68,211.92,220.54,-0.06,-2.04,-47.511,47.555
184.24,202.48,220.54,-0.03,-2.05,-47.527,47.571
193.68,202.48,220.54,-0.04,-2.03,-47.521,47.571
203.13,202.48,220.54,-0.03,-2.04,-47.51,47.558
212.57,202.48,220.54,-0.02,-2.02,-47.505,47.548
222.02,202.48,220.54,-0.01,-2.02,-47.497,47.54
231.46,202.48,220.54,-0.01,-2.03,-47.497,47.538
240.9,202.48,220.54,0,-2.02,-47.497,47.54
