# COSI coordinate transformer output
# OSI2 magnet V1
# Date,240913
# x[m],y[m],z[m],Bx[T],By[T],Bz[T]
0.08428,-0.00050,-0.00022,-0.00002,-0.00204,-0.04749
0.07484,0.00894,0.03756,0.00001,-0.00204,-0.04749
0.07484,-0.00050,0.03756,0.00001,-0.00204,-0.04748
0.07484,-0.00994,0.03756,0.00001,-0.00202,-0.04748
0.07484,-0.01939,0.02811,0.00001,-0.00203,-0.04749
0.07484,-0.00994,0.02811,0.00000,-0.00204,-0.04749
0.07484,-0.00050,0.02811,-0.00002,-0.00204,-0.04749
0.07484,0.00894,0.02811,-0.00001,-0.00204,-0.04749
0.07484,0.01839,0.02811,-0.00002,-0.00205,-0.04750
0.07484,0.02783,0.01867,-0.00003,-0.00206,-0.04750
0.07484,0.01839,0.01867,-0.00002,-0.00205,-0.04750
0.07484,0.00894,0.01867,-0.00002,-0.00205,-0.04749
0.07484,-0.00050,0.01867,-0.00001,-0.00204,-0.04749
0.07484,-0.00994,0.01867,-0.00001,-0.00203,-0.04749
0.07484,-0.01939,0.01867,0.00000,-0.00203,-0.04749
0.07484,-0.02883,0.01867,-0.00001,-0.00202,-0.04750
0.07484,-0.03828,0.00922,-0.00002,-0.00202,-0.04750
0.07484,-0.02883,0.00922,-0.00001,-0.00203,-0.04750
0.07484,-0.01939,0.00922,-0.00001,-0.00203,-0.04749
0.07484,-0.00994,0.00922,-0.00002,-0.00203,-0.04750
0.07484,-0.00050,0.00922,0.00000,0.00000,0.00000
0.07484,0.00894,0.00922,-0.00002,-0.00204,-0.04749
0.07484,0.01839,0.00922,-0.00001,-0.00206,-0.04750
0.07484,0.02783,0.00922,-0.00001,-0.00206,-0.04751
0.07484,0.03728,0.00922,-0.00002,-0.00206,-0.04752
0.07484,0.03728,-0.00022,-0.00003,-0.00206,-0.04752
0.07484,0.02783,-0.00022,-0.00002,-0.00205,-0.04751
0.07484,0.01839,-0.00022,-0.00001,-0.00205,-0.04751
0.07484,0.00894,-0.00022,-0.00002,-0.00205,-0.04750
0.07484,-0.00050,-0.00022,-0.00001,-0.00203,-0.04750
0.07484,-0.00994,-0.00022,-0.00002,-0.00204,-0.04750
0.07484,-0.01939,-0.00022,-0.00003,-0.00203,-0.04750
0.07484,-0.02883,-0.00022,-0.00002,-0.00202,-0.04750
0.07484,-0.03828,-0.00022,-0.00002,-0.00202,-0.04750
0.07484,-0.03828,-0.00966,-0.00002,-0.00202,-0.04750
0.07484,-0.02883,-0.00966,-0.00003,-0.00203,-0.04750
0.07484,-0.01939,-0.00966,-0.00003,-0.00203,-0.04749
0.07484,-0.00994,-0.00966,-0.00003,-0.00204,-0.04749
0.07484,-0.00050,-0.00966,-0.00003,-0.00205,-0.04749
0.07484,0.00894,-0.00966,-0.00002,-0.00204,-0.04749
0.07484,0.01839,-0.00966,-0.00002,-0.00205,-0.04750
0.07484,0.02783,-0.00966,-0.00002,-0.00205,-0.04751
0.07484,0.03728,-0.00966,-0.00001,-0.00206,-0.04752
0.07484,0.02783,-0.01911,-0.00001,-0.00206,-0.04751
0.07484,0.01839,-0.01911,-0.00002,-0.00206,-0.04750
0.07484,0.00894,-0.01911,-0.00002,-0.00204,-0.04750
0.07484,-0.00050,-0.01911,-0.00002,-0.00205,-0.04749
0.07484,-0.00994,-0.01911,-0.00003,-0.00203,-0.04749
0.07484,-0.01939,-0.01911,-0.00004,-0.00202,-0.04749
0.07484,-0.02883,-0.01911,-0.00004,-0.00203,-0.04749
0.07484,-0.01939,-0.02855,-0.00004,-0.00203,-0.04749
0.07484,-0.00994,-0.02855,-0.00003,-0.00205,-0.04748
0.07484,-0.00050,-0.02855,-0.00003,-0.00204,-0.04749
0.07484,0.00894,-0.02855,-0.00001,-0.00206,-0.04749
0.07484,0.01839,-0.02855,-0.00002,-0.00205,-0.04750
0.07484,0.00894,-0.03800,-0.00002,-0.00206,-0.04749
0.07484,-0.00050,-0.03800,-0.00003,-0.00203,-0.04748
0.07484,-0.00994,-0.03800,-0.00002,-0.00204,-0.04748
0.06539,0.01839,-0.04744,0.00000,-0.00207,-0.04748
0.06539,0.00894,-0.04744,-0.00002,-0.00205,-0.04749
0.06539,-0.00050,-0.04744,-0.00003,-0.00204,-0.04749
0.06539,-0.00994,-0.04744,-0.00005,-0.00203,-0.04748
0.06539,-0.01939,-0.04744,-0.00006,-0.00202,-0.04748
0.06539,-0.02883,-0.03800,-0.00005,-0.00203,-0.04748
0.06539,-0.01939,-0.03800,-0.00004,-0.00203,-0.04749
0.06539,-0.00994,-0.03800,-0.00004,-0.00205,-0.04749
0.06539,-0.00050,-0.03800,-0.00003,-0.00205,-0.04749
0.06539,0.00894,-0.03800,-0.00003,-0.00205,-0.04749
0.06539,0.01839,-0.03800,-0.00002,-0.00206,-0.04750
0.06539,0.02783,-0.03800,-0.00001,-0.00207,-0.04751
0.06539,0.03728,-0.03800,-0.00001,-0.00207,-0.04752
0.06539,0.03728,-0.02855,-0.00001,-0.00206,-0.04752
0.06539,0.02783,-0.02855,-0.00002,-0.00206,-0.04752
0.06539,0.01839,-0.02855,-0.00003,-0.00205,-0.04751
0.06539,0.00894,-0.02855,-0.00004,-0.00204,-0.04750
0.06539,-0.00050,-0.02855,-0.00003,-0.00205,-0.04749
0.06539,-0.00994,-0.02855,-0.00004,-0.00202,-0.04749
0.06539,-0.01939,-0.02855,-0.00004,-0.00202,-0.04749
0.06539,-0.02883,-0.02855,-0.00005,-0.00202,-0.04749
0.06539,-0.03828,-0.02855,-0.00005,-0.00201,-0.04750
0.06539,-0.04772,-0.01911,-0.00005,-0.00200,-0.04750
0.06539,-0.03828,-0.01911,-0.00003,-0.00202,-0.04750
0.06539,-0.02883,-0.01911,-0.00004,-0.00203,-0.04750
0.06539,-0.01939,-0.01911,-0.00004,-0.00203,-0.04750
0.06539,-0.00994,-0.01911,-0.00003,-0.00203,-0.04750
0.06539,-0.00050,-0.01911,-0.00003,-0.00204,-0.04750
0.06539,0.00894,-0.01911,-0.00003,-0.00204,-0.04750
0.06539,0.01839,-0.01911,-0.00002,-0.00205,-0.04751
0.06539,0.02783,-0.01911,-0.00002,-0.00206,-0.04751
0.06539,0.03728,-0.01911,-0.00002,-0.00206,-0.04753
0.06539,0.04672,-0.01911,-0.00002,-0.00207,-0.04754
0.06539,0.04672,-0.00966,-0.00003,-0.00206,-0.04754
0.06539,0.03728,-0.00966,-0.00003,-0.00206,-0.04753
0.06539,0.02783,-0.00966,-0.00003,-0.00205,-0.04752
0.06539,0.01839,-0.00966,-0.00003,-0.00204,-0.04751
0.06539,0.00894,-0.00966,-0.00003,-0.00204,-0.04750
0.06539,-0.00050,-0.00966,-0.00002,-0.00203,-0.04750
0.06539,-0.00994,-0.00966,-0.00003,-0.00204,-0.04750
0.06539,-0.01939,-0.00966,-0.00003,-0.00202,-0.04750
0.06539,-0.02883,-0.00966,-0.00004,-0.00202,-0.04750
0.06539,-0.03828,-0.00966,-0.00003,-0.00201,-0.04751
0.06539,-0.04772,-0.00966,-0.00003,-0.00200,-0.04751
0.06539,-0.04772,-0.00022,-0.00003,-0.00202,-0.04751
0.06539,-0.03828,-0.00022,-0.00002,-0.00202,-0.04751
0.06539,-0.02883,-0.00022,-0.00002,-0.00202,-0.04750
0.06539,-0.01939,-0.00022,-0.00003,-0.00202,-0.04750
0.06539,-0.00994,-0.00022,-0.00002,-0.00202,-0.04750
0.06539,-0.00050,-0.00022,-0.00003,-0.00204,-0.04751
0.06539,0.00894,-0.00022,-0.00003,-0.00204,-0.04751
0.06539,0.01839,-0.00022,-0.00003,-0.00205,-0.04751
0.06539,0.02783,-0.00022,-0.00003,-0.00205,-0.04752
0.06539,0.03728,-0.00022,-0.00002,-0.00205,-0.04753
0.06539,0.04672,-0.00022,0.00000,0.00000,0.00000
0.06539,0.04672,0.00922,-0.00002,-0.00205,-0.04753
0.06539,0.03728,0.00922,-0.00003,-0.00204,-0.04753
0.06539,0.02783,0.00922,-0.00002,-0.00204,-0.04752
0.06539,0.01839,0.00922,-0.00002,-0.00203,-0.04751
0.06539,0.00894,0.00922,-0.00002,-0.00203,-0.04751
0.06539,-0.00050,0.00922,-0.00002,-0.00202,-0.04750
0.06539,-0.00994,0.00922,-0.00002,-0.00203,-0.04750
0.06539,-0.01939,0.00922,-0.00002,-0.00202,-0.04750
0.06539,-0.02883,0.00922,-0.00002,-0.00202,-0.04750
0.06539,-0.03828,0.00922,-0.00002,-0.00202,-0.04751
0.06539,-0.04772,0.00922,0.00000,-0.00201,-0.04752
0.06539,-0.04772,0.01867,0.00000,-0.00203,-0.04752
0.06539,-0.03828,0.01867,-0.00001,-0.00201,-0.04751
0.06539,-0.02883,0.01867,0.00000,-0.00202,-0.04750
0.06539,-0.01939,0.01867,-0.00002,-0.00202,-0.04750
0.06539,-0.00994,0.01867,-0.00002,-0.00202,-0.04750
0.06539,-0.00050,0.01867,-0.00002,-0.00203,-0.04750
0.06539,0.00894,0.01867,-0.00002,-0.00204,-0.04750
0.06539,0.01839,0.01867,-0.00002,-0.00204,-0.04751
0.06539,0.02783,0.01867,-0.00002,-0.00205,-0.04752
0.06539,0.03728,0.01867,-0.00004,-0.00205,-0.04752
0.06539,0.04672,0.01867,-0.00004,-0.00204,-0.04753
0.06539,0.03728,0.02811,-0.00004,-0.00204,-0.04752
0.06539,0.02783,0.02811,-0.00003,-0.00204,-0.04751
0.06539,0.01839,0.02811,-0.00002,-0.00204,-0.04751
0.06539,0.00894,0.02811,-0.00001,-0.00203,-0.04750
0.06539,-0.00050,0.02811,0.00000,-0.00203,-0.04749
0.06539,-0.00994,0.02811,-0.00001,-0.00202,-0.04750
0.06539,-0.01939,0.02811,0.00000,-0.00202,-0.04750
0.06539,-0.02883,0.02811,0.00000,-0.00201,-0.04750
0.06539,-0.03828,0.02811,0.00000,-0.00201,-0.04751
0.06539,-0.02883,0.03756,0.00001,-0.00202,-0.04750
0.06539,-0.01939,0.03756,0.00000,-0.00202,-0.04749
