# COSI2 B0 scan
# time 2024-09-13 17:59:32.799535
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240913/240913_ball_R85_9pts_per_radius_coils_installed_no_rings_field_components_aligned
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
231.460,164.700,192.210,-0.0130,-2.0770,-47.5010,47.5460
222.020,202.480,201.650,-0.0160,-2.0790,-47.4960,47.5410
231.460,202.480,201.650,-0.0140,-2.0820,-47.5030,47.5500
240.900,202.480,201.650,0.0040,-2.0820,-47.4900,47.5370
250.350,193.030,201.650,0.0180,-2.0670,-47.4900,47.5350
240.900,193.030,201.650,0.0300,-2.0570,-47.4900,47.5360
231.460,193.030,201.650,0.0060,-2.0680,-47.4960,47.5400
222.020,193.030,201.650,0.0040,-2.0690,-47.4980,47.5410
212.570,193.030,201.650,0.0020,-2.0680,-47.4970,47.5420
203.130,183.590,201.650,-0.0020,-2.0740,-47.5050,47.5510
212.570,183.590,201.650,-0.0080,-2.0790,-47.5170,47.5610
222.020,183.590,201.650,-0.0140,-2.0700,-47.5130,47.5620
231.460,183.590,201.650,0.0000,-2.0700,-47.5080,47.5550
240.900,183.590,201.650,0.0040,-2.0650,-47.5060,47.5500
250.350,183.590,201.650,0.0070,-2.0620,-47.5020,47.5470
259.790,183.590,201.650,0.0050,-2.0660,-47.5010,47.5450
269.240,174.140,201.650,0.0060,-2.0560,-47.5010,47.5440
259.790,174.140,201.650,0.0080,-2.0500,-47.5040,47.5480
250.350,174.140,201.650,-0.0160,-2.0540,-47.5080,47.5530
240.900,174.140,201.650,-0.0070,-2.0600,-47.5010,47.5440
231.460,174.140,201.650,0.0040,-2.0580,-47.5010,47.5480
222.020,174.140,201.650,-0.0190,-2.0660,-47.5030,47.5490
212.570,174.140,201.650,-0.0150,-2.0730,-47.5080,47.5520
203.130,174.140,201.650,-0.0130,-2.0810,-47.5120,47.5540
193.680,174.140,201.650,-0.0150,-2.0810,-47.5240,47.5700
193.680,164.700,201.650,-0.0210,-2.0840,-47.5320,47.5780
203.130,164.700,201.650,-0.0150,-2.0820,-47.5390,47.5860
212.570,164.700,201.650,-0.0240,-2.0790,-47.5320,47.5790
222.020,164.700,201.650,-0.0080,-2.0770,-47.5250,47.5710
231.460,164.700,201.650,-0.0230,-2.0850,-47.5100,47.5550
240.900,164.700,201.650,-0.0190,-2.0810,-47.5090,47.5550
250.350,164.700,201.650,-0.0160,-2.0720,-47.5070,47.5530
259.790,164.700,201.650,-0.0160,-2.0610,-47.5050,47.5500
269.240,164.700,201.650,-0.0170,-2.0550,-47.5030,47.5470
269.240,155.260,201.650,-0.0140,-2.0490,-47.5050,47.5490
259.790,155.260,201.650,-0.0460,-2.0500,-47.5010,47.5490
250.350,155.260,201.650,-0.0450,-2.0580,-47.4990,47.5440
240.900,155.260,201.650,-0.0310,-2.0600,-47.5010,47.5450
231.460,155.260,201.650,-0.0370,-2.0690,-47.4960,47.5410
222.020,155.260,201.650,-0.0340,-2.0770,-47.5060,47.5500
212.570,155.260,201.650,-0.0280,-2.0890,-47.5120,47.5570
203.130,155.260,201.650,-0.0080,-2.0860,-47.5160,47.5610
193.680,155.260,201.650,-0.0270,-2.0890,-47.5220,47.5650
203.130,145.810,201.650,-0.0280,-2.0880,-47.5340,47.5780
212.570,145.810,201.650,-0.0270,-2.0890,-47.5340,47.5790
222.020,145.810,201.650,-0.0180,-2.0820,-47.5240,47.5720
231.460,145.810,201.650,-0.0310,-2.0850,-47.5130,47.5610
240.900,145.810,201.650,-0.0240,-2.0680,-47.5050,47.5520
250.350,145.810,201.650,-0.0350,-2.0800,-47.5010,47.5470
259.790,145.810,201.650,-0.0320,-2.0600,-47.4950,47.5420
250.350,136.370,201.650,-0.0470,-2.0570,-47.4950,47.5400
240.900,136.370,201.650,-0.0380,-2.0700,-47.4950,47.5390
231.460,136.370,201.650,-0.0410,-2.0810,-47.4880,47.5330
222.020,136.370,201.650,-0.0380,-2.0860,-47.4970,47.5400
212.570,136.370,201.650,-0.0310,-2.0880,-47.5050,47.5470
222.020,126.920,201.650,-0.0300,-2.0920,-47.5090,47.5550
231.460,126.920,201.650,-0.0270,-2.0830,-47.5080,47.5540
240.900,126.920,201.650,-0.0460,-2.0790,-47.4950,47.5400
212.570,117.480,211.100,-0.0490,-2.0720,-47.4860,47.5310
222.020,117.480,211.100,-0.0380,-2.0890,-47.4960,47.5380
231.460,117.480,211.100,-0.0360,-2.1050,-47.5070,47.5510
240.900,117.480,211.100,-0.0640,-2.0670,-47.4980,47.5430
250.350,117.480,211.100,-0.0640,-2.0760,-47.4950,47.5400
259.790,126.920,211.100,-0.0600,-2.0500,-47.4860,47.5320
250.350,126.920,211.100,-0.0700,-2.0460,-47.4830,47.5280
240.900,126.920,211.100,-0.0630,-2.0570,-47.4910,47.5360
231.460,126.920,211.100,-0.0460,-2.0690,-47.4940,47.5370
222.020,126.920,211.100,-0.0590,-2.0660,-47.5000,47.5450
212.570,126.920,211.100,-0.0410,-2.0740,-47.5070,47.5500
203.130,126.920,211.100,-0.0410,-2.0770,-47.5130,47.5570
193.680,126.920,211.100,-0.0290,-2.0860,-47.5200,47.5630
193.680,136.370,211.100,-0.0310,-2.0860,-47.5350,47.5810
203.130,136.370,211.100,-0.0370,-2.0850,-47.5410,47.5870
212.570,136.370,211.100,-0.0310,-2.0780,-47.5300,47.5750
222.020,136.370,211.100,-0.0300,-2.0780,-47.5190,47.5670
231.460,136.370,211.100,-0.0370,-2.0820,-47.5160,47.5620
240.900,136.370,211.100,-0.0370,-2.0650,-47.5040,47.5500
250.350,136.370,211.100,-0.0520,-2.0550,-47.5010,47.5450
259.790,136.370,211.100,-0.0500,-2.0460,-47.5000,47.5450
269.240,136.370,211.100,-0.0640,-2.0470,-47.4990,47.5440
278.680,145.810,211.100,-0.0600,-2.0320,-47.4990,47.5400
269.240,145.810,211.100,-0.0730,-2.0080,-47.5050,47.5460
259.790,145.810,211.100,-0.0490,-2.0380,-47.5070,47.5500
250.350,145.810,211.100,-0.0580,-2.0470,-47.5080,47.5520
240.900,145.810,211.100,-0.0490,-2.0560,-47.5080,47.5530
231.460,145.810,211.100,-0.0390,-2.0620,-47.5070,47.5520
222.020,145.810,211.100,-0.0280,-2.0580,-47.5070,47.5490
212.570,145.810,211.100,-0.0280,-2.0680,-47.5160,47.5580
203.130,145.810,211.100,-0.0240,-2.0650,-47.5220,47.5670
193.680,145.810,211.100,-0.0360,-2.0720,-47.5310,47.5750
184.240,145.810,211.100,-0.0360,-2.0810,-47.5380,47.5810
184.240,155.260,211.100,-0.0340,-2.0820,-47.5470,47.5940
193.680,155.260,211.100,-0.0160,-2.0760,-47.5550,47.5980
203.130,155.260,211.100,-0.0340,-2.0760,-47.5450,47.5940
212.570,155.260,211.100,-0.0230,-2.0700,-47.5340,47.5800
222.020,155.260,211.100,-0.0240,-2.0700,-47.5250,47.5700
231.460,155.260,211.100,-0.0410,-2.0600,-47.5180,47.5630
240.900,155.260,211.100,-0.0210,-2.0600,-47.5100,47.5570
250.350,155.260,211.100,-0.0300,-2.0610,-47.5130,47.5580
259.790,155.260,211.100,-0.0400,-2.0480,-47.5050,47.5490
269.240,155.260,211.100,-0.0420,-2.0430,-47.5110,47.5520
278.680,155.260,211.100,-0.0390,-2.0350,-47.5110,47.5550
278.680,164.700,211.100,-0.0490,-2.0190,-47.5140,47.5560
269.240,164.700,211.100,-0.0310,-2.0300,-47.5160,47.5610
259.790,164.700,211.100,-0.0250,-2.0440,-47.5140,47.5590
250.350,164.700,211.100,-0.0230,-2.0420,-47.5110,47.5560
240.900,164.700,211.100,-0.0230,-2.0420,-47.5120,47.5550
231.460,164.700,211.100,-0.0280,-2.0580,-47.5100,47.5570
222.020,164.700,211.100,-0.0160,-2.0590,-47.5090,47.5520
212.570,164.700,211.100,-0.0260,-2.0610,-47.5160,47.5590
203.130,164.700,211.100,-0.0310,-2.0710,-47.5230,47.5680
193.680,164.700,211.100,-0.0290,-2.0660,-47.5260,47.5710
184.240,164.700,211.100,-0.0300,-2.0700,-47.5390,47.5810
184.240,174.140,211.100,-0.0210,-2.0760,-47.5510,47.5950
193.680,174.140,211.100,-0.0150,-2.0680,-47.5490,47.5940
203.130,174.140,211.100,-0.0170,-2.0740,-47.5420,47.5890
212.570,174.140,211.100,-0.0280,-2.0710,-47.5320,47.5770
222.020,174.140,211.100,-0.0130,-2.0600,-47.5250,47.5750
231.460,174.140,211.100,-0.0150,-2.0680,-47.5210,47.5670
240.900,174.140,211.100,-0.0130,-2.0650,-47.5110,47.5560
250.350,174.140,211.100,-0.0120,-2.0680,-47.5110,47.5540
259.790,174.140,211.100,-0.0140,-2.0420,-47.5090,47.5550
269.240,174.140,211.100,-0.0020,-2.0440,-47.5090,47.5530
278.680,174.140,211.100,-0.0170,-2.0230,-47.5160,47.5590
278.680,183.590,211.100,-0.0050,-2.0200,-47.5210,47.5640
269.240,183.590,211.100,0.0050,-2.0340,-47.5240,47.5660
259.790,183.590,211.100,0.0010,-2.0250,-47.5170,47.5600
250.350,183.590,211.100,0.0010,-2.0430,-47.5130,47.5570
240.900,183.590,211.100,-0.0050,-2.0450,-47.5090,47.5530
231.460,183.590,211.100,-0.0160,-2.0430,-47.5080,47.5530
222.020,183.590,211.100,-0.0130,-2.0510,-47.5100,47.5560
212.570,183.590,211.100,-0.0020,-2.0570,-47.5120,47.5560
203.130,183.590,211.100,-0.0200,-2.0610,-47.5150,47.5580
193.680,183.590,211.100,-0.0190,-2.0660,-47.5260,47.5720
184.240,183.590,211.100,-0.0200,-2.0700,-47.5330,47.5780
193.680,193.030,211.100,-0.0270,-2.0660,-47.5480,47.5890
203.130,193.030,211.100,-0.0180,-2.0580,-47.5390,47.5830
212.570,193.030,211.100,-0.0240,-2.0680,-47.5260,47.5710
222.020,193.030,211.100,-0.0140,-2.0530,-47.5190,47.5640
231.460,193.030,211.100,0.0020,-2.0540,-47.5070,47.5520
240.900,193.030,211.100,0.0090,-2.0550,-47.5040,47.5480
250.350,193.030,211.100,0.0030,-2.0480,-47.5040,47.5480
259.790,193.030,211.100,0.0130,-2.0450,-47.5050,47.5500
269.240,193.030,211.100,0.0170,-2.0420,-47.5070,47.5510
259.790,202.480,211.100,0.0160,-2.0250,-47.5130,47.5560
250.350,202.480,211.100,0.0180,-2.0420,-47.5090,47.5550
240.900,202.480,211.100,0.0230,-2.0410,-47.4980,47.5440
231.460,202.480,211.100,0.0100,-2.0460,-47.5000,47.5440
222.020,202.480,211.100,0.0010,-2.0460,-47.4980,47.5420
212.570,202.480,211.100,-0.0080,-2.0560,-47.4990,47.5420
203.130,202.480,211.100,-0.0070,-2.0540,-47.5040,47.5470
193.680,202.480,211.100,-0.0190,-2.0620,-47.5130,47.5560
212.570,211.920,211.100,-0.0140,-2.0580,-47.5240,47.5650
222.020,211.920,211.100,-0.0050,-2.0580,-47.5130,47.5610
231.460,211.920,211.100,0.0010,-2.0480,-47.4980,47.5430
240.900,211.920,211.100,0.0210,-2.0470,-47.4930,47.5370
250.350,211.920,211.100,0.0350,-2.0490,-47.4910,47.5350
203.130,221.370,220.540,0.0410,-2.0340,-47.4890,47.5330
212.570,221.370,220.540,0.0050,-2.0510,-47.4900,47.5350
222.020,221.370,220.540,-0.0240,-2.0540,-47.5010,47.5450
231.460,221.370,220.540,-0.0050,-2.0420,-47.4930,47.5390
240.900,221.370,220.540,0.0100,-2.0330,-47.4860,47.5310
250.350,221.370,220.540,0.0260,-2.0210,-47.4870,47.5300
259.790,221.370,220.540,0.0380,-2.0310,-47.4890,47.5330
269.240,211.920,220.540,0.0480,-2.0290,-47.4880,47.5300
259.790,211.920,220.540,0.0760,-2.0200,-47.4960,47.5390
250.350,211.920,220.540,0.0420,-2.0250,-47.5070,47.5540
240.900,211.920,220.540,0.0260,-2.0330,-47.5020,47.5450
231.460,211.920,220.540,0.0060,-2.0390,-47.4960,47.5400
222.020,211.920,220.540,0.0030,-2.0380,-47.4980,47.5420
212.570,211.920,220.540,0.0000,-2.0450,-47.4970,47.5410
203.130,211.920,220.540,0.0030,-2.0410,-47.5070,47.5500
193.680,211.920,220.540,-0.0210,-2.0430,-47.5140,47.5550
184.240,202.480,220.540,-0.0340,-2.0530,-47.5220,47.5620
193.680,202.480,220.540,-0.0280,-2.0480,-47.5330,47.5740
203.130,202.480,220.540,-0.0210,-2.0580,-47.5340,47.5790
212.570,202.480,220.540,-0.0050,-2.0510,-47.5220,47.5670
222.020,202.480,220.540,-0.0100,-2.0490,-47.5160,47.5600
231.460,202.480,220.540,0.0000,-2.0470,-47.5090,47.5550
240.900,202.480,220.540,-0.0030,-2.0470,-47.5010,47.5480
250.350,202.480,220.540,0.0070,-2.0430,-47.5070,47.5490
259.790,202.480,220.540,0.0210,-2.0410,-47.5100,47.5520
269.240,202.480,220.540,0.0200,-2.0250,-47.5090,47.5530
278.680,202.480,220.540,0.0400,-2.0240,-47.5180,47.5600
288.130,193.030,220.540,0.0500,-2.0220,-47.5230,47.5660
278.680,193.030,220.540,0.0480,-2.0060,-47.5390,47.5800
269.240,193.030,220.540,0.0240,-2.0230,-47.5380,47.5840
259.790,193.030,220.540,0.0210,-2.0250,-47.5310,47.5750
250.350,193.030,220.540,0.0170,-2.0370,-47.5240,47.5690
240.900,193.030,220.540,0.0070,-2.0380,-47.5110,47.5580
231.460,193.030,220.540,-0.0030,-2.0490,-47.5120,47.5570
222.020,193.030,220.540,-0.0130,-2.0380,-47.5140,47.5620
212.570,193.030,220.540,-0.0120,-2.0510,-47.5200,47.5640
203.130,193.030,220.540,-0.0250,-2.0540,-47.5170,47.5620
193.680,193.030,220.540,-0.0210,-2.0570,-47.5210,47.5660
184.240,193.030,220.540,-0.0210,-2.0580,-47.5330,47.5780
174.790,193.030,220.540,-0.0230,-2.0540,-47.5400,47.5850
174.790,183.590,220.540,-0.0290,-2.0560,-47.5540,47.5990
184.240,183.590,220.540,-0.0170,-2.0550,-47.5500,47.5940
193.680,183.590,220.540,-0.0290,-2.0620,-47.5480,47.5930
203.130,183.590,220.540,-0.0200,-2.0590,-47.5400,47.5850
212.570,183.590,220.540,-0.0170,-2.0580,-47.5320,47.5770
222.020,183.590,220.540,-0.0210,-2.0610,-47.5230,47.5680
231.460,183.590,220.540,-0.0060,-2.0550,-47.5180,47.5620
240.900,183.590,220.540,-0.0140,-2.0490,-47.5160,47.5600
250.350,183.590,220.540,-0.0060,-2.0510,-47.5190,47.5630
259.790,183.590,220.540,-0.0100,-2.0450,-47.5160,47.5600
269.240,183.590,220.540,0.0040,-2.0370,-47.5230,47.5630
278.680,183.590,220.540,0.0000,-2.0260,-47.5240,47.5680
288.130,183.590,220.540,0.0070,-2.0170,-47.5330,47.5750
288.130,174.140,220.540,-0.0040,-2.0110,-47.5490,47.5860
278.680,174.140,220.540,-0.0210,-2.0060,-47.5490,47.5920
269.240,174.140,220.540,-0.0190,-2.0290,-47.5420,47.5860
259.790,174.140,220.540,-0.0130,-2.0300,-47.5330,47.5780
250.350,174.140,220.540,-0.0140,-2.0350,-47.5260,47.5700
240.900,174.140,220.540,-0.0100,-2.0490,-47.5220,47.5660
231.460,174.140,220.540,-0.0250,-2.0500,-47.5170,0.0000
222.020,174.140,220.540,47.5630,-0.0240,60.0000,0.0000
212.570,174.140,220.540,-0.0290,-2.0580,-47.5190,47.5630
203.130,174.140,220.540,-0.0210,-2.0580,-47.5210,47.5640
193.680,174.140,220.540,-0.0270,-2.0640,-47.5310,47.5740
184.240,174.140,220.540,-0.0230,-2.0600,-47.5370,47.5820
174.790,174.140,220.540,-0.0390,-2.0570,-47.5500,47.5940
174.790,164.700,220.540,-0.0310,-2.0590,-47.5530,47.5970
184.240,164.700,220.540,-0.0380,-2.0580,-47.5550,47.6010
193.680,164.700,220.540,-0.0360,-2.0660,-47.5520,47.5990
203.130,164.700,220.540,-0.0270,-2.0650,-47.5400,47.5860
212.570,164.700,220.540,-0.0320,-2.0610,-47.5360,47.5810
222.020,164.700,220.540,-0.0280,-2.0570,-47.5270,0.0000
231.460,164.700,220.540,0.0000,0.0000,0.0000,0.0000
240.900,164.700,220.540,-0.0380,-2.0530,-47.5160,47.5620
250.350,164.700,220.540,-0.0250,-2.0550,-47.5180,47.5620
259.790,164.700,220.540,-0.0230,-2.0560,-47.5240,47.5690
269.240,164.700,220.540,-0.0250,-2.0390,-47.5220,47.5660
278.680,164.700,220.540,-0.0270,-2.0300,-47.5260,47.5660
288.130,164.700,220.540,-0.0240,-2.0200,-47.5380,47.5790
288.130,155.260,220.540,-0.0290,-2.0040,-47.5460,47.5850
278.680,155.260,220.540,-0.0590,-2.0080,-47.5470,47.5890
269.240,155.260,220.540,-0.0540,-2.0140,-47.5410,47.5840
259.790,155.260,220.540,-0.0450,-2.0270,-47.5270,47.5700
250.350,155.260,220.540,-0.0480,-2.0370,-47.5240,47.5690
240.900,155.260,220.540,-0.0450,-2.0440,-47.5180,47.5660
231.460,155.260,220.540,-0.0410,-2.0500,-47.5190,47.5630
222.020,155.260,220.540,-0.0390,-2.0500,-47.5190,47.5640
212.570,155.260,220.540,-0.0360,-2.0560,-47.5220,47.5640
203.130,155.260,220.540,-0.0350,-2.0650,-47.5240,47.5700
193.680,155.260,220.540,-0.0360,-2.0610,-47.5290,47.5730
184.240,155.260,220.540,-0.0350,-2.0670,-47.5390,47.5820
174.790,155.260,220.540,-0.0390,-2.0780,-47.5490,47.5920
174.790,145.810,220.540,-0.0400,-2.0660,-47.5560,47.5980
184.240,145.810,220.540,-0.0450,-2.0600,-47.5570,47.6010
193.680,145.810,220.540,-0.0360,-2.0680,-47.5550,47.6000
203.130,145.810,220.540,-0.0300,-2.0720,-47.5480,47.5960
212.570,145.810,220.540,-0.0310,-2.0700,-47.5400,47.5870
222.020,145.810,220.540,-0.0290,-2.0760,-47.5270,47.5730
231.460,145.810,220.540,-0.0300,-2.0580,-47.5230,47.5710
