# COSI2 B0 scan,,,,,,
# time 2024-09-25 17:19:34.482346,,,,,,
# MAGNET CENTER IN LAB: x 254.181 mm, y 149.964 mm, z 277.405 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta 0.00 deg, gamma 90.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240925/240925_ball_R120_FOUR_RINGS_ITER2,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
254.18,149.96,157.4,-0.265,-1.998,-47.521,47.564
274.18,189.96,167.4,-0.275,-2.005,-47.521,47.563
264.18,189.96,167.4,-0.26,-2.032,-47.546,47.59
254.18,189.96,167.4,-0.26,-2.019,-47.535,47.579
244.18,189.96,167.4,-0.258,-2.013,-47.524,47.569
234.18,189.96,167.4,-0.259,-2.011,-47.527,47.569
224.18,179.96,167.4,-0.265,-2.01,-47.524,47.567
234.18,179.96,167.4,-0.282,-1.993,-47.53,47.573
244.18,179.96,167.4,-0.272,-2.003,-47.532,47.576
254.18,179.96,167.4,-0.265,-2.013,-47.527,47.571
264.18,179.96,167.4,-0.261,-2.011,-47.528,47.573
274.18,179.96,167.4,-0.272,-2.027,-47.526,47.57
284.18,179.96,167.4,-0.271,-2.04,-47.532,47.577
294.18,169.96,167.4,-0.262,-2.03,-47.54,47.584
284.18,169.96,167.4,-0.284,-2.05,-47.537,47.582
274.18,169.96,167.4,-0.278,-2.039,-47.535,47.581
264.18,169.96,167.4,-0.273,-2.026,-47.535,47.579
254.18,169.96,167.4,-0.274,-2.018,-47.533,47.576
244.18,169.96,167.4,-0.271,-2.016,-47.528,47.571
234.18,169.96,167.4,-0.266,-1.995,-47.53,47.573
224.18,169.96,167.4,-0.272,-1.999,-47.53,47.573
214.18,169.96,167.4,-0.286,-1.996,-47.532,47.575
214.18,159.96,167.4,-0.266,-2,-47.542,47.584
224.18,159.96,167.4,-0.27,-1.981,-47.545,47.587
234.18,159.96,167.4,-0.271,-1.991,-47.54,47.584
244.18,159.96,167.4,-0.266,-2,-47.535,47.578
254.18,159.96,167.4,-0.26,-2.005,-47.529,47.572
264.18,159.96,167.4,-0.274,-2.01,-47.525,47.57
274.18,159.96,167.4,-0.268,-2.011,-47.526,47.569
284.18,159.96,167.4,-0.276,-2.016,-47.526,47.569
294.18,159.96,167.4,-0.282,-2.03,-47.532,47.575
294.18,149.96,167.4,-0.289,-2.037,-47.532,47.579
284.18,149.96,167.4,-0.304,-2.022,-47.525,47.57
274.18,149.96,167.4,-0.285,-2.019,-47.517,47.562
264.18,149.96,167.4,-0.278,-2.011,-47.521,47.564
254.18,149.96,167.4,-0.268,-2.007,-47.521,47.563
244.18,149.96,167.4,-0.268,-1.998,-47.52,47.565
234.18,149.96,167.4,-0.265,-1.991,-47.527,47.569
224.18,149.96,167.4,-0.257,-1.996,-47.528,47.571
214.18,149.96,167.4,-0.254,-1.991,-47.536,47.578
214.18,139.96,167.4,-0.255,-1.982,-47.548,47.588
224.18,139.96,167.4,-0.249,-1.984,-47.543,47.585
234.18,139.96,167.4,-0.251,-1.997,-47.539,47.581
244.18,139.96,167.4,-0.253,-1.986,-47.528,47.572
254.18,139.96,167.4,-0.255,-1.999,-47.52,47.563
264.18,139.96,167.4,-0.241,-2.008,-47.514,47.557
274.18,139.96,167.4,-0.271,-2,-47.51,47.553
284.18,139.96,167.4,-0.275,-2.007,-47.511,47.555
294.18,139.96,167.4,-0.282,-2.014,-47.51,47.553
294.18,129.96,167.4,-0.297,-2.017,-47.504,47.548
284.18,129.96,167.4,-0.284,-1.995,-47.499,47.541
274.18,129.96,167.4,-0.27,-2,-47.498,47.541
264.18,129.96,167.4,-0.273,-2.005,-47.501,47.543
254.18,129.96,167.4,-0.25,-1.991,-47.506,47.549
244.18,129.96,167.4,-0.248,-2.006,-47.505,47.548
234.18,129.96,167.4,-0.252,-2.005,-47.515,47.558
224.18,129.96,167.4,-0.244,-1.999,-47.521,47.564
214.18,129.96,167.4,-0.244,-1.999,-47.534,47.575
224.18,119.96,167.4,-0.237,-1.996,-47.542,47.585
234.18,119.96,167.4,-0.235,-2.003,-47.53,47.573
244.18,119.96,167.4,-0.23,-2.016,-47.523,47.567
254.18,119.96,167.4,-0.23,-2.009,-47.513,47.556
264.18,119.96,167.4,-0.246,-2.002,-47.499,47.544
274.18,119.96,167.4,-0.244,-2,-47.498,47.54
284.18,119.96,167.4,-0.259,-1.998,-47.491,47.534
274.18,109.96,167.4,-0.264,-1.995,-47.492,47.535
264.18,109.96,167.4,-0.242,-1.998,-47.485,47.528
254.18,109.96,167.4,-0.238,-2.014,-47.492,47.535
244.18,109.96,167.4,-0.236,-2.002,-47.489,47.532
234.18,109.96,167.4,-0.238,-1.997,-47.504,47.546
234.18,89.96,177.4,-0.219,-2.008,-47.513,47.554
244.18,89.96,177.4,-0.214,-2.021,-47.504,47.547
254.18,89.96,177.4,-0.216,-2.021,-47.494,47.538
264.18,89.96,177.4,-0.237,-2.021,-47.48,47.524
274.18,89.96,177.4,-0.241,-2.02,-47.475,47.519
294.18,99.96,177.4,-0.246,-2.015,-47.476,47.518
284.18,99.96,177.4,-0.259,-2.003,-47.476,47.519
274.18,99.96,177.4,-0.263,-2.015,-47.481,47.522
264.18,99.96,177.4,-0.255,-2.01,-47.484,47.528
254.18,99.96,177.4,-0.242,-2.014,-47.488,47.532
244.18,99.96,177.4,-0.228,-2.008,-47.492,47.535
234.18,99.96,177.4,-0.233,-2.01,-47.501,47.542
224.18,99.96,177.4,-0.224,-2.007,-47.51,47.553
214.18,99.96,177.4,-0.229,-1.998,-47.521,47.562
204.18,109.96,177.4,-0.215,-2.005,-47.534,47.576
214.18,109.96,177.4,-0.233,-1.99,-47.546,47.588
224.18,109.96,177.4,-0.235,-1.996,-47.534,47.576
234.18,109.96,177.4,-0.233,-2.006,-47.529,47.572
244.18,109.96,177.4,-0.24,-2.002,-47.518,47.561
254.18,109.96,177.4,-0.235,-2.011,-47.513,47.556
264.18,109.96,177.4,-0.238,-2.007,-47.499,47.545
274.18,109.96,177.4,-0.255,-2.005,-47.496,47.541
284.18,109.96,177.4,-0.265,-2.004,-47.491,47.535
294.18,109.96,177.4,-0.263,-2.002,-47.489,47.534
304.18,109.96,177.4,-0.264,-2.002,-47.485,47.527
304.18,119.96,177.4,-0.252,-1.985,-47.483,47.526
294.18,119.96,177.4,-0.271,-2,-47.484,47.527
284.18,119.96,177.4,-0.273,-1.999,-47.482,47.525
274.18,119.96,177.4,-0.27,-1.994,-47.49,47.535
264.18,119.96,177.4,-0.259,-1.997,-47.494,47.537
254.18,119.96,177.4,-0.248,-2.013,-47.499,47.541
244.18,119.96,177.4,-0.255,-1.999,-47.506,47.549
234.18,119.96,177.4,-0.242,-2.005,-47.511,47.553
224.18,119.96,177.4,-0.239,-1.994,-47.516,47.559
214.18,119.96,177.4,-0.235,-1.993,-47.526,47.567
204.18,119.96,177.4,-0.226,-1.993,-47.535,47.576
194.18,129.96,177.4,-0.231,-1.995,-47.539,47.579
204.18,129.96,177.4,-0.237,-1.979,-47.545,47.587
214.18,129.96,177.4,-0.237,-1.98,-47.543,47.584
224.18,129.96,177.4,-0.251,-1.978,-47.542,47.584
234.18,129.96,177.4,-0.24,-1.998,-47.532,47.574
244.18,129.96,177.4,-0.244,-2.004,-47.527,47.574
254.18,129.96,177.4,-0.251,-1.997,-47.519,47.561
264.18,129.96,177.4,-0.261,-2.01,-47.509,47.552
274.18,129.96,177.4,-0.255,-2,-47.505,47.548
284.18,129.96,177.4,-0.272,-1.996,-47.504,47.548
294.18,129.96,177.4,-0.274,-2.007,-47.504,47.547
304.18,129.96,177.4,-0.293,-1.997,-47.497,47.542
314.18,129.96,177.4,-0.294,-2.007,-47.491,47.534
314.18,139.96,177.4,-0.295,-1.996,-47.481,47.524
304.18,139.96,177.4,-0.314,-2.018,-47.488,47.532
294.18,139.96,177.4,-0.295,-2.017,-47.496,47.541
284.18,139.96,177.4,-0.292,-2.013,-47.504,47.549
274.18,139.96,177.4,-0.278,-2.008,-47.504,47.548
264.18,139.96,177.4,-0.27,-2.008,-47.509,47.553
254.18,139.96,177.4,-0.262,-2.005,-47.514,47.557
244.18,139.96,177.4,-0.263,-1.999,-47.513,47.556
234.18,139.96,177.4,-0.252,-2.003,-47.521,47.565
224.18,139.96,177.4,-0.258,-1.994,-47.527,47.569
214.18,139.96,177.4,-0.25,-1.984,-47.53,47.572
204.18,139.96,177.4,-0.244,-1.986,-47.537,47.577
194.18,139.96,177.4,-0.248,-1.98,-47.546,47.585
194.18,149.96,177.4,-0.258,-1.978,-47.544,47.586
204.18,149.96,177.4,-0.251,-1.969,-47.554,47.595
