# COSI2 B0 scan
# time 2024-09-26 15:37:46.345200
# MAGNET CENTER IN LAB: x 254.181 mm, y 149.964 mm, z 277.405 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta 0.00 deg, gamma 90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240925/240925_coarse_ball_R120_5_pts_FOUR_RINGS_ITER2_with_mismatch
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
254.180,149.960,157.400,-0.5000,-1.9900,-47.5270,47.5710
254.180,221.960,181.400,-0.4900,-1.9740,-47.5270,47.5710
206.180,197.960,181.400,-0.4770,-2.0050,-47.4890,47.5320
230.180,197.960,181.400,-0.5130,-1.9690,-47.5390,47.5830
254.180,197.960,181.400,-0.4990,-1.9900,-47.5180,47.5620
278.180,197.960,181.400,-0.4880,-1.9970,-47.5150,47.5600
302.180,197.960,181.400,-0.4760,-2.0190,-47.5270,47.5690
302.180,173.960,181.400,-0.4690,-2.0520,-47.5380,47.5840
278.180,173.960,181.400,-0.4890,-2.0340,-47.5330,47.5760
254.180,173.960,181.400,-0.4930,-2.0110,-47.5270,47.5710
230.180,173.960,181.400,-0.4950,-1.9960,-47.5280,47.5730
206.180,173.960,181.400,-0.4980,-1.9780,-47.5270,47.5720
182.180,149.960,181.400,-0.5180,-1.9620,-47.5430,47.5860
206.180,149.960,181.400,-0.4790,-1.9390,-47.5530,47.5970
230.180,149.960,181.400,-0.4920,-1.9570,-47.5440,47.5890
254.180,149.960,181.400,-0.4860,-1.9750,-47.5380,47.5800
278.180,149.960,181.400,-0.4930,-1.9970,-47.5230,47.5680
302.180,149.960,181.400,-0.4930,-1.9960,-47.5250,47.5710
302.180,125.960,181.400,-0.5120,-2.0150,-47.5220,47.5680
278.180,125.960,181.400,-0.4940,-1.9950,-47.5140,47.5590
254.180,125.960,181.400,-0.4870,-1.9920,-47.5160,47.5610
230.180,125.960,181.400,-0.4700,-1.9930,-47.5200,47.5670
206.180,125.960,181.400,-0.4740,-1.9700,-47.5320,47.5770
206.180,101.960,181.400,-0.4830,-1.9570,-47.5440,47.5860
230.180,101.960,181.400,-0.4440,-1.9620,-47.5540,47.5960
