# COSI2 B0 scan
# time 2024-09-26 21:18:19.106448
# MAGNET CENTER IN LAB: x 254.181 mm, y 149.964 mm, z 277.405 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta 0.00 deg, gamma 90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240925/240925_fine_ball_R120_FOUR_RINGS_ITER2_with_mismatch
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
254.180,149.960,157.400,-0.4970,-1.9670,-47.5080,47.5530
274.180,189.960,167.400,-0.4910,-1.9560,-47.5100,47.5530
264.180,189.960,167.400,-0.4870,-2.0150,-47.5180,47.5650
254.180,189.960,167.400,-0.4860,-2.0050,-47.5090,47.5540
244.180,189.960,167.400,-0.5040,-1.9880,-47.5050,47.5500
234.180,189.960,167.400,-0.5010,-1.9860,-47.5060,47.5500
224.180,179.960,167.400,-0.5090,-1.9790,-47.5000,47.5450
234.180,179.960,167.400,-0.5070,-1.9700,-47.5120,47.5570
244.180,179.960,167.400,-0.5020,-1.9720,-47.5160,47.5600
254.180,179.960,167.400,-0.4990,-1.9820,-47.5050,47.5520
264.180,179.960,167.400,-0.5010,-1.9890,-47.5120,47.5540
274.180,179.960,167.400,-0.4970,-2.0050,-47.5110,47.5560
284.180,179.960,167.400,-0.5020,-1.9950,-47.5190,47.5650
294.180,169.960,167.400,-0.5050,-2.0110,-47.5250,47.5700
284.180,169.960,167.400,-0.4970,-2.0150,-47.5290,47.5740
274.180,169.960,167.400,-0.4960,-2.0080,-47.5290,47.5740
264.180,169.960,167.400,-0.5040,-1.9930,-47.5250,47.5710
254.180,169.960,167.400,-0.5060,-1.9800,-47.5160,47.5620
244.180,169.960,167.400,-0.5010,-1.9850,-47.5100,47.5520
234.180,169.960,167.400,-0.4970,-1.9700,-47.5110,47.5550
224.180,169.960,167.400,-0.5110,-1.9710,-47.5170,47.5610
214.180,169.960,167.400,-0.5050,-1.9580,-47.5220,47.5640
214.180,159.960,167.400,-0.5070,-1.9510,-47.5270,47.5700
224.180,159.960,167.400,-0.4930,-1.9500,-47.5350,47.5780
234.180,159.960,167.400,-0.4910,-1.9600,-47.5290,47.5730
244.180,159.960,167.400,-0.4940,-1.9620,-47.5160,47.5620
254.180,159.960,167.400,-0.4930,-1.9680,-47.5150,47.5580
264.180,159.960,167.400,-0.4950,-1.9720,-47.5120,47.5560
274.180,159.960,167.400,-0.5050,-1.9790,-47.5150,47.5590
284.180,159.960,167.400,-0.5040,-1.9790,-47.5190,47.5610
294.180,159.960,167.400,-0.4940,-1.9940,-47.5210,47.5660
294.180,149.960,167.400,-0.4990,-2.0140,-47.5250,47.5690
284.180,149.960,167.400,-0.5150,-1.9990,-47.5210,47.5660
