# COSI2 B0 scan,,,,,,
# time 2024-09-26 21:18:19.106448,,,,,,
# MAGNET CENTER IN LAB: x 254.181 mm, y 149.964 mm, z 277.405 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta 0.00 deg, gamma 90.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240925/240925_fine_ball_R120_FOUR_RINGS_ITER2_with_mismatch,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
254.18,149.96,157.4,-0.491,-1.956,-47.51,47.553
274.18,189.96,167.4,-0.487,-2.015,-47.518,47.565
264.18,189.96,167.4,-0.486,-2.005,-47.509,47.554
254.18,189.96,167.4,-0.504,-1.988,-47.505,47.55
244.18,189.96,167.4,-0.501,-1.986,-47.506,47.55
234.18,189.96,167.4,-0.509,-1.979,-47.5,47.545
224.18,179.96,167.4,-0.507,-1.97,-47.512,47.557
234.18,179.96,167.4,-0.502,-1.972,-47.516,47.56
244.18,179.96,167.4,-0.499,-1.982,-47.505,47.552
254.18,179.96,167.4,-0.501,-1.989,-47.512,47.554
264.18,179.96,167.4,-0.497,-2.005,-47.511,47.556
274.18,179.96,167.4,-0.502,-1.995,-47.519,47.565
284.18,179.96,167.4,-0.505,-2.011,-47.525,47.57
294.18,169.96,167.4,-0.497,-2.015,-47.529,47.574
284.18,169.96,167.4,-0.496,-2.008,-47.529,47.574
274.18,169.96,167.4,-0.504,-1.993,-47.525,47.571
264.18,169.96,167.4,-0.506,-1.98,-47.516,47.562
254.18,169.96,167.4,-0.501,-1.985,-47.51,47.552
244.18,169.96,167.4,-0.497,-1.97,-47.511,47.555
234.18,169.96,167.4,-0.511,-1.971,-47.517,47.561
224.18,169.96,167.4,-0.505,-1.958,-47.522,47.564
214.18,169.96,167.4,-0.507,-1.951,-47.527,47.57
214.18,159.96,167.4,-0.493,-1.95,-47.535,47.578
224.18,159.96,167.4,-0.491,-1.96,-47.529,47.573
234.18,159.96,167.4,-0.494,-1.962,-47.516,47.562
244.18,159.96,167.4,-0.493,-1.968,-47.515,47.558
254.18,159.96,167.4,-0.495,-1.972,-47.512,47.556
264.18,159.96,167.4,-0.505,-1.979,-47.515,47.559
274.18,159.96,167.4,-0.504,-1.979,-47.519,47.561
284.18,159.96,167.4,-0.494,-1.994,-47.521,47.566
294.18,159.96,167.4,-0.499,-2.014,-47.525,47.569
294.18,149.96,167.4,-0.515,-1.999,-47.521,47.566
284.18,149.96,167.4,-0.498,-1.993,-47.516,47.561
274.18,149.96,167.4,-0.511,-1.98,-47.515,47.557
264.18,149.96,167.4,-0.498,-1.979,-47.513,47.556
254.18,149.96,167.4,-0.488,-1.975,-47.513,47.556
244.18,149.96,167.4,-0.487,-1.967,-47.512,47.557
234.18,149.96,167.4,-0.481,-1.963,-47.515,47.558
224.18,149.96,167.4,-0.49,-1.953,-47.527,47.568
214.18,149.96,167.4,-0.489,-1.954,-47.538,47.58
214.18,139.96,167.4,-0.484,-1.948,-47.541,47.584
224.18,139.96,167.4,-0.475,-1.962,-47.528,47.572
234.18,139.96,167.4,-0.481,-1.961,-47.519,47.563
244.18,139.96,167.4,-0.483,-1.967,-47.513,47.559
254.18,139.96,167.4,-0.491,-1.967,-47.505,47.548
264.18,139.96,167.4,-0.482,-1.971,-47.507,47.551
274.18,139.96,167.4,-0.493,-1.973,-47.507,47.55
284.18,139.96,167.4,-0.497,-1.975,-47.509,47.553
294.18,139.96,167.4,-0.51,-1.991,-47.513,47.557
294.18,129.96,167.4,-0.497,-1.975,-47.497,47.546
284.18,129.96,167.4,-0.49,-1.972,-47.502,47.546
274.18,129.96,167.4,-0.485,-1.965,-47.501,47.548
264.18,129.96,167.4,-0.472,-1.971,-47.503,47.546
254.18,129.96,167.4,-0.473,-1.961,-47.503,47.546
244.18,129.96,167.4,-0.478,-1.974,-47.51,47.554
