# COSI2 B0 scan
# time 2024-09-26 09:50:16.972649
# MAGNET CENTER IN LAB: x 254.181 mm, y 149.964 mm, z 277.405 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta 0.00 deg, gamma 90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240925/240925_sphere_R120_FOUR_RINGS_ITER2
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
259.890,149.960,397.270,-0.5010,-1.8900,-47.6160,47.6570
259.850,150.680,397.270,-0.5070,-1.8830,-47.6230,47.6630
259.710,151.380,397.270,-0.5120,-1.8870,-47.6260,47.6640
259.490,152.070,397.270,-0.5130,-1.8890,-47.6190,47.6630
259.190,152.720,397.270,-0.5010,-1.8900,-47.6210,47.6610
258.800,153.320,397.270,-0.4860,-1.8830,-47.6250,47.6640
258.350,153.870,397.270,-0.4990,-1.8720,-47.6240,47.6620
257.820,154.370,397.270,-0.4870,-1.8810,-47.6200,47.6620
257.240,154.790,397.270,-0.5010,-1.8880,-47.6230,47.6620
256.610,155.130,397.270,-0.4840,-1.8810,-47.6220,47.6620
255.950,155.400,397.270,-0.4850,-1.8790,-47.6210,47.6610
255.250,155.580,397.270,-0.4790,-1.8810,-47.6200,47.6600
254.540,155.660,397.270,-0.4850,-1.8790,-47.6130,47.6560
253.820,155.660,397.270,-0.4880,-1.8820,-47.6210,47.6580
253.110,155.580,397.270,-0.4830,-1.8820,-47.6100,47.6500
252.420,155.400,397.270,-0.4810,-1.8820,-47.6120,47.6490
251.750,155.130,397.270,-0.4900,-1.8800,-47.6120,47.6520
251.120,154.790,397.270,-0.4930,-1.8900,-47.6080,47.6470
250.540,154.370,397.270,-0.4940,-1.8800,-47.6090,47.6470
250.020,153.870,397.270,-0.4860,-1.8940,-47.6090,47.6490
249.560,153.320,397.270,-0.4880,-1.8880,-47.6090,47.6470
249.180,152.720,397.270,-0.4890,-1.8940,-47.6060,47.6490
248.870,152.070,397.270,-0.5000,-1.8950,-47.6050,47.6450
248.650,151.380,397.270,-0.5050,-1.8970,-47.6040,47.6460
248.510,150.680,397.270,-0.4990,-1.9060,-47.6040,47.6440
248.470,149.960,397.270,-0.5040,-1.9020,-47.6040,47.6460
248.510,149.250,397.270,-0.5010,-1.9040,-47.6020,47.6430
248.650,148.540,397.270,-0.5020,-1.9110,-47.6020,47.6430
248.870,147.860,397.270,-0.5040,-1.9120,-47.6060,47.6470
249.180,147.210,397.270,-0.5080,-1.9090,-47.6020,47.6430
249.560,146.610,397.270,-0.4940,-1.9110,-47.6020,47.6420
250.020,146.050,397.270,-0.5210,-1.9180,-47.5980,47.6400
250.540,145.560,397.270,-0.5180,-1.9170,-47.6020,47.6430
251.120,145.140,397.270,-0.5180,-1.9230,-47.6020,47.6440
251.750,144.800,397.270,-0.5090,-1.9240,-47.6080,47.6500
252.420,144.530,397.270,-0.5230,-1.9140,-47.6050,47.6480
253.110,144.350,397.270,-0.5190,-1.9220,-47.6030,47.6450
253.820,144.260,397.270,-0.5150,-1.9170,-47.6070,47.6460
254.540,144.260,397.270,-0.5180,-1.9140,-47.6050,47.6460
255.250,144.350,397.270,-0.5230,-1.9170,-47.6100,47.6500
255.950,144.530,397.270,-0.5190,-1.9140,-47.6060,47.6490
256.610,144.800,397.270,-0.5220,-1.9190,-47.6110,47.6510
257.240,145.140,397.270,-0.5150,-1.9120,-47.6100,47.6520
257.820,145.560,397.270,-0.5190,-1.9060,-47.6100,47.6490
258.350,146.050,397.270,-0.5210,-1.9050,-47.6110,47.6520
258.800,146.610,397.270,-0.5220,-1.9060,-47.6150,47.6540
259.190,147.210,397.270,-0.5190,-1.9020,-47.6180,47.6590
259.490,147.860,397.270,-0.5160,-1.8970,-47.6160,47.6600
259.710,148.540,397.270,-0.5050,-1.9010,-47.6180,47.6550
259.850,149.250,397.270,-0.5100,-1.8940,-47.6210,47.6610
267.270,149.960,396.690,-0.5060,-1.8830,-47.6170,47.6580
267.170,151.600,396.690,-0.5070,-1.8680,-47.6290,47.6700
266.860,153.220,396.690,-0.4960,-1.8660,-47.6300,47.6690
266.350,154.780,396.690,-0.4860,-1.8640,-47.6300,47.6700
265.650,156.270,396.690,-0.4840,-1.8610,-47.6320,47.6710
264.770,157.660,396.690,-0.4890,-1.8550,-47.6310,47.6680
263.720,158.930,396.690,-0.4820,-1.8600,-47.6300,47.6680
262.530,160.050,396.690,-0.4790,-1.8480,-47.6350,47.6740
261.200,161.020,396.690,-0.4760,-1.8490,-47.6270,47.6660
259.750,161.810,396.690,-0.4720,-1.8460,-47.6280,47.6670
258.230,162.410,396.690,-0.4700,-1.8490,-47.6210,47.6600
256.630,162.820,396.690,-0.4650,-1.8530,-47.6210,47.6600
255.000,163.030,396.690,-0.4530,-1.8500,-47.6190,47.6570
253.360,163.030,396.690,-0.4620,-1.8590,-47.6200,47.6590
251.730,162.820,396.690,-0.4520,-1.8590,-47.6150,47.6540
250.140,162.410,396.690,-0.4590,-1.8600,-47.6080,47.6460
248.610,161.810,396.690,-0.4680,-1.8670,-47.6070,47.6450
247.170,161.020,396.690,-0.4650,-1.8650,-47.6060,47.6480
245.840,160.050,396.690,-0.4610,-1.8680,-47.6040,47.6430
244.640,158.930,396.690,-0.4630,-1.8800,-47.5980,47.6400
243.590,157.660,396.690,-0.4770,-1.8890,-47.5990,47.6400
242.710,156.270,396.690,-0.4730,-1.8800,-47.5910,47.6310
242.010,154.780,396.690,-0.4760,-1.8880,-47.5940,47.6340
241.500,153.220,396.690,-0.4880,-1.9020,-47.5960,47.6360
241.190,151.600,396.690,-0.4840,-1.9060,-47.5930,47.6340
241.090,149.960,396.690,-0.4940,-1.9060,-47.5930,47.6320
241.190,148.320,396.690,-0.5090,-1.9050,-47.5900,47.6310
241.500,146.710,396.690,-0.5040,-1.9230,-47.5890,47.6310
242.010,145.140,396.690,-0.5050,-1.9300,-47.5930,47.6340
242.710,143.660,396.690,-0.5060,-1.9250,-47.5940,47.6350
243.590,142.270,396.690,-0.5110,-1.9400,-47.5900,47.6300
244.640,141.000,396.690,-0.5150,-1.9410,-47.5890,47.6320
245.840,139.880,396.690,-0.5090,-1.9420,-47.5910,47.6350
247.170,138.910,396.690,-0.5230,-1.9380,-47.5910,47.6340
248.610,138.120,396.690,-0.5210,-1.9480,-47.5940,47.6350
250.140,137.510,396.690,-0.5180,-1.9400,-47.5940,47.6370
251.730,137.110,396.690,-0.5200,-1.9440,-47.5960,47.6400
253.360,136.900,396.690,-0.5310,-1.9360,-47.6000,47.6430
255.000,136.900,396.690,-0.5210,-1.9510,-47.5990,47.6420
256.630,137.110,396.690,-0.5280,-1.9400,-47.5990,47.6420
258.230,137.510,396.690,-0.5320,-1.9300,-47.6000,47.6430
259.750,138.120,396.690,-0.5300,-1.9390,-47.6090,47.6490
261.200,138.910,396.690,-0.5300,-1.9240,-47.6110,47.6530
262.530,139.880,396.690,-0.5340,-1.9270,-47.6120,47.6520
263.720,141.000,396.690,-0.5340,-1.9230,-47.6170,47.6560
264.770,142.270,396.690,-0.5310,-1.9090,-47.6140,47.6550
265.650,143.660,396.690,-0.5270,-1.9060,-47.6200,47.6610
266.350,145.140,396.690,-0.5200,-1.8950,-47.6240,47.6640
266.860,146.710,396.690,-0.5180,-1.8880,-47.6270,47.6670
267.170,148.320,396.690,-0.5040,-1.8780,-47.6270,47.6660
