# COSI2 B0 scan
# time 2024-09-26 14:10:20.012850
# MAGNET CENTER IN LAB: x 254.181 mm, y 149.964 mm, z 277.405 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta 0.00 deg, gamma 90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240925/240925_sphere_R120_FOUR_RINGS_ITER2_with_mismatch
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
259.890,149.960,397.270,-0.4700,-1.8700,-47.5720,47.6080
259.850,150.680,397.270,-0.4720,-1.8760,-47.5740,47.6130
259.710,151.380,397.270,-0.4610,-1.8660,-47.5740,47.6150
259.490,152.070,397.270,-0.4610,-1.8760,-47.5730,47.6120
259.190,152.720,397.270,-0.4650,-1.8590,-47.5760,47.6130
258.800,153.320,397.270,-0.4530,-1.8550,-47.5740,47.6120
258.350,153.870,397.270,-0.4700,-1.8620,-47.5800,47.6190
257.820,154.370,397.270,-0.4490,-1.8530,-47.5720,47.6120
257.240,154.790,397.270,-0.4490,-1.8550,-47.5770,47.6160
256.610,155.130,397.270,-0.4440,-1.8480,-47.5780,47.6130
255.950,155.400,397.270,-0.4530,-1.8620,-47.5740,47.6120
255.250,155.580,397.270,-0.4370,-1.8570,-47.5740,47.6120
254.540,155.660,397.270,-0.4470,-1.8560,-47.5740,47.6130
253.820,155.660,397.270,-0.4550,-1.8600,-47.5720,47.6110
253.110,155.580,397.270,-0.4390,-1.8600,-47.5720,47.6110
252.420,155.400,397.270,-0.4480,-1.8590,-47.5720,47.6110
251.750,155.130,397.270,-0.4450,-1.8580,-47.5710,47.6090
251.120,154.790,397.270,-0.4490,-1.8640,-47.5720,47.6110
250.540,154.370,397.270,-0.4610,-1.8640,-47.5680,47.6070
250.020,153.870,397.270,-0.4470,-1.8640,-47.5680,47.6060
249.560,153.320,397.270,-0.4620,-1.8650,-47.5650,47.6050
249.180,152.720,397.270,-0.4620,-1.8750,-47.5690,47.6070
248.870,152.070,397.270,-0.4530,-1.8760,-47.5680,47.6070
248.650,151.380,397.270,-0.4560,-1.8870,-47.5640,47.6050
248.510,150.680,397.270,-0.4500,-1.8770,-47.5660,47.6050
248.470,149.960,397.270,-0.4680,-1.8830,-47.5630,47.6030
248.510,149.250,397.270,-0.4660,-1.8670,-47.5620,47.6010
248.650,148.540,397.270,-0.4540,-1.8850,-47.5660,47.6060
248.870,147.860,397.270,-0.4650,-1.8880,-47.5650,47.6050
249.180,147.210,397.270,-0.4630,-1.8860,-47.5660,47.6060
249.560,146.610,397.270,-0.4720,-1.8880,-47.5650,47.6060
250.020,146.050,397.270,-0.4710,-1.8970,-47.5610,47.6020
250.540,145.560,397.270,-0.4770,-1.8920,-47.5630,47.6030
251.120,145.140,397.270,-0.4650,-1.8910,-47.5650,47.6050
251.750,144.800,397.270,-0.4730,-1.8940,-47.5640,47.6030
252.420,144.530,397.270,-0.4710,-1.8970,-47.5650,47.6040
253.110,144.350,397.270,-0.4740,-1.8950,-47.5630,47.6030
253.820,144.260,397.270,-0.4750,-1.8980,-47.5650,47.6050
254.540,144.260,397.270,-0.4680,-1.9020,-47.5690,47.6070
255.250,144.350,397.270,-0.4670,-1.8860,-47.5690,47.6090
255.950,144.530,397.270,-0.4750,-1.8920,-47.5650,47.6050
256.610,144.800,397.270,-0.4760,-1.8860,-47.5680,47.6070
257.240,145.140,397.270,-0.4760,-1.8970,-47.5710,47.6110
257.820,145.560,397.270,-0.4700,-1.8820,-47.5670,47.6070
258.350,146.050,397.270,-0.4710,-1.8900,-47.5700,47.6110
258.800,146.610,397.270,-0.4710,-1.8890,-47.5680,47.6070
259.190,147.210,397.270,-0.4750,-1.8820,-47.5740,47.6150
259.490,147.860,397.270,-0.4740,-1.8760,-47.5730,47.6110
259.710,148.540,397.270,-0.4780,-1.8770,-47.5710,47.6120
259.850,149.250,397.270,-0.4600,-1.8720,-47.5760,47.6130
267.270,149.960,396.690,-0.4600,-1.8630,-47.5740,47.6120
267.170,151.600,396.690,-0.4810,-1.8520,-47.5770,47.6140
266.860,153.220,396.690,-0.4660,-1.8500,-47.5810,47.6210
266.350,154.780,396.690,-0.4600,-1.8390,-47.5820,47.6200
265.650,156.270,396.690,-0.4500,-1.8430,-47.5860,47.6240
264.770,157.660,396.690,-0.4380,-1.8410,-47.5760,47.6140
263.720,158.930,396.690,-0.4420,-1.8340,-47.5790,47.6180
262.530,160.050,396.690,-0.4410,-1.8390,-47.5830,47.6200
261.200,161.020,396.690,-0.4400,-1.8390,-47.5820,47.6200
259.750,161.810,396.690,-0.4330,-1.8360,-47.5820,47.6190
258.230,162.410,396.690,-0.4230,-1.8340,-47.5790,47.6170
256.630,162.820,396.690,-0.4390,-1.8400,-47.5830,47.6210
255.000,163.030,396.690,-0.4220,-1.8340,-47.5780,47.6140
253.360,163.030,396.690,-0.4310,-1.8390,-47.5750,47.6120
251.730,162.820,396.690,-0.4370,-1.8420,-47.5750,47.6120
250.140,162.410,396.690,-0.4260,-1.8360,-47.5690,47.6110
248.610,161.810,396.690,-0.4260,-1.8430,-47.5710,47.6070
247.170,161.020,396.690,-0.4280,-1.8480,-47.5700,47.6080
245.840,160.050,396.690,-0.4370,-1.8520,-47.5610,47.5990
244.640,158.930,396.690,-0.4390,-1.8620,-47.5650,47.6020
243.590,157.660,396.690,-0.4410,-1.8630,-47.5640,47.6030
242.710,156.270,396.690,-0.4500,-1.8630,-47.5590,47.5960
242.010,154.780,396.690,-0.4480,-1.8710,-47.5620,47.6010
241.500,153.220,396.690,-0.4500,-1.8750,-47.5630,47.6010
241.190,151.600,396.690,-0.4470,-1.8770,-47.5590,47.5970
241.090,149.960,396.690,-0.4520,-1.8860,-47.5570,47.5960
241.190,148.320,396.690,-0.4590,-1.8990,-47.5590,47.5960
241.500,146.710,396.690,-0.4640,-1.8970,-47.5550,47.5950
242.010,145.140,396.690,-0.4680,-1.8940,-47.5620,47.6010
242.710,143.660,396.690,-0.4630,-1.9010,-47.5600,47.6000
243.590,142.270,396.690,-0.4640,-1.9060,-47.5550,47.5950
244.640,141.000,396.690,-0.4770,-1.9070,-47.5570,47.5980
245.840,139.880,396.690,-0.4840,-1.9130,-47.5570,47.5970
247.170,138.910,396.690,-0.4650,-1.9170,-47.5580,47.6010
248.610,138.120,396.690,-0.4810,-1.9140,-47.5620,47.6020
250.140,137.510,396.690,-0.4860,-1.9250,-47.5560,47.5970
