# COSI2 B0 scan
# time 2024-09-13 12:57:49.962160
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240913/240913_ball_R85_9pts_per_radius_before_shim_no_rings_field_components_aligned
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
231.460,164.700,192.210,-0.0100,-2.0500,-47.4890,47.5320
222.020,202.480,201.650,-0.0100,-2.0400,-47.4860,47.5320
231.460,202.480,201.650,-0.0200,-2.0400,-47.4900,47.5300
240.900,202.480,201.650,0.0100,-2.0400,-47.4890,47.5320
250.350,193.030,201.650,0.0100,-2.0400,-47.4800,47.5280
240.900,193.030,201.650,0.0100,-2.0200,-47.4810,47.5240
231.460,193.030,201.650,0.0100,-2.0300,-47.4910,47.5310
222.020,193.030,201.650,0.0000,-2.0400,-47.4930,47.5360
212.570,193.030,201.650,-0.0200,-2.0400,-47.4870,47.5310
203.130,183.590,201.650,-0.0100,-2.0400,-47.4900,47.5300
212.570,183.590,201.650,-0.0200,-2.0500,-47.4970,47.5400
222.020,183.590,201.650,-0.0300,-2.0600,-47.5020,47.5470
231.460,183.590,201.650,-0.0200,-2.0500,-47.5010,47.5450
240.900,183.590,201.650,-0.0200,-2.0500,-47.4950,47.5400
250.350,183.590,201.650,-0.0100,-2.0400,-47.4920,47.5360
259.790,183.590,201.650,-0.0100,-2.0300,-47.4900,47.5340
269.240,174.140,201.650,0.0000,-2.0300,-47.4950,47.5350
259.790,174.140,201.650,-0.0100,-2.0200,-47.5010,47.5420
250.350,174.140,201.650,-0.0200,-2.0200,-47.5000,47.5420
240.900,174.140,201.650,-0.0100,-2.0300,-47.4970,47.5410
231.460,174.140,201.650,-0.0100,-2.0300,-47.4950,47.5380
222.020,174.140,201.650,-0.0200,-2.0300,-47.4970,0.0000
212.570,174.140,201.650,0.0000,0.0000,0.0000,0.0000
203.130,174.140,201.650,-0.0200,-2.0400,-47.4930,47.5370
193.680,174.140,201.650,-0.0100,-2.0600,-47.5010,47.5450
193.680,164.700,201.650,-0.0100,-2.0600,-47.5130,47.5530
203.130,164.700,201.650,-0.0200,-2.0600,-47.5170,47.5590
212.570,164.700,201.650,-0.0300,-2.0600,-47.5190,47.5640
222.020,164.700,201.650,-0.0200,-2.0500,-47.5120,47.5560
231.460,164.700,201.650,-0.0100,-2.0500,-47.5050,47.5520
240.900,164.700,201.650,-0.0200,-2.0500,-47.5000,47.5460
250.350,164.700,201.650,-0.0100,-2.0300,-47.4980,47.5410
259.790,164.700,201.650,-0.0200,-2.0400,-47.4960,47.5390
269.240,164.700,201.650,-0.0300,-2.0300,-47.5000,47.5390
269.240,155.260,201.650,-0.0200,-2.0200,-47.5010,47.5410
259.790,155.260,201.650,-0.0200,-2.0200,-47.5020,47.5450
250.350,155.260,201.650,-0.0200,-2.0200,-47.4970,47.5420
240.900,155.260,201.650,-0.0300,-2.0300,-47.4960,47.5380
231.460,155.260,201.650,-0.0300,-2.0300,-47.4940,47.5380
222.020,155.260,201.650,-0.0300,-2.0400,-47.4890,47.5330
212.570,155.260,201.650,-0.0300,-2.0500,-47.4910,47.5330
203.130,155.260,201.650,-0.0200,-2.0400,-47.4930,47.5370
193.680,155.260,201.650,-0.0200,-2.0500,-47.4980,47.5420
203.130,145.810,201.650,-0.0200,-2.0500,-47.5080,47.5530
212.570,145.810,201.650,-0.0100,-2.0600,-47.5190,47.5640
222.020,145.810,201.650,-0.0100,-2.0600,-47.5120,47.5600
231.460,145.810,201.650,-0.0200,-2.0600,-47.5030,47.5480
240.900,145.810,201.650,-0.0200,-2.0400,-47.4960,47.5400
250.350,145.810,201.650,-0.0200,-2.0500,-47.4930,47.5380
259.790,145.810,201.650,-0.0300,-2.0300,-47.4880,47.5320
250.350,136.370,201.650,-0.0400,-2.0200,-47.4860,47.5290
240.900,136.370,201.650,-0.0400,-2.0300,-47.4880,47.5310
231.460,136.370,201.650,-0.0400,-2.0300,-47.4890,47.5310
222.020,136.370,201.650,-0.0300,-2.0500,-47.4850,47.5290
212.570,136.370,201.650,-0.0300,-2.0400,-47.4860,47.5300
222.020,126.920,201.650,-0.0100,-2.0600,-47.4920,47.5360
231.460,126.920,201.650,-0.0200,-2.0500,-47.4970,47.5410
240.900,126.920,201.650,-0.0200,-2.0600,-47.4950,47.5390
212.570,117.480,211.100,-0.0300,-2.0300,-47.4810,47.5270
222.020,117.480,211.100,-0.0200,-2.0400,-47.4810,47.5210
231.460,117.480,211.100,0.0000,-2.0700,-47.4850,47.5300
240.900,117.480,211.100,-0.0200,-2.0500,-47.4910,47.5350
250.350,117.480,211.100,-0.0300,-2.0400,-47.4870,47.5310
259.790,126.920,211.100,-0.0500,-2.0300,-47.4820,47.5270
250.350,126.920,211.100,-0.0600,-2.0200,-47.4780,47.5230
240.900,126.920,211.100,-0.0500,-2.0300,-47.4810,47.5250
231.460,126.920,211.100,-0.0400,-2.0300,-47.4870,47.5310
222.020,126.920,211.100,-0.0400,-2.0500,-47.4860,47.5290
212.570,126.920,211.100,-0.0300,-2.0500,-47.4930,47.5330
203.130,126.920,211.100,-0.0300,-2.0500,-47.4950,47.5400
193.680,126.920,211.100,-0.0200,-2.0600,-47.4990,47.5440
193.680,136.370,211.100,-0.0100,-2.0700,-47.5120,47.5510
203.130,136.370,211.100,-0.0100,-2.0700,-47.5230,47.5680
212.570,136.370,211.100,-0.0100,-2.0600,-47.5240,47.5690
222.020,136.370,211.100,-0.0200,-2.0600,-47.5200,47.5640
231.460,136.370,211.100,-0.0300,-2.0500,-47.5080,47.5550
240.900,136.370,211.100,-0.0400,-2.0400,-47.5020,47.5490
250.350,136.370,211.100,-0.0300,-2.0500,-47.4950,47.5390
259.790,136.370,211.100,-0.0400,-2.0200,-47.4880,47.5330
269.240,136.370,211.100,-0.0400,-2.0200,-47.4890,47.5320
278.680,145.810,211.100,-0.0500,-2.0200,-47.4910,47.5340
269.240,145.810,211.100,-0.0500,-2.0100,-47.4960,47.5380
259.790,145.810,211.100,-0.0500,-2.0000,-47.5030,47.5450
250.350,145.810,211.100,-0.0300,-2.0200,-47.5000,47.5430
240.900,145.810,211.100,-0.0400,-2.0300,-47.4990,47.5420
231.460,145.810,211.100,-0.0400,-2.0300,-47.4970,47.5400
222.020,145.810,211.100,-0.0300,-2.0300,-47.4980,47.5410
212.570,145.810,211.100,-0.0300,-2.0400,-47.4990,47.5430
203.130,145.810,211.100,-0.0300,-2.0400,-47.5030,47.5430
193.680,145.810,211.100,-0.0200,-2.0500,-47.5080,47.5500
184.240,145.810,211.100,-0.0200,-2.0600,-47.5130,47.5580
184.240,155.260,211.100,-0.0200,-2.0600,-47.5290,47.5710
193.680,155.260,211.100,-0.0200,-2.0700,-47.5360,47.5810
203.130,155.260,211.100,-0.0300,-2.0600,-47.5360,47.5810
212.570,155.260,211.100,-0.0300,-2.0600,-47.5290,47.5740
222.020,155.260,211.100,-0.0300,-2.0500,-47.5220,47.5680
231.460,155.260,211.100,-0.0300,-2.0400,-47.5140,47.5580
240.900,155.260,211.100,-0.0300,-2.0400,-47.5030,47.5470
250.350,155.260,211.100,-0.0200,-2.0300,-47.4980,47.5430
259.790,155.260,211.100,-0.0300,-2.0400,-47.4960,47.5400
269.240,155.260,211.100,-0.0300,-2.0200,-47.5000,47.5430
278.680,155.260,211.100,-0.0400,-2.0200,-47.5020,47.5450
278.680,164.700,211.100,-0.0300,-2.0100,-47.5070,47.5470
269.240,164.700,211.100,-0.0300,-2.0000,-47.5060,47.5490
259.790,164.700,211.100,-0.0300,-2.0200,-47.5080,47.5500
250.350,164.700,211.100,-0.0200,-2.0200,-47.5060,47.5510
240.900,164.700,211.100,-0.0200,-2.0200,-47.5040,47.5460
231.460,164.700,211.100,-0.0300,-2.0200,-47.5030,47.5450
222.020,164.700,211.100,-0.0200,-2.0200,-47.5030,47.5460
212.570,164.700,211.100,-0.0300,-2.0400,-47.5050,47.5490
203.130,164.700,211.100,-0.0300,-2.0400,-47.5080,47.5510
193.680,164.700,211.100,-0.0300,-2.0500,-47.5140,47.5580
184.240,164.700,211.100,-0.0300,-2.0500,-47.5190,47.5630
184.240,174.140,211.100,-0.0200,-2.0500,-47.5260,0.0000
193.680,174.140,211.100,0.0000,0.0000,0.0000,0.0000
203.130,174.140,211.100,-0.0200,-2.0500,-47.5320,47.5800
212.570,174.140,211.100,-0.0300,-2.0400,-47.5280,47.5720
222.020,174.140,211.100,-0.0200,-2.0400,-47.5210,47.5650
231.460,174.140,211.100,-0.0200,-2.0300,-47.5120,47.5550
240.900,174.140,211.100,-0.0200,-2.0300,-47.5050,47.5500
250.350,174.140,211.100,-0.0200,-2.0200,-47.5020,47.5460
259.790,174.140,211.100,-0.0200,-2.0300,-47.5040,47.5470
269.240,174.140,211.100,-0.0200,-2.0200,-47.5030,47.5460
278.680,174.140,211.100,-0.0200,-2.0200,-47.5030,47.5460
278.680,183.590,211.100,-0.0200,-2.0200,-47.5090,47.5520
269.240,183.590,211.100,0.0000,-2.0100,-47.5170,47.5570
259.790,183.590,211.100,0.0000,-2.0300,-47.5190,47.5620
250.350,183.590,211.100,-0.0100,-2.0100,-47.5090,47.5560
240.900,183.590,211.100,0.0000,-2.0200,-47.5010,47.5490
231.460,183.590,211.100,-0.0200,-2.0200,-47.5020,47.5450
222.020,183.590,211.100,-0.0200,-2.0200,-47.5010,47.5440
212.570,183.590,211.100,-0.0200,-2.0300,-47.4980,47.5420
203.130,183.590,211.100,-0.0200,-2.0400,-47.5010,47.5420
193.680,183.590,211.100,-0.0200,-2.0400,-47.5070,47.5510
184.240,183.590,211.100,-0.0200,-2.0500,-47.5150,47.5590
193.680,193.030,211.100,-0.0400,-2.0500,-47.5230,47.5670
203.130,193.030,211.100,-0.0400,-2.0400,-47.5310,47.5750
212.570,193.030,211.100,-0.0400,-2.0400,-47.5250,47.5710
222.020,193.030,211.100,-0.0300,-2.0400,-47.5130,47.5590
231.460,193.030,211.100,-0.0200,-2.0400,-47.5070,47.5500
240.900,193.030,211.100,-0.0100,-2.0300,-47.4970,47.5400
250.350,193.030,211.100,0.0000,-2.0300,-47.4930,47.5360
259.790,193.030,211.100,-0.0100,-2.0200,-47.4960,47.5390
269.240,193.030,211.100,0.0000,-2.0200,-47.5000,47.5400
259.790,202.480,211.100,0.0000,-2.0100,-47.5040,47.5460
250.350,202.480,211.100,0.0000,-2.0100,-47.5090,47.5520
240.900,202.480,211.100,0.0100,-2.0200,-47.4990,47.5420
231.460,202.480,211.100,0.0000,-2.0200,-47.4910,47.5350
222.020,202.480,211.100,-0.0100,-2.0300,-47.4900,47.5330
212.570,202.480,211.100,-0.0100,-2.0300,-47.4880,47.5310
203.130,202.480,211.100,-0.0300,-2.0400,-47.4890,47.5300
193.680,202.480,211.100,-0.0300,-2.0400,-47.4940,47.5370
212.570,211.920,211.100,-0.0400,-2.0400,-47.5010,47.5450
222.020,211.920,211.100,-0.0400,-2.0500,-47.5090,47.5530
231.460,211.920,211.100,-0.0300,-2.0300,-47.4940,47.5380
240.900,211.920,211.100,-0.0100,-2.0400,-47.4840,47.5290
250.350,211.920,211.100,-0.0100,-2.0300,-47.4820,47.5250
203.130,221.370,220.540,0.0200,-2.0300,-47.4810,47.5240
212.570,221.370,220.540,0.0000,-2.0400,-47.4810,47.5250
222.020,221.370,220.540,-0.0300,-2.0400,-47.4870,47.5310
231.460,221.370,220.540,-0.0300,-2.0300,-47.4910,47.5350
240.900,221.370,220.540,-0.0100,-2.0200,-47.4870,47.5300
250.350,221.370,220.540,0.0100,-2.0200,-47.4810,47.5240
259.790,221.370,220.540,0.0100,-2.0100,-47.4750,47.5170
269.240,211.920,220.540,0.0100,-2.0100,-47.4800,47.5190
259.790,211.920,220.540,0.0500,-2.0100,-47.4860,47.5240
250.350,211.920,220.540,0.0200,-2.0100,-47.4920,47.5350
240.900,211.920,220.540,0.0200,-2.0100,-47.4930,47.5360
231.460,211.920,220.540,0.0000,-2.0100,-47.4930,47.5350
222.020,211.920,220.540,0.0000,-2.0200,-47.4890,47.5340
212.570,211.920,220.540,-0.0200,-2.0200,-47.4900,47.5300
203.130,211.920,220.540,-0.0100,-2.0300,-47.4910,47.5340
193.680,211.920,220.540,-0.0300,-2.0300,-47.4920,47.5360
184.240,202.480,220.540,-0.0400,-2.0400,-47.5050,47.5450
193.680,202.480,220.540,-0.0600,-2.0400,-47.5110,47.5550
203.130,202.480,220.540,-0.0300,-2.0500,-47.5270,47.5710
212.570,202.480,220.540,-0.0400,-2.0300,-47.5210,47.5710
222.020,202.480,220.540,-0.0300,-2.0400,-47.5100,47.5580
231.460,202.480,220.540,-0.0200,-2.0200,-47.5050,47.5480
240.900,202.480,220.540,-0.0100,-2.0200,-47.4970,47.5400
250.350,202.480,220.540,-0.0100,-2.0300,-47.4970,47.5380
259.790,202.480,220.540,0.0000,-2.0200,-47.4970,47.5400
269.240,202.480,220.540,0.0100,-2.0200,-47.4980,47.5410
278.680,202.480,220.540,0.0200,-2.0100,-47.5010,47.5410
288.130,193.030,220.540,0.0300,-2.0100,-47.5130,47.5520
278.680,193.030,220.540,0.0300,-2.0000,-47.5200,47.5620
269.240,193.030,220.540,0.0100,-2.0100,-47.5280,47.5700
259.790,193.030,220.540,0.0100,-2.0100,-47.5240,47.5660
250.350,193.030,220.540,0.0200,-2.0100,-47.5120,47.5560
240.900,193.030,220.540,-0.0100,-2.0200,-47.5070,47.5500
231.460,193.030,220.540,-0.0200,-2.0300,-47.5000,47.5460
222.020,193.030,220.540,-0.0100,-2.0200,-47.4990,47.5420
212.570,193.030,220.540,-0.0100,-2.0300,-47.5010,47.5440
203.130,193.030,220.540,-0.0200,-2.0300,-47.5040,47.5480
