# COSI2 B0 scan,,,,,,
# time 2024-09-13 17:59:32.799535,,,,,,
# MAGNET CENTER IN LAB: x 231.460 mm, y 164.700 mm, z 277.210 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240913/240913_ball_R85_9pts_per_radius_coils_installed_no_rings_field_components_aligned,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
231.46,164.7,192.21,-0.016,-2.079,-47.496,47.541
222.02,202.48,201.65,-0.014,-2.082,-47.503,47.55
231.46,202.48,201.65,0.004,-2.082,-47.49,47.537
240.9,202.48,201.65,0.018,-2.067,-47.49,47.535
250.35,193.03,201.65,0.03,-2.057,-47.49,47.536
240.9,193.03,201.65,0.006,-2.068,-47.496,47.54
231.46,193.03,201.65,0.004,-2.069,-47.498,47.541
222.02,193.03,201.65,0.002,-2.068,-47.497,47.542
212.57,193.03,201.65,-0.002,-2.074,-47.505,47.551
203.13,183.59,201.65,-0.008,-2.079,-47.517,47.561
212.57,183.59,201.65,-0.014,-2.07,-47.513,47.562
222.02,183.59,201.65,0,-2.07,-47.508,47.555
231.46,183.59,201.65,0.004,-2.065,-47.506,47.55
240.9,183.59,201.65,0.007,-2.062,-47.502,47.547
250.35,183.59,201.65,0.005,-2.066,-47.501,47.545
259.79,183.59,201.65,0.006,-2.056,-47.501,47.544
269.24,174.14,201.65,0.008,-2.05,-47.504,47.548
259.79,174.14,201.65,-0.016,-2.054,-47.508,47.553
250.35,174.14,201.65,-0.007,-2.06,-47.501,47.544
240.9,174.14,201.65,0.004,-2.058,-47.501,47.548
231.46,174.14,201.65,-0.019,-2.066,-47.503,47.549
222.02,174.14,201.65,-0.015,-2.073,-47.508,47.552
212.57,174.14,201.65,-0.013,-2.081,-47.512,47.554
203.13,174.14,201.65,-0.015,-2.081,-47.524,47.57
193.68,174.14,201.65,-0.021,-2.084,-47.532,47.578
193.68,164.7,201.65,-0.015,-2.082,-47.539,47.586
203.13,164.7,201.65,-0.024,-2.079,-47.532,47.579
212.57,164.7,201.65,-0.008,-2.077,-47.525,47.571
222.02,164.7,201.65,-0.023,-2.085,-47.51,47.555
231.46,164.7,201.65,-0.019,-2.081,-47.509,47.555
240.9,164.7,201.65,-0.016,-2.072,-47.507,47.553
250.35,164.7,201.65,-0.016,-2.061,-47.505,47.55
259.79,164.7,201.65,-0.017,-2.055,-47.503,47.547
269.24,164.7,201.65,-0.014,-2.049,-47.505,47.549
269.24,155.26,201.65,-0.046,-2.05,-47.501,47.549
259.79,155.26,201.65,-0.045,-2.058,-47.499,47.544
250.35,155.26,201.65,-0.031,-2.06,-47.501,47.545
240.9,155.26,201.65,-0.037,-2.069,-47.496,47.541
231.46,155.26,201.65,-0.034,-2.077,-47.506,47.55
222.02,155.26,201.65,-0.028,-2.089,-47.512,47.557
212.57,155.26,201.65,-0.008,-2.086,-47.516,47.561
203.13,155.26,201.65,-0.027,-2.089,-47.522,47.565
193.68,155.26,201.65,-0.028,-2.088,-47.534,47.578
203.13,145.81,201.65,-0.027,-2.089,-47.534,47.579
212.57,145.81,201.65,-0.018,-2.082,-47.524,47.572
222.02,145.81,201.65,-0.031,-2.085,-47.513,47.561
231.46,145.81,201.65,-0.024,-2.068,-47.505,47.552
240.9,145.81,201.65,-0.035,-2.08,-47.501,47.547
250.35,145.81,201.65,-0.032,-2.06,-47.495,47.542
259.79,145.81,201.65,-0.047,-2.057,-47.495,47.54
250.35,136.37,201.65,-0.038,-2.07,-47.495,47.539
240.9,136.37,201.65,-0.041,-2.081,-47.488,47.533
231.46,136.37,201.65,-0.038,-2.086,-47.497,47.54
222.02,136.37,201.65,-0.031,-2.088,-47.505,47.547
212.57,136.37,201.65,-0.03,-2.092,-47.509,47.555
222.02,126.92,201.65,-0.027,-2.083,-47.508,47.554
231.46,126.92,201.65,-0.046,-2.079,-47.495,47.54
240.9,126.92,201.65,-0.049,-2.072,-47.486,47.531
212.57,117.48,211.1,-0.038,-2.089,-47.496,47.538
222.02,117.48,211.1,-0.036,-2.105,-47.507,47.551
231.46,117.48,211.1,-0.064,-2.067,-47.498,47.543
240.9,117.48,211.1,-0.064,-2.076,-47.495,47.54
250.35,117.48,211.1,-0.06,-2.05,-47.486,47.532
259.79,126.92,211.1,-0.07,-2.046,-47.483,47.528
250.35,126.92,211.1,-0.063,-2.057,-47.491,47.536
240.9,126.92,211.1,-0.046,-2.069,-47.494,47.537
231.46,126.92,211.1,-0.059,-2.066,-47.5,47.545
222.02,126.92,211.1,-0.041,-2.074,-47.507,47.55
212.57,126.92,211.1,-0.041,-2.077,-47.513,47.557
203.13,126.92,211.1,-0.029,-2.086,-47.52,47.563
193.68,126.92,211.1,-0.031,-2.086,-47.535,47.581
193.68,136.37,211.1,-0.037,-2.085,-47.541,47.587
203.13,136.37,211.1,-0.031,-2.078,-47.53,47.575
212.57,136.37,211.1,-0.03,-2.078,-47.519,47.567
222.02,136.37,211.1,-0.037,-2.082,-47.516,47.562
231.46,136.37,211.1,-0.037,-2.065,-47.504,47.55
240.9,136.37,211.1,-0.052,-2.055,-47.501,47.545
250.35,136.37,211.1,-0.05,-2.046,-47.5,47.545
259.79,136.37,211.1,-0.064,-2.047,-47.499,47.544
269.24,136.37,211.1,-0.06,-2.032,-47.499,47.54
278.68,145.81,211.1,-0.073,-2.008,-47.505,47.546
269.24,145.81,211.1,-0.049,-2.038,-47.507,47.55
259.79,145.81,211.1,-0.058,-2.047,-47.508,47.552
250.35,145.81,211.1,-0.049,-2.056,-47.508,47.553
240.9,145.81,211.1,-0.039,-2.062,-47.507,47.552
231.46,145.81,211.1,-0.028,-2.058,-47.507,47.549
222.02,145.81,211.1,-0.028,-2.068,-47.516,47.558
212.57,145.81,211.1,-0.024,-2.065,-47.522,47.567
203.13,145.81,211.1,-0.036,-2.072,-47.531,47.575
