# COSI coordinate transformer output
# OSI2 magnet V1 shimming coils on
# Date,240913
# x[m],y[m],z[m],Bx[T],By[T],Bz[T]
-0.00051,-0.08482,-0.00069,-0.00002,-0.00208,-0.04750
-0.03829,-0.07538,0.00875,-0.00001,-0.00208,-0.04750
-0.03829,-0.07538,-0.00069,0.00000,-0.00208,-0.04749
-0.03829,-0.07538,-0.01013,0.00002,-0.00207,-0.04749
-0.02884,-0.07538,-0.01958,0.00003,-0.00206,-0.04749
-0.02884,-0.07538,-0.01013,0.00001,-0.00207,-0.04750
-0.02884,-0.07538,-0.00069,0.00000,-0.00207,-0.04750
-0.02884,-0.07538,0.00875,0.00000,-0.00207,-0.04750
-0.02884,-0.07538,0.01820,-0.00000,-0.00207,-0.04751
-0.01940,-0.07538,0.02764,-0.00001,-0.00208,-0.04752
-0.01940,-0.07538,0.01820,-0.00001,-0.00207,-0.04751
-0.01940,-0.07538,0.00875,0.00000,-0.00207,-0.04751
-0.01940,-0.07538,-0.00069,0.00000,-0.00206,-0.04751
-0.01940,-0.07538,-0.01013,0.00001,-0.00206,-0.04750
-0.01940,-0.07538,-0.01958,0.00001,-0.00207,-0.04750
-0.01940,-0.07538,-0.02902,0.00001,-0.00206,-0.04750
-0.00995,-0.07538,-0.03847,0.00001,-0.00205,-0.04750
-0.00995,-0.07538,-0.02902,-0.00002,-0.00205,-0.04751
-0.00995,-0.07538,-0.01958,-0.00001,-0.00206,-0.04750
-0.00995,-0.07538,-0.01013,0.00000,-0.00206,-0.04750
-0.00995,-0.07538,-0.00069,-0.00002,-0.00207,-0.04750
-0.00995,-0.07538,0.00875,-0.00001,-0.00207,-0.04751
-0.00995,-0.07538,0.01820,-0.00001,-0.00208,-0.04751
-0.00995,-0.07538,0.02764,-0.00001,-0.00208,-0.04752
-0.00995,-0.07538,0.03709,-0.00002,-0.00208,-0.04753
-0.00051,-0.07538,0.03709,-0.00001,-0.00208,-0.04754
-0.00051,-0.07538,0.02764,-0.00002,-0.00208,-0.04753
-0.00051,-0.07538,0.01820,-0.00001,-0.00208,-0.04752
-0.00051,-0.07538,0.00875,-0.00002,-0.00209,-0.04751
-0.00051,-0.07538,-0.00069,-0.00002,-0.00208,-0.04751
-0.00051,-0.07538,-0.01013,-0.00002,-0.00207,-0.04751
-0.00051,-0.07538,-0.01958,-0.00002,-0.00206,-0.04751
-0.00051,-0.07538,-0.02902,-0.00002,-0.00205,-0.04750
-0.00051,-0.07538,-0.03847,-0.00001,-0.00205,-0.04751
0.00893,-0.07538,-0.03847,-0.00005,-0.00205,-0.04750
0.00893,-0.07538,-0.02902,-0.00004,-0.00206,-0.04750
0.00893,-0.07538,-0.01958,-0.00003,-0.00206,-0.04750
0.00893,-0.07538,-0.01013,-0.00004,-0.00207,-0.04750
0.00893,-0.07538,-0.00069,-0.00003,-0.00208,-0.04751
0.00893,-0.07538,0.00875,-0.00003,-0.00209,-0.04751
0.00893,-0.07538,0.01820,-0.00001,-0.00209,-0.04752
0.00893,-0.07538,0.02764,-0.00003,-0.00209,-0.04752
0.00893,-0.07538,0.03709,-0.00003,-0.00209,-0.04753
0.01838,-0.07538,0.02764,-0.00003,-0.00209,-0.04753
0.01838,-0.07538,0.01820,-0.00002,-0.00208,-0.04752
0.01838,-0.07538,0.00875,-0.00003,-0.00209,-0.04751
0.01838,-0.07538,-0.00069,-0.00002,-0.00207,-0.04751
0.01838,-0.07538,-0.01013,-0.00004,-0.00208,-0.04750
0.01838,-0.07538,-0.01958,-0.00003,-0.00206,-0.04749
0.01838,-0.07538,-0.02902,-0.00005,-0.00206,-0.04749
0.02782,-0.07538,-0.01958,-0.00004,-0.00207,-0.04749
0.02782,-0.07538,-0.01013,-0.00004,-0.00208,-0.04749
0.02782,-0.07538,-0.00069,-0.00004,-0.00209,-0.04750
0.02782,-0.07538,0.00875,-0.00003,-0.00209,-0.04751
0.02782,-0.07538,0.01820,-0.00003,-0.00209,-0.04751
0.03727,-0.07538,0.00875,-0.00003,-0.00208,-0.04751
0.03727,-0.07538,-0.00069,-0.00005,-0.00208,-0.04749
0.03727,-0.07538,-0.01013,-0.00005,-0.00207,-0.04749
0.04671,-0.06593,0.01820,-0.00004,-0.00209,-0.04750
0.04671,-0.06593,0.00875,-0.00004,-0.00211,-0.04751
0.04671,-0.06593,-0.00069,-0.00006,-0.00207,-0.04750
0.04671,-0.06593,-0.01013,-0.00006,-0.00208,-0.04749
0.04671,-0.06593,-0.01958,-0.00006,-0.00205,-0.04749
0.03727,-0.06593,-0.02902,-0.00007,-0.00205,-0.04748
0.03727,-0.06593,-0.01958,-0.00006,-0.00206,-0.04749
0.03727,-0.06593,-0.01013,-0.00005,-0.00207,-0.04749
0.03727,-0.06593,-0.00069,-0.00006,-0.00207,-0.04750
0.03727,-0.06593,0.00875,-0.00004,-0.00207,-0.04751
0.03727,-0.06593,0.01820,-0.00004,-0.00208,-0.04751
0.03727,-0.06593,0.02764,-0.00003,-0.00209,-0.04752
0.03727,-0.06593,0.03709,-0.00003,-0.00209,-0.04753
0.02782,-0.06593,0.03709,-0.00004,-0.00209,-0.04754
0.02782,-0.06593,0.02764,-0.00003,-0.00208,-0.04753
0.02782,-0.06593,0.01820,-0.00003,-0.00208,-0.04752
0.02782,-0.06593,0.00875,-0.00004,-0.00208,-0.04752
0.02782,-0.06593,-0.00069,-0.00004,-0.00206,-0.04750
0.02782,-0.06593,-0.01013,-0.00005,-0.00205,-0.04750
0.02782,-0.06593,-0.01958,-0.00005,-0.00205,-0.04750
0.02782,-0.06593,-0.02902,-0.00006,-0.00205,-0.04750
0.02782,-0.06593,-0.03847,-0.00006,-0.00203,-0.04750
0.01838,-0.06593,-0.04791,-0.00007,-0.00201,-0.04751
0.01838,-0.06593,-0.03847,-0.00005,-0.00204,-0.04751
0.01838,-0.06593,-0.02902,-0.00006,-0.00205,-0.04751
0.01838,-0.06593,-0.01958,-0.00005,-0.00206,-0.04751
0.01838,-0.06593,-0.01013,-0.00004,-0.00206,-0.04751
0.01838,-0.06593,-0.00069,-0.00003,-0.00206,-0.04751
0.01838,-0.06593,0.00875,-0.00003,-0.00207,-0.04752
0.01838,-0.06593,0.01820,-0.00002,-0.00206,-0.04752
0.01838,-0.06593,0.02764,-0.00004,-0.00207,-0.04753
0.01838,-0.06593,0.03709,-0.00004,-0.00208,-0.04754
0.01838,-0.06593,0.04653,-0.00003,-0.00208,-0.04755
0.00893,-0.06593,0.04653,-0.00002,-0.00208,-0.04756
0.00893,-0.06593,0.03709,-0.00003,-0.00208,-0.04755
0.00893,-0.06593,0.02764,-0.00002,-0.00207,-0.04753
0.00893,-0.06593,0.01820,-0.00002,-0.00207,-0.04752
0.00893,-0.06593,0.00875,-0.00004,-0.00206,-0.04752
0.00893,-0.06593,-0.00069,-0.00002,-0.00206,-0.04751
0.00893,-0.06593,-0.01013,-0.00003,-0.00206,-0.04751
0.00893,-0.06593,-0.01958,-0.00004,-0.00205,-0.04751
0.00893,-0.06593,-0.02902,-0.00004,-0.00204,-0.04751
0.00893,-0.06593,-0.03847,-0.00004,-0.00204,-0.04751
0.00893,-0.06593,-0.04791,-0.00005,-0.00202,-0.04751
-0.00051,-0.06593,-0.04791,-0.00003,-0.00203,-0.04752
-0.00051,-0.06593,-0.03847,-0.00003,-0.00204,-0.04751
-0.00051,-0.06593,-0.02902,-0.00002,-0.00204,-0.04751
-0.00051,-0.06593,-0.01958,-0.00002,-0.00204,-0.04751
-0.00051,-0.06593,-0.01013,-0.00003,-0.00206,-0.04751
-0.00051,-0.06593,-0.00069,-0.00002,-0.00206,-0.04751
-0.00051,-0.06593,0.00875,-0.00003,-0.00206,-0.04752
-0.00051,-0.06593,0.01820,-0.00003,-0.00207,-0.04752
-0.00051,-0.06593,0.02764,-0.00003,-0.00207,-0.04753
-0.00051,-0.06593,0.03709,-0.00003,-0.00207,-0.04754
-0.00051,-0.06593,0.04653,-0.00002,-0.00208,-0.04755
-0.00995,-0.06593,0.04653,-0.00001,-0.00207,-0.04755
-0.00995,-0.06593,0.03709,-0.00002,-0.00207,-0.04754
-0.00995,-0.06593,0.02764,-0.00003,-0.00207,-0.04753
-0.00995,-0.06593,0.01820,-0.00001,-0.00206,-0.04752
-0.00995,-0.06593,0.00875,-0.00001,-0.00207,-0.04752
-0.00995,-0.06593,-0.00069,-0.00001,-0.00206,-0.04751
-0.00995,-0.06593,-0.01013,-0.00001,-0.00207,-0.04751
-0.00995,-0.06593,-0.01958,-0.00001,-0.00204,-0.04751
-0.00995,-0.06593,-0.02902,-0.00000,-0.00204,-0.04751
-0.00995,-0.06593,-0.03847,-0.00002,-0.00202,-0.04752
-0.00995,-0.06593,-0.04791,-0.00001,-0.00202,-0.04752
-0.01940,-0.06593,-0.04791,0.00001,-0.00203,-0.04752
-0.01940,-0.06593,-0.03847,0.00000,-0.00202,-0.04752
-0.01940,-0.06593,-0.02902,0.00000,-0.00204,-0.04751
-0.01940,-0.06593,-0.01958,-0.00001,-0.00204,-0.04751
-0.01940,-0.06593,-0.01013,-0.00002,-0.00204,-0.04751
-0.01940,-0.06593,-0.00069,-0.00001,-0.00205,-0.04751
-0.01940,-0.06593,0.00875,-0.00000,-0.00206,-0.04751
-0.01940,-0.06593,0.01820,-0.00002,-0.00206,-0.04752
-0.01940,-0.06593,0.02764,-0.00002,-0.00207,-0.04753
-0.01940,-0.06593,0.03709,-0.00002,-0.00207,-0.04753
-0.01940,-0.06593,0.04653,-0.00003,-0.00207,-0.04755
-0.02884,-0.06593,0.03709,-0.00002,-0.00206,-0.04754
-0.02884,-0.06593,0.02764,-0.00002,-0.00207,-0.04753
-0.02884,-0.06593,0.01820,-0.00001,-0.00205,-0.04752
-0.02884,-0.06593,0.00875,0.00000,-0.00205,-0.04751
-0.02884,-0.06593,-0.00069,0.00001,-0.00205,-0.04750
-0.02884,-0.06593,-0.01013,0.00000,-0.00205,-0.04750
-0.02884,-0.06593,-0.01958,0.00001,-0.00204,-0.04751
-0.02884,-0.06593,-0.02902,0.00002,-0.00204,-0.04751
-0.02884,-0.06593,-0.03847,0.00002,-0.00202,-0.04751
-0.03829,-0.06593,-0.02902,0.00002,-0.00204,-0.04751
-0.03829,-0.06593,-0.01958,0.00002,-0.00204,-0.04750
-0.03829,-0.06593,-0.01013,0.00001,-0.00205,-0.04750
-0.03829,-0.06593,-0.00069,0.00000,-0.00205,-0.04750
-0.03829,-0.06593,0.00875,-0.00001,-0.00206,-0.04750
-0.03829,-0.06593,0.01820,-0.00001,-0.00205,-0.04750
-0.03829,-0.06593,0.02764,-0.00002,-0.00206,-0.04751
-0.03829,-0.06593,0.03709,-0.00001,-0.00206,-0.04752
-0.04773,-0.06593,0.01820,-0.00001,-0.00206,-0.04751
-0.04773,-0.06593,0.00875,0.00000,-0.00205,-0.04750
-0.04773,-0.06593,-0.00069,0.00002,-0.00205,-0.04749
-0.04773,-0.06593,-0.01013,0.00004,-0.00205,-0.04749
-0.04773,-0.06593,-0.01958,0.00004,-0.00203,-0.04749
-0.05718,-0.05649,0.02764,0.00001,-0.00205,-0.04749
-0.05718,-0.05649,0.01820,-0.00002,-0.00205,-0.04750
-0.05718,-0.05649,0.00875,-0.00001,-0.00204,-0.04749
-0.05718,-0.05649,-0.00069,0.00001,-0.00203,-0.04749
-0.05718,-0.05649,-0.01013,0.00003,-0.00202,-0.04749
-0.05718,-0.05649,-0.01958,0.00004,-0.00203,-0.04749
-0.05718,-0.05649,-0.02902,0.00005,-0.00203,-0.04749
-0.04773,-0.05649,-0.03847,0.00008,-0.00202,-0.04750
-0.04773,-0.05649,-0.02902,0.00004,-0.00202,-0.04751
-0.04773,-0.05649,-0.01958,0.00003,-0.00203,-0.04750
-0.04773,-0.05649,-0.01013,0.00001,-0.00204,-0.04750
-0.04773,-0.05649,-0.00069,0.00000,-0.00204,-0.04750
-0.04773,-0.05649,0.00875,0.00000,-0.00204,-0.04750
-0.04773,-0.05649,0.01820,0.00000,-0.00204,-0.04751
-0.04773,-0.05649,0.02764,-0.00002,-0.00204,-0.04751
-0.04773,-0.05649,0.03709,-0.00003,-0.00205,-0.04752
-0.03829,-0.05649,0.04653,-0.00003,-0.00205,-0.04753
-0.03829,-0.05649,0.03709,-0.00002,-0.00206,-0.04753
-0.03829,-0.05649,0.02764,-0.00001,-0.00205,-0.04752
-0.03829,-0.05649,0.01820,-0.00001,-0.00205,-0.04752
-0.03829,-0.05649,0.00875,0.00000,-0.00205,-0.04751
-0.03829,-0.05649,-0.00069,-0.00000,-0.00205,-0.04750
-0.03829,-0.05649,-0.01013,0.00001,-0.00204,-0.04751
-0.03829,-0.05649,-0.01958,0.00002,-0.00204,-0.04751
-0.03829,-0.05649,-0.02902,0.00002,-0.00202,-0.04751
-0.03829,-0.05649,-0.03847,0.00004,-0.00202,-0.04752
-0.03829,-0.05649,-0.04791,0.00005,-0.00202,-0.04752
-0.02884,-0.05649,-0.05736,0.00005,-0.00201,-0.04754
-0.02884,-0.05649,-0.04791,0.00002,-0.00202,-0.04754
-0.02884,-0.05649,-0.03847,0.00002,-0.00202,-0.04753
-0.02884,-0.05649,-0.02902,0.00002,-0.00204,-0.04752
-0.02884,-0.05649,-0.01958,0.00001,-0.00204,-0.04751
-0.02884,-0.05649,-0.01013,-0.00000,-0.00205,-0.04751
-0.02884,-0.05649,-0.00069,-0.00001,-0.00204,-0.04751
-0.02884,-0.05649,0.00875,-0.00001,-0.00205,-0.04752
-0.02884,-0.05649,0.01820,-0.00003,-0.00205,-0.04752
-0.02884,-0.05649,0.02764,-0.00002,-0.00206,-0.04752
-0.02884,-0.05649,0.03709,-0.00002,-0.00206,-0.04753
-0.02884,-0.05649,0.04653,-0.00002,-0.00205,-0.04754
-0.02884,-0.05649,0.05598,-0.00003,-0.00206,-0.04755
-0.01940,-0.05649,0.05598,-0.00002,-0.00205,-0.04755
-0.01940,-0.05649,0.04653,-0.00003,-0.00206,-0.04755
-0.01940,-0.05649,0.03709,-0.00002,-0.00206,-0.04754
-0.01940,-0.05649,0.02764,-0.00002,-0.00206,-0.04753
-0.01940,-0.05649,0.01820,-0.00002,-0.00206,-0.04752
-0.01940,-0.05649,0.00875,-0.00001,-0.00205,-0.04752
-0.01940,-0.05649,-0.00069,-0.00001,-0.00205,-0.04752
-0.01940,-0.05649,-0.01013,-0.00001,-0.00205,-0.04752
-0.01940,-0.05649,-0.01958,-0.00001,-0.00204,-0.04752
-0.01940,-0.05649,-0.02902,0.00000,-0.00204,-0.04752
-0.01940,-0.05649,-0.03847,0.00000,-0.00203,-0.04752
-0.01940,-0.05649,-0.04791,0.00001,-0.00202,-0.04753
-0.01940,-0.05649,-0.05736,-0.00000,-0.00201,-0.04755
-0.00995,-0.05649,-0.05736,-0.00002,-0.00201,-0.04755
-0.00995,-0.05649,-0.04791,-0.00002,-0.00203,-0.04754
-0.00995,-0.05649,-0.03847,-0.00001,-0.00203,-0.04753
-0.00995,-0.05649,-0.02902,-0.00001,-0.00204,-0.04753
-0.00995,-0.05649,-0.01958,-0.00001,-0.00205,-0.04752
-0.00995,-0.05649,-0.01013,-0.00003,-0.00205,-0.04752
-0.00995,-0.05649,-0.00069,-0.00003,-0.00205,-0.04752
-0.00995,-0.05649,0.00875,-0.00003,-0.00206,-0.04752
-0.00995,-0.05649,0.01820,-0.00002,-0.00206,-0.04752
-0.00995,-0.05649,0.02764,-0.00003,-0.00206,-0.04753
-0.00995,-0.05649,0.03709,-0.00002,-0.00206,-0.04754
-0.00995,-0.05649,0.04653,-0.00004,-0.00206,-0.04755
-0.00995,-0.05649,0.05598,-0.00003,-0.00206,-0.04755
-0.00051,-0.05649,0.05598,-0.00004,-0.00206,-0.04756
-0.00051,-0.05649,0.04653,-0.00004,-0.00207,-0.04755
-0.00051,-0.05649,0.03709,-0.00003,-0.00206,-0.04754
-0.00051,-0.05649,0.02764,-0.00003,-0.00206,-0.04754
-0.00051,-0.05649,0.01820,-0.00003,-0.00206,-0.04753
-0.00051,-0.05649,0.00875,0.00000,0.00000,0.00000
-0.00051,-0.05649,-0.00069,-0.00004,-0.00205,-0.04752
-0.00051,-0.05649,-0.01013,-0.00003,-0.00205,-0.04752
-0.00051,-0.05649,-0.01958,-0.00002,-0.00206,-0.04752
-0.00051,-0.05649,-0.02902,-0.00003,-0.00204,-0.04752
-0.00051,-0.05649,-0.03847,-0.00003,-0.00203,-0.04753
-0.00051,-0.05649,-0.04791,-0.00002,-0.00202,-0.04754
-0.00051,-0.05649,-0.05736,-0.00003,-0.00200,-0.04755
0.00893,-0.05649,-0.05736,-0.00006,-0.00201,-0.04755
0.00893,-0.05649,-0.04791,-0.00005,-0.00201,-0.04754
0.00893,-0.05649,-0.03847,-0.00004,-0.00203,-0.04753
0.00893,-0.05649,-0.02902,-0.00005,-0.00204,-0.04752
0.00893,-0.05649,-0.01958,-0.00004,-0.00204,-0.04752
0.00893,-0.05649,-0.01013,-0.00004,-0.00205,-0.04752
0.00893,-0.05649,-0.00069,-0.00004,-0.00205,-0.04752
0.00893,-0.05649,0.00875,-0.00004,-0.00206,-0.04752
0.00893,-0.05649,0.01820,-0.00004,-0.00206,-0.04752
0.00893,-0.05649,0.02764,-0.00004,-0.00206,-0.04753
0.00893,-0.05649,0.03709,-0.00004,-0.00207,-0.04754
0.00893,-0.05649,0.04653,-0.00004,-0.00208,-0.04755
0.00893,-0.05649,0.05598,-0.00004,-0.00207,-0.04756
0.01838,-0.05649,0.05598,-0.00004,-0.00206,-0.04756
0.01838,-0.05649,0.04653,-0.00004,-0.00207,-0.04756
0.01838,-0.05649,0.03709,-0.00003,-0.00207,-0.04755
0.01838,-0.05649,0.02764,-0.00003,-0.00207,-0.04754
0.01838,-0.05649,0.01820,-0.00003,-0.00208,-0.04753
0.01838,-0.05649,0.00875,-0.00003,-0.00206,-0.04752
0.01838,-0.05649,-0.00069,-0.00004,-0.00206,-0.04752
0.01838,-0.05649,-0.01013,-0.00003,-0.00206,-0.04752
0.01838,-0.05649,-0.01958,-0.00004,-0.00205,-0.04752
0.01838,-0.05649,-0.02902,-0.00004,-0.00204,-0.04752
0.01838,-0.05649,-0.03847,-0.00004,-0.00203,-0.04752
0.01838,-0.05649,-0.04791,-0.00005,-0.00201,-0.04752
0.01838,-0.05649,-0.05736,-0.00005,-0.00200,-0.04754
0.02782,-0.05649,-0.05736,-0.00008,-0.00200,-0.04753
0.02782,-0.05649,-0.04791,-0.00007,-0.00201,-0.04752
0.02782,-0.05649,-0.03847,-0.00007,-0.00203,-0.04751
0.02782,-0.05649,-0.02902,-0.00005,-0.00204,-0.04751
0.02782,-0.05649,-0.01958,-0.00006,-0.00205,-0.04751
0.02782,-0.05649,-0.01013,-0.00006,-0.00205,-0.04751
0.02782,-0.05649,-0.00069,-0.00005,-0.00206,-0.04751
0.02782,-0.05649,0.00875,-0.00003,-0.00207,-0.04752
0.02782,-0.05649,0.01820,-0.00004,-0.00208,-0.04752
0.02782,-0.05649,0.02764,-0.00004,-0.00207,-0.04753
0.02782,-0.05649,0.03709,-0.00004,-0.00208,-0.04754
0.02782,-0.05649,0.04653,-0.00004,-0.00207,-0.04755
0.02782,-0.05649,0.05598,-0.00004,-0.00207,-0.04756
0.03727,-0.05649,0.04653,-0.00003,-0.00208,-0.04755
0.03727,-0.05649,0.03709,-0.00002,-0.00208,-0.04754
0.03727,-0.05649,0.02764,-0.00003,-0.00208,-0.04754
0.03727,-0.05649,0.01820,-0.00003,-0.00208,-0.04752
0.03727,-0.05649,0.00875,-0.00004,-0.00207,-0.04751
0.03727,-0.05649,-0.00069,-0.00004,-0.00207,-0.04751
0.03727,-0.05649,-0.01013,-0.00004,-0.00206,-0.04751
