# COSI coordinate transformer output
# OSI2 magnet V2.1
# Date,240822
# x[m],y[m],z[m],Bx[T],By[T],Bz[T]
0.00000,0.00000,-0.12000,-0.04880,-0.00220,0.00081
0.02000,0.04000,-0.11000,-0.04838,-0.00260,0.00046
0.01000,0.04000,-0.11000,-0.04846,-0.00243,0.00047
0.00000,0.04000,-0.11000,-0.04852,-0.00225,0.00045
-0.01000,0.04000,-0.11000,-0.04857,-0.00207,0.00044
-0.02000,0.04000,-0.11000,-0.04860,-0.00187,0.00040
-0.03000,0.03000,-0.11000,-0.04854,-0.00161,0.00031
-0.02000,0.03000,-0.11000,-0.04857,-0.00184,0.00038
-0.01000,0.03000,-0.11000,-0.04854,-0.00205,0.00042
0.00000,0.03000,-0.11000,-0.04849,-0.00224,0.00046
0.01000,0.03000,-0.11000,-0.04842,-0.00243,0.00048
0.02000,0.03000,-0.11000,-0.04832,-0.00263,0.00046
0.03000,0.03000,-0.11000,-0.04819,-0.00280,0.00044
0.04000,0.02000,-0.11000,-0.04792,-0.00302,0.00067
0.03000,0.02000,-0.11000,-0.04812,-0.00284,0.00066
0.02000,0.02000,-0.11000,-0.04828,-0.00265,0.00065
0.01000,0.02000,-0.11000,-0.04840,-0.00244,0.00064
0.00000,0.02000,-0.11000,-0.04846,-0.00223,0.00060
-0.01000,0.02000,-0.11000,-0.04851,-0.00203,0.00057
-0.02000,0.02000,-0.11000,-0.04852,-0.00178,0.00050
-0.03000,0.02000,-0.11000,-0.04848,-0.00155,0.00045
-0.04000,0.02000,-0.11000,-0.04837,-0.00133,0.00039
-0.04000,0.01000,-0.11000,-0.04838,-0.00131,0.00058
-0.03000,0.01000,-0.11000,-0.04849,-0.00150,0.00060
-0.02000,0.01000,-0.11000,-0.04855,-0.00175,0.00065
-0.01000,0.01000,-0.11000,-0.04855,-0.00199,0.00069
0.00000,0.01000,-0.11000,-0.04851,-0.00221,0.00073
0.01000,0.01000,-0.11000,-0.04846,-0.00243,0.00078
0.02000,0.01000,-0.11000,-0.04834,-0.00264,0.00082
0.03000,0.01000,-0.11000,-0.04819,-0.00281,0.00085
0.04000,0.01000,-0.11000,-0.04802,-0.00296,0.00092
0.04000,-0.00000,-0.11000,-0.04813,-0.00291,0.00094
0.03000,-0.00000,-0.11000,-0.04827,-0.00279,0.00090
0.02000,-0.00000,-0.11000,-0.04840,-0.00263,0.00087
0.01000,-0.00000,-0.11000,-0.04851,-0.00241,0.00083
0.00000,0.00000,-0.11000,-0.04857,-0.00217,0.00081
-0.01000,0.00000,-0.11000,-0.04859,-0.00196,0.00073
-0.02000,0.00000,-0.11000,-0.04858,-0.00173,0.00070
-0.03000,0.00000,-0.11000,-0.04851,-0.00149,0.00067
-0.04000,0.00000,-0.11000,-0.04841,-0.00129,0.00064
-0.04000,-0.01000,-0.11000,-0.04836,-0.00125,0.00072
-0.03000,-0.01000,-0.11000,-0.04848,-0.00145,0.00076
-0.02000,-0.01000,-0.11000,-0.04856,-0.00171,0.00078
-0.01000,-0.01000,-0.11000,-0.04858,-0.00193,0.00082
0.00000,-0.01000,-0.11000,-0.04856,-0.00216,0.00084
0.01000,-0.01000,-0.11000,-0.04850,-0.00239,0.00088
0.02000,-0.01000,-0.11000,-0.04840,-0.00259,0.00091
0.03000,-0.01000,-0.11000,-0.04825,-0.00274,0.00095
0.04000,-0.01000,-0.11000,-0.04810,-0.00288,0.00095
0.04000,-0.02000,-0.11000,-0.04806,-0.00288,0.00120
0.03000,-0.02000,-0.11000,-0.04824,-0.00272,0.00114
0.02000,-0.02000,-0.11000,-0.04840,-0.00256,0.00108
0.01000,-0.02000,-0.11000,-0.04849,-0.00235,0.00105
0.00000,-0.02000,-0.11000,-0.04856,-0.00214,0.00101
-0.01000,-0.02000,-0.11000,-0.04858,-0.00193,0.00101
-0.02000,-0.02000,-0.11000,-0.04855,-0.00170,0.00099
-0.03000,-0.02000,-0.11000,-0.04847,-0.00147,0.00100
-0.04000,-0.02000,-0.11000,-0.04834,-0.00126,0.00101
-0.03000,-0.03000,-0.11000,-0.04860,-0.00152,0.00124
-0.02000,-0.03000,-0.11000,-0.04866,-0.00173,0.00120
-0.01000,-0.03000,-0.11000,-0.04867,-0.00194,0.00118
0.00000,-0.03000,-0.11000,-0.04864,-0.00213,0.00119
0.01000,-0.03000,-0.11000,-0.04858,-0.00232,0.00123
0.02000,-0.03000,-0.11000,-0.04851,-0.00249,0.00130
0.03000,-0.03000,-0.11000,-0.04839,-0.00264,0.00141
0.02000,-0.04000,-0.11000,-0.04866,-0.00242,0.00134
0.01000,-0.04000,-0.11000,-0.04872,-0.00228,0.00129
0.00000,-0.04000,-0.11000,-0.04876,-0.00213,0.00125
-0.01000,-0.04000,-0.11000,-0.04881,-0.00196,0.00124
-0.02000,-0.04000,-0.11000,-0.04881,-0.00178,0.00125
-0.02000,-0.06000,-0.10000,-0.04891,-0.00183,0.00133
-0.01000,-0.06000,-0.10000,-0.04891,-0.00195,0.00132
-0.00000,-0.06000,-0.10000,-0.04888,-0.00206,0.00135
0.01000,-0.06000,-0.10000,-0.04884,-0.00218,0.00139
0.02000,-0.06000,-0.10000,-0.04878,-0.00229,0.00144
0.04000,-0.05000,-0.10000,-0.04852,-0.00255,0.00138
0.03000,-0.05000,-0.10000,-0.04859,-0.00244,0.00135
0.02000,-0.05000,-0.10000,-0.04866,-0.00233,0.00130
0.01000,-0.05000,-0.10000,-0.04872,-0.00221,0.00126
-0.00000,-0.05000,-0.10000,-0.04876,-0.00208,0.00123
-0.01000,-0.05000,-0.10000,-0.04879,-0.00195,0.00122
-0.02000,-0.05000,-0.10000,-0.04879,-0.00181,0.00121
-0.03000,-0.05000,-0.10000,-0.04877,-0.00166,0.00122
-0.04000,-0.05000,-0.10000,-0.04873,-0.00153,0.00123
-0.05000,-0.04000,-0.10000,-0.04856,-0.00135,0.00121
