# COSI2 B0 scan,,,,,,
# time 2024-09-12 21:57:48.451273,,,,,,
# MAGNET CENTER IN LAB: x 254.18 mm, y 149.96 mm, z 277.40 mm,,,,
# MAGNET AXES WRT LAB: alpha 90.00 deg, beta 0.00 deg, gamma -90.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240907/240912_ball_overnight_R120_12pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
248.96,103.01,167.84,-47.496,-2.025,-0.243,47.458
259.4,103.01,167.84,-47.483,-2.019,-0.242,47.47
290.7,113.44,167.84,-47.479,-2.006,-0.266,47.473
280.27,113.44,167.84,-47.486,-2.007,-0.26,47.464
269.83,113.44,167.84,-47.486,-2.009,-0.251,47.456
259.4,113.44,167.84,-47.49,-2.015,-0.257,47.448
248.96,113.44,167.84,-47.501,-2.013,-0.246,47.455
238.53,113.44,167.84,-47.507,-2.016,-0.239,47.459
217.66,123.88,167.84,-47.529,-2.006,-0.247,47.456
228.09,123.88,167.84,-47.524,-2.006,-0.244,47.458
238.53,123.88,167.84,-47.513,-2.015,-0.251,47.467
248.96,123.88,167.84,-47.507,-2.007,-0.258,47.478
259.4,123.88,167.84,-47.505,-2.019,-0.25,47.494
269.83,123.88,167.84,-47.494,-2.004,-0.274,47.501
280.27,123.88,167.84,-47.493,-2.003,-0.269,47.499
290.7,123.88,167.84,-47.487,-2,-0.288,47.484
301.14,134.31,167.84,-47.497,-2.016,-0.325,47.478
290.7,134.31,167.84,-47.499,-2.013,-0.302,47.47
280.27,134.31,167.84,-47.5,-2,-0.286,47.465
269.83,134.31,167.84,-47.506,-2.018,-0.273,47.471
259.4,134.31,167.84,-47.509,-2.014,-0.27,47.474
248.96,134.31,167.84,-47.51,-2.002,-0.276,47.49
238.53,134.31,167.84,-47.516,-2.002,-0.26,47.492
228.09,134.31,167.84,-47.521,-2,-0.251,47.49
207.22,144.75,167.84,-47.549,-1.979,-0.265,47.478
217.66,144.75,167.84,-47.538,-1.987,-0.264,47.467
228.09,144.75,167.84,-47.53,-2.008,-0.262,47.468
238.53,144.75,167.84,-47.525,-2.017,-0.268,47.472
248.96,144.75,167.84,-47.515,-2.008,-0.277,47.481
259.4,144.75,167.84,-47.514,-2.003,-0.274,47.495
269.83,144.75,167.84,-47.516,-2.015,-0.286,47.499
280.27,144.75,167.84,-47.512,-2.009,-0.296,47.496
290.7,144.75,167.84,-47.513,-2.029,-0.31,47.487
301.14,144.75,167.84,-47.51,-2.03,-0.314,47.479
311.57,155.18,167.84,-47.516,-2.054,-0.318,47.472
301.14,155.18,167.84,-47.521,-2.052,-0.324,47.469
290.7,155.18,167.84,-47.523,-2.035,-0.305,47.468
280.27,155.18,167.84,-47.52,-2.022,-0.289,47.473
269.83,155.18,167.84,-47.521,-2.01,-0.288,47.484
259.4,155.18,167.84,-47.519,-2.022,-0.284,47.5
248.96,155.18,167.84,-47.517,-2.007,-0.286,47.507
238.53,155.18,167.84,-47.521,-2,-0.283,47.498
228.09,155.18,167.84,-47.532,-1.998,-0.272,47.482
217.66,155.18,167.84,-47.538,-1.99,-0.266,47.473
217.66,165.62,167.84,-47.542,-1.999,-0.294,47.467
228.09,165.62,167.84,-47.532,-2.009,-0.278,47.471
238.53,165.62,167.84,-47.526,-2.009,-0.282,47.473
248.96,165.62,167.84,-47.52,-2.003,-0.285,47.476
259.4,165.62,167.84,-47.52,-2.022,-0.291,47.478
269.83,165.62,167.84,-47.524,-2.021,-0.281,47.477
280.27,165.62,167.84,-47.528,-2.032,-0.291,47.466
290.7,165.62,167.84,-47.535,-2.042,-0.3,47.459
301.14,176.05,167.84,-47.536,-2.062,-0.292,47.458
290.7,176.05,167.84,-47.539,-2.056,-0.294,47.46
