X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
248.96, 103.01, 167.84, -47.496000, -2.025000, -0.243000
259.40, 103.01, 167.84, -47.483000, -2.019000, -0.242000
290.70, 113.44, 167.84, -47.479000, -2.006000, -0.266000
280.27, 113.44, 167.84, -47.486000, -2.007000, -0.260000
269.83, 113.44, 167.84, -47.486000, -2.009000, -0.251000
259.40, 113.44, 167.84, -47.490000, -2.015000, -0.257000
248.96, 113.44, 167.84, -47.501000, -2.013000, -0.246000
238.53, 113.44, 167.84, -47.507000, -2.016000, -0.239000
217.66, 123.88, 167.84, -47.529000, -2.006000, -0.247000
228.09, 123.88, 167.84, -47.524000, -2.006000, -0.244000
238.53, 123.88, 167.84, -47.513000, -2.015000, -0.251000
248.96, 123.88, 167.84, -47.507000, -2.007000, -0.258000
259.40, 123.88, 167.84, -47.505000, -2.019000, -0.250000
269.83, 123.88, 167.84, -47.494000, -2.004000, -0.274000
280.27, 123.88, 167.84, -47.493000, -2.003000, -0.269000
290.70, 123.88, 167.84, -47.487000, -2.000000, -0.288000
301.14, 134.31, 167.84, -47.497000, -2.016000, -0.325000
290.70, 134.31, 167.84, -47.499000, -2.013000, -0.302000
280.27, 134.31, 167.84, -47.500000, -2.000000, -0.286000
269.83, 134.31, 167.84, -47.506000, -2.018000, -0.273000
259.40, 134.31, 167.84, -47.509000, -2.014000, -0.270000
248.96, 134.31, 167.84, -47.510000, -2.002000, -0.276000
238.53, 134.31, 167.84, -47.516000, -2.002000, -0.260000
228.09, 134.31, 167.84, -47.521000, -2.000000, -0.251000
207.22, 144.75, 167.84, -47.549000, -1.979000, -0.265000
217.66, 144.75, 167.84, -47.538000, -1.987000, -0.264000
228.09, 144.75, 167.84, -47.530000, -2.008000, -0.262000
238.53, 144.75, 167.84, -47.525000, -2.017000, -0.268000
248.96, 144.75, 167.84, -47.515000, -2.008000, -0.277000
259.40, 144.75, 167.84, -47.514000, -2.003000, -0.274000
269.83, 144.75, 167.84, -47.516000, -2.015000, -0.286000
280.27, 144.75, 167.84, -47.512000, -2.009000, -0.296000
290.70, 144.75, 167.84, -47.513000, -2.029000, -0.310000
301.14, 144.75, 167.84, -47.510000, -2.030000, -0.314000
311.57, 155.18, 167.84, -47.516000, -2.054000, -0.318000
301.14, 155.18, 167.84, -47.521000, -2.052000, -0.324000
290.70, 155.18, 167.84, -47.523000, -2.035000, -0.305000
280.27, 155.18, 167.84, -47.520000, -2.022000, -0.289000
269.83, 155.18, 167.84, -47.521000, -2.010000, -0.288000
259.40, 155.18, 167.84, -47.519000, -2.022000, -0.284000
248.96, 155.18, 167.84, -47.517000, -2.007000, -0.286000
238.53, 155.18, 167.84, -47.521000, -2.000000, -0.283000
228.09, 155.18, 167.84, -47.532000, -1.998000, -0.272000
217.66, 155.18, 167.84, -47.538000, -1.990000, -0.266000
217.66, 165.62, 167.84, -47.542000, -1.999000, -0.294000
228.09, 165.62, 167.84, -47.532000, -2.009000, -0.278000
238.53, 165.62, 167.84, -47.526000, -2.009000, -0.282000
248.96, 165.62, 167.84, -47.520000, -2.003000, -0.285000
259.40, 165.62, 167.84, -47.520000, -2.022000, -0.291000
269.83, 165.62, 167.84, -47.524000, -2.021000, -0.281000
280.27, 165.62, 167.84, -47.528000, -2.032000, -0.291000
290.70, 165.62, 167.84, -47.535000, -2.042000, -0.300000
301.14, 176.05, 167.84, -47.536000, -2.062000, -0.292000
290.70, 176.05, 167.84, -47.539000, -2.056000, -0.294000
280.27, 176.05, 167.84, -47.537000, -2.038000, -0.278000
269.83, 176.05, 167.84, -47.531000, -2.025000, -0.280000
259.40, 176.05, 167.84, -47.528000, -2.017000, -0.280000
248.96, 176.05, 167.84, -47.521000, -2.009000, -0.276000
238.53, 176.05, 167.84, -47.524000, -2.015000, -0.281000
228.09, 176.05, 167.84, -47.529000, -1.999000, -0.275000
228.09, 186.49, 167.84, -47.528000, -2.011000, -0.284000
238.53, 186.49, 167.84, -47.520000, -2.017000, -0.296000
248.96, 186.49, 167.84, -47.519000, -2.021000, -0.274000
259.40, 186.49, 167.84, -47.525000, -2.027000, -0.272000
269.83, 186.49, 167.84, -47.526000, -2.042000, -0.272000
280.27, 186.49, 167.84, -47.538000, -2.050000, -0.273000
269.83, 196.92, 167.84, -47.533000, -2.039000, -0.265000
259.40, 196.92, 167.84, -47.525000, -2.025000, -0.264000
290.70, 217.79, 178.27, -47.531000, -2.080000, -0.193000
280.27, 217.79, 178.27, -47.520000, -2.055000, -0.207000
269.83, 217.79, 178.27, -47.512000, -2.040000, -0.226000
259.40, 217.79, 178.27, -47.500000, -2.027000, -0.239000
248.96, 217.79, 178.27, -47.495000, -2.021000, -0.252000
238.53, 217.79, 178.27, -47.499000, -2.018000, -0.269000
207.22, 207.36, 178.27, -47.529000, -1.996000, -0.294000
217.66, 207.36, 178.27, -47.523000, -2.011000, -0.294000
228.09, 207.36, 178.27, -47.511000, -2.011000, -0.292000
238.53, 207.36, 178.27, -47.506000, -2.016000, -0.272000
248.96, 207.36, 178.27, -47.509000, -2.028000, -0.260000
259.40, 207.36, 178.27, -47.511000, -2.021000, -0.252000
269.83, 207.36, 178.27, -47.519000, -2.044000, -0.251000
280.27, 207.36, 178.27, -47.527000, -2.055000, -0.238000
290.70, 207.36, 178.27, -47.538000, -2.079000, -0.237000
301.14, 207.36, 178.27, -47.550000, -2.090000, -0.231000
311.57, 196.92, 178.27, -47.548000, -2.087000, -0.275000
301.14, 196.92, 178.27, -47.542000, -2.086000, -0.263000
290.70, 196.92, 178.27, -47.540000, -2.057000, -0.259000
280.27, 196.92, 178.27, -47.530000, -2.049000, -0.261000
269.83, 196.92, 178.27, -47.526000, -2.027000, -0.268000
259.40, 196.92, 178.27, -47.522000, -2.029000, -0.265000
248.96, 196.92, 178.27, -47.512000, -2.027000, -0.261000
238.53, 196.92, 178.27, -47.519000, -2.010000, -0.273000
228.09, 196.92, 178.27, -47.518000, -2.005000, -0.277000
217.66, 196.92, 178.27, -47.523000, -2.004000, -0.283000
196.79, 186.49, 178.27, -47.538000, -1.994000, -0.287000
207.22, 186.49, 178.27, -47.536000, -1.998000, -0.289000
217.66, 186.49, 178.27, -47.529000, -1.997000, -0.281000
228.09, 186.49, 178.27, -47.526000, -2.006000, -0.275000
238.53, 186.49, 178.27, -47.517000, -2.017000, -0.271000
