# COSI2 B0 scan,,,,,,
# time 2024-09-23 16:30:0,,,,,,
# MAGNET CENTER IN LAB: x 234.35 mm, y 221.05 mm, z 191.58 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: /,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
222.78,177.5,58.43,3.841,-49.031,1.417,49.20162732
233.22,177.5,58.43,3.927,-48.997,1.402,49.17410845
264.52,187.93,58.43,4.333,-48.764,1.748,48.9873258
254.09,187.93,58.43,4.357,-48.841,1.63,49.06203858
243.65,187.93,58.43,4.21,-48.923,1.568,49.12883729
233.22,187.93,58.43,4.07,-48.96,1.525,49.15253935
222.78,187.93,58.43,3.897,-48.991,1.511,49.16897204
212.35,187.93,58.43,3.696,-48.986,1.525,49.14889863
191.48,198.37,58.43,3.237,-48.695,1.546,48.8269527
201.91,198.37,58.43,3.265,-48.808,1.498,48.94001525
212.35,198.37,58.43,3.435,-48.893,1.462,49.03531501
222.78,198.37,58.43,3.68,-48.914,1.456,49.07383959
233.22,198.37,58.43,3.896,-48.894,1.452,49.07046317
243.65,198.37,58.43,4.104,-48.838,1.481,49.03250372
254.09,198.37,58.43,4.278,-48.724,1.566,48.93650801
264.52,198.37,58.43,4.453,-48.565,1.645,48.79645949
274.96,208.8,58.43,4.643,-48.381,1.476,48.62568443
264.52,208.8,58.43,4.634,-48.541,1.453,48.78333574
254.09,208.8,58.43,4.487,-48.716,1.417,48.9427187
243.65,208.8,58.43,4.292,-48.844,1.397,49.05210708
233.22,208.8,58.43,4.063,-48.903,1.357,49.09025185
222.78,208.8,58.43,3.876,-48.926,1.353,49.09793744
212.35,208.8,58.43,3.637,-48.896,1.343,49.04946721
201.91,208.8,58.43,3.398,-48.812,1.34,48.94847646
181.04,219.24,58.43,3.046,-48.647,1.213,48.75735938
191.48,219.24,58.43,3.073,-48.747,1.237,48.85942598
201.91,219.24,58.43,3.232,-48.846,1.264,48.96912533
212.35,219.24,58.43,3.441,-48.951,1.296,49.08890402
222.78,219.24,58.43,3.704,-48.958,1.305,49.11525634
233.22,219.24,58.43,3.889,-48.947,1.355,49.11994661
243.65,219.24,58.43,4.129,-48.881,1.384,49.07459891
254.09,219.24,58.43,4.363,-48.765,1.409,48.98005997
264.52,219.24,58.43,4.521,-48.627,1.443,48.85802717
274.96,219.24,58.43,4.645,-48.477,1.48,48.72151428
285.39,229.67,58.43,4.795,-48.231,1.693,48.49832611
274.96,229.67,58.43,4.821,-48.393,1.601,48.65889118
264.52,229.67,58.43,4.682,-48.556,1.508,48.80451131
254.09,229.67,58.43,4.535,-48.722,1.458,48.95431823
243.65,229.67,58.43,4.333,-48.845,1.432,49.0577164
233.22,229.67,58.43,4.141,-48.924,1.388,49.11855251
222.78,229.67,58.43,3.903,-48.959,1.357,49.13306971
212.35,229.67,58.43,3.662,-48.957,1.322,49.1115646
201.91,229.67,58.43,3.454,-48.901,1.283,49.0396167
191.48,229.67,58.43,3.227,-48.786,1.255,48.90871446
191.48,240.11,58.43,3.138,-48.765,1.162,48.87967382
201.91,240.11,58.43,3.262,-48.867,1.196,48.99035363
212.35,240.11,58.43,3.461,-48.922,1.239,49.05991975
222.78,240.11,58.43,3.718,-48.923,1.299,49.08126785
233.22,240.11,58.43,3.962,-48.865,1.322,49.04317846
243.65,240.11,58.43,4.182,-48.797,1.335,48.99406656
254.09,240.11,58.43,4.367,-48.662,1.361,48.87651025
264.52,240.11,58.43,4.576,-48.468,1.379,48.70306398
274.96,250.54,58.43,4.758,-48.314,1.106,48.56031709
264.52,250.54,58.43,4.726,-48.513,1.135,48.75586601
254.09,250.54,58.43,4.548,-48.689,1.18,48.91518604
243.65,250.54,58.43,4.345,-48.812,1.21,49.0199395
233.22,250.54,58.43,4.137,-48.884,1.219,49.07388497
222.78,250.54,58.43,3.961,-48.93,1.193,49.10455855
212.35,250.54,58.43,3.738,-48.97,1.154,49.12601409
201.91,250.54,58.43,3.492,-48.931,1.099,49.06775546
201.91,260.98,58.43,3.435,-49.002,1.116,49.13492327
212.35,260.98,58.43,3.571,-49.02,1.172,49.1638691
222.78,260.98,58.43,3.791,-48.997,1.214,49.1584325
233.22,260.98,58.43,4.002,-48.937,1.21,49.11527332
243.65,260.98,58.43,4.154,-48.881,1.233,49.07268248
254.09,260.98,58.43,4.34,-48.793,1.213,49.0006512
243.65,271.41,58.43,4.305,-48.794,1.317,49.00124437
233.22,271.41,58.43,4.157,-48.863,1.294,49.05657809
264.52,292.28,68.87,4.353,-48.632,0.754,48.83224907
