X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
222.78, 177.50, 58.43, 3.841000, -49.031000, 1.417000
233.22, 177.50, 58.43, 3.927000, -48.997000, 1.402000
264.52, 187.93, 58.43, 4.333000, -48.764000, 1.748000
254.09, 187.93, 58.43, 4.357000, -48.841000, 1.630000
243.65, 187.93, 58.43, 4.210000, -48.923000, 1.568000
233.22, 187.93, 58.43, 4.070000, -48.960000, 1.525000
222.78, 187.93, 58.43, 3.897000, -48.991000, 1.511000
212.35, 187.93, 58.43, 3.696000, -48.986000, 1.525000
191.48, 198.37, 58.43, 3.237000, -48.695000, 1.546000
201.91, 198.37, 58.43, 3.265000, -48.808000, 1.498000
212.35, 198.37, 58.43, 3.435000, -48.893000, 1.462000
222.78, 198.37, 58.43, 3.680000, -48.914000, 1.456000
233.22, 198.37, 58.43, 3.896000, -48.894000, 1.452000
243.65, 198.37, 58.43, 4.104000, -48.838000, 1.481000
254.09, 198.37, 58.43, 4.278000, -48.724000, 1.566000
264.52, 198.37, 58.43, 4.453000, -48.565000, 1.645000
274.96, 208.80, 58.43, 4.643000, -48.381000, 1.476000
264.52, 208.80, 58.43, 4.634000, -48.541000, 1.453000
254.09, 208.80, 58.43, 4.487000, -48.716000, 1.417000
243.65, 208.80, 58.43, 4.292000, -48.844000, 1.397000
233.22, 208.80, 58.43, 4.063000, -48.903000, 1.357000
222.78, 208.80, 58.43, 3.876000, -48.926000, 1.353000
212.35, 208.80, 58.43, 3.637000, -48.896000, 1.343000
201.91, 208.80, 58.43, 3.398000, -48.812000, 1.340000
181.04, 219.24, 58.43, 3.046000, -48.647000, 1.213000
191.48, 219.24, 58.43, 3.073000, -48.747000, 1.237000
201.91, 219.24, 58.43, 3.232000, -48.846000, 1.264000
212.35, 219.24, 58.43, 3.441000, -48.951000, 1.296000
222.78, 219.24, 58.43, 3.704000, -48.958000, 1.305000
233.22, 219.24, 58.43, 3.889000, -48.947000, 1.355000
243.65, 219.24, 58.43, 4.129000, -48.881000, 1.384000
254.09, 219.24, 58.43, 4.363000, -48.765000, 1.409000
264.52, 219.24, 58.43, 4.521000, -48.627000, 1.443000
274.96, 219.24, 58.43, 4.645000, -48.477000, 1.480000
285.39, 229.67, 58.43, 4.795000, -48.231000, 1.693000
274.96, 229.67, 58.43, 4.821000, -48.393000, 1.601000
264.52, 229.67, 58.43, 4.682000, -48.556000, 1.508000
254.09, 229.67, 58.43, 4.535000, -48.722000, 1.458000
243.65, 229.67, 58.43, 4.333000, -48.845000, 1.432000
233.22, 229.67, 58.43, 4.141000, -48.924000, 1.388000
222.78, 229.67, 58.43, 3.903000, -48.959000, 1.357000
212.35, 229.67, 58.43, 3.662000, -48.957000, 1.322000
201.91, 229.67, 58.43, 3.454000, -48.901000, 1.283000
191.48, 229.67, 58.43, 3.227000, -48.786000, 1.255000
191.48, 240.11, 58.43, 3.138000, -48.765000, 1.162000
201.91, 240.11, 58.43, 3.262000, -48.867000, 1.196000
212.35, 240.11, 58.43, 3.461000, -48.922000, 1.239000
222.78, 240.11, 58.43, 3.718000, -48.923000, 1.299000
233.22, 240.11, 58.43, 3.962000, -48.865000, 1.322000
243.65, 240.11, 58.43, 4.182000, -48.797000, 1.335000
254.09, 240.11, 58.43, 4.367000, -48.662000, 1.361000
264.52, 240.11, 58.43, 4.576000, -48.468000, 1.379000
274.96, 250.54, 58.43, 4.758000, -48.314000, 1.106000
264.52, 250.54, 58.43, 4.726000, -48.513000, 1.135000
254.09, 250.54, 58.43, 4.548000, -48.689000, 1.180000
243.65, 250.54, 58.43, 4.345000, -48.812000, 1.210000
233.22, 250.54, 58.43, 4.137000, -48.884000, 1.219000
222.78, 250.54, 58.43, 3.961000, -48.930000, 1.193000
212.35, 250.54, 58.43, 3.738000, -48.970000, 1.154000
201.91, 250.54, 58.43, 3.492000, -48.931000, 1.099000
201.91, 260.98, 58.43, 3.435000, -49.002000, 1.116000
212.35, 260.98, 58.43, 3.571000, -49.020000, 1.172000
222.78, 260.98, 58.43, 3.791000, -48.997000, 1.214000
233.22, 260.98, 58.43, 4.002000, -48.937000, 1.210000
243.65, 260.98, 58.43, 4.154000, -48.881000, 1.233000
254.09, 260.98, 58.43, 4.340000, -48.793000, 1.213000
243.65, 271.41, 58.43, 4.305000, -48.794000, 1.317000
233.22, 271.41, 58.43, 4.157000, -48.863000, 1.294000
264.52, 292.28, 68.87, 4.353000, -48.632000, 0.754000
254.09, 292.28, 68.87, 4.320000, -48.724000, 0.848000
243.65, 292.28, 68.87, 4.178000, -48.773000, 0.913000
233.22, 292.28, 68.87, 4.041000, -48.822000, 0.944000
222.78, 292.28, 68.87, 3.902000, -48.857000, 0.938000
212.35, 292.28, 68.87, 3.788000, -48.870000, 0.918000
181.04, 281.85, 68.87, 3.237000, -48.612000, 0.950000
191.48, 281.85, 68.87, 3.221000, -48.703000, 0.985000
201.91, 281.85, 68.87, 3.423000, -48.755000, 1.004000
212.35, 281.85, 68.87, 3.607000, -48.785000, 1.048000
222.78, 281.85, 68.87, 3.774000, -48.776000, 1.062000
233.22, 281.85, 68.87, 3.909000, -48.743000, 1.090000
243.65, 281.85, 68.87, 4.075000, -48.684000, 1.074000
254.09, 281.85, 68.87, 4.231000, -48.594000, 1.045000
264.52, 281.85, 68.87, 4.393000, -48.483000, 1.028000
274.96, 281.85, 68.87, 4.536000, -48.277000, 1.000000
285.39, 271.41, 68.87, 4.696000, -48.190000, 1.341000
274.96, 271.41, 68.87, 4.641000, -48.347000, 1.248000
264.52, 271.41, 68.87, 4.535000, -48.480000, 1.206000
254.09, 271.41, 68.87, 4.389000, -48.590000, 1.188000
243.65, 271.41, 68.87, 4.226000, -48.691000, 1.203000
233.22, 271.41, 68.87, 4.065000, -48.740000, 1.203000
222.78, 271.41, 68.87, 3.928000, -48.786000, 1.194000
212.35, 271.41, 68.87, 3.746000, -48.802000, 1.180000
201.91, 271.41, 68.87, 3.567000, -48.785000, 1.147000
