# COSI2 B0 scan,,,,,,
# time 2024-05-29 20:34:48.042950,,,,,,
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm,,,,
# MAGNET AXES WRT LAB: alpha -9.00 deg, beta 0.00 deg, gamma 0.00 deg,,,,
# path: Q:/PTB/cosi-measure/Software/COSI2/data/240524/weekend_ball_90mm_bvals_shift-1.csv,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
25.931,-85.424,-3.055,47,47,47,47
25.931,-85.424,-0.005,47,47,47,47
22.881,-85.424,12.205,47,47,47,47
22.881,-85.424,9.155,47,47,47,47
22.881,-85.424,6.105,47,47,47,47
22.881,-85.424,3.055,47,47,47,47
22.881,-85.424,-0.005,47,47,47,47
22.881,-85.424,-3.055,47,47,47,47
22.881,-85.424,-6.105,47,47,47,47
22.881,-85.424,-9.155,47,47,47,47
19.831,-85.424,-15.255,47,47,47,47
19.831,-85.424,-12.205,47,47,47,47
19.831,-85.424,-9.155,47,47,47,47
19.831,-85.424,-6.105,47,47,47,47
19.831,-85.424,-3.055,47,47,47,47
19.831,-85.424,-0.005,47,47,47,47
19.831,-85.424,3.055,47,47,47,47
19.831,-85.424,6.105,47,47,47,47
19.831,-85.424,9.155,47,47,47,47
19.831,-85.424,12.205,47,47,47,47
16.781,-85.424,18.305,47,47,47,47
16.781,-85.424,15.255,47,47,47,47
16.781,-85.424,12.205,47,47,47,47
16.781,-85.424,9.155,47,47,47,47
16.781,-85.424,6.105,47,47,47,47
16.781,-85.424,3.055,47,47,47,47
16.781,-85.424,-0.005,47,47,47,47
16.781,-85.424,-3.055,47,47,47,47
16.781,-85.424,-6.105,47,47,47,47
16.781,-85.424,-9.155,47,47,47,47
16.781,-85.424,-12.205,47,47,47,47
16.781,-85.424,-15.255,47,47,47,47
13.731,-85.424,-21.355,47,47,47,47
13.731,-85.424,-18.305,47,47,47,47
13.731,-85.424,-15.255,47,47,47,47
13.731,-85.424,-12.205,47,47,47,47
13.731,-85.424,-9.155,47,47,47,47
13.731,-85.424,-6.105,47,47,47,47
13.731,-85.424,-3.055,47,47,47,47
13.731,-85.424,-0.005,47,47,47,47
13.731,-85.424,3.055,47,47,47,47
13.731,-85.424,6.105,47,47,47,47
13.731,-85.424,9.155,47,47,47,47
13.731,-85.424,12.205,47,47,47,47
13.731,-85.424,15.255,47,47,47,47
13.731,-85.424,18.305,47,47,47,47
10.681,-85.424,21.355,47,47,47,47
10.681,-85.424,18.305,47,47,47,47
10.681,-85.424,15.255,47,47,47,47
10.681,-85.424,12.205,47,47,47,47
10.681,-85.424,9.155,47,47,47,47
10.681,-85.424,6.105,47,47,47,47
10.681,-85.424,3.055,47,47,47,47
10.681,-85.424,-0.005,47,47,47,47
10.681,-85.424,-3.055,47,47,47,47
10.681,-85.424,-6.105,47,47,47,47
10.681,-85.424,-9.155,47,47,47,47
10.681,-85.424,-12.205,47,47,47,47
10.681,-85.424,-15.255,47,47,47,47
10.681,-85.424,-18.305,47,47,47,47
7.631,-85.424,-21.355,47,47,47,47
7.631,-85.424,-18.305,47,47,47,47
7.631,-85.424,-15.255,47,47,47,47
7.631,-85.424,-12.205,47,47,47,47
7.631,-85.424,-9.155,47,47,47,47
7.631,-85.424,-6.105,47,47,47,47
7.631,-85.424,-3.055,47,47,47,47
7.631,-85.424,-0.005,47,47,47,47
7.631,-85.424,3.055,47,47,47,47
7.631,-85.424,6.105,47,47,47,47
7.631,-85.424,9.155,47,47,47,47
7.631,-85.424,12.205,47,47,47,47
7.631,-85.424,15.255,47,47,47,47
7.631,-85.424,18.305,47,47,47,47
4.581,-85.424,24.405,47,47,47,47
4.581,-85.424,21.355,47,47,47,47
4.581,-85.424,18.305,47,47,47,47
4.581,-85.424,15.255,47,47,47,47
4.581,-85.424,12.205,47,47,47,47
4.581,-85.424,9.155,47,47,47,47
4.581,-85.424,6.105,47,47,47,47
4.581,-85.424,3.055,47,47,47,47
4.581,-85.424,-0.005,47,47,47,47
4.581,-85.424,-3.055,47,47,47,47
4.581,-85.424,-6.105,47,47,47,47
4.581,-85.424,-9.155,47,47,47,47
4.581,-85.424,-12.205,47,47,47,47
4.581,-85.424,-15.255,47,47,47,47
4.581,-85.424,-18.305,47,47,47,47
4.581,-85.424,-21.355,47,47,47,47
1.521,-85.424,-24.405,47,47,47,47
1.521,-85.424,-21.355,47,47,47,47
1.521,-85.424,-18.305,47,47,47,47
1.521,-85.424,-15.255,47,47,47,47
1.521,-85.424,-12.205,47,47,47,47
1.521,-85.424,-9.155,47,47,47,47
1.521,-85.424,-6.105,47,47,47,47
1.521,-85.424,-3.055,47,47,47,47
1.521,-85.424,-0.005,47,47,47,47
1.521,-85.424,3.055,47,47,47,47
1.521,-85.424,6.105,47,47,47,47
1.521,-85.424,9.155,47,47,47,47
1.521,-85.424,12.205,47,47,47,47
1.521,-85.424,15.255,47,47,47,47
1.521,-85.424,18.305,47,47,47,47
1.521,-85.424,21.355,47,47,47,47
-1.529,-85.424,21.355,47,47,47,47
-1.529,-85.424,18.305,47,47,47,47
-1.529,-85.424,15.255,47,47,47,47
-1.529,-85.424,12.205,47,47,47,47
-1.529,-85.424,9.155,47,47,47,47
-1.529,-85.424,6.105,47,47,47,47
-1.529,-85.424,3.055,47,47,47,47
-1.529,-85.424,-0.005,47,47,47,47
-1.529,-85.424,-3.055,47,47,47,47
-1.529,-85.424,-6.105,47,47,47,47
-1.529,-85.424,-9.155,47,47,47,47
-1.529,-85.424,-12.205,47,47,47,47
-1.529,-85.424,-15.255,47,47,47,47
-1.529,-85.424,-18.305,47,47,47,47
-4.579,-85.424,-21.355,47,47,47,47
-4.579,-85.424,-18.305,47,47,47,47
-4.579,-85.424,-15.255,47,47,47,47
-4.579,-85.424,-12.205,47,47,47,47
-4.579,-85.424,-9.155,47,47,47,47
-4.579,-85.424,-6.105,47,47,47,47
-4.579,-85.424,-3.055,47,47,47,47
-4.579,-85.424,-0.005,47,47,47,47
-4.579,-85.424,3.055,47,47,47,47
-4.579,-85.424,6.105,47,47,47,47
-4.579,-85.424,9.155,47,47,47,47
-4.579,-85.424,12.205,47,47,47,47
-4.579,-85.424,15.255,47,47,47,47
-4.579,-85.424,18.305,47,47,47,47
-7.629,-85.424,21.355,47,47,47,47
-7.629,-85.424,18.305,47,47,47,47
-7.629,-85.424,15.255,47,47,47,47
-7.629,-85.424,12.205,47,47,47,47
-7.629,-85.424,9.155,47,47,47,47
-7.629,-85.424,6.105,47,47,47,47
-7.629,-85.424,3.055,47,47,47,47
-7.629,-85.424,-0.005,47,47,47,47
-7.629,-85.424,-3.055,47,47,47,47
-7.629,-85.424,-6.105,47,47,47,47
-7.629,-85.424,-9.155,47,47,47,47
-7.629,-85.424,-12.205,47,47,47,47
-7.629,-85.424,-15.255,47,47,47,47
-7.629,-85.424,-18.305,47,47,47,47
-10.679,-85.424,-18.305,47,47,47,47
-10.679,-85.424,-15.255,47,47,47,47
-10.679,-85.424,-12.205,47,47,47,47
-10.679,-85.424,-9.155,47,47,47,47
-10.679,-85.424,-6.105,47,47,47,47
-10.679,-85.424,-3.055,47,47,47,47
-10.679,-85.424,-0.005,47,47,47,47
-10.679,-85.424,3.055,47,47,47,47
-10.679,-85.424,6.105,47,47,47,47
-10.679,-85.424,9.155,47,47,47,47
-10.679,-85.424,12.205,47,47,47,47
-10.679,-85.424,15.255,47,47,47,47
-13.729,-85.424,15.255,47,47,47,47
-13.729,-85.424,12.205,47,47,47,47
-13.729,-85.424,9.155,47,47,47,47
-13.729,-85.424,6.105,47,47,47,47
-13.729,-85.424,3.055,47,47,47,47
-13.729,-85.424,-0.005,47,47,47,47
-13.729,-85.424,-3.055,47,47,47,47
-13.729,-85.424,-6.105,47,47,47,47
-13.729,-85.424,-9.155,47,47,47,47
-13.729,-85.424,-12.205,47,47,47,47
-16.779,-85.424,-12.205,47,47,47,47
-16.779,-85.424,-9.155,47,47,47,47
-16.779,-85.424,-6.105,47,47,47,47
-16.779,-85.424,-3.055,47,47,47,47
-16.779,-85.424,-0.005,47,47,47,47
-16.779,-85.424,3.055,47,47,47,47
-16.779,-85.424,6.105,47,47,47,47
-16.779,-85.424,9.155,47,47,47,47
-19.829,-85.424,3.055,47,47,47,47
-19.829,-85.424,-0.005,47,47,47,47
-32.029,-82.374,6.105,47,47,47,47
-32.029,-82.374,3.055,47,47,47,47
-32.029,-82.374,-0.005,47,47,47,47
-32.029,-82.374,-3.055,47,47,47,47
-28.979,-82.374,-15.255,47,47,47,47
-28.979,-82.374,-12.205,47,47,47,47
-28.979,-82.374,-9.155,47,47,47,47
-28.979,-82.374,-6.105,47,47,47,47
-28.979,-82.374,-3.055,47,47,47,47
-28.979,-82.374,-0.005,47,47,47,47
-28.979,-82.374,3.055,47,47,47,47
-28.979,-82.374,6.105,47,47,47,47
-28.979,-82.374,9.155,47,47,47,47
-28.979,-82.374,12.205,47,47,47,47
-25.929,-82.374,18.305,47,47,47,47
-25.929,-82.374,15.255,47,47,47,47
-25.929,-82.374,12.205,47,47,47,47
-25.929,-82.374,9.155,47,47,47,47
-25.929,-82.374,6.105,47,47,47,47
-25.929,-82.374,3.055,47,47,47,47
-25.929,-82.374,-0.005,47,47,47,47
-25.929,-82.374,-3.055,47,47,47,47
-25.929,-82.374,-6.105,47,47,47,47
-25.929,-82.374,-9.155,47,47,47,47
-25.929,-82.374,-12.205,47,47,47,47
-25.929,-82.374,-15.255,47,47,47,47
-22.879,-82.374,-24.405,47,47,47,47
-22.879,-82.374,-21.355,47,47,47,47
-22.879,-82.374,-18.305,47,47,47,47
-22.879,-82.374,-15.255,47,47,47,47
-22.879,-82.374,-12.205,47,47,47,47
-22.879,-82.374,-9.155,47,47,47,47
-22.879,-82.374,-6.105,47,47,47,47
-22.879,-82.374,-3.055,47,47,47,47
-22.879,-82.374,-0.005,47,47,47,47
-22.879,-82.374,3.055,47,47,47,47
-22.879,-82.374,6.105,47,47,47,47
-22.879,-82.374,9.155,47,47,47,47
-22.879,-82.374,12.205,47,47,47,47
-22.879,-82.374,15.255,47,47,47,47
-22.879,-82.374,18.305,47,47,47,47
-22.879,-82.374,21.355,47,47,47,47
-19.829,-82.374,24.405,47,47,47,47
-19.829,-82.374,21.355,47,47,47,47
-19.829,-82.374,18.305,47,47,47,47
-19.829,-82.374,15.255,47,47,47,47
-19.829,-82.374,12.205,47,47,47,47
-19.829,-82.374,9.155,47,47,47,47
-19.829,-82.374,6.105,47,47,47,47
-19.829,-82.374,3.055,47,47,47,47
-19.829,-82.374,-0.005,47,47,47,47
-19.829,-82.374,-3.055,47,47,47,47
-19.829,-82.374,-6.105,47,47,47,47
-19.829,-82.374,-9.155,47,47,47,47
-19.829,-82.374,-12.205,47,47,47,47
-19.829,-82.374,-15.255,47,47,47,47
-19.829,-82.374,-18.305,47,47,47,47
-19.829,-82.374,-21.355,47,47,47,47
-16.779,-82.374,-27.455,47,47,47,47
-16.779,-82.374,-24.405,47,47,47,47
-16.779,-82.374,-21.355,47,47,47,47
-16.779,-82.374,-18.305,47,47,47,47
-16.779,-82.374,-15.255,47,47,47,47
-16.779,-82.374,-12.205,47,47,47,47
-16.779,-82.374,-9.155,47,47,47,47
-16.779,-82.374,-6.105,47,47,47,47
-16.779,-82.374,-3.055,47,47,47,47
-16.779,-82.374,-0.005,47,47,47,47
-16.779,-82.374,3.055,47,47,47,47
-16.779,-82.374,6.105,47,47,47,47
-16.779,-82.374,9.155,47,47,47,47
-16.779,-82.374,12.205,47,47,47,47
-16.779,-82.374,15.255,47,47,47,47
-16.779,-82.374,18.305,47,47,47,47
-16.779,-82.374,21.355,47,47,47,47
-16.779,-82.374,24.405,47,47,47,47
-13.729,-82.374,30.505,47,47,47,47
-13.729,-82.374,27.455,47,47,47,47
-13.729,-82.374,24.405,47,47,47,47
-13.729,-82.374,21.355,47,47,47,47
-13.729,-82.374,18.305,47,47,47,47
-13.729,-82.374,15.255,47,47,47,47
-13.729,-82.374,12.205,47,47,47,47
-13.729,-82.374,9.155,47,47,47,47
-13.729,-82.374,6.105,47,47,47,47
-13.729,-82.374,3.055,47,47,47,47
-13.729,-82.374,-0.005,47,47,47,47
-13.729,-82.374,-3.055,47,47,47,47
-13.729,-82.374,-6.105,47,47,47,47
