# COSI2 B0 scan
# time 2024-08-21 16:48:10.144006
# MAGNET CENTER IN LAB: x 234.000 mm, y 232.950 mm, z 204.900 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/dummies/pathfiles/testBall_240821
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
234.000,232.950,84.900,3.6400,-49.0320,2.3100,49.2180
174.000,292.950,144.900,3.6400,-49.0310,2.3000,49.2210
234.000,292.950,144.900,3.2500,-48.7240,2.0400,48.9060
294.000,292.950,144.900,3.0900,-48.3720,1.7200,48.5010
294.000,232.950,144.900,3.5800,-48.4570,1.8300,48.6240
234.000,232.950,144.900,3.9600,-48.0740,1.8700,48.2740
174.000,232.950,144.900,3.9100,-48.1730,2.2100,48.3810
174.000,172.950,144.900,3.4200,-48.5250,2.1000,48.6900
234.000,172.950,144.900,2.9500,-48.3400,2.0800,48.4750
294.000,172.950,144.900,3.1300,-48.7980,2.2900,48.9360
234.000,112.950,204.900,3.5300,-48.8850,2.3500,49.0660
294.000,172.950,204.900,3.7500,-48.6800,2.4800,48.8700
234.000,172.950,204.900,3.4200,-48.9160,1.9500,49.0640
174.000,172.950,204.900,3.4100,-48.5460,1.9900,48.7070
114.000,232.950,204.900,3.4400,-48.7440,1.9100,48.9030
174.000,232.950,204.900,3.4400,-48.5280,1.8000,48.6830
234.000,232.950,204.900,3.5200,-47.3880,1.7200,47.5490
294.000,232.950,204.900,3.4600,-48.2630,1.8400,48.4220
354.000,232.950,204.900,3.4200,-48.4420,1.9400,48.6010
294.000,292.950,204.900,3.3700,-48.0650,1.9900,48.2240
234.000,292.950,204.900,3.3000,-47.1730,1.9200,47.3280
174.000,292.950,204.900,3.4000,-48.1220,1.9900,48.2610
234.000,352.950,204.900,3.4500,-48.3970,1.9200,48.5540
174.000,292.950,264.900,3.4800,-48.2300,1.8500,48.3780
234.000,292.950,264.900,3.4600,-48.4400,1.9200,48.6010
294.000,292.950,264.900,3.9600,-48.3680,2.0000,48.5700
294.000,232.950,264.900,3.3700,-48.6110,2.0000,48.7680
234.000,232.950,264.900,2.8500,-48.2610,2.1100,48.3910
174.000,232.950,264.900,2.8700,-48.3430,1.8100,48.4620
174.000,172.950,264.900,3.5100,-48.6780,1.7700,48.8360
234.000,172.950,264.900,4.0300,-48.3560,1.5400,48.5480
294.000,172.950,264.900,3.7600,-48.8640,1.4000,49.0280
234.000,232.950,324.900,3.3800,-48.9860,1.5900,49.1280
