# COSI2 B0 scan
# time 2024-08-21 18:23:09.130550
# MAGNET CENTER IN LAB: x 234.400 mm, y 233.000 mm, z 204.910 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/dummies/pathfiles/testball_quick_extremes_240821
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
234.400,233.000,204.910,3.4300,-48.4260,1.9500,48.5860
114.400,233.000,204.910,3.4300,-48.4310,1.9400,48.5910
354.400,233.000,204.910,3.4600,-48.1390,1.8100,48.2970
234.400,113.000,204.910,3.4600,-48.0930,1.8300,48.2520
234.400,353.000,204.910,3.3700,-47.7820,2.0200,47.9430
234.400,233.000,324.910,3.4300,-48.8100,1.9400,48.9680
234.400,233.000,84.910,3.4400,-48.4780,2.0200,48.6420
234.400,233.000,84.910,3.4500,-48.8000,1.7700,48.9530
174.400,293.000,144.910,3.4200,-48.5860,1.8400,48.7410
234.400,293.000,144.910,3.3000,-48.7610,2.0800,48.9170
294.400,293.000,144.910,3.2300,-48.3950,1.7800,48.5350
294.400,233.000,144.910,3.8200,-48.3000,1.8600,48.4860
234.400,233.000,144.910,3.9700,-48.0570,2.2100,48.2500
174.400,233.000,144.910,3.4800,-48.4700,2.1400,48.6430
174.400,173.000,144.910,2.9400,-48.3260,2.0400,48.4580
234.400,173.000,144.910,3.0700,-48.6830,2.3000,48.8340
294.400,173.000,144.910,3.4600,-48.8780,2.3400,49.0570
234.400,113.000,204.910,3.8300,-48.6300,2.5700,48.8790
294.400,173.000,204.910,3.4400,-48.9210,2.0600,49.0770
234.400,173.000,204.910,3.4300,-48.8410,1.9900,49.0020
174.400,173.000,204.910,3.4200,-48.6600,1.9600,48.7880
114.400,233.000,204.910,3.4400,-48.6080,1.8500,48.8010
174.400,233.000,204.910,3.5100,-47.6900,1.7100,47.8490
234.400,233.000,204.910,3.4600,-48.1240,1.8500,48.2830
294.400,233.000,204.910,3.4300,-48.4250,1.9500,48.5820
354.400,233.000,204.910,3.3800,-48.1630,2.0100,48.3240
294.400,293.000,204.910,3.3100,-47.2060,1.9400,47.3610
234.400,293.000,204.910,3.3600,-47.8510,2.0300,48.0120
174.400,293.000,204.910,3.4400,-48.3540,1.9400,48.4990
234.400,353.000,204.910,3.4800,-48.2040,1.8600,48.3650
174.400,293.000,264.910,3.4600,-48.4280,1.9500,48.5800
234.400,293.000,264.910,3.6900,-48.4230,2.0000,48.6180
294.400,293.000,264.910,3.6200,-48.5080,1.9900,48.6890
294.400,233.000,264.910,2.9400,-48.3920,2.1200,48.5270
234.400,233.000,264.910,2.8100,-48.2610,1.8200,48.3770
174.400,233.000,264.910,3.4300,-48.6510,1.7700,48.8040
174.400,173.000,264.910,4.0300,-48.3270,1.6100,48.5720
234.400,173.000,264.910,3.8300,-48.7430,1.3500,48.9130
294.400,173.000,264.910,3.4200,-48.9700,1.5900,49.1150
234.400,233.000,324.910,3.0200,-48.7400,1.5200,48.8570
234.400,233.000,204.910,3.1100,-48.9930,1.6100,49.1180
114.400,233.000,204.910,3.4400,-48.7750,1.7700,48.9280
354.400,233.000,204.910,3.4500,-48.3920,1.8900,48.5510
234.400,113.000,204.910,3.4700,-48.0710,1.8200,48.1450
234.400,353.000,204.910,3.3900,-47.7130,2.0200,47.8750
234.400,233.000,324.910,3.4300,-48.7850,1.9400,48.9820
234.400,233.000,84.910,3.4400,-48.4750,2.0000,48.6380
