# COSI2 B0 scan
# time 2024-08-02 10:26:21.063543
# MAGNET CENTER IN LAB: x 265.170 mm, y 182.350 mm, z 163.750 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/dummies/pathfiles/testsphere.path
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
271.760,182.350,233.440,48.0000,100.0000,100.0000,100.0000
271.550,183.990,233.440,58.0000,100.0000,100.0000,100.0000
270.950,185.530,233.440,31.0000,100.0000,100.0000,100.0000
269.970,186.860,233.440,6.0000,100.0000,100.0000,100.0000
268.700,187.920,233.440,27.0000,100.0000,100.0000,100.0000
267.210,188.620,233.440,88.0000,100.0000,100.0000,100.0000
265.580,188.930,233.440,23.0000,100.0000,100.0000,100.0000
263.930,188.820,233.440,28.0000,100.0000,100.0000,100.0000
262.360,188.310,233.440,71.0000,100.0000,100.0000,100.0000
260.970,187.430,233.440,90.0000,100.0000,100.0000,100.0000
259.840,186.220,233.440,98.0000,100.0000,100.0000,100.0000
259.040,184.780,233.440,70.0000,100.0000,100.0000,100.0000
258.630,183.180,233.440,3.0000,100.0000,100.0000,100.0000
258.630,181.520,233.440,52.0000,100.0000,100.0000,100.0000
259.040,179.920,233.440,1.0000,100.0000,100.0000,100.0000
259.840,178.480,233.440,74.0000,100.0000,100.0000,100.0000
260.970,177.270,233.440,94.0000,100.0000,100.0000,100.0000
262.360,176.390,233.440,9.0000,100.0000,100.0000,100.0000
263.930,175.880,233.440,8.0000,100.0000,100.0000,100.0000
265.580,175.770,233.440,12.0000,100.0000,100.0000,100.0000
267.210,176.080,233.440,8.0000,100.0000,100.0000,100.0000
268.700,176.780,233.440,6.0000,100.0000,100.0000,100.0000
269.970,177.840,233.440,13.0000,100.0000,100.0000,100.0000
270.950,179.170,233.440,71.0000,100.0000,100.0000,100.0000
271.550,180.710,233.440,24.0000,100.0000,100.0000,100.0000
280.200,182.350,232.120,84.0000,100.0000,100.0000,100.0000
279.730,186.090,232.120,96.0000,100.0000,100.0000,100.0000
