# COSI2 B0 scan
# time 2024-08-22 15:54:44.056759
# MAGNET CENTER IN LAB: x 232.290 mm, y 232.950 mm, z 201.880 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/dummies/pathfiles/tst14
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
232.290,232.950,201.880,-48.1970,-1.9660,0.4650,48.2390
112.290,232.950,201.880,-48.1930,-1.9550,0.4560,48.2350
352.290,232.950,201.880,-48.1930,-1.9680,0.4550,48.2350
232.290,112.950,201.880,-47.7410,-1.9890,0.3430,47.8200
232.290,352.950,201.880,-47.5970,-2.0050,0.3210,47.6400
232.290,232.950,321.880,-48.5970,-1.9580,0.5040,48.6240
232.290,232.950,81.880,-48.6490,-1.9530,0.4630,48.6750
232.290,232.950,81.880,-48.6370,-1.9980,0.3890,48.6490
172.290,292.950,141.880,-48.8030,-2.0060,0.3110,48.7850
232.290,292.950,141.880,-48.3280,-2.0690,0.7250,48.3630
292.290,292.950,141.880,-48.4120,-2.1290,0.7540,48.4340
292.290,232.950,141.880,-48.1620,-1.7290,0.2710,48.1800
232.290,232.950,141.880,-48.2000,-1.8720,0.3100,48.2370
172.290,232.950,141.880,-47.8360,-2.5270,0.5010,47.9050
172.290,172.950,141.880,-47.8230,-2.5270,0.6320,47.8950
232.290,172.950,141.880,-48.2690,-1.8300,0.6130,48.3130
292.290,172.950,141.880,-48.2280,-1.6600,0.5780,48.2780
232.290,112.950,201.880,-48.5830,-1.7330,0.7950,48.6070
292.290,172.950,201.880,-48.6300,-1.8650,0.8100,48.6580
232.290,172.950,201.880,-48.6970,-1.9840,0.5890,48.7350
172.290,172.950,201.880,-48.6980,-1.9510,0.4760,48.7400
112.290,232.950,201.880,-48.3750,-1.9550,0.5130,48.4020
172.290,232.950,201.880,-48.4320,-1.9510,0.4870,48.4590
232.290,232.950,201.880,-47.7860,-1.9990,0.2860,47.8290
292.290,232.950,201.880,-47.5610,-2.0170,0.2730,47.6960
352.290,232.950,201.880,-48.0360,-1.9870,0.3980,48.0790
292.290,292.950,201.880,-48.1060,-1.9680,0.4300,48.1250
232.290,292.950,201.880,-47.7540,-1.9290,0.5420,47.7960
172.290,292.950,201.880,-47.5820,-1.9260,0.5340,47.6920
232.290,352.950,201.880,-47.9710,-1.9580,0.4980,47.9920
172.290,292.950,261.880,-48.0500,-1.9760,0.4830,48.0670
232.290,292.950,261.880,-48.1220,-2.0110,0.4260,48.1520
292.290,292.950,261.880,-48.1690,-2.0050,0.4570,48.1970
292.290,232.950,261.880,-48.1360,-2.3640,0.5190,48.1690
232.290,232.950,261.880,-48.2410,-2.1880,0.5050,48.2620
172.290,232.950,261.880,-48.0490,-1.3790,0.5440,48.0740
172.290,172.950,261.880,-48.0520,-1.3570,0.4680,48.0730
232.290,172.950,261.880,-48.3720,-2.1540,0.2420,48.4210
292.290,172.950,261.880,-48.2990,-2.3610,0.2070,48.3880
232.290,232.950,321.880,-48.5980,-2.2010,-0.0320,48.6340
232.290,232.950,201.880,-48.6640,-2.0760,0.0610,48.6880
112.290,232.950,201.880,-48.7180,-1.5430,0.0530,48.7420
352.290,232.950,201.880,-48.8080,-1.7120,0.1770,48.8000
232.290,112.950,201.880,-47.7470,-1.9950,0.3260,47.8270
232.290,352.950,201.880,-47.5260,-2.0220,0.3000,47.6490
232.290,232.950,321.880,-48.5860,-1.9600,0.5080,48.6290
232.290,232.950,81.880,-48.6430,-1.9560,0.4780,48.6700
