# COSI2 B0 scan
# time 2024-07-31 13:36:27.745145
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/dummies/pathfiles/tstyt.path
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
22.690,0.000,97.390,72.0000,100.0000,100.0000,100.0000
18.360,13.340,97.390,24.0000,100.0000,100.0000,100.0000
7.010,21.580,97.390,54.0000,100.0000,100.0000,100.0000
-7.010,21.580,97.390,85.0000,100.0000,100.0000,100.0000
-18.360,13.340,97.390,99.0000,100.0000,100.0000,100.0000
-22.690,0.000,97.390,11.0000,100.0000,100.0000,100.0000
-18.360,-13.340,97.390,7.0000,100.0000,100.0000,100.0000
-7.010,-21.580,97.390,85.0000,100.0000,100.0000,100.0000
7.010,-21.580,97.390,65.0000,100.0000,100.0000,100.0000
18.360,-13.340,97.390,11.0000,100.0000,100.0000,100.0000
50.170,0.000,86.510,78.0000,100.0000,100.0000,100.0000
40.590,29.490,86.510,52.0000,100.0000,100.0000,100.0000
15.500,47.710,86.510,89.0000,100.0000,100.0000,100.0000
-15.500,47.710,86.510,78.0000,100.0000,100.0000,100.0000
-40.590,29.490,86.510,51.0000,100.0000,100.0000,100.0000
-50.170,0.000,86.510,96.0000,100.0000,100.0000,100.0000
-40.590,-29.490,86.510,97.0000,100.0000,100.0000,100.0000
-15.500,-47.710,86.510,22.0000,100.0000,100.0000,100.0000
15.500,-47.710,86.510,49.0000,100.0000,100.0000,100.0000
40.590,-29.490,86.510,99.0000,100.0000,100.0000,100.0000
73.380,0.000,67.940,28.0000,100.0000,100.0000,100.0000
59.360,43.130,67.940,48.0000,100.0000,100.0000,100.0000
22.670,69.780,67.940,46.0000,100.0000,100.0000,100.0000
-22.670,69.780,67.940,98.0000,100.0000,100.0000,100.0000
-59.360,43.130,67.940,9.0000,100.0000,100.0000,100.0000
-73.380,0.000,67.940,40.0000,100.0000,100.0000,100.0000
-59.360,-43.130,67.940,11.0000,100.0000,100.0000,100.0000
-22.670,-69.780,67.940,38.0000,100.0000,100.0000,100.0000
22.670,-69.780,67.940,78.0000,100.0000,100.0000,100.0000
59.360,-43.130,67.940,51.0000,100.0000,100.0000,100.0000
90.120,0.000,43.340,51.0000,100.0000,100.0000,100.0000
72.910,52.970,43.340,91.0000,100.0000,100.0000,100.0000
27.850,85.710,43.340,34.0000,100.0000,100.0000,100.0000
-27.850,85.710,43.340,39.0000,100.0000,100.0000,100.0000
-72.910,52.970,43.340,41.0000,100.0000,100.0000,100.0000
-90.120,0.000,43.340,42.0000,100.0000,100.0000,100.0000
-72.910,-52.970,43.340,24.0000,100.0000,100.0000,100.0000
-27.850,-85.710,43.340,66.0000,100.0000,100.0000,100.0000
27.850,-85.710,43.340,34.0000,100.0000,100.0000,100.0000
72.910,-52.970,43.340,89.0000,100.0000,100.0000,100.0000
98.890,0.000,14.890,87.0000,100.0000,100.0000,100.0000
80.000,58.120,14.890,34.0000,100.0000,100.0000,100.0000
30.560,94.050,14.890,93.0000,100.0000,100.0000,100.0000
-30.560,94.050,14.890,25.0000,100.0000,100.0000,100.0000
-80.000,58.120,14.890,0.0000,100.0000,100.0000,100.0000
-98.890,0.000,14.890,58.0000,100.0000,100.0000,100.0000
-80.000,-58.120,14.890,62.0000,100.0000,100.0000,100.0000
-30.560,-94.050,14.890,82.0000,100.0000,100.0000,100.0000
30.560,-94.050,14.890,75.0000,100.0000,100.0000,100.0000
80.000,-58.120,14.890,4.0000,100.0000,100.0000,100.0000
98.890,0.000,-14.890,14.0000,100.0000,100.0000,100.0000
80.000,58.120,-14.890,44.0000,100.0000,100.0000,100.0000
30.560,94.050,-14.890,73.0000,100.0000,100.0000,100.0000
-30.560,94.050,-14.890,9.0000,100.0000,100.0000,100.0000
-80.000,58.120,-14.890,28.0000,100.0000,100.0000,100.0000
-98.890,0.000,-14.890,36.0000,100.0000,100.0000,100.0000
-80.000,-58.120,-14.890,4.0000,100.0000,100.0000,100.0000
-30.560,-94.050,-14.890,22.0000,100.0000,100.0000,100.0000
30.560,-94.050,-14.890,94.0000,100.0000,100.0000,100.0000
80.000,-58.120,-14.890,49.0000,100.0000,100.0000,100.0000
90.120,0.000,-43.340,25.0000,100.0000,100.0000,100.0000
72.910,52.970,-43.340,47.0000,100.0000,100.0000,100.0000
27.850,85.710,-43.340,30.0000,100.0000,100.0000,100.0000
-27.850,85.710,-43.340,96.0000,100.0000,100.0000,100.0000
-72.910,52.970,-43.340,1.0000,100.0000,100.0000,100.0000
-90.120,0.000,-43.340,71.0000,100.0000,100.0000,100.0000
-72.910,-52.970,-43.340,41.0000,100.0000,100.0000,100.0000
-27.850,-85.710,-43.340,7.0000,100.0000,100.0000,100.0000
27.850,-85.710,-43.340,37.0000,100.0000,100.0000,100.0000
72.910,-52.970,-43.340,74.0000,100.0000,100.0000,100.0000
73.380,0.000,-67.940,68.0000,100.0000,100.0000,100.0000
